x,y
399.1926,0.0
401.1211,0.2868888
403.0496,0.2882981
404.978,0.2864831
406.9065,0.2859003
408.835,0.2779284
410.7634,0.2743457
412.6919,0.2756099
414.6204,0.2812017
416.5488,0.2863497
418.4773,0.2880335
420.4058,0.2851864
422.3342,0.2839105
424.2627,0.2879011
426.1912,0.293037
428.1196,0.290758
430.0481,0.2928926
431.9766,0.2970198
433.905,0.2994508
435.8335,0.2995725
437.762,0.3006303
439.6904,0.30204
441.6189,0.3025188
443.5474,0.302876
445.4758,0.3045217
447.4043,0.3064317
449.3328,0.3087262
451.2612,0.3052627
453.1897,0.2988407
455.1182,0.2937442
457.0466,0.2894421
458.9751,0.2829668
460.9036,0.2748377
462.832,0.2674837
464.7605,0.261209
466.689,0.2517419
468.6174,0.2436965
470.5459,0.2369118
472.4744,0.2275665
474.4028,0.2187257
476.3313,0.2125541
478.2598,0.2065007
480.1882,0.2002424
482.1167,0.1960951
484.0452,0.1945048
485.9736,0.1935353
487.9021,0.192867
489.8306,0.1927736
491.759,0.193575
493.6875,0.1939985
495.616,0.1942879
497.5444,0.1950028
499.4729,0.1953485
501.4014,0.1941121
503.3298,0.1939216
505.2583,0.1927837
507.1868,0.1907869
509.1152,0.1881364
511.0437,0.1855361
512.9722,0.1834758
514.9006,0.1803464
516.8291,0.1769142
518.7576,0.1735122
520.686,0.1702423
522.6145,0.1677079
524.543,0.1648123
526.4714,0.1615943
528.3999,0.1579616
530.3284,0.1537139
532.2568,0.1483099
534.1853,0.1423214
536.1138,0.1366984
538.0422,0.1307314
539.9707,0.1243421
541.8992,0.1184049
543.8276,0.1117915
545.7561,0.1055734
547.6846,0.10062
549.613,0.09554538
551.5415,0.09042796
553.47,0.08598436
555.3984,0.0815667
557.3269,0.07733477
559.2554,0.0736298
561.1838,0.07050259
563.1123,0.06808963
565.0408,0.06539854
566.9692,0.06259507
568.8977,0.06027784
570.8262,0.05819774
572.7546,0.05626319
574.6831,0.05480272
576.6116,0.05386927
578.54,0.05336689
580.4685,0.05336615
582.397,0.05351501
584.3254,0.05403046
586.2539,0.05482265
588.1824,0.05550308
590.1108,0.05679813
592.0393,0.05853156
593.9678,0.05979377
595.8962,0.06158016
597.8247,0.06369444
599.7532,0.06575156
601.6816,0.06773271
603.6101,0.06923858
605.5386,0.07071347
607.467,0.07173052
609.3955,0.07271232
611.324,0.07349963
613.2524,0.07380413
615.1809,0.07377909
617.1094,0.07360829
619.0378,0.07344729
620.9663,0.07323817
622.8948,0.07293608
624.8232,0.0726199
626.7517,0.07235973
628.6802,0.07222787
630.6086,0.07199841
632.5371,0.07143281
634.4656,0.07116192
636.394,0.07104153
638.3225,0.07061494
640.251,0.07048517
642.1794,0.07068043
644.1079,0.07113679
646.0364,0.07212999
647.9648,0.0735215
649.8933,0.07488393
651.8218,0.07645687
653.7502,0.07820025
655.6787,0.07983037
657.6072,0.08147816
659.5356,0.08285243
661.4641,0.08410866
663.3926,0.08588625
665.321,0.08786141
667.2495,0.08942209
669.178,0.090074
671.1064,0.08977024
673.0349,0.0888519
674.9634,0.08728458
676.8918,0.08502903
678.8203,0.08270755
680.7488,0.08055856
682.6772,0.07890844
684.6057,0.07750898
686.5342,0.07632242
688.4626,0.07564242
690.3911,0.07517067
692.3196,0.07426406
694.248,0.0730884
696.1765,0.07178374
698.105,0.07020485
700.0334,0.06872214
701.9619,0.0674505
703.8904,0.06615243
705.8188,0.06526361
707.7473,0.06528478
709.6758,0.06641223
711.6042,0.06774766
713.5327,0.0687497
715.4612,0.06991132
717.3896,0.07154062
719.3181,0.07352285
721.2466,0.07540391
723.175,0.07727855
725.1035,0.07909494
727.032,0.08019114
728.9604,0.08024487
730.8889,0.07971722
732.8174,0.07889191
734.7458,0.07770431
736.6743,0.07632139
738.6028,0.0751899
740.5313,0.07494722
742.4597,0.07509169
744.3882,0.07508271
746.3167,0.07541114
748.2451,0.07598391
750.1736,0.07698097
752.1021,0.07839437
754.0305,0.080151
755.959,0.08181353
757.8875,0.08350319
759.8159,0.08580934
761.7444,0.08860347
763.6729,0.09129649
765.6013,0.09386382
767.5298,0.09663627
769.4583,0.09932783
771.3867,0.1020852
773.3152,0.1049882
775.2437,0.1077518
777.1721,0.1101635
779.1006,0.1121566
781.0291,0.1141378
782.9575,0.1159925
784.886,0.1173745
786.8145,0.1181196
788.7429,0.1182549
790.6714,0.1182805
792.5999,0.1178526
794.5283,0.1167925
796.4568,0.1155468
798.3853,0.1142857
800.3137,0.1124493
802.2422,0.1104555
804.1707,0.1090191
806.0991,0.1082104
808.0276,0.1082974
809.9561,0.1087913
811.8845,0.110117
813.813,0.1123116
815.7415,0.1152035
817.6699,0.118668
819.5984,0.1229068
821.5269,0.1279076
823.4553,0.1336323
825.3838,0.1398276
827.3123,0.1466874
829.2407,0.1542213
831.1692,0.1622377
833.0977,0.1708406
835.0261,0.1801307
836.9546,0.1893888
838.8831,0.1990801
840.8115,0.2087984
842.74,0.2184679
844.6685,0.2283633
846.5969,0.2376505
848.5254,0.2460439
850.4539,0.2538238
852.3823,0.2609861
854.3108,0.2670414
856.2393,0.2727762
858.1677,0.2777824
860.0962,0.2813571
862.0247,0.2841543
863.9531,0.2866569
865.8816,0.2883034
867.8101,0.2895898
869.7385,0.2909408
871.667,0.292487
873.5955,0.2939614
875.5239,0.2953813
877.4524,0.2978939
879.3809,0.301153
881.3093,0.3048789
883.2378,0.3092089
885.1663,0.3135394
887.0947,0.3182663
889.0232,0.3235665
890.9517,0.3295426
892.8801,0.3359209
894.8085,0.3425039
896.737,0.349529
898.6655,0.3561755
900.5939,0.3625686
902.5224,0.3684293
904.4509,0.3735605
906.3793,0.3782549
908.3078,0.3822967
910.2363,0.3855118
912.1647,0.3873282
914.0932,0.3887035
916.0217,0.3898934
917.9501,0.3904917
919.8786,0.3909666
921.8071,0.3912776
923.7355,0.3909289
925.664,0.3898234
927.5925,0.3878382
929.5209,0.3850423
931.4494,0.3819665
933.3779,0.3789473
935.3063,0.3752987
937.2348,0.3710503
939.1633,0.3666221
941.0917,0.3621378
943.0202,0.3574654
944.9487,0.3525572
946.8771,0.3477249
948.8056,0.3430122
950.7341,0.3382416
952.6625,0.3339146
954.591,0.3298124
956.5195,0.3254942
958.4479,0.3212866
960.3764,0.3171022
962.3049,0.3126452
964.2333,0.3080631
966.1618,0.303211
968.0903,0.2980639
970.0187,0.2923686
971.9472,0.2861726
973.8757,0.2798787
975.8041,0.2730989
977.7326,0.2656969
979.6611,0.2581119
981.5895,0.2503881
983.518,0.2423035
985.4465,0.2344195
987.3749,0.2267324
989.3034,0.2190564
991.2319,0.2116238
993.1603,0.2046106
995.0888,0.1978484
997.0173,0.1914356
998.9457,0.1858701
1000.874,0.1810759
1002.803,0.1766859
1004.731,0.1729311
1006.66,0.1696984
1008.588,0.1671098
1010.517,0.1654077
1012.445,0.1640486
1014.373,0.1628804
1016.302,0.1619311
1018.23,0.1610583
1020.159,0.1602596
1022.087,0.1596766
1024.016,0.1589167
1025.944,0.1580137
1027.873,0.1571867
1029.801,0.1562495
1031.73,0.1551895
1033.658,0.1540958
1035.587,0.152933
1037.515,0.1517721
1039.444,0.1507025
1041.372,0.1492793
1043.301,0.1476796
1045.229,0.1458384
1047.157,0.1436224
1049.086,0.1408992
1051.014,0.1377018
1052.943,0.134486
1054.871,0.1312454
1056.8,0.1279715
1058.728,0.1246841
1060.657,0.1214148
1062.585,0.1181283
1064.514,0.115125
1066.442,0.1123988
1068.371,0.10938
1070.299,0.1065882
1072.228,0.1041078
1074.156,0.1015424
1076.084,0.09872419
1078.013,0.09599792
1079.941,0.09308527
1081.87,0.08998811
1083.798,0.08709098
1085.727,0.0839394
1087.655,0.08081204
1089.584,0.07754785
1091.512,0.07414714
1093.441,0.07067842
1095.369,0.06712208
1097.298,0.06368153
1099.226,0.06065199
1101.155,0.05783872
1103.083,0.05515288
1105.011,0.05248269
1106.94,0.0496211
1108.868,0.04676113
1110.797,0.04393392
1112.725,0.04120577
1114.654,0.03813986
1116.582,0.0350123
1118.511,0.03215905
1120.439,0.02958854
1122.368,0.02693199
1124.296,0.02442166
1126.225,0.02240133
1128.153,0.02058808
1130.082,0.01898074
1132.01,0.01763691
1133.938,0.01650193
1135.867,0.01549142
1137.795,0.0146303
1139.724,0.01392173
1141.652,0.01318754
1143.581,0.01255915
1145.509,0.01206329
1147.438,0.01160421
1149.366,0.01109295
1151.295,0.01067575
1153.223,0.01045224
1155.152,0.01024127
1157.08,0.01000291
1159.009,0.009592701
1160.937,0.009256916
1162.865,0.008975426
1164.794,0.008702527
1166.722,0.008333913
1168.651,0.008065049
1170.579,0.00788472
1172.508,0.007618504
1174.436,0.007411137
1176.365,0.007239069
1178.293,0.007149842
1180.222,0.00710832
1182.15,0.006902282
1184.079,0.006680364
1186.007,0.006619122
1187.936,0.006424181
1189.864,0.006076298
1191.792,0.005883764
1193.721,0.005964913
1195.649,0.005951865
1197.578,0.0057239
1199.506,0.005713231
1201.435,0.005646729
1203.363,0.005445599
1205.292,0.005280199
1207.22,0.005249864
1209.149,0.005329935
1211.077,0.005250558
1213.006,0.005121531
1214.934,0.005065107
1216.863,0.004970023
1218.791,0.004926275
1220.719,0.005033323
1222.648,0.005023311
1224.576,0.004987928
1226.505,0.004986552
1228.433,0.004792353
1230.362,0.00455856
1232.29,0.004614819
1234.219,0.00474002
1236.147,0.00473311
1238.076,0.004721303
1240.004,0.004560686
1241.933,0.004301931
1243.861,0.004333958
1245.79,0.004512742
1247.718,0.00453427
1249.646,0.00451762
1251.575,0.004516012
1253.503,0.004493302
1255.432,0.004589404
1257.36,0.004647832
1259.289,0.004503885
1261.217,0.004377964
1263.146,0.004532935
1265.074,0.00465334
1267.003,0.004734098
1268.931,0.004856306
1270.86,0.004800694
1272.788,0.004854766
1274.717,0.004852007
1276.645,0.004711296
1278.573,0.004575817
1280.502,0.004719652
1282.43,0.004784292
1284.359,0.004729629
1286.287,0.004651841
1288.216,0.004611967
1290.144,0.00479123
1292.073,0.004775314
1294.001,0.004651129
1295.93,0.004739719
1297.858,0.004799598
1299.787,0.004857506
1301.715,0.004916582
1303.644,0.004913897
1305.572,0.004746409
1307.5,0.004762143
1309.429,0.004836241
1311.357,0.004889017
1313.286,0.004917129
1315.214,0.004837363
1317.143,0.004863393
1319.071,0.005024285
1321.0,0.005157144
1322.928,0.005161638
1324.857,0.005036892
1326.785,0.004991479
