x,y
399.1926,0.0
401.1211,0.1978723
403.0496,0.1988682
404.978,0.1978341
406.9065,0.1990779
408.835,0.1978208
410.7634,0.1959907
412.6919,0.1952038
414.6204,0.1972978
416.5488,0.2008788
418.4773,0.2070243
420.4058,0.2091977
422.3342,0.203758
424.2627,0.1979718
426.1912,0.1964581
428.1196,0.1928711
430.0481,0.1906085
431.9766,0.1964562
433.905,0.2029947
435.8335,0.2066438
437.762,0.2113921
439.6904,0.2161328
441.6189,0.2186441
443.5474,0.2202711
445.4758,0.2210371
447.4043,0.2207432
449.3328,0.2227408
451.2612,0.2246085
453.1897,0.2253546
455.1182,0.2257512
457.0466,0.2264875
458.9751,0.2261539
460.9036,0.2259923
462.832,0.2263324
464.7605,0.2257668
466.689,0.2252458
468.6174,0.2245328
470.5459,0.2227206
472.4744,0.2215619
474.4028,0.2207456
476.3313,0.2201199
478.2598,0.2191633
480.1882,0.2178899
482.1167,0.2159425
484.0452,0.2141186
485.9736,0.2129879
487.9021,0.2118063
489.8306,0.2101914
491.759,0.208473
493.6875,0.2068913
495.616,0.2052423
497.5444,0.2039665
499.4729,0.2036865
501.4014,0.2030221
503.3298,0.2008884
505.2583,0.1976666
507.1868,0.1956948
509.1152,0.1940378
511.0437,0.1915176
512.9722,0.1895457
514.9006,0.1869059
516.8291,0.1843369
518.7576,0.1825385
520.686,0.1805842
522.6145,0.178786
524.543,0.1781449
526.4714,0.1785004
528.3999,0.1798448
530.3284,0.1815436
532.2568,0.182689
534.1853,0.1833639
536.1138,0.1830062
538.0422,0.1828174
539.9707,0.1825003
541.8992,0.1825189
543.8276,0.1831377
545.7561,0.1842685
547.6846,0.1861603
549.613,0.1893342
551.5415,0.19288
553.47,0.1962781
555.3984,0.2020072
557.3269,0.2079303
559.2554,0.2132746
561.1838,0.217953
563.1123,0.2211191
565.0408,0.223842
566.9692,0.2249748
568.8977,0.225021
570.8262,0.2245101
572.7546,0.2220497
574.6831,0.2191939
576.6116,0.2164142
578.54,0.2136573
580.4685,0.2109702
582.397,0.2081313
584.3254,0.2051312
586.2539,0.202077
588.1824,0.1996047
590.1108,0.1966567
592.0393,0.1931223
593.9678,0.1903255
595.8962,0.1876956
597.8247,0.1847185
599.7532,0.1817528
601.6816,0.1790465
603.6101,0.1758617
605.5386,0.1720925
607.467,0.1683239
609.3955,0.1650047
611.324,0.1611495
613.2524,0.1567659
615.1809,0.1527245
617.1094,0.1488666
619.0378,0.1442251
620.9663,0.1397372
622.8948,0.135327
624.8232,0.1307046
626.7517,0.1258435
628.6802,0.1211306
630.6086,0.1163193
632.5371,0.1113951
634.4656,0.1067344
636.394,0.1027258
638.3225,0.0987072
640.251,0.09436283
642.1794,0.09056787
644.1079,0.08698332
646.0364,0.08344474
647.9648,0.08017629
649.8933,0.07754707
651.8218,0.07495677
653.7502,0.07267915
655.6787,0.0706543
657.6072,0.06837743
659.5356,0.06625313
661.4641,0.06485778
663.3926,0.06315506
665.321,0.06155674
667.2495,0.0604529
669.178,0.05948456
671.1064,0.05874749
673.0349,0.05818422
674.9634,0.05747225
676.8918,0.05656606
678.8203,0.05568181
680.7488,0.05465625
682.6772,0.05303948
684.6057,0.05128954
686.5342,0.04941901
688.4626,0.04711642
690.3911,0.04493783
692.3196,0.04311321
694.248,0.0413362
696.1765,0.03986785
698.105,0.03861092
700.0334,0.03771288
701.9619,0.03718661
703.8904,0.03675605
705.8188,0.03625169
707.7473,0.03603394
709.6758,0.03637723
711.6042,0.03639517
713.5327,0.03659929
715.4612,0.03705746
717.3896,0.03731478
719.3181,0.03777755
721.2466,0.03848245
723.175,0.03894056
