x,y
399.1926,0.10068
401.1211,0.08662325
403.0496,0.08662325
404.978,0.07538544
406.9065,0.07149888
408.835,0.0725572
410.7634,0.06681421
412.6919,0.06610315
414.6204,0.0665324
416.5488,0.06460885
418.4773,0.06561773
420.4058,0.06659087
422.3342,0.06966898
424.2627,0.07413735
426.1912,0.07652844
428.1196,0.0770959
430.0481,0.07621272
431.9766,0.07879938
433.905,0.08305747
435.8335,0.08298968
437.762,0.08656194
439.6904,0.08918387
441.6189,0.08899443
443.5474,0.08764313
445.4758,0.08745509
447.4043,0.086234
449.3328,0.08507286
451.2612,0.08319449
453.1897,0.08504223
455.1182,0.09041767
457.0466,0.09188444
458.9751,0.09208325
460.9036,0.09358075
462.832,0.09580466
464.7605,0.09760464
466.689,0.1017759
468.6174,0.1059859
470.5459,0.1084603
472.4744,0.1134974
474.4028,0.1181381
476.3313,0.1221844
478.2598,0.1278087
480.1882,0.1351316
482.1167,0.1419131
484.0452,0.1467101
485.9736,0.1491199
487.9021,0.1468509
489.8306,0.144207
491.759,0.142347
493.6875,0.1422887
495.616,0.1445453
497.5444,0.1476462
499.4729,0.1516943
501.4014,0.1571531
503.3298,0.1658294
505.2583,0.1771765
507.1868,0.1893171
509.1152,0.2043245
511.0437,0.2193695
512.9722,0.2373606
514.9006,0.2601179
516.8291,0.2861358
518.7576,0.3162129
520.686,0.3521442
522.6145,0.3924442
524.543,0.4393281
526.4714,0.4940756
528.3999,0.5538768
530.3284,0.6106967
532.2568,0.6578026
534.1853,0.6792232
536.1138,0.6643773
538.0422,0.6283756
539.9707,0.5841188
541.8992,0.5339254
543.8276,0.4803748
545.7561,0.4278625
547.6846,0.3803703
549.613,0.3402143
551.5415,0.3090576
553.47,0.2889085
555.3984,0.2818321
557.3269,0.2894146
559.2554,0.3085264
561.1838,0.3275421
563.1123,0.3327107
565.0408,0.3170873
566.9692,0.2840534
568.8977,0.2446636
570.8262,0.2102698
572.7546,0.1842582
574.6831,0.1664532
576.6116,0.1577591
578.54,0.1552597
580.4685,0.1561686
582.397,0.1604715
584.3254,0.1680597
586.2539,0.178633
588.1824,0.1925559
590.1108,0.2102306
592.0393,0.2304155
593.9678,0.2519658
595.8962,0.2737986
597.8247,0.2925889
599.7532,0.3031229
601.6816,0.3024544
603.6101,0.2899721
605.5386,0.2692561
607.467,0.2448405
609.3955,0.2216393
611.324,0.2029098
613.2524,0.1894696
615.1809,0.1827149
617.1094,0.1822639
619.0378,0.1852061
620.9663,0.1915758
622.8948,0.2010247
624.8232,0.2116623
626.7517,0.2237388
628.6802,0.2345838
630.6086,0.2411241
632.5371,0.242011
634.4656,0.2377876
636.394,0.2286434
638.3225,0.2138184
640.251,0.1947319
642.1794,0.1745701
644.1079,0.1547861
646.0364,0.1353518
647.9648,0.1176447
649.8933,0.1029032
651.8218,0.09112646
653.7502,0.08134651
655.6787,0.07372189
657.6072,0.06856028
659.5356,0.06439905
661.4641,0.06079659
663.3926,0.05722842
665.321,0.05436936
667.2495,0.05219027
669.178,0.05093803
671.1064,0.04974104
673.0349,0.04869698
674.9634,0.04780669
676.8918,0.04689891
678.8203,0.04664281
680.7488,0.04654245
682.6772,0.04584737
684.6057,0.04568891
686.5342,0.04589634
688.4626,0.0461995
690.3911,0.04631822
692.3196,0.04676199
694.248,0.04710914
696.1765,0.04720842
698.105,0.04767063
700.0334,0.0482816
701.9619,0.04838793
703.8904,0.04920734
705.8188,0.05010616
707.7473,0.05080586
709.6758,0.05162978
711.6042,0.05245572
713.5327,0.05332023
715.4612,0.05424395
717.3896,0.05532158
719.3181,0.05648207
721.2466,0.05759781
723.175,0.05874741
725.1035,0.06009504
727.032,0.061258
728.9604,0.06317355
730.8889,0.0653182
732.8174,0.06739663
734.7458,0.06950209
736.6743,0.07202605
738.6028,0.07452465
740.5313,0.0772269
742.4597,0.0803875
744.3882,0.08374429
746.3167,0.08683853
748.2451,0.09075499
750.1736,0.09508832
752.1021,0.09996225
754.0305,0.1055548
755.959,0.1117383
757.8875,0.1186555
759.8159,0.1265634
761.7444,0.1351292
763.6729,0.1447095
765.6013,0.1552249
767.5298,0.1653357
769.4583,0.1750734
771.3867,0.1837307
773.3152,0.1900087
775.2437,0.1927144
777.1721,0.191448
779.1006,0.1864741
781.0291,0.1782989
782.9575,0.1681432
784.886,0.1566514
786.8145,0.1454035
788.7429,0.1358256
790.6714,0.1271755
792.5999,0.1193457
794.5283,0.1132776
796.4568,0.1088662
798.3853,0.1054906
800.3137,0.1031251
802.2422,0.1015465
804.1707,0.1007719
806.0991,0.1007947
808.0276,0.1010141
809.9561,0.1020468
811.8845,0.1040314
813.813,0.1060944
815.7415,0.108934
817.6699,0.1130422
819.5984,0.1174516
821.5269,0.1224576
823.4553,0.1277252
825.3838,0.1339795
827.3123,0.1415321
829.2407,0.1501777
831.1692,0.1594327
833.0977,0.1695586
835.0261,0.180801
836.9546,0.1917894
838.8831,0.2021704
840.8115,0.2116728
842.74,0.2192958
844.6685,0.2229595
846.5969,0.2219857
848.5254,0.2169533
850.4539,0.2082409
852.3823,0.1968304
854.3108,0.1840835
856.2393,0.1711536
858.1677,0.1594905
860.0962,0.1499619
862.0247,0.1426764
863.9531,0.1378587
865.8816,0.135113
867.8101,0.1341675
869.7385,0.1358281
871.667,0.1390683
873.5955,0.1429287
875.5239,0.1478166
877.4524,0.153723
879.3809,0.1603956
881.3093,0.1681371
883.2378,0.1767389
885.1663,0.1862739
887.0947,0.1970223
889.0232,0.207791
890.9517,0.2192626
892.8801,0.2308647
894.8085,0.2414544
896.737,0.2509151
