x,y
399.1926,0.07533269
401.1211,0.09007581
403.0496,0.09050885
404.978,0.09192643
406.9065,0.09656825
408.835,0.1035534
410.7634,0.1096538
412.6919,0.1154351
414.6204,0.118577
416.5488,0.1219552
418.4773,0.1243965
420.4058,0.1281772
422.3342,0.1304878
424.2627,0.1286123
426.1912,0.1245047
428.1196,0.1230298
430.0481,0.1182744
431.9766,0.1142685
433.905,0.1137418
435.8335,0.1130035
437.762,0.1116016
439.6904,0.1131952
441.6189,0.1153053
443.5474,0.1163584
445.4758,0.1179008
447.4043,0.1201914
449.3328,0.1221121
451.2612,0.1240227
453.1897,0.125645
455.1182,0.1291438
457.0466,0.1346101
458.9751,0.1396104
460.9036,0.1436978
462.832,0.1477452
464.7605,0.1516258
466.689,0.1552097
468.6174,0.1604327
470.5459,0.1656681
472.4744,0.1717297
474.4028,0.1787584
476.3313,0.1862956
478.2598,0.1949929
480.1882,0.2042973
482.1167,0.2147823
484.0452,0.2252251
485.9736,0.2323124
487.9021,0.2352634
489.8306,0.2351507
491.759,0.2320728
493.6875,0.2275852
495.616,0.2237336
497.5444,0.2195433
499.4729,0.2145638
501.4014,0.2101298
503.3298,0.2041038
505.2583,0.1980318
507.1868,0.1909032
509.1152,0.1823176
511.0437,0.174304
512.9722,0.1674547
514.9006,0.1603934
516.8291,0.155034
518.7576,0.1509844
520.686,0.147908
522.6145,0.1464365
524.543,0.146409
526.4714,0.1453019
528.3999,0.1441606
530.3284,0.1439598
532.2568,0.1417364
534.1853,0.1369806
536.1138,0.1316068
538.0422,0.1255462
539.9707,0.1211789
541.8992,0.1170322
543.8276,0.1124579
545.7561,0.1101562
547.6846,0.1078137
549.613,0.1042886
551.5415,0.1001055
553.47,0.09639752
555.3984,0.09284616
557.3269,0.08992098
559.2554,0.08877502
561.1838,0.08906152
563.1123,0.09025533
565.0408,0.09334093
566.9692,0.09704959
568.8977,0.1000162
570.8262,0.1016716
572.7546,0.101107
574.6831,0.09760116
576.6116,0.09227524
578.54,0.08688529
580.4685,0.08165208
582.397,0.07775886
584.3254,0.07601383
586.2539,0.07476342
588.1824,0.0739749
590.1108,0.07284471
592.0393,0.07185029
593.9678,0.07166659
595.8962,0.07164615
597.8247,0.06986218
599.7532,0.0677436
601.6816,0.06564454
603.6101,0.06319695
605.5386,0.06015547
607.467,0.05701491
609.3955,0.05468759
611.324,0.05281876
613.2524,0.05154706
615.1809,0.05040415
617.1094,0.04955387
619.0378,0.04922489
620.9663,0.0490506
622.8948,0.04922839
624.8232,0.04897451
626.7517,0.04910069
628.6802,0.04964228
630.6086,0.05023761
632.5371,0.05103752
634.4656,0.05145803
636.394,0.05128857
638.3225,0.05153413
640.251,0.05200248
642.1794,0.05250632
644.1079,0.05330318
646.0364,0.05409778
647.9648,0.05427714
649.8933,0.05462917
651.8218,0.05473139
653.7502,0.05448836
655.6787,0.05480812
657.6072,0.05566676
659.5356,0.05651499
661.4641,0.05742845
663.3926,0.05863755
665.321,0.06023975
667.2495,0.06230362
669.178,0.06464744
671.1064,0.06733738
673.0349,0.06984642
674.9634,0.07332393
676.8918,0.07759564
678.8203,0.08218025
680.7488,0.08723924
682.6772,0.09306614
684.6057,0.0993367
686.5342,0.1057841
688.4626,0.112184
690.3911,0.1178041
692.3196,0.1231131
694.248,0.1271722
696.1765,0.1274906
698.105,0.1241416
700.0334,0.1184145
701.9619,0.1123424
703.8904,0.1079456
705.8188,0.1054466
707.7473,0.1048585
709.6758,0.1055565
711.6042,0.107531
713.5327,0.1102754
715.4612,0.1124465
717.3896,0.1136701
719.3181,0.1144138
721.2466,0.1140036
723.175,0.1133935
725.1035,0.1137045
727.032,0.1152391
728.9604,0.1175495
730.8889,0.1195652
732.8174,0.1219635
734.7458,0.124773
736.6743,0.1276286
738.6028,0.1306791
740.5313,0.133608
742.4597,0.1365464
744.3882,0.1387252
746.3167,0.1398124
748.2451,0.1399654
750.1736,0.1404891
752.1021,0.1419885
754.0305,0.1445616
755.959,0.1482875
757.8875,0.1537532
759.8159,0.1597815
761.7444,0.1661589
763.6729,0.1734732
765.6013,0.1814087
767.5298,0.1898829
769.4583,0.1984579
771.3867,0.2072893
773.3152,0.2163477
775.2437,0.2260631
777.1721,0.2366726
779.1006,0.2463781
781.0291,0.2542088
782.9575,0.26008
784.886,0.2633826
786.8145,0.2626541
788.7429,0.2566122
790.6714,0.2455317
792.5999,0.2308527
794.5283,0.2153898
796.4568,0.2013067
798.3853,0.1893561
800.3137,0.1802499
802.2422,0.1744857
804.1707,0.171412
806.0991,0.1710361
808.0276,0.1730547
809.9561,0.1764061
811.8845,0.1816945
813.813,0.1882703
815.7415,0.1957469
817.6699,0.2038298
819.5984,0.2125239
821.5269,0.2218228
823.4553,0.2313469
825.3838,0.2406592
827.3123,0.2502096
829.2407,0.2603526
831.1692,0.2707829
833.0977,0.2803908
835.0261,0.2904752
836.9546,0.3008979
838.8831,0.3107024
840.8115,0.3198276
842.74,0.3292131
844.6685,0.3383789
846.5969,0.3474215
848.5254,0.3546645
850.4539,0.3591973
852.3823,0.3624392
854.3108,0.3651239
856.2393,0.3674764
858.1677,0.3704373
860.0962,0.3737692
862.0247,0.3769176
863.9531,0.3809492
865.8816,0.3848902
867.8101,0.3893806
869.7385,0.3947597
871.667,0.399609
873.5955,0.4041051
875.5239,0.4082668
877.4524,0.4113758
879.3809,0.4133331
881.3093,0.4144904
883.2378,0.415334
885.1663,0.41605
887.0947,0.4159851
889.0232,0.4162048
890.9517,0.4165709
892.8801,0.4165978
894.8085,0.4170808
896.737,0.4166844
898.6655,0.4148064
900.5939,0.4130065
902.5224,0.410737
904.4509,0.4081737
906.3793,0.4048891
908.3078,0.4006529
910.2363,0.3965934
912.1647,0.3923373
914.0932,0.3879243
916.0217,0.3836527
917.9501,0.3789587
919.8786,0.3748538
921.8071,0.3713505
923.7355,0.3683292
925.664,0.365707
927.5925,0.3633798
929.5209,0.3617708
931.4494,0.3608895
933.3779,0.3595744
935.3063,0.358113
937.2348,0.3566041
939.1633,0.3543338
941.0917,0.3511999
943.0202,0.3476394
944.9487,0.3435232
946.8771,0.3385783
948.8056,0.3332772
950.7341,0.3283613
952.6625,0.3228944
954.591,0.3175211
956.5195,0.3123655
958.4479,0.3075027
960.3764,0.3031903
962.3049,0.2996189
964.2333,0.2971339
966.1618,0.2957042
968.0903,0.2942053
970.0187,0.293271
971.9472,0.2931548
973.8757,0.2934764
975.8041,0.2945227
977.7326,0.2960099
979.6611,0.2970414
981.5895,0.298151
983.518,0.2996412
985.4465,0.3011769
987.3749,0.3017989
989.3034,0.301531
991.2319,0.3007903
993.1603,0.2986809
995.0888,0.2960177
997.0173,0.2929513
998.9457,0.2892085
1000.874,0.2859511
1002.803,0.2826644
1004.731,0.2788934
1006.66,0.2754737
1008.588,0.2717873
1010.517,0.2677927
1012.445,0.2638121
1014.373,0.2598433
1016.302,0.2555326
1018.23,0.2510097
1020.159,0.2470497
1022.087,0.2437706
1024.016,0.2418384
1025.944,0.241191
1027.873,0.24134
1029.801,0.2424094
1031.73,0.2446217
1033.658,0.2473621
1035.587,0.2495404
1037.515,0.2504177
1039.444,0.2498256
1041.372,0.2482176
1043.301,0.2455033
1045.229,0.2412977
1047.157,0.2364383
1049.086,0.2312966
1051.014,0.2256512
1052.943,0.2198364
1054.871,0.2141301
1056.8,0.2084488
1058.728,0.2029106
1060.657,0.1977545
1062.585,0.1930578
1064.514,0.1884771
1066.442,0.184864
1068.371,0.1817703
1070.299,0.1785219
1072.228,0.1756437
1074.156,0.1726637
1076.084,0.1696543
1078.013,0.1670548
1079.941,0.1645764
1081.87,0.1626381
1083.798,0.1608108
1085.727,0.159597
1087.655,0.1585732
1089.584,0.1574543
1091.512,0.1566431
1093.441,0.1558473
1095.369,0.1549098
1097.298,0.1535864
1099.226,0.1517304
1101.155,0.1494491
1103.083,0.1465455
1105.011,0.1432406
1106.94,0.1394271
1108.868,0.135159
1110.797,0.1307461
1112.725,0.1259498
1114.654,0.1209104
1116.582,0.1161762
1118.511,0.1119339
1120.439,0.1076523
1122.368,0.1030381
1124.296,0.09859597
1126.225,0.09502438
1128.153,0.09143703
1130.082,0.08804558
1132.01,0.08534247
1133.938,0.08299798
1135.867,0.08078088
1137.795,0.07908323
1139.724,0.07794216
1141.652,0.07695646
1143.581,0.07668056
1145.509,0.07718968
1147.438,0.07782459
1149.366,0.07901422
1151.295,0.08072594
1153.223,0.08211082
1155.152,0.08346833
1157.08,0.08476892
1159.009,0.08588825
1160.937,0.08648252
1162.865,0.08666354
1164.794,0.08639101
1166.722,0.08588827
1168.651,0.08549978
1170.579,0.08490618
1172.508,0.08395759
1174.436,0.08300459
1176.365,0.08186614
1178.293,0.08079915
1180.222,0.07953648
1182.15,0.07766259
1184.079,0.07514074
1186.007,0.07228702
1187.936,0.06871583
1189.864,0.06479734
1191.792,0.06071205
1193.721,0.05648307
1195.649,0.05234618
1197.578,0.04848574
1199.506,0.04497131
1201.435,0.04163495
1203.363,0.03868892
1205.292,0.03590034
1207.22,0.03348646
1209.149,0.03199186
1211.077,0.03050084
1213.006,0.0289276
1214.934,0.02736606
1216.863,0.02635036
1218.791,0.02528889
1220.719,0.02423458
1222.648,0.02366405
1224.576,0.0231312
1226.505,0.02253442
1228.433,0.02199892
1230.362,0.02140558
1232.29,0.02072146
1234.219,0.02025132
1236.147,0.0197322
1238.076,0.01907287
1240.004,0.01863873
1241.933,0.01833661
1243.861,0.01815521
1245.79,0.01765555
1247.718,0.0173161
1249.646,0.01721236
1251.575,0.01667862
1253.503,0.01613167
1255.432,0.01554795
1257.36,0.01511271
1259.289,0.01470641
1261.217,0.0144105
1263.146,0.01432362
1265.074,0.01421509
1267.003,0.01398079
1268.931,0.0135776
1270.86,0.01309458
1272.788,0.01275467
1274.717,0.01241493
1276.645,0.01199364
1278.573,0.01171797
1280.502,0.01164838
1282.43,0.01142771
1284.359,0.01096741
1286.287,0.01073609
1288.216,0.0106529
1290.144,0.01042352
1292.073,0.01036164
1294.001,0.01022697
1295.93,0.009982618
1297.858,0.009980534
1299.787,0.009987736
1301.715,0.009980693
1303.644,0.009772403
1305.572,0.009734662
1307.5,0.00993202
1309.429,0.00995466
1311.357,0.01023252
1313.286,0.01054071
1315.214,0.01050998
1317.143,0.01056722
1319.071,0.0106644
1321.0,0.01068886
1322.928,0.01084851
1324.857,0.01120078
1326.785,0.01175062
1328.714,0.01217336
1330.642,0.01244785
1332.571,0.01328765
1334.499,0.01370385
1336.427,0.01383874
1338.356,0.01435231
1340.284,0.01507883
1342.213,0.01585856
1344.141,0.016676
1346.07,0.01731094
1347.998,0.01828292
1349.927,0.01923354
1351.855,0.01970248
1353.784,0.02026191
1355.712,0.02084353
1357.641,0.02123285
1359.569,0.02181377
1361.498,0.02231871
1363.426,0.02268082
1365.354,0.02298499
1367.283,0.02299989
1369.211,0.02298244
1371.14,0.02273678
1373.068,0.02228476
1374.997,0.0219004
1376.925,0.02149359
1378.854,0.020925
1380.782,0.02017829
1382.711,0.0191117
1384.639,0.01827925
1386.568,0.01775325
1388.496,0.0166047
1390.424,0.01563433
1392.353,0.01503399
1394.281,0.01447298
1396.21,0.0138029
1398.138,0.01311282
1400.067,0.01245234
1401.995,0.01201448
1403.924,0.01181398
1405.852,0.01164283
1407.781,0.01116327
1409.709,0.01056593
1411.638,0.01035562
1413.566,0.01016978
1415.495,0.009843471
1417.423,0.009775375
1419.351,0.009600014
1421.28,0.009438735
1423.208,0.009332324
1425.137,0.009374597
1427.065,0.00933491
1428.994,0.009095609
