x,y
399.1926,0.02685312
401.1211,0.02407047
403.0496,0.02418619
404.978,0.02588787
406.9065,0.02587361
408.835,0.02438128
410.7634,0.02443686
412.6919,0.02751632
414.6204,0.02627623
416.5488,0.02504352
418.4773,0.02369385
420.4058,0.02151284
422.3342,0.0189429
424.2627,0.01759337
426.1912,0.01739659
428.1196,0.01685988
430.0481,0.01635701
431.9766,0.01698278
433.905,0.0170165
435.8335,0.0163893
437.762,0.01540055
439.6904,0.01606141
441.6189,0.01674723
443.5474,0.01614291
445.4758,0.01572772
447.4043,0.01594989
449.3328,0.01450801
451.2612,0.01351843
453.1897,0.01422261
455.1182,0.01479728
457.0466,0.01511483
458.9751,0.01557498
460.9036,0.01513649
462.832,0.01480515
464.7605,0.01529524
466.689,0.01546039
468.6174,0.01498687
470.5459,0.0160567
472.4744,0.01687643
474.4028,0.01599742
476.3313,0.01522475
478.2598,0.01480417
480.1882,0.01437532
482.1167,0.01436445
484.0452,0.0148611
485.9736,0.01558058
487.9021,0.01574855
489.8306,0.01578445
491.759,0.0163049
493.6875,0.01678781
495.616,0.01666141
497.5444,0.01700431
499.4729,0.01723726
501.4014,0.01687881
503.3298,0.016727
505.2583,0.01734812
507.1868,0.01780733
509.1152,0.01820313
511.0437,0.01937811
512.9722,0.01993079
514.9006,0.02023114
516.8291,0.02065083
518.7576,0.02058223
520.686,0.02109445
522.6145,0.02215112
524.543,0.02254595
526.4714,0.02293004
528.3999,0.02412282
530.3284,0.02478393
532.2568,0.02547899
534.1853,0.02642888
536.1138,0.02787272
538.0422,0.02912206
539.9707,0.03014565
541.8992,0.03134358
543.8276,0.03278471
545.7561,0.03354025
547.6846,0.03473714
549.613,0.03620572
551.5415,0.0378349
553.47,0.04025584
555.3984,0.04260304
557.3269,0.04520364
559.2554,0.04892372
561.1838,0.05237814
563.1123,0.05494686
565.0408,0.05810454
566.9692,0.06221931
568.8977,0.0674806
570.8262,0.07294659
572.7546,0.0797122
574.6831,0.08801237
576.6116,0.09768372
578.54,0.1090605
580.4685,0.1229533
582.397,0.1396221
584.3254,0.1589511
586.2539,0.1824405
588.1824,0.2106454
590.1108,0.2432619
592.0393,0.2809738
593.9678,0.3215739
595.8962,0.3639679
597.8247,0.4058911
599.7532,0.4417272
601.6816,0.4634364
603.6101,0.4660311
605.5386,0.4483576
607.467,0.41328
609.3955,0.3650085
611.324,0.3128673
613.2524,0.2652394
615.1809,0.2239863
617.1094,0.1903372
619.0378,0.1652548
620.9663,0.1478557
622.8948,0.1390038
624.8232,0.1405271
626.7517,0.1512724
628.6802,0.1667837
630.6086,0.1796283
632.5371,0.1837346
634.4656,0.1784042
636.394,0.1657765
638.3225,0.1490259
640.251,0.1320243
642.1794,0.1147315
644.1079,0.09727315
646.0364,0.08053042
647.9648,0.06549768
649.8933,0.05231377
651.8218,0.04156971
653.7502,0.03334158
655.6787,0.02737252
657.6072,0.02275636
659.5356,0.01921412
661.4641,0.01652778
663.3926,0.01402467
665.321,0.01228812
667.2495,0.01104649
669.178,0.00996419
671.1064,0.009231832
673.0349,0.008576096
674.9634,0.007890197
676.8918,0.007810069
678.8203,0.007509733
680.7488,0.007261725
682.6772,0.007478924
684.6057,0.007825705
686.5342,0.008034456
688.4626,0.008136456
690.3911,0.008282963
692.3196,0.008407425
694.248,0.008735633
696.1765,0.008897605
698.105,0.009011096
700.0334,0.008916589
701.9619,0.008936841
703.8904,0.008987091
705.8188,0.009243926
707.7473,0.009802341
709.6758,0.009869573
711.6042,0.009473774
713.5327,0.009436339
715.4612,0.009823971
717.3896,0.01022103
719.3181,0.01075173
721.2466,0.01127616
723.175,0.01207785
725.1035,0.01323447
727.032,0.01448088
728.9604,0.01508111
730.8889,0.0140399
732.8174,0.01250596
734.7458,0.01158174
736.6743,0.01112127
738.6028,0.01096603
740.5313,0.01103437
742.4597,0.01124606
744.3882,0.01116452
746.3167,0.01097195
748.2451,0.01119776
750.1736,0.01160705
752.1021,0.01167061
754.0305,0.01149002
755.959,0.01151546
757.8875,0.01172757
759.8159,0.01225815
761.7444,0.01260745
763.6729,0.01272221
765.6013,0.01282564
767.5298,0.0130933
769.4583,0.01317149
771.3867,0.01360357
773.3152,0.01437344
775.2437,0.01482685
777.1721,0.01500059
779.1006,0.01509485
781.0291,0.01541499
782.9575,0.01585188
784.886,0.01614658
786.8145,0.01633241
788.7429,0.01648318
790.6714,0.01634004
792.5999,0.01649507
794.5283,0.01661967
796.4568,0.01676021
798.3853,0.0167951
800.3137,0.0171683
802.2422,0.01792921
804.1707,0.01824893
806.0991,0.01808156
808.0276,0.01799442
809.9561,0.01819594
811.8845,0.01825994
813.813,0.01864275
815.7415,0.0188982
817.6699,0.01873447
819.5984,0.01895513
821.5269,0.01941374
823.4553,0.01968819
825.3838,0.01991937
827.3123,0.01992934
829.2407,0.02002575
831.1692,0.02058633
833.0977,0.02134362
835.0261,0.0212378
836.9546,0.02092101
838.8831,0.02098867
840.8115,0.02122744
842.74,0.02158034
844.6685,0.02201764
846.5969,0.0224285
