x,y
399.1926,0.2388744
401.1211,0.2602739
403.0496,0.2615252
404.978,0.2768822
406.9065,0.282997
408.835,0.284212
410.7634,0.2911307
412.6919,0.3025778
414.6204,0.3081191
416.5488,0.3059393
418.4773,0.3053979
420.4058,0.310125
422.3342,0.3144908
424.2627,0.3177979
426.1912,0.3196042
428.1196,0.3164777
430.0481,0.3159026
431.9766,0.3151643
433.905,0.3102714
435.8335,0.3050216
437.762,0.2933222
439.6904,0.2841713
441.6189,0.2789785
443.5474,0.2649968
445.4758,0.252857
447.4043,0.2485729
449.3328,0.2406961
451.2612,0.2297367
453.1897,0.2225126
455.1182,0.2165363
457.0466,0.2108843
458.9751,0.2051787
460.9036,0.200277
462.832,0.1974777
464.7605,0.200017
466.689,0.2023827
468.6174,0.2040588
470.5459,0.2108468
472.4744,0.2175898
474.4028,0.2219783
476.3313,0.2284924
478.2598,0.2368476
480.1882,0.2451236
482.1167,0.253141
484.0452,0.2594817
485.9736,0.2646649
487.9021,0.2691896
489.8306,0.2711855
491.759,0.2710708
493.6875,0.2643434
495.616,0.2519476
497.5444,0.2370062
499.4729,0.2214429
501.4014,0.2057534
503.3298,0.1955313
505.2583,0.1986412
507.1868,0.2123828
509.1152,0.2305784
511.0437,0.2474117
512.9722,0.2590182
514.9006,0.2668827
516.8291,0.2692991
518.7576,0.2677982
520.686,0.2640863
522.6145,0.256925
524.543,0.2475478
526.4714,0.2379013
528.3999,0.2291222
530.3284,0.2183565
532.2568,0.2063555
534.1853,0.1948809
536.1138,0.1831479
538.0422,0.1713649
539.9707,0.1597594
541.8992,0.1486665
543.8276,0.1388977
545.7561,0.130646
547.6846,0.1229175
549.613,0.1153478
551.5415,0.1075038
553.47,0.1014134
555.3984,0.09605037
557.3269,0.09172096
559.2554,0.08937225
561.1838,0.08812752
563.1123,0.0878135
565.0408,0.08953462
566.9692,0.09253971
568.8977,0.09541169
570.8262,0.09727275
572.7546,0.09830027
574.6831,0.09823498
576.6116,0.09945839
578.54,0.1038368
580.4685,0.1117743
582.397,0.125495
584.3254,0.1451687
586.2539,0.1669283
588.1824,0.1843484
