x,y
399.1926,0.06921279
401.1211,0.0707679
403.0496,0.07110812
404.978,0.07043878
406.9065,0.07192972
408.835,0.07407475
410.7634,0.07232214
412.6919,0.07286019
414.6204,0.07602108
416.5488,0.07847872
418.4773,0.08069925
420.4058,0.08267114
422.3342,0.0844494
424.2627,0.08663172
426.1912,0.08711505
428.1196,0.08834951
430.0481,0.08939596
431.9766,0.09008391
433.905,0.09323271
435.8335,0.09403187
437.762,0.09424301
439.6904,0.09377933
441.6189,0.09325491
443.5474,0.09229647
445.4758,0.09027158
447.4043,0.08727224
449.3328,0.08272359
451.2612,0.07788462
453.1897,0.07383786
455.1182,0.07272899
457.0466,0.07291032
458.9751,0.07297245
460.9036,0.07224656
462.832,0.07101613
464.7605,0.07076894
466.689,0.07027399
468.6174,0.06878416
470.5459,0.0668814
472.4744,0.06625611
474.4028,0.06506895
476.3313,0.06306054
478.2598,0.06050694
480.1882,0.05805364
482.1167,0.05549271
484.0452,0.05337993
485.9736,0.05184564
487.9021,0.04973568
489.8306,0.04776157
491.759,0.04673965
493.6875,0.04608598
495.616,0.04587221
497.5444,0.04542119
499.4729,0.04523521
501.4014,0.04552255
503.3298,0.04598187
505.2583,0.04675317
507.1868,0.04696416
509.1152,0.04700799
511.0437,0.04694556
512.9722,0.04745451
514.9006,0.04854848
516.8291,0.04897659
518.7576,0.04914762
520.686,0.04992851
522.6145,0.05100008
524.543,0.05198881
526.4714,0.05310495
528.3999,0.05351008
530.3284,0.05427253
532.2568,0.05601105
534.1853,0.05725292
536.1138,0.05862004
538.0422,0.06000127
539.9707,0.06046544
541.8992,0.06135141
543.8276,0.06380762
545.7561,0.06655093
547.6846,0.06902246
549.613,0.07122131
551.5415,0.07312129
553.47,0.07576595
555.3984,0.07803635
557.3269,0.08075174
559.2554,0.08371215
561.1838,0.08629563
563.1123,0.08959507
565.0408,0.09260906
566.9692,0.09612034
568.8977,0.09991983
570.8262,0.1035891
572.7546,0.1068529
574.6831,0.1109187
576.6116,0.1156988
578.54,0.1204121
580.4685,0.1253857
582.397,0.1301569
584.3254,0.1341753
586.2539,0.1377171
588.1824,0.1409133
590.1108,0.1440329
592.0393,0.1470575
593.9678,0.149237
595.8962,0.1511302
597.8247,0.1527784
599.7532,0.1547529
601.6816,0.1579759
603.6101,0.16265
605.5386,0.1688979
607.467,0.1759929
609.3955,0.1806788
611.324,0.1805596
613.2524,0.1750901
615.1809,0.1686303
617.1094,0.1644606
619.0378,0.161531
620.9663,0.1585114
622.8948,0.1549341
624.8232,0.150414
626.7517,0.1449713
628.6802,0.1401072
630.6086,0.1384793
632.5371,0.1396999
634.4656,0.1417697
636.394,0.1413817
638.3225,0.1369962
640.251,0.130879
642.1794,0.1243328
644.1079,0.1189734
646.0364,0.1156144
647.9648,0.1132134
