x,y
399.1926,0.1349257
401.1211,0.1224435
403.0496,0.1230322
404.978,0.123159
406.9065,0.1289607
408.835,0.1401123
410.7634,0.1473157
412.6919,0.1542901
414.6204,0.1626519
416.5488,0.1666902
418.4773,0.1735419
420.4058,0.183651
422.3342,0.1894121
424.2627,0.1937045
426.1912,0.192672
428.1196,0.1825561
430.0481,0.1773728
431.9766,0.1746291
433.905,0.1693268
435.8335,0.1602371
437.762,0.146732
439.6904,0.1319648
441.6189,0.1187844
443.5474,0.1091714
445.4758,0.1026579
447.4043,0.1006923
449.3328,0.1044058
451.2612,0.1117047
453.1897,0.122321
455.1182,0.133707
457.0466,0.1456004
458.9751,0.1591838
460.9036,0.1687937
462.832,0.1692175
464.7605,0.1634771
466.689,0.1538751
468.6174,0.1424735
470.5459,0.129942
472.4744,0.1172985
474.4028,0.1056368
476.3313,0.0970543
478.2598,0.09015994
480.1882,0.08255037
482.1167,0.07548659
484.0452,0.07120483
485.9736,0.06868317
487.9021,0.06682789
489.8306,0.06730892
491.759,0.06998927
493.6875,0.07248557
495.616,0.07454097
497.5444,0.07707672
499.4729,0.07838045
501.4014,0.07866081
503.3298,0.07774778
505.2583,0.07573205
507.1868,0.07309458
509.1152,0.06943238
511.0437,0.06389458
512.9722,0.05864554
514.9006,0.05505014
516.8291,0.05129371
518.7576,0.04708828
520.686,0.0431664
522.6145,0.03902871
524.543,0.0356909
526.4714,0.0337345
528.3999,0.03244603
530.3284,0.03147283
532.2568,0.03100322
534.1853,0.03154364
536.1138,0.03193497
538.0422,0.03145478
539.9707,0.03103506
541.8992,0.03166074
543.8276,0.03270328
545.7561,0.0334374
547.6846,0.03457328
549.613,0.03571982
551.5415,0.03722873
553.47,0.03906401
555.3984,0.04164023
557.3269,0.0445155
559.2554,0.04802303
561.1838,0.05163192
563.1123,0.05597186
565.0408,0.0621917
566.9692,0.06953929
568.8977,0.07877379
570.8262,0.08913481
572.7546,0.1005183
574.6831,0.1117075
576.6116,0.1193344
578.54,0.1218183
580.4685,0.1178292
582.397,0.108081
584.3254,0.09466184
586.2539,0.08126356
588.1824,0.06982812
590.1108,0.06086527
592.0393,0.05412889
593.9678,0.05013039
595.8962,0.04895189
597.8247,0.04971968
599.7532,0.0518322
601.6816,0.05562774
603.6101,0.06102601
605.5386,0.06784067
607.467,0.07710657
609.3955,0.08765066
611.324,0.09786855
613.2524,0.1088548
615.1809,0.120392
617.1094,0.1303649
619.0378,0.13675
620.9663,0.138269
622.8948,0.133385
624.8232,0.1225504
626.7517,0.1088791
628.6802,0.09434986
