x,y
399.1926,0.1447889
401.1211,0.1440793
403.0496,0.1447719
404.978,0.1442045
406.9065,0.1440801
408.835,0.1388963
410.7634,0.1342646
412.6919,0.1369574
414.6204,0.1394146
416.5488,0.1374485
418.4773,0.1371811
420.4058,0.1437636
422.3342,0.152059
424.2627,0.1556359
426.1912,0.1589818
428.1196,0.1673916
430.0481,0.1750512
431.9766,0.1775327
433.905,0.176406
435.8335,0.1727111
437.762,0.168195
439.6904,0.1616196
441.6189,0.1554592
443.5474,0.1496127
445.4758,0.144769
447.4043,0.140626
449.3328,0.1326296
451.2612,0.1250509
453.1897,0.1198935
455.1182,0.1158594
457.0466,0.1138015
458.9751,0.1133404
460.9036,0.1154052
462.832,0.1186049
464.7605,0.1224186
466.689,0.1257915
468.6174,0.127491
470.5459,0.1281912
472.4744,0.1279326
474.4028,0.1261019
476.3313,0.1236043
478.2598,0.1214449
480.1882,0.1189735
482.1167,0.1155115
484.0452,0.1133141
485.9736,0.1124671
487.9021,0.1122751
489.8306,0.1134367
491.759,0.115188
493.6875,0.1167436
495.616,0.117165
497.5444,0.116405
499.4729,0.1148679
501.4014,0.1126425
503.3298,0.1105291
505.2583,0.1087492
507.1868,0.1061185
509.1152,0.1043531
511.0437,0.1030473
512.9722,0.1014472
514.9006,0.1005379
516.8291,0.1001033
518.7576,0.1012045
520.686,0.1030749
522.6145,0.1040006
524.543,0.1044794
526.4714,0.1059621
528.3999,0.1078507
530.3284,0.1090093
532.2568,0.1090518
534.1853,0.1081573
536.1138,0.1063336
538.0422,0.1040876
539.9707,0.1016288
541.8992,0.09761415
543.8276,0.09211468
545.7561,0.08625846
547.6846,0.08101118
549.613,0.07570848
551.5415,0.06995433
553.47,0.06481391
555.3984,0.0593876
557.3269,0.05523761
559.2554,0.05250606
561.1838,0.0494485
563.1123,0.04704105
565.0408,0.04524596
566.9692,0.0439109
568.8977,0.04312057
570.8262,0.04224522
572.7546,0.04120572
574.6831,0.04066372
576.6116,0.04037538
578.54,0.03994122
580.4685,0.03982839
582.397,0.04017503
584.3254,0.04063992
586.2539,0.04044074
588.1824,0.0407416
590.1108,0.04175479
592.0393,0.04294623
593.9678,0.04413059
595.8962,0.04521915
597.8247,0.04635841
599.7532,0.04739745
601.6816,0.04755265
603.6101,0.0466756
605.5386,0.04549458
607.467,0.04437928
609.3955,0.0431417
611.324,0.0416874
613.2524,0.03971358
615.1809,0.03785408
617.1094,0.03641089
619.0378,0.03542235
620.9663,0.03393521
622.8948,0.03294353
624.8232,0.03182941
626.7517,0.03039607
628.6802,0.02945131
630.6086,0.02879084
632.5371,0.02807191
634.4656,0.02747997
636.394,0.02701321
638.3225,0.02649321
640.251,0.02612786
642.1794,0.02633928
644.1079,0.02627922
646.0364,0.02568883
647.9648,0.02500733
649.8933,0.02491228
651.8218,0.02482508
653.7502,0.02475125
655.6787,0.02476716
657.6072,0.02503702
659.5356,0.025146
661.4641,0.02543929
663.3926,0.02587421
665.321,0.02662344
667.2495,0.02750712
669.178,0.02855704
671.1064,0.02955838
673.0349,0.03061346
674.9634,0.03165684
676.8918,0.03273509
678.8203,0.0330756
680.7488,0.03299069
682.6772,0.03308606
684.6057,0.0335719
686.5342,0.03437427
688.4626,0.03597489
690.3911,0.03824415
692.3196,0.04078092
694.248,0.04362668
696.1765,0.04631364
698.105,0.04864163
700.0334,0.0492831
701.9619,0.04709514
703.8904,0.04310613
705.8188,0.03919408
707.7473,0.03668999
709.6758,0.03542563
711.6042,0.03512032
713.5327,0.03560821
715.4612,0.03689177
717.3896,0.03862081
719.3181,0.0412476
721.2466,0.04513787
723.175,0.04949212
725.1035,0.05440433
727.032,0.05991262
728.9604,0.06491067
730.8889,0.06837127
732.8174,0.06769076
734.7458,0.06158047
736.6743,0.05181021
738.6028,0.04197107
740.5313,0.03483296
742.4597,0.02994734
744.3882,0.02650738
746.3167,0.02409505
748.2451,0.02290087
750.1736,0.02256279
752.1021,0.02249372
754.0305,0.02268894
755.959,0.0227402
757.8875,0.02327384
759.8159,0.02413018
761.7444,0.02497789
763.6729,0.02598182
