x,y
399.1926,0.1922784
401.1211,0.2034212
403.0496,0.2043992
404.978,0.2081312
406.9065,0.2136465
408.835,0.2136513
410.7634,0.2106385
412.6919,0.2175854
414.6204,0.2240452
416.5488,0.2253772
418.4773,0.2269561
420.4058,0.2289789
422.3342,0.2299315
424.2627,0.2343794
426.1912,0.2385053
428.1196,0.2413106
430.0481,0.2455681
431.9766,0.2486673
433.905,0.2479858
435.8335,0.241392
437.762,0.2346705
439.6904,0.2322571
441.6189,0.2335047
443.5474,0.2336455
445.4758,0.2300481
447.4043,0.2247425
449.3328,0.2218716
451.2612,0.2234876
453.1897,0.2235932
455.1182,0.2234572
457.0466,0.2243885
458.9751,0.2253836
460.9036,0.2283044
462.832,0.2302603
464.7605,0.2324853
466.689,0.2334434
468.6174,0.2316343
470.5459,0.2284236
472.4744,0.2238592
474.4028,0.2189129
476.3313,0.2138823
478.2598,0.2093112
480.1882,0.2041703
482.1167,0.1987998
484.0452,0.1949094
485.9736,0.1927216
487.9021,0.1911131
489.8306,0.1903713
491.759,0.190726
493.6875,0.1910472
495.616,0.1921228
497.5444,0.1942312
499.4729,0.1956274
501.4014,0.1983871
503.3298,0.2022045
505.2583,0.2047606
507.1868,0.206669
509.1152,0.2110209
511.0437,0.2155644
512.9722,0.2184291
514.9006,0.2214448
516.8291,0.2248117
518.7576,0.2275049
520.686,0.2305853
522.6145,0.2345473
524.543,0.2378256
526.4714,0.2416159
528.3999,0.242637
530.3284,0.2427101
532.2568,0.2436203
534.1853,0.2437516
536.1138,0.2433383
538.0422,0.2400811
539.9707,0.2371815
541.8992,0.2350158
543.8276,0.232373
545.7561,0.2290324
547.6846,0.2269134
549.613,0.2255287
551.5415,0.2243333
553.47,0.2231825
555.3984,0.2223765
557.3269,0.2206696
559.2554,0.2184416
561.1838,0.2181792
563.1123,0.2181199
565.0408,0.2167976
566.9692,0.2151522
568.8977,0.2147078
570.8262,0.2156827
572.7546,0.2164272
574.6831,0.2165196
576.6116,0.2165184
578.54,0.2183488
580.4685,0.2197843
582.397,0.2202009
584.3254,0.2214159
586.2539,0.2237649
588.1824,0.2261133
590.1108,0.2288303
592.0393,0.2322756
593.9678,0.236766
595.8962,0.2409036
597.8247,0.2444803
599.7532,0.2494684
601.6816,0.2553432
603.6101,0.2597784
605.5386,0.2622404
607.467,0.264001
609.3955,0.2640201
611.324,0.2619739
613.2524,0.2589153
615.1809,0.2557411
617.1094,0.2524395
619.0378,0.2467339
620.9663,0.2387739
622.8948,0.2295279
624.8232,0.2190229
626.7517,0.2080319
628.6802,0.1972533
630.6086,0.1877763
632.5371,0.1794003
634.4656,0.1728663
636.394,0.1681006
638.3225,0.1640398
640.251,0.1610572
642.1794,0.1582108
644.1079,0.1552962
646.0364,0.1525373
647.9648,0.1500703
649.8933,0.1482084
651.8218,0.1469952
653.7502,0.1450233
655.6787,0.1431909
657.6072,0.1421249
659.5356,0.1413426
661.4641,0.140477
663.3926,0.1394346
665.321,0.1388007
667.2495,0.1383556
669.178,0.1376572
671.1064,0.1370675
673.0349,0.1362733
674.9634,0.135432
676.8918,0.1344795
678.8203,0.1335558
680.7488,0.1327474
682.6772,0.1319081
684.6057,0.1309756
686.5342,0.1298786
688.4626,0.1287396
690.3911,0.1267175
692.3196,0.124966
694.248,0.1240384
696.1765,0.1225495
698.105,0.1203423
700.0334,0.1185286
701.9619,0.1159945
703.8904,0.1130043
705.8188,0.1106605
707.7473,0.1085207
709.6758,0.1061158
711.6042,0.1036451
713.5327,0.1013718
715.4612,0.09926041
717.3896,0.09736453
719.3181,0.09594857
721.2466,0.09488787
723.175,0.09383001
725.1035,0.09235235
727.032,0.09084714
728.9604,0.0902338
730.8889,0.08995612
