x,y
399.1926,0.1618021
401.1211,0.1578207
403.0496,0.1585795
404.978,0.1590775
406.9065,0.1597708
408.835,0.1599976
410.7634,0.1640576
412.6919,0.1678989
414.6204,0.1685947
416.5488,0.1639945
418.4773,0.1666837
420.4058,0.1702079
422.3342,0.1722268
424.2627,0.1754716
426.1912,0.1710702
428.1196,0.1668718
430.0481,0.1676922
431.9766,0.1632164
433.905,0.158577
435.8335,0.1539869
437.762,0.1493143
439.6904,0.1462697
441.6189,0.1408278
443.5474,0.1331088
445.4758,0.1291931
447.4043,0.1252928
449.3328,0.1214471
451.2612,0.1149971
453.1897,0.1104613
455.1182,0.1080401
457.0466,0.1047572
458.9751,0.1010221
460.9036,0.0982614
462.832,0.09532289
464.7605,0.0928908
466.689,0.09288932
468.6174,0.09180444
470.5459,0.08867899
472.4744,0.08585507
474.4028,0.0841295
476.3313,0.08272678
478.2598,0.08148817
480.1882,0.08021037
482.1167,0.07977965
484.0452,0.0791874
485.9736,0.07711815
487.9021,0.07519285
489.8306,0.07462685
491.759,0.07476279
493.6875,0.07401495
495.616,0.07254501
497.5444,0.07197694
499.4729,0.07181273
501.4014,0.07157063
503.3298,0.07204679
505.2583,0.07224424
507.1868,0.0719647
509.1152,0.07275414
511.0437,0.07250427
512.9722,0.0724147
514.9006,0.07305629
516.8291,0.07302525
518.7576,0.07310631
520.686,0.0738062
522.6145,0.0749178
524.543,0.07597756
526.4714,0.07660177
528.3999,0.07613698
530.3284,0.07620779
532.2568,0.07697183
534.1853,0.07728209
536.1138,0.07830104
538.0422,0.07982314
539.9707,0.08078289
541.8992,0.08192147
543.8276,0.08315969
545.7561,0.08388212
547.6846,0.08463963
549.613,0.08571957
551.5415,0.08621442
553.47,0.08758534
555.3984,0.08899962
557.3269,0.08982376
559.2554,0.09147967
561.1838,0.09323662
563.1123,0.09447866
565.0408,0.09639568
566.9692,0.0989932
568.8977,0.1002335
570.8262,0.1010758
572.7546,0.102746
574.6831,0.1038324
576.6116,0.1049538
578.54,0.1062735
580.4685,0.1072459
582.397,0.1083195
584.3254,0.1094694
586.2539,0.1099005
588.1824,0.1098085
590.1108,0.1096591
592.0393,0.1095696
593.9678,0.1090731
595.8962,0.1079071
597.8247,0.1069577
599.7532,0.106019
601.6816,0.1041847
603.6101,0.1020667
605.5386,0.099786
607.467,0.09744959
609.3955,0.0954007
611.324,0.09356604
613.2524,0.09124406
615.1809,0.08847689
617.1094,0.08545457
619.0378,0.08281776
620.9663,0.08068868
622.8948,0.07818381
624.8232,0.0753762
626.7517,0.07249971
628.6802,0.06987803
630.6086,0.0674696
632.5371,0.06521061
634.4656,0.06331497
636.394,0.06150997
638.3225,0.06005712
640.251,0.05918693
642.1794,0.05812048
644.1079,0.05683787
646.0364,0.05621491
647.9648,0.05571399
649.8933,0.05549417
651.8218,0.05557153
653.7502,0.05553149
655.6787,0.0558672
657.6072,0.05614511
659.5356,0.05611061
661.4641,0.05655612
663.3926,0.05732911
665.321,0.05773974
667.2495,0.05796289
669.178,0.05828763
671.1064,0.05856459
673.0349,0.05857958
674.9634,0.05863705
676.8918,0.05862309
678.8203,0.05864706
680.7488,0.05860973
682.6772,0.05896951
684.6057,0.05937439
686.5342,0.05929264
688.4626,0.05884532
690.3911,0.05856378
692.3196,0.05863518
694.248,0.05857921
696.1765,0.05822219
698.105,0.05795006
700.0334,0.0575253
701.9619,0.05693071
703.8904,0.05674142
705.8188,0.05670879
707.7473,0.05638856
709.6758,0.05614739
711.6042,0.05586099
713.5327,0.05544568
715.4612,0.05504856
717.3896,0.05478205
719.3181,0.05469158
721.2466,0.05493305
723.175,0.05501788
725.1035,0.0549924
727.032,0.05463789
728.9604,0.05422539
730.8889,0.05425265
732.8174,0.05441976
734.7458,0.05434806
736.6743,0.05422665
738.6028,0.05403895
740.5313,0.05380344
742.4597,0.05327728
744.3882,0.05252559
746.3167,0.05144208
748.2451,0.04992266
750.1736,0.04840839
752.1021,0.04713759
754.0305,0.04584447
755.959,0.04452639
757.8875,0.04348989
759.8159,0.04189716
761.7444,0.04053792
763.6729,0.03990695
765.6013,0.03943265
767.5298,0.03874482
769.4583,0.03805625
771.3867,0.03742636
773.3152,0.03696989
775.2437,0.03683132
777.1721,0.03640449
779.1006,0.0356798
781.0291,0.03524771
782.9575,0.03507211
784.886,0.03441757
786.8145,0.0333749
788.7429,0.03225765
790.6714,0.03143756
792.5999,0.03070524
794.5283,0.02996637
796.4568,0.02922326
798.3853,0.02849736
800.3137,0.02782116
802.2422,0.02731079
804.1707,0.02691778
806.0991,0.02665257
808.0276,0.02623409
809.9561,0.02595527
811.8845,0.02565486
813.813,0.02552112
815.7415,0.02559972
817.6699,0.02580067
819.5984,0.02593547
821.5269,0.02583343
823.4553,0.02558037
825.3838,0.02551912
827.3123,0.02588561
829.2407,0.02642448
831.1692,0.02673382
833.0977,0.02683428
835.0261,0.02710972
836.9546,0.0274567
838.8831,0.02804409
840.8115,0.02897142
842.74,0.02957894
844.6685,0.02975639
846.5969,0.03024466
848.5254,0.03136611
850.4539,0.0321641
852.3823,0.03282985
854.3108,0.03350382
856.2393,0.03375151
858.1677,0.03445248
860.0962,0.03552117
862.0247,0.03652821
863.9531,0.03743506
865.8816,0.0385057
867.8101,0.03989614
869.7385,0.04121544
871.667,0.04243912
873.5955,0.04382811
875.5239,0.04566406
877.4524,0.04722949
879.3809,0.04863878
881.3093,0.05064138
883.2378,0.05289412
885.1663,0.05425827
887.0947,0.05561543
889.0232,0.05781515
890.9517,0.06062987
892.8801,0.06361953
894.8085,0.06642871
896.737,0.06926052
898.6655,0.0722639
900.5939,0.07562423
902.5224,0.079647
904.4509,0.08390398
906.3793,0.08816537
908.3078,0.09276503
910.2363,0.09754386
912.1647,0.1028097
914.0932,0.1085821
916.0217,0.1144785
917.9501,0.1211271
919.8786,0.128044
921.8071,0.1353077
923.7355,0.143083
925.664,0.1512124
927.5925,0.1595486
929.5209,0.1677648
931.4494,0.1761379
933.3779,0.1846928
935.3063,0.1937006
937.2348,0.2021987
939.1633,0.2100803
941.0917,0.2175256
943.0202,0.2244066
944.9487,0.2311707
946.8771,0.2373566
948.8056,0.2425834
950.7341,0.2471405
952.6625,0.2513805
954.591,0.2549966
956.5195,0.2582507
958.4479,0.2611486
960.3764,0.2633736
962.3049,0.2650882
964.2333,0.2670884
966.1618,0.2688823
968.0903,0.2700626
970.0187,0.2710718
971.9472,0.2716575
973.8757,0.2717812
975.8041,0.271837
977.7326,0.2713913
979.6611,0.2702183
981.5895,0.2693587
983.518,0.2682761
985.4465,0.2664872
987.3749,0.2647098
989.3034,0.2626587
991.2319,0.2602993
993.1603,0.2581713
995.0888,0.2556424
997.0173,0.2526755
998.9457,0.2493908
1000.874,0.2458012
1002.803,0.2422759
1004.731,0.2389452
1006.66,0.2353996
1008.588,0.2315524
1010.517,0.2276706
1012.445,0.2230434
1014.373,0.2181197
1016.302,0.2131911
1018.23,0.2086452
1020.159,0.2037689
1022.087,0.1986133
1024.016,0.1932428
1025.944,0.1878164
1027.873,0.1822678
1029.801,0.1767956
1031.73,0.1716581
1033.658,0.1661501
1035.587,0.1606585
1037.515,0.1555552
1039.444,0.1507375
1041.372,0.1457079
1043.301,0.1409463
1045.229,0.1364676
1047.157,0.1317565
1049.086,0.1274867
1051.014,0.1236439
1052.943,0.1200505
1054.871,0.1166764
1056.8,0.1138803
1058.728,0.1110942
1060.657,0.1084368
1062.585,0.1063497
1064.514,0.1042452
1066.442,0.1022679
1068.371,0.100724
1070.299,0.0993265
1072.228,0.09810961
1074.156,0.09699136
1076.084,0.09597165
1078.013,0.09489447
1079.941,0.09400268
1081.87,0.09354086
1083.798,0.09264571
1085.727,0.09182201
1087.655,0.09156135
1089.584,0.09096724
1091.512,0.09021977
1093.441,0.08950548
1095.369,0.08873645
1097.298,0.08854795
1099.226,0.08831254
1101.155,0.08742262
1103.083,0.08664665
1105.011,0.08623297
1106.94,0.08579831
1108.868,0.0851602
1110.797,0.08439876
1112.725,0.0834028
1114.654,0.08252478
1116.582,0.08155099
1118.511,0.08028141
1120.439,0.07904874
1122.368,0.07787249
1124.296,0.07670818
1126.225,0.07538884
1128.153,0.07386705
1130.082,0.07252452
1132.01,0.07101715
1133.938,0.06952995
1135.867,0.0683051
1137.795,0.06681626
1139.724,0.06512289
1141.652,0.0634283
1143.581,0.06157348
1145.509,0.06001571
1147.438,0.05872109
1149.366,0.05688672
1151.295,0.05484015
1153.223,0.05298445
1155.152,0.0510508
1157.08,0.04908277
1159.009,0.04696852
1160.937,0.0448277
1162.865,0.04258625
1164.794,0.04041774
1166.722,0.03835333
1168.651,0.03624112
1170.579,0.03427868
1172.508,0.0323893
1174.436,0.0303838
1176.365,0.02849171
1178.293,0.0266143
1180.222,0.02483657
1182.15,0.02330342
1184.079,0.02208176
1186.007,0.02057399
1187.936,0.01892341
1189.864,0.01773665
1191.792,0.01677542
1193.721,0.01573202
1195.649,0.01475744
1197.578,0.01377711
1199.506,0.01301737
1201.435,0.01225326
1203.363,0.0118485
1205.292,0.01166404
1207.22,0.01126964
1209.149,0.01066352
1211.077,0.009876574
1213.006,0.009203911
1214.934,0.008942019
1216.863,0.008644476
