x,y
399.1926,0.418913
401.1211,0.4077841
403.0496,0.4097446
404.978,0.3803121
406.9065,0.3759989
408.835,0.3855066
410.7634,0.3738724
412.6919,0.3643468
414.6204,0.3923479
416.5488,0.4205531
418.4773,0.4192008
420.4058,0.4198127
422.3342,0.4298059
424.2627,0.4223223
426.1912,0.4059276
428.1196,0.4099959
430.0481,0.417978
431.9766,0.4091295
433.905,0.4098267
435.8335,0.4058454
437.762,0.3975032
439.6904,0.3872458
441.6189,0.3862187
443.5474,0.3734339
445.4758,0.3531597
447.4043,0.3425021
449.3328,0.3383055
451.2612,0.3368647
453.1897,0.3388314
455.1182,0.3445018
457.0466,0.3530675
458.9751,0.359085
460.9036,0.3642248
462.832,0.3727188
464.7605,0.3800641
466.689,0.3814547
468.6174,0.3805255
470.5459,0.3762485
472.4744,0.366988
474.4028,0.3553385
476.3313,0.3436826
478.2598,0.3378635
480.1882,0.3328396
482.1167,0.3239692
484.0452,0.3154145
485.9736,0.3067165
487.9021,0.2979645
489.8306,0.2888081
491.759,0.2815504
493.6875,0.2742293
495.616,0.265193
497.5444,0.2562583
499.4729,0.247826
501.4014,0.2412288
503.3298,0.2365488
505.2583,0.2323896
507.1868,0.2284594
509.1152,0.2265538
511.0437,0.2251264
512.9722,0.2224208
514.9006,0.2193482
516.8291,0.2139778
518.7576,0.2059853
520.686,0.1976851
522.6145,0.1898794
524.543,0.1833451
526.4714,0.176318
528.3999,0.1691235
530.3284,0.1635297
532.2568,0.1571954
534.1853,0.150201
536.1138,0.1462397
538.0422,0.1442104
539.9707,0.1427332
541.8992,0.1434796
543.8276,0.1451022
545.7561,0.148518
547.6846,0.1535818
549.613,0.1590842
551.5415,0.1621476
553.47,0.1631143
555.3984,0.161531
557.3269,0.1570906
559.2554,0.1505533
561.1838,0.1433352
563.1123,0.1368187
565.0408,0.1311998
566.9692,0.1268803
568.8977,0.1225882
570.8262,0.1184263
572.7546,0.114641
574.6831,0.1103763
576.6116,0.1058059
578.54,0.1004998
580.4685,0.09552606
582.397,0.09055537
584.3254,0.0851551
586.2539,0.07895237
588.1824,0.07273594
590.1108,0.06744281
592.0393,0.0629511
593.9678,0.05852301
595.8962,0.05453728
597.8247,0.05089775
599.7532,0.04815073
601.6816,0.04599352
603.6101,0.04379921
605.5386,0.04198494
607.467,0.04125851
609.3955,0.04120339
611.324,0.04066119
613.2524,0.04052569
615.1809,0.04103829
617.1094,0.04124403
619.0378,0.0414851
620.9663,0.04222703
622.8948,0.04288983
624.8232,0.04377104
626.7517,0.04521102
628.6802,0.04701453
630.6086,0.04890466
632.5371,0.05138286
634.4656,0.0546177
636.394,0.05858447
638.3225,0.06263752
640.251,0.06656814
642.1794,0.07007702
644.1079,0.07279383
646.0364,0.07449349
647.9648,0.07442102
649.8933,0.07271249
651.8218,0.07066273
653.7502,0.06973303
655.6787,0.06990007
657.6072,0.0712908
659.5356,0.07426666
661.4641,0.07802179
663.3926,0.08294006
665.321,0.08952577
667.2495,0.09761346
669.178,0.1060671
671.1064,0.1134237
673.0349,0.1179663
674.9634,0.1190457
676.8918,0.1165351
678.8203,0.1117489
680.7488,0.1078672
682.6772,0.1080073
684.6057,0.1113634
686.5342,0.1160017
688.4626,0.1217259
690.3911,0.1274769
692.3196,0.130834
694.248,0.1302829
696.1765,0.1265367
698.105,0.1198171
700.0334,0.1103504
701.9619,0.09972791
703.8904,0.08943039
705.8188,0.08064354
707.7473,0.07307895
709.6758,0.06684303
711.6042,0.06300147
713.5327,0.06046338
715.4612,0.05887872
717.3896,0.05845032
719.3181,0.05839062
721.2466,0.0590733
723.175,0.06132496
725.1035,0.06493222
727.032,0.06916568
728.9604,0.0725311
730.8889,0.0741236
732.8174,0.07267325
734.7458,0.06848457
736.6743,0.0638751
738.6028,0.06002237
740.5313,0.05759317
742.4597,0.05555926
744.3882,0.05409488
746.3167,0.05386261
748.2451,0.05421342
750.1736,0.05443373
752.1021,0.0551544
754.0305,0.05650076
755.959,0.05802879
757.8875,0.05985663
759.8159,0.06239453
761.7444,0.06535456
763.6729,0.06845655
765.6013,0.07098729
767.5298,0.07311052
769.4583,0.07543721
771.3867,0.07886586
773.3152,0.08432253
775.2437,0.09185006
777.1721,0.1012919
779.1006,0.1134011
781.0291,0.1290633
782.9575,0.1487637
784.886,0.1712278
786.8145,0.1943969
788.7429,0.2140805
790.6714,0.2238023
792.5999,0.2190468
794.5283,0.2003198
796.4568,0.1721505
798.3853,0.141937
800.3137,0.1148092
802.2422,0.09409306
804.1707,0.08037229
806.0991,0.07193083
808.0276,0.06680779
809.9561,0.06396652
811.8845,0.06233981
813.813,0.06180254
815.7415,0.06205898
817.6699,0.06229899
819.5984,0.06319107
821.5269,0.06485368
823.4553,0.06646127
825.3838,0.06867053
827.3123,0.0714262
829.2407,0.07401957
831.1692,0.07687653
833.0977,0.08040493
835.0261,0.08437222
836.9546,0.08829644
838.8831,0.09287587
840.8115,0.09766407
842.74,0.1023937
844.6685,0.1077388
846.5969,0.1137065
848.5254,0.1200806
850.4539,0.1270701
852.3823,0.1343108
854.3108,0.1421221
856.2393,0.1503898
858.1677,0.1592203
860.0962,0.1682802
862.0247,0.1777051
863.9531,0.1882256
865.8816,0.1998581
867.8101,0.2121414
869.7385,0.2259636
871.667,0.2410326
873.5955,0.256561
875.5239,0.2722119
877.4524,0.285941
879.3809,0.2966185
881.3093,0.3034083
883.2378,0.304776
885.1663,0.3020494
887.0947,0.2973108
889.0232,0.2917501
890.9517,0.2866054
892.8801,0.2842896
894.8085,0.284675
896.737,0.28752
898.6655,0.2925049
900.5939,0.2992207
902.5224,0.3076678
904.4509,0.3168311
906.3793,0.3264583
908.3078,0.3361456
910.2363,0.3439583
912.1647,0.349617
914.0932,0.3544848
916.0217,0.3596195
917.9501,0.3664884
919.8786,0.3768817
921.8071,0.3905039
923.7355,0.4061299
925.664,0.4227821
927.5925,0.4396564
929.5209,0.4565288
931.4494,0.4728528
933.3779,0.4872591
935.3063,0.4999398
937.2348,0.5110232
939.1633,0.5214038
941.0917,0.5312771
943.0202,0.5390488
944.9487,0.5455239
946.8771,0.5512564
948.8056,0.5556892
950.7341,0.5584334
952.6625,0.5593576
954.591,0.5585466
956.5195,0.556775
958.4479,0.5551351
960.3764,0.5524459
962.3049,0.5482776
964.2333,0.5433611
966.1618,0.5374004
968.0903,0.5304599
970.0187,0.522833
971.9472,0.5139545
973.8757,0.5037073
975.8041,0.4926086
977.7326,0.4805204
979.6611,0.4666483
981.5895,0.4519879
983.518,0.4379545
985.4465,0.4244281
987.3749,0.4119405
989.3034,0.4018051
991.2319,0.3935521
993.1603,0.3874388
995.0888,0.3841109
997.0173,0.3834657
998.9457,0.3845744
1000.874,0.3851197
1002.803,0.3840118
1004.731,0.3809098
1006.66,0.3776022
1008.588,0.3756405
1010.517,0.3738266
1012.445,0.3718015
1014.373,0.3691244
1016.302,0.3656072
1018.23,0.3604969
1020.159,0.3545239
1022.087,0.3481392
1024.016,0.3416613
1025.944,0.3351108
1027.873,0.3279242
1029.801,0.3199162
1031.73,0.3119477
1033.658,0.3042384
1035.587,0.2961288
1037.515,0.2877786
1039.444,0.2797353
1041.372,0.2724293
1043.301,0.2660348
1045.229,0.2595733
1047.157,0.2530481
1049.086,0.2470278
1051.014,0.241116
1052.943,0.2351969
1054.871,0.2287964
1056.8,0.2214805
1058.728,0.2128846
1060.657,0.2025223
1062.585,0.1904175
1064.514,0.1779591
1066.442,0.1662032
1068.371,0.1564179
1070.299,0.1496635
1072.228,0.1455222
1074.156,0.1434161
1076.084,0.142808
1078.013,0.1436047
1079.941,0.1456043
1081.87,0.1473802
1083.798,0.1486418
1085.727,0.1494837
1087.655,0.1500228
1089.584,0.1510795
1091.512,0.152729
1093.441,0.1555808
1095.369,0.1594226
1097.298,0.1632826
1099.226,0.1671875
1101.155,0.1707431
1103.083,0.1736977
1105.011,0.1760767
1106.94,0.1779019
1108.868,0.1789136
1110.797,0.1783968
1112.725,0.1763512
1114.654,0.173512
1116.582,0.1700711
1118.511,0.1655959
1120.439,0.1607083
1122.368,0.1554785
1124.296,0.1494904
1126.225,0.1427402
1128.153,0.1358554
1130.082,0.1288314
1132.01,0.1216517
1133.938,0.1144165
1135.867,0.1073329
1137.795,0.1001397
1139.724,0.09334551
1141.652,0.08688086
1143.581,0.08095706
1145.509,0.0763225
1147.438,0.07318229
1149.366,0.07221755
1151.295,0.07351056
1153.223,0.07531787
1155.152,0.07575361
1157.08,0.07346143
1159.009,0.06805456
1160.937,0.06106309
1162.865,0.05428384
1164.794,0.04816715
1166.722,0.04263612
1168.651,0.03801725
1170.579,0.03381597
1172.508,0.03027981
1174.436,0.02721815
1176.365,0.02454393
1178.293,0.02233248
1180.222,0.02024954
1182.15,0.01856745
1184.079,0.01713812
1186.007,0.01583716
1187.936,0.01491255
1189.864,0.01398439
1191.792,0.0130849
1193.721,0.01251735
1195.649,0.0119305
1197.578,0.01124989
1199.506,0.01046574
1201.435,0.009708952
1203.363,0.009096097
1205.292,0.008782267
1207.22,0.008520805
1209.149,0.007864016
1211.077,0.007388189
1213.006,0.007160418
1214.934,0.007026509
1216.863,0.006517403
1218.791,0.005928417
1220.719,0.005649019
1222.648,0.005418345
1224.576,0.005371433
1226.505,0.005244152
1228.433,0.005098561
1230.362,0.004841489
1232.29,0.004346932
1234.219,0.004106835
1236.147,0.003971867
1238.076,0.004120496
1240.004,0.004198131
1241.933,0.003985067
1243.861,0.003679905
1245.79,0.003381267
1247.718,0.003426773
1249.646,0.003514871
1251.575,0.003567504
1253.503,0.003524005
1255.432,0.003181575
1257.36,0.003077688
1259.289,0.003254812
1261.217,0.003487441
1263.146,0.003337328
1265.074,0.003176793
1267.003,0.003245019
1268.931,0.003413997
1270.86,0.003599458
1272.788,0.003357628
1274.717,0.003286614
1276.645,0.003391125
1278.573,0.003587194
1280.502,0.003870672
1282.43,0.003842314
1284.359,0.003556398
1286.287,0.003193371
1288.216,0.003131709
1290.144,0.0030849
1292.073,0.003054256
1294.001,0.003181733
1295.93,0.003252722
1297.858,0.00319645
1299.787,0.003187253
1301.715,0.003148175
1303.644,0.002981595
1305.572,0.002890559
1307.5,0.002884248
1309.429,0.003030725
1311.357,0.003225983
1313.286,0.003196856
1315.214,0.003281402
1317.143,0.00344456
1319.071,0.003257838
1321.0,0.003210351
1322.928,0.00332225
1324.857,0.003370806
1326.785,0.003374916
1328.714,0.003268635
1330.642,0.003232853
1332.571,0.003353704
1334.499,0.003355399
1336.427,0.003249002
1338.356,0.003455648
1340.284,0.003754789
1342.213,0.003803253
1344.141,0.003797735
1346.07,0.003906354
1347.998,0.003897068
1349.927,0.004002882
1351.855,0.003998679
1353.784,0.004020913
1355.712,0.004094713
1357.641,0.003967468
1359.569,0.003769553
1361.498,0.003813855
1363.426,0.003893647
1365.354,0.003888908
1367.283,0.004177244
1369.211,0.004434564
1371.14,0.004524852
1373.068,0.00454639
1374.997,0.004451327
1376.925,0.004328975
1378.854,0.004428189
1380.782,0.004772781
1382.711,0.00502153
1384.639,0.005309144
1386.568,0.005957482
1388.496,0.006103038
1390.424,0.005962235
1392.353,0.006266856
1394.281,0.006522334
1396.21,0.006618856
1398.138,0.006637036
1400.067,0.00663667
1401.995,0.006606175
1403.924,0.006557378
1405.852,0.006499293
1407.781,0.006745344
1409.709,0.007182804
1411.638,0.007157326
1413.566,0.006868401
1415.495,0.006652811
1417.423,0.006909322
1419.351,0.007021174
1421.28,0.007016042
1423.208,0.00700224
1425.137,0.006765343
1427.065,0.006317754
1428.994,0.006207676
1430.922,0.006546191
1432.851,0.0065672
1434.779,0.00638903
1436.708,0.006238252
1438.636,0.006132433
1440.565,0.005990087
1442.493,0.005770622
1444.422,0.005664644
1446.35,0.005581154
1448.278,0.005317721
1450.207,0.005006117
1452.135,0.004823268
1454.064,0.004599982
1455.992,0.004625036
1457.921,0.004295486
1459.849,0.003810025
1461.778,0.003668164
1463.706,0.003879277
1465.635,0.003888102
1467.563,0.00361622
1469.492,0.004076186
1471.42,0.005188698
1473.349,0.00595077
1475.277,0.005983328
1477.205,0.005820477
1479.134,0.005560918
1481.062,0.005629849
1482.991,0.005859784
1484.919,0.006163989
1486.848,0.006088091
1488.776,0.005871743
1490.705,0.005824722
1492.633,0.005934119
1494.562,0.006308315
1496.49,0.006475144
1498.419,0.006400151
1500.347,0.0063111
1502.276,0.00616101
1504.204,0.006527197
1506.132,0.007056007
1508.061,0.006831069
1509.989,0.006251185
1511.918,0.006301805
1513.846,0.006375987
1515.775,0.006558536
1517.703,0.006402185
1519.632,0.006115699
1521.56,0.006223914
1523.489,0.006221866
1525.417,0.006457079
1527.346,0.006564133
1529.274,0.006480415
1531.203,0.006548942
1533.131,0.006505736
1535.059,0.006273741
1536.988,0.006540102
1538.916,0.007223459
1540.845,0.007240253
1542.773,0.006754146
1544.702,0.006685404
1546.63,0.00657575
1548.559,0.006767554
1550.487,0.006951145
1552.416,0.006936196
1554.344,0.006911199
1556.273,0.007301331
1558.201,0.007497872
1560.13,0.007099207
1562.058,0.00648754
1563.986,0.00617721
1565.915,0.005976785
1567.843,0.005865818
1569.772,0.006111676
1571.7,0.005963982
1573.629,0.00601196
1575.557,0.006228021
1577.486,0.005987201
1579.414,0.005878758
1581.343,0.005900046
1583.271,0.005917242
1585.2,0.006104756
1587.128,0.006327255
1589.057,0.006191327
1590.985,0.006221288
1592.913,0.006605938
1594.842,0.006730783
1596.77,0.00662204
1598.699,0.006641055
1600.627,0.006896541
1602.556,0.00706393
1604.484,0.007297599
1606.413,0.007356719
1608.341,0.007309004
1610.27,0.007111246
1612.198,0.007195802
1614.127,0.007538966
1616.055,0.007836413
1617.984,0.007802179
1619.912,0.007657847
1621.84,0.007833384
1623.769,0.007970667
1625.697,0.008130509
1627.626,0.008434593
1629.554,0.00877366
1631.483,0.008700363
1633.411,0.008792728
1635.34,0.009157601
1637.268,0.009110482
1639.197,0.009301845
1641.125,0.009372401
1643.054,0.009336527
1644.982,0.009505661
1646.911,0.009654129
1648.839,0.009419499
1650.767,0.009528118
1652.696,0.009879169
1654.624,0.00958377
1656.553,0.008918022
1658.481,0.008207258
1660.41,0.007993637
1662.338,0.008183504
