x,y
399.1926,0.1211898
401.1211,0.1106811
403.0496,0.1112133
404.978,0.1051262
406.9065,0.09614646
408.835,0.0892821
410.7634,0.09150877
412.6919,0.1022766
414.6204,0.1090621
416.5488,0.1166982
418.4773,0.127719
420.4058,0.1261874
422.3342,0.1094039
424.2627,0.1014831
426.1912,0.1062712
428.1196,0.1175531
430.0481,0.1258387
431.9766,0.1336899
433.905,0.1452788
435.8335,0.1573728
437.762,0.1665478
439.6904,0.1728682
441.6189,0.1751764
443.5474,0.1559544
445.4758,0.1384795
447.4043,0.1395696
449.3328,0.1326773
451.2612,0.1074859
453.1897,0.07764158
455.1182,0.05991297
457.0466,0.05639963
458.9751,0.05845453
460.9036,0.06084333
462.832,0.06434796
464.7605,0.06870883
466.689,0.07280859
468.6174,0.0757395
470.5459,0.07619874
472.4744,0.0759057
474.4028,0.07544433
476.3313,0.07547647
478.2598,0.07689475
480.1882,0.07979943
482.1167,0.08165266
484.0452,0.08248353
485.9736,0.0837581
487.9021,0.08366214
489.8306,0.08403259
491.759,0.08572908
493.6875,0.08714608
495.616,0.08859374
497.5444,0.08979734
499.4729,0.09079629
501.4014,0.09220982
503.3298,0.09344981
505.2583,0.09491443
507.1868,0.0960989
509.1152,0.09681963
511.0437,0.09803259
512.9722,0.0994892
514.9006,0.1010862
516.8291,0.1023009
518.7576,0.1034423
520.686,0.1046731
522.6145,0.1058381
524.543,0.1063291
526.4714,0.1068971
528.3999,0.1080954
530.3284,0.1098746
532.2568,0.1111706
534.1853,0.1115796
536.1138,0.1130565
538.0422,0.115048
539.9707,0.1162715
541.8992,0.1177893
543.8276,0.1190912
545.7561,0.1211125
547.6846,0.1243224
549.613,0.1263092
551.5415,0.1277607
553.47,0.1297334
555.3984,0.1310909
557.3269,0.1313402
559.2554,0.1315799
561.1838,0.1314066
563.1123,0.1294498
565.0408,0.1271566
566.9692,0.1259803
568.8977,0.1258871
570.8262,0.1265253
572.7546,0.1276362
574.6831,0.1292661
576.6116,0.1321695
578.54,0.1358272
580.4685,0.1385024
582.397,0.1416074
584.3254,0.1457593
586.2539,0.1483568
588.1824,0.1502169
590.1108,0.1532058
592.0393,0.1576115
593.9678,0.1634538
595.8962,0.1709835
597.8247,0.1788587
599.7532,0.1826849
601.6816,0.1759404
603.6101,0.1597976
605.5386,0.1453061
607.467,0.1407543
609.3955,0.1425791
611.324,0.1460637
613.2524,0.1505212
615.1809,0.1546999
617.1094,0.1579288
619.0378,0.161244
620.9663,0.165278
622.8948,0.1688417
624.8232,0.1719105
626.7517,0.175364
628.6802,0.1795404
630.6086,0.1834716
632.5371,0.187618
634.4656,0.1922421
636.394,0.1969447
638.3225,0.2020863
640.251,0.2079068
642.1794,0.2152024
644.1079,0.2217939
646.0364,0.2260743
647.9648,0.2230355
649.8933,0.2101263
651.8218,0.1952345
653.7502,0.1810031
655.6787,0.1683828
657.6072,0.1640507
659.5356,0.1682956
661.4641,0.1747212
663.3926,0.1804025
665.321,0.1863456
667.2495,0.1925733
669.178,0.1980841
671.1064,0.203135
673.0349,0.2081816
674.9634,0.2130292
676.8918,0.2172344
678.8203,0.2219432
680.7488,0.2267664
682.6772,0.2306277
684.6057,0.234724
686.5342,0.2390994
688.4626,0.2441351
690.3911,0.2493945
692.3196,0.2540379
694.248,0.2574519
696.1765,0.2609908
698.105,0.2647253
700.0334,0.2682708
701.9619,0.2711833
703.8904,0.2723582
705.8188,0.2708251
707.7473,0.2692897
709.6758,0.2712459
711.6042,0.2758913
713.5327,0.2818608
715.4612,0.2873085
717.3896,0.2908029
719.3181,0.2924625
721.2466,0.2901067
723.175,0.2839089
725.1035,0.2807808
727.032,0.283612
728.9604,0.2874497
730.8889,0.2911001
732.8174,0.2944214
734.7458,0.2963135
736.6743,0.2967058
738.6028,0.2961781
740.5313,0.2930565
742.4597,0.2865221
744.3882,0.2777507
746.3167,0.2687091
748.2451,0.2611982
750.1736,0.2575199
752.1021,0.2575234
754.0305,0.2589482
755.959,0.2593688
757.8875,0.2584631
759.8159,0.2568027
761.7444,0.2560989
763.6729,0.2568115
765.6013,0.257977
767.5298,0.2582182
769.4583,0.2556456
771.3867,0.2486735
773.3152,0.2375458
775.2437,0.2245274
777.1721,0.2094434
779.1006,0.1939088
781.0291,0.1807846
782.9575,0.1739304
784.886,0.1761901
786.8145,0.1842178
788.7429,0.1917517
790.6714,0.1974391
792.5999,0.203271
794.5283,0.2087451
796.4568,0.2106935
798.3853,0.207104
800.3137,0.1979186
802.2422,0.1853343
804.1707,0.1713796
806.0991,0.1597971
808.0276,0.1556589
809.9561,0.160602
811.8845,0.1695664
813.813,0.1767457
815.7415,0.1828348
817.6699,0.190766
819.5984,0.1993643
821.5269,0.2063082
823.4553,0.2095381
825.3838,0.2088186
827.3123,0.2065846
829.2407,0.2026317
831.1692,0.1981597
833.0977,0.1936409
835.0261,0.1890555
836.9546,0.1847428
838.8831,0.1812803
840.8115,0.1788108
842.74,0.1771042
844.6685,0.1756537
846.5969,0.17456
848.5254,0.1733436
850.4539,0.171934
852.3823,0.1706617
854.3108,0.16903
856.2393,0.1667488
858.1677,0.163762
860.0962,0.1591932
862.0247,0.1542754
863.9531,0.1495782
865.8816,0.1444706
867.8101,0.139292
869.7385,0.13443
871.667,0.1295501
873.5955,0.1248431
875.5239,0.1206214
877.4524,0.1162378
879.3809,0.1115714
881.3093,0.1072987
883.2378,0.1031786
885.1663,0.0992374
887.0947,0.09546532
889.0232,0.09199969
890.9517,0.08880511
892.8801,0.08587333
894.8085,0.08266054
896.737,0.07944576
898.6655,0.07658967
900.5939,0.07405778
902.5224,0.0714901
904.4509,0.0689941
906.3793,0.06689229
