x,y
399.1926,0.2305288
401.1211,0.25291
403.0496,0.2541258
404.978,0.2550067
406.9065,0.2655354
408.835,0.2836554
410.7634,0.304352
412.6919,0.3241987
414.6204,0.3211807
416.5488,0.3152828
418.4773,0.309837
420.4058,0.2987771
422.3342,0.2801748
424.2627,0.2558709
426.1912,0.2319145
428.1196,0.2285331
430.0481,0.2350238
431.9766,0.2363044
433.905,0.2419783
435.8335,0.2558382
437.762,0.2688467
439.6904,0.2741671
441.6189,0.2698853
443.5474,0.2637058
445.4758,0.259196
447.4043,0.2475129
449.3328,0.2307962
451.2612,0.214615
453.1897,0.1985706
455.1182,0.1840114
457.0466,0.169502
458.9751,0.1554745
460.9036,0.1430946
462.832,0.1329438
464.7605,0.1216845
466.689,0.1106738
468.6174,0.100853
470.5459,0.0905759
472.4744,0.08246679
474.4028,0.07444786
476.3313,0.06519167
478.2598,0.05804127
480.1882,0.05201478
482.1167,0.04481803
484.0452,0.03905145
485.9736,0.0348695
487.9021,0.03037873
489.8306,0.02644671
491.759,0.02337957
493.6875,0.02164304
495.616,0.02074108
497.5444,0.01976006
499.4729,0.01835494
501.4014,0.01693684
503.3298,0.01659437
505.2583,0.01611725
507.1868,0.01555874
509.1152,0.01588407
511.0437,0.01634888
512.9722,0.01534647
514.9006,0.01415338
516.8291,0.01368385
518.7576,0.01381573
520.686,0.01415497
522.6145,0.01434688
524.543,0.01429037
526.4714,0.01424957
528.3999,0.01399116
530.3284,0.01412237
532.2568,0.01488697
534.1853,0.01528994
536.1138,0.01531927
538.0422,0.01527209
539.9707,0.01566893
541.8992,0.016494
543.8276,0.01688029
545.7561,0.01716539
547.6846,0.01788861
549.613,0.01786099
551.5415,0.0176848
553.47,0.01789739
555.3984,0.01825213
557.3269,0.018383
559.2554,0.01848106
561.1838,0.01868612
563.1123,0.0187491
565.0408,0.01893078
566.9692,0.01947757
568.8977,0.01986029
570.8262,0.01979948
572.7546,0.01964989
574.6831,0.01972421
576.6116,0.02064691
578.54,0.02207503
580.4685,0.02291321
582.397,0.02346122
584.3254,0.02427678
586.2539,0.02519294
588.1824,0.02629875
590.1108,0.02772987
592.0393,0.02919539
593.9678,0.03123634
595.8962,0.03394997
597.8247,0.03753833
599.7532,0.04213202
601.6816,0.04836471
603.6101,0.0566284
605.5386,0.06642625
607.467,0.07454352
609.3955,0.07752988
611.324,0.07727516
613.2524,0.0764435
615.1809,0.07570776
617.1094,0.0752093
619.0378,0.07443856
620.9663,0.07394203
622.8948,0.07286519
624.8232,0.07223938
626.7517,0.07245935
628.6802,0.07405966
630.6086,0.07797927
632.5371,0.08384355
634.4656,0.09142423
636.394,0.1004548
638.3225,0.1095547
640.251,0.1172327
642.1794,0.1235742
644.1079,0.1272131
646.0364,0.1268398
647.9648,0.124078
649.8933,0.1207731
651.8218,0.1160959
653.7502,0.1090541
655.6787,0.1004713
657.6072,0.09096933
659.5356,0.08212713
661.4641,0.07464878
663.3926,0.06827843
665.321,0.06348158
667.2495,0.06032406
669.178,0.05833253
671.1064,0.05782504
673.0349,0.0586149
674.9634,0.0604206
676.8918,0.06271278
678.8203,0.06573887
680.7488,0.06963191
682.6772,0.07439277
684.6057,0.08009989
686.5342,0.08734036
688.4626,0.09567376
690.3911,0.1045595
692.3196,0.1134889
694.248,0.1199863
696.1765,0.1215882
698.105,0.1161565
700.0334,0.1042337
701.9619,0.09031229
703.8904,0.07974792
705.8188,0.07391553
707.7473,0.07210143
709.6758,0.07298835
711.6042,0.07576913
713.5327,0.07950076
715.4612,0.08401823
717.3896,0.0888431
719.3181,0.09304406
721.2466,0.09474674
723.175,0.09295373
725.1035,0.08730099
727.032,0.07854025
728.9604,0.06901506
730.8889,0.06050802
732.8174,0.05259501
734.7458,0.04631288
736.6743,0.04194307
738.6028,0.03866486
740.5313,0.03581122
742.4597,0.03344693
744.3882,0.03147535
746.3167,0.02981317
748.2451,0.02832245
750.1736,0.02700568
752.1021,0.02596652
754.0305,0.02525292
755.959,0.02458487
757.8875,0.02395011
759.8159,0.02318497
761.7444,0.02255659
763.6729,0.02246309
765.6013,0.02243504
767.5298,0.02244512
769.4583,0.02214811
771.3867,0.02188041
773.3152,0.02191345
775.2437,0.02203424
777.1721,0.02175243
779.1006,0.02137089
781.0291,0.02134155
782.9575,0.02121353
784.886,0.02101851
786.8145,0.02126888
788.7429,0.02118351
790.6714,0.02085646
792.5999,0.02142628
794.5283,0.02183522
796.4568,0.02202738
798.3853,0.02244209
800.3137,0.02258798
802.2422,0.02284142
804.1707,0.02302324
806.0991,0.02295719
808.0276,0.02327839
809.9561,0.02374822
811.8845,0.02441442
813.813,0.02495227
815.7415,0.02512399
817.6699,0.02559827
819.5984,0.02599646
821.5269,0.02657506
823.4553,0.02718303
825.3838,0.02748567
827.3123,0.02787583
829.2407,0.0284253
831.1692,0.02894633
833.0977,0.02943461
835.0261,0.03018606
836.9546,0.03068402
838.8831,0.0311481
840.8115,0.03177526
842.74,0.03255786
844.6685,0.03339938
846.5969,0.03446403
848.5254,0.03527541
850.4539,0.03613876
852.3823,0.03754278
854.3108,0.03871065
856.2393,0.03949049
858.1677,0.04061052
860.0962,0.04170442
862.0247,0.04282077
863.9531,0.04416912
865.8816,0.04576829
867.8101,0.04790788
869.7385,0.05044626
871.667,0.05331478
873.5955,0.05615177
875.5239,0.05909841
877.4524,0.06142565
879.3809,0.06253481
881.3093,0.06295808
883.2378,0.06368426
885.1663,0.06517054
887.0947,0.06705337
889.0232,0.06944834
890.9517,0.07236793
892.8801,0.07557911
894.8085,0.07905138
896.737,0.08265609
898.6655,0.08672156
900.5939,0.09138218
902.5224,0.09624826
904.4509,0.1013706
906.3793,0.1073031
908.3078,0.1132397
910.2363,0.1193939
912.1647,0.1261498
914.0932,0.1336689
916.0217,0.1417786
917.9501,0.1501159
919.8786,0.1588633
921.8071,0.1679346
923.7355,0.1777293
925.664,0.1876779
927.5925,0.1979346
929.5209,0.2087866
931.4494,0.2205431
933.3779,0.2325549
935.3063,0.2449855
937.2348,0.2577672
939.1633,0.27058
941.0917,0.2841982
943.0202,0.2979649
944.9487,0.3110663
946.8771,0.3248445
948.8056,0.3378852
950.7341,0.349728
952.6625,0.3605016
954.591,0.3712028
956.5195,0.3816102
958.4479,0.3909715
960.3764,0.3993204
962.3049,0.4060309
964.2333,0.4115218
966.1618,0.4160627
968.0903,0.4192753
970.0187,0.421526
971.9472,0.4225726
973.8757,0.4228112
975.8041,0.4219383
977.7326,0.4202225
979.6611,0.4176818
981.5895,0.4145314
983.518,0.4113677
985.4465,0.4081629
987.3749,0.4043635
989.3034,0.4002512
991.2319,0.3965015
993.1603,0.3919294
995.0888,0.3863321
997.0173,0.380211
998.9457,0.3726331
1000.874,0.3639884
1002.803,0.3547745
1004.731,0.3446831
1006.66,0.3343007
1008.588,0.3243739
1010.517,0.3144075
1012.445,0.3041375
1014.373,0.2936481
1016.302,0.2838583
1018.23,0.2739705
1020.159,0.2634595
1022.087,0.2530749
1024.016,0.2422367
1025.944,0.2312223
1027.873,0.2202085
1029.801,0.2092882
1031.73,0.1987473
1033.658,0.1884528
1035.587,0.1791036
1037.515,0.1703321
1039.444,0.1621193
1041.372,0.1549439
1043.301,0.1488958
1045.229,0.1436587
1047.157,0.1389642
1049.086,0.1344713
1051.014,0.1306027
1052.943,0.1271731
1054.871,0.1238201
1056.8,0.1203763
1058.728,0.1173512
1060.657,0.1145569
1062.585,0.1120452
1064.514,0.1096323
1066.442,0.107434
1068.371,0.1052954
1070.299,0.1036191
1072.228,0.1023688
1074.156,0.101671
1076.084,0.1013226
1078.013,0.1014478
1079.941,0.1018775
1081.87,0.1028229
1083.798,0.1046763
1085.727,0.1067338
1087.655,0.1088169
1089.584,0.1109679
1091.512,0.1130775
1093.441,0.1152339
1095.369,0.1172314
1097.298,0.1190022
1099.226,0.1205238
1101.155,0.1218801
1103.083,0.1232598
1105.011,0.1246126
1106.94,0.1255083
1108.868,0.125694
1110.797,0.125892
1112.725,0.1259619
1114.654,0.1256782
1116.582,0.1250786
1118.511,0.1244368
1120.439,0.1239657
1122.368,0.1234186
1124.296,0.1227585
1126.225,0.1219211
1128.153,0.1205922
1130.082,0.1194208
1132.01,0.1184274
1133.938,0.117252
1135.867,0.116361
1137.795,0.1151899
1139.724,0.1131496
1141.652,0.1106925
1143.581,0.1083367
1145.509,0.1059279
1147.438,0.1031537
1149.366,0.09995623
1151.295,0.09661481
1153.223,0.09295224
1155.152,0.08943801
1157.08,0.0860647
1159.009,0.08278878
1160.937,0.07940406
1162.865,0.07594637
1164.794,0.07235034
1166.722,0.06864599
1168.651,0.06514608
1170.579,0.06140555
1172.508,0.05809187
1174.436,0.0547544
1176.365,0.05100355
1178.293,0.04746268
1180.222,0.04409387
1182.15,0.04096258
1184.079,0.03800427
1186.007,0.03503503
1187.936,0.03222417
1189.864,0.02968763
1191.792,0.02726629
1193.721,0.02503177
1195.649,0.02336225
1197.578,0.02180052
1199.506,0.02047368
1201.435,0.01918793
1203.363,0.01799094
1205.292,0.01708578
1207.22,0.01645828
1209.149,0.01575659
1211.077,0.01499955
1213.006,0.01447155
1214.934,0.01403874
1216.863,0.01316835
1218.791,0.01228924
1220.719,0.0115738
1222.648,0.01058999
1224.576,0.009630643
1226.505,0.009091584
1228.433,0.00860819
1230.362,0.007920382
1232.29,0.007384943
1234.219,0.007190428
1236.147,0.006843454
1238.076,0.006382219
1240.004,0.005839222
1241.933,0.005299893
1243.861,0.005073555
1245.79,0.004912111
1247.718,0.004740394
1249.646,0.004559205
1251.575,0.004484114
1253.503,0.004220728
1255.432,0.003935569
1257.36,0.003871037
1259.289,0.003774618
1261.217,0.003346108
1263.146,0.002946364
1265.074,0.003014544
1267.003,0.003075242
1268.931,0.002982517
1270.86,0.003017152
1272.788,0.002922472
1274.717,0.002698086
1276.645,0.002599905
1278.573,0.002806854
1280.502,0.002775013
1282.43,0.00268098
1284.359,0.002550672
1286.287,0.002325915
1288.216,0.002257656
1290.144,0.002254426
1292.073,0.002153998
1294.001,0.002231893
1295.93,0.002135773
1297.858,0.001992937
1299.787,0.001952248
1301.715,0.002142667
1303.644,0.002114624
1305.572,0.001945961
1307.5,0.002046352
1309.429,0.002141167
1311.357,0.002036428
1313.286,0.002028636
1315.214,0.00207137
1317.143,0.00212776
1319.071,0.002271624
1321.0,0.002483936
1322.928,0.002320427
1324.857,0.002156215
1326.785,0.002153352
1328.714,0.002091659
1330.642,0.002016511
1332.571,0.002211539
1334.499,0.002697823
1336.427,0.002786344
1338.356,0.002672208
1340.284,0.002631089
1342.213,0.002514668
1344.141,0.00282355
1346.07,0.003108715
1347.998,0.002919356
1349.927,0.002945649
1351.855,0.003336014
1353.784,0.003487676
1355.712,0.003516549
1357.641,0.003641938
1359.569,0.003891112
1361.498,0.004175062
1363.426,0.004312064
1365.354,0.004256235
1367.283,0.004480581
1369.211,0.004395212
1371.14,0.004137056
1373.068,0.004160925
1374.997,0.004249264
1376.925,0.004221222
1378.854,0.004365275
1380.782,0.004766556
1382.711,0.005103309
1384.639,0.005318771
1386.568,0.005696727
1388.496,0.005983842
1390.424,0.006064372
1392.353,0.006286527
1394.281,0.006892673
1396.21,0.007290093
1398.138,0.007567519
1400.067,0.00778401
1401.995,0.007997325
1403.924,0.008206316
1405.852,0.008581188
1407.781,0.009224531
1409.709,0.009395331
1411.638,0.009704302
1413.566,0.01024083
1415.495,0.01039889
1417.423,0.0104797
1419.351,0.01070193
1421.28,0.01108023
1423.208,0.01157128
1425.137,0.01158224
1427.065,0.01154473
1428.994,0.0117138
1430.922,0.01181271
1432.851,0.01201655
1434.779,0.01204062
1436.708,0.01212941
1438.636,0.01199121
1440.565,0.01203141
1442.493,0.01216115
1444.422,0.01218141
1446.35,0.01222856
1448.278,0.01224261
1450.207,0.01194371
1452.135,0.01200372
1454.064,0.01196668
1455.992,0.01161107
1457.921,0.01142657
1459.849,0.01153872
1461.778,0.0112923
1463.706,0.01106687
1465.635,0.01086845
1467.563,0.01035519
1469.492,0.01028735
1471.42,0.01063627
1473.349,0.01076369
1475.277,0.01060317
1477.205,0.01032961
1479.134,0.01007187
1481.062,0.009906463
1482.991,0.00967849
1484.919,0.009456221
1486.848,0.009359627
1488.776,0.009160291
1490.705,0.009055139
1492.633,0.008663243
1494.562,0.008356778
1496.49,0.008249841
1498.419,0.008062588
1500.347,0.00778885
1502.276,0.007577752
1504.204,0.007335667
1506.132,0.007218966
1508.061,0.007068223
1509.989,0.006782779
1511.918,0.006683889
1513.846,0.006543301
1515.775,0.006123394
1517.703,0.006148849
1519.632,0.005957312
1521.56,0.00549279
1523.489,0.00521889
1525.417,0.005087506
1527.346,0.004970076
1529.274,0.004702871
1531.203,0.004287601
1533.131,0.00433324
1535.059,0.004492548
1536.988,0.004549312
1538.916,0.004301452
1540.845,0.004090704
1542.773,0.003870437
1544.702,0.003760796
1546.63,0.003707672
1548.559,0.003624694
1550.487,0.00350412
1552.416,0.003453465
1554.344,0.003679092
1556.273,0.003901555
1558.201,0.003986364
1560.13,0.003817487
1562.058,0.003626944
1563.986,0.00377424
1565.915,0.003697455
1567.843,0.003670565
1569.772,0.003634867
1571.7,0.003529866
1573.629,0.003469578
1575.557,0.003498229
1577.486,0.003236413
1579.414,0.003120445
1581.343,0.003432503
1583.271,0.003555273
1585.2,0.003194191
1587.128,0.003092315
1589.057,0.003023724
1590.985,0.00284835
1592.913,0.003011608
1594.842,0.002791265
1596.77,0.002523563
1598.699,0.002717498
1600.627,0.002975378
1602.556,0.00289855
1604.484,0.002843691
1606.413,0.002809592
1608.341,0.002707834
1610.27,0.002821909
1612.198,0.002921087
1614.127,0.002933227
1616.055,0.003230813
1617.984,0.00359189
1619.912,0.003451008
1621.84,0.003244485
1623.769,0.003346289
1625.697,0.003457703
1627.626,0.003293714
1629.554,0.003159086
1631.483,0.003284303
1633.411,0.003673848
1635.34,0.003611794
1637.268,0.003232131
1639.197,0.002916884
1641.125,0.002908577
1643.054,0.003369949
1644.982,0.0037448
1646.911,0.003616892
1648.839,0.00373046
1650.767,0.004106545
1652.696,0.004448039
1654.624,0.004390951
1656.553,0.003692519
1658.481,0.003321925
1660.41,0.003410798
1662.338,0.00343662
1664.267,0.003102426
1666.195,0.00306527
1668.124,0.003519558
1670.052,0.003366226
1671.981,0.003648397
1673.909,0.004483926
1675.838,0.004489147
1677.766,0.00382016
1679.694,0.003608234
1681.623,0.003788166
1683.551,0.004028279
1685.48,0.004010263
1687.408,0.003925358
1689.337,0.00407685
1691.265,0.003864698
1693.194,0.003840117
1695.122,0.003776628
1697.051,0.003483749
1698.979,0.00329424
1700.908,0.003115603
1702.836,0.002743743
1704.765,0.002462349
1706.693,0.002360858
1708.621,0.00273312
1710.55,0.003012782
1712.478,0.002405406
1714.407,0.002087334
1716.335,0.002321312
1718.264,0.00173072
1720.192,0.00146169
1722.121,0.001443376
1724.049,0.001310101
1725.978,0.001239787
1727.906,0.001336547
1729.835,0.001470056
1731.763,0.001150034
1733.692,0.0008695754
1735.62,0.0003616402
1737.548,-0.0001252087
1739.477,-0.000407952
1741.405,-0.0004164202
1743.334,-0.0004094916
1745.262,-0.000646468
1747.191,-0.0005758018
1749.119,-6.844223e-05
1751.048,6.893004e-05
1752.976,9.142842e-05
1754.905,0.0003608881
1756.833,0.0005140596
1758.762,0.0008315688
1760.69,0.001255839
1762.619,0.0007769745
1764.547,0.0004500324
1766.475,0.001036396
1768.404,0.0009066382
1770.332,0.0006519697
1772.261,0.001172282
1774.189,0.00102238
1776.118,0.0005543304
1778.046,0.0007098847
1779.975,0.001332157
1781.903,0.001417707
1783.832,0.001158566
1785.76,0.001165152
1787.689,0.001006612
1789.617,0.001126396
1791.546,0.001272972
1793.474,0.0008184155
1795.402,0.0004452233
1797.331,0.0003538836
1799.259,0.0003696516
1801.188,0.0005601242
1803.116,0.0004617223
1805.045,0.0004187708
1806.973,0.0007506189
1808.902,0.0008129758
1810.83,0.0003570818
1812.759,-0.0001249833
1814.687,-0.0002882606
1816.616,8.023976e-05
1818.544,0.0005165
1820.473,7.467921e-05
1822.401,-0.0001683313
1824.329,-0.0001698994
1826.258,8.326792e-05
1828.186,2.150449e-05
1830.115,-0.0001414584
1832.043,-0.0002411365
1833.972,-0.0002706705
1835.9,-0.0003328574
1837.829,-0.0006667011
1839.757,-0.0003688362
1841.686,0.0004201892
1843.614,0.0007771516
1845.543,0.0003874195
1847.471,-0.0002790269
1849.4,-0.000330711
1851.328,-0.000286416
1853.256,-0.0005797696
1855.185,-0.0004736697
1857.113,-0.0006449841
1859.042,-0.0008338466
1860.97,-0.0002856271
1862.899,-0.0004787854
1864.827,-0.0009911109
1866.756,-0.001265764
1868.684,-0.001476245
1870.613,-0.001380506
1872.541,-0.0007679387
1874.47,-0.0004047863
1876.398,-0.0009164067
1878.327,-0.0008858917
1880.255,-0.0005947527
1882.183,-0.0009418448
1884.112,-0.001519714
1886.04,-0.001486962
1887.969,-0.0009979119
1889.897,-0.001220556
1891.826,-0.001718372
1893.754,-0.002576648
1895.683,-0.002271148
1897.611,-0.001416625
1899.54,-0.0008048542
1901.468,-0.001147249
1903.397,-0.002255987
1905.325,-0.002808477
1907.254,-0.002526408
1909.182,-0.002566991
1911.11,-0.002694629
1913.039,-0.003018753
1914.967,-0.003534103
1916.896,-0.00361741
1918.824,-0.00332588
1920.753,-0.003862469
1922.681,-0.003957718
1924.61,-0.003673237
1926.538,-0.003312928
1928.467,-0.003270991
1930.395,-0.004479854
1932.324,-0.004524004
1934.252,-0.005095085
1936.181,-0.006565686
1938.109,-0.007187961
1940.037,-0.006053362
1941.966,-0.005390563
1943.894,-0.005177076
1945.823,-0.00489509
1947.751,-0.005303501
1949.68,-0.004813905
1951.608,-0.004104529
1953.537,-0.004792535
1955.465,-0.008560437
1957.394,-0.01065493
1959.322,-0.008831338
1961.251,-0.008290491
1963.179,-0.008462763
1965.108,-0.008355541
1967.036,-0.007788035
1968.964,-0.00674806
1970.893,-0.007183862
1972.821,-0.008624963
1974.75,-0.01000186
1976.678,-0.008593908
1978.607,-0.007363637
1980.535,-0.007499109
1982.464,-0.008379642
1984.392,-0.008976288
1986.321,-0.006885179
1988.249,-0.00672029
1990.178,-0.006364503
1992.106,-0.003598443
1994.035,-0.004887484
1995.963,-0.007316558
1997.891,-0.007046049
1999.82,-0.006360411
2001.748,-0.006235049
2003.677,-0.008275989
2005.605,-0.008387162
2007.534,-0.007410683
2009.462,-0.00750976
2011.391,-0.008125036
2013.319,-0.008050406
2015.248,-0.006017642
2017.176,-0.004805357
2019.105,-0.005314609
2021.033,-0.007207567
2022.962,-0.007220495
2024.89,-0.004515673
2026.818,-0.006454146
2028.747,-0.01022166
2030.675,-0.007896574
2032.604,-0.005178419
2034.532,-0.005471128
2036.461,-0.006133857
2038.389,-0.007422049
2040.318,-0.007957989
2042.246,-0.004816287
2044.175,-0.003651081
2046.103,-0.004563722
2048.032,-0.003105594
2049.96,-0.0005570019
2051.889,-0.001636041
2053.817,-0.001876647
2055.746,-0.001731646
2057.674,-0.00420051
2059.603,-0.004585481
2061.531,-0.003107889
2063.459,-0.003564112
2065.388,-0.003935312
2067.316,-0.002132702
2069.245,-0.0005991731
2071.173,-0.0007813832
2073.102,-0.001437775
2075.03,-0.002079543
2076.959,-0.001703357
2078.887,-0.0001031104
2080.816,0.001326802
2082.744,0.0005787627
2084.673,-0.0001888276
2086.601,0.0002236183
2088.53,0.0004633527
2090.458,3.740335e-06
2092.386,-0.00217302
2094.315,-0.004200712
2096.243,-0.002869396
2098.172,0.0001719414
2100.1,0.000476711
2102.029,-0.0006186887
2103.957,-0.0007914529
2105.886,-0.0005791011
2107.814,-0.000531401
2109.743,-0.0002382029
2111.671,-0.0003585169
2113.6,-0.0003635346
2115.528,-0.0006730955
2117.457,-0.0009926474
2119.385,-0.001769062
2121.313,-0.0001415485
2123.242,0.0009860824
2125.17,0.0001699986
2127.099,-0.0008093124
2129.027,-0.001278629
2130.956,-0.002623078
2132.884,-0.005117125
2134.813,-0.002873325
2136.741,0.0007812402
2138.67,0.000929263
2140.598,-0.003435008
2142.527,-0.006109719
2144.455,-0.003891753
2146.384,-0.004249435
2148.312,-0.007248377
2150.24,-0.005294937
2152.169,-0.0038951
2154.097,-0.006790651
2156.026,-0.009079026
2157.954,-0.005810487
2159.883,-0.002563482
2161.811,-0.002004346
2163.74,-0.001516454
2165.668,1.722192e-05
2167.597,-0.001211849
2169.525,-0.002670124
2171.454,-0.004401985
2173.382,-0.002785235
2175.311,-0.00140906
2177.239,-0.003203027
2179.167,-0.004405907
2181.096,-0.003393282
2183.024,-0.001589113
2184.953,-0.001191619
2186.881,-0.002316552
2188.81,-0.001641471
2190.738,-0.0009044522
2192.667,-0.001929205
2194.595,-0.002367737
2196.524,-0.001266181
2198.452,-0.001348475
2200.381,-0.0003122847
2202.309,-0.0009943021
