x,y
399.1926,0.1318925
401.1211,0.1214979
403.0496,0.1214979
404.978,0.1171812
406.9065,0.137858
408.835,0.1454802
410.7634,0.1430969
412.6919,0.1478935
414.6204,0.1630727
416.5488,0.1808636
418.4773,0.1992283
420.4058,0.2165394
422.3342,0.2353699
424.2627,0.2571773
426.1912,0.2641169
428.1196,0.2585849
430.0481,0.2467977
431.9766,0.2305149
433.905,0.2076607
435.8335,0.1838931
437.762,0.1625745
439.6904,0.1503659
441.6189,0.1452701
443.5474,0.1434434
445.4758,0.1438199
447.4043,0.1407889
449.3328,0.1365963
451.2612,0.1375872
453.1897,0.1392441
455.1182,0.1407646
457.0466,0.1419691
458.9751,0.1428817
460.9036,0.1466251
462.832,0.152005
464.7605,0.154765
466.689,0.1568191
468.6174,0.1622753
470.5459,0.1670967
472.4744,0.1723834
474.4028,0.1784048
476.3313,0.1836976
478.2598,0.1882092
480.1882,0.1944658
482.1167,0.2006574
484.0452,0.2005709
485.9736,0.1936471
487.9021,0.1907565
489.8306,0.1935044
491.759,0.1993746
493.6875,0.2088391
495.616,0.2197129
497.5444,0.2314195
499.4729,0.2454452
501.4014,0.257362
503.3298,0.2632466
505.2583,0.2585872
507.1868,0.2474373
509.1152,0.2338646
511.0437,0.2187592
512.9722,0.211643
514.9006,0.2140549
516.8291,0.2209878
518.7576,0.2321816
520.686,0.2467484
522.6145,0.2581456
524.543,0.2599235
526.4714,0.2477696
528.3999,0.2247579
530.3284,0.1967333
532.2568,0.1703843
534.1853,0.1494882
536.1138,0.134979
538.0422,0.1239321
539.9707,0.1160084
541.8992,0.1125968
543.8276,0.109969
545.7561,0.1082528
547.6846,0.1076515
549.613,0.1081925
551.5415,0.110152
553.47,0.1136671
555.3984,0.1178997
557.3269,0.1230652
559.2554,0.1304315
561.1838,0.1409375
563.1123,0.1533979
565.0408,0.166573
566.9692,0.1811338
568.8977,0.194264
570.8262,0.202875
572.7546,0.2031848
574.6831,0.1958852
576.6116,0.1879334
578.54,0.183714
580.4685,0.1834155
582.397,0.1824391
584.3254,0.1768777
586.2539,0.1644154
588.1824,0.1485108
590.1108,0.1316172
592.0393,0.1146358
593.9678,0.1011953
595.8962,0.09187465
597.8247,0.08497436
599.7532,0.08013766
601.6816,0.07675526
603.6101,0.07380762
605.5386,0.07154006
607.467,0.07022747
609.3955,0.0691558
611.324,0.0678464
613.2524,0.06686878
615.1809,0.0664635
617.1094,0.06644875
619.0378,0.06649347
620.9663,0.06593192
622.8948,0.06611434
624.8232,0.06640249
626.7517,0.06640647
628.6802,0.06597836
630.6086,0.06607171
632.5371,0.06626832
634.4656,0.06652517
636.394,0.06653348
638.3225,0.06697338
640.251,0.06800517
642.1794,0.06872851
644.1079,0.06948055
646.0364,0.07075606
647.9648,0.07147482
649.8933,0.0717073
651.8218,0.07268816
653.7502,0.07374109
655.6787,0.0742938
657.6072,0.07529677
659.5356,0.07701475
661.4641,0.07843326
663.3926,0.07935955
665.321,0.08070444
667.2495,0.08286872
669.178,0.08454161
671.1064,0.0856209
673.0349,0.0868737
674.9634,0.08814251
676.8918,0.08978307
678.8203,0.09215219
680.7488,0.09448167
682.6772,0.09628688
684.6057,0.09891248
686.5342,0.1017326
688.4626,0.1045318
690.3911,0.1077476
692.3196,0.1112968
694.248,0.1155821
696.1765,0.1198654
698.105,0.1246767
700.0334,0.1302125
701.9619,0.1364627
703.8904,0.1436811
705.8188,0.1517527
707.7473,0.1617556
709.6758,0.1727674
711.6042,0.1798034
713.5327,0.1738375
715.4612,0.1570005
717.3896,0.1434761
719.3181,0.1398309
721.2466,0.1424647
723.175,0.1468021
725.1035,0.1515435
727.032,0.1569089
728.9604,0.1619949
730.8889,0.1666495
732.8174,0.1715818
734.7458,0.1760926
736.6743,0.1804399
738.6028,0.1861752
740.5313,0.1943559
742.4597,0.2063071
744.3882,0.2217586
746.3167,0.2382449
748.2451,0.2479144
750.1736,0.2433419
752.1021,0.2239691
754.0305,0.1969132
755.959,0.1717475
757.8875,0.1542581
759.8159,0.1454833
761.7444,0.1423699
763.6729,0.1419948
765.6013,0.1434653
767.5298,0.1459212
769.4583,0.1485499
771.3867,0.1510997
773.3152,0.1534792
775.2437,0.1543009
777.1721,0.153259
779.1006,0.1509302
781.0291,0.1472256
782.9575,0.1423092
784.886,0.1367257
786.8145,0.1315367
788.7429,0.126384
790.6714,0.1211315
792.5999,0.1171182
794.5283,0.1144625
796.4568,0.1134328
798.3853,0.1138417
800.3137,0.1166213
802.2422,0.1219612
804.1707,0.1278934
806.0991,0.1333795
808.0276,0.1424699
809.9561,0.1613864
811.8845,0.1968804
813.813,0.2545846
815.7415,0.3243659
817.6699,0.3666748
819.5984,0.3627668
821.5269,0.323767
823.4553,0.2712875
825.3838,0.2267952
827.3123,0.1988124
829.2407,0.1820486
831.1692,0.1656104
833.0977,0.1496072
835.0261,0.1375012
836.9546,0.1300927
838.8831,0.1272728
840.8115,0.1273483
842.74,0.1293325
844.6685,0.132166
846.5969,0.136029
848.5254,0.1417288
850.4539,0.1487871
852.3823,0.1567232
854.3108,0.1653198
856.2393,0.1745046
858.1677,0.1846842
860.0962,0.1952223
862.0247,0.2051586
863.9531,0.2146998
865.8816,0.2224325
867.8101,0.2276275
869.7385,0.2305439
871.667,0.2312662
873.5955,0.2305694
875.5239,0.2285445
877.4524,0.225255
879.3809,0.2208314
881.3093,0.214809
883.2378,0.206731
885.1663,0.1970277
887.0947,0.1871203
889.0232,0.17688
890.9517,0.1654698
892.8801,0.153879
894.8085,0.1433831
896.737,0.1336691
898.6655,0.1243917
