x,y
399.1926,0.2050266
401.1211,0.2091763
403.0496,0.2101819
404.978,0.2122205
406.9065,0.209122
408.835,0.2101096
410.7634,0.2107313
412.6919,0.207654
414.6204,0.2124048
416.5488,0.2166204
418.4773,0.2143531
420.4058,0.2137772
422.3342,0.2132706
424.2627,0.2149022
426.1912,0.2175156
428.1196,0.2220578
430.0481,0.2243937
431.9766,0.2264817
433.905,0.2282042
435.8335,0.2306116
437.762,0.2296894
439.6904,0.2300364
441.6189,0.2324124
443.5474,0.2340845
445.4758,0.2354861
447.4043,0.2391042
449.3328,0.238223
451.2612,0.2370343
453.1897,0.2355925
455.1182,0.235357
457.0466,0.235498
458.9751,0.2361362
460.9036,0.2359045
462.832,0.2360462
464.7605,0.2360323
466.689,0.2358534
468.6174,0.2351663
470.5459,0.2350255
472.4744,0.2362773
474.4028,0.2358983
476.3313,0.2354583
478.2598,0.2364339
480.1882,0.2360714
482.1167,0.2365754
484.0452,0.236366
485.9736,0.2374877
487.9021,0.2366019
489.8306,0.2354028
491.759,0.2356555
493.6875,0.2367018
495.616,0.2352288
497.5444,0.2338551
499.4729,0.2346203
501.4014,0.2353231
503.3298,0.2344402
505.2583,0.2330743
507.1868,0.23225
509.1152,0.2309471
511.0437,0.229655
512.9722,0.229133
514.9006,0.2285715
516.8291,0.2276672
518.7576,0.2268509
520.686,0.2275504
522.6145,0.2270956
524.543,0.2256787
526.4714,0.2255799
528.3999,0.2255251
530.3284,0.2243669
532.2568,0.2244801
534.1853,0.2253484
536.1138,0.2243992
538.0422,0.2235307
539.9707,0.2242117
541.8992,0.2246437
543.8276,0.2237508
545.7561,0.223907
547.6846,0.2243735
549.613,0.2232886
551.5415,0.2226653
553.47,0.2239962
555.3984,0.2235458
557.3269,0.2218742
559.2554,0.2213065
561.1838,0.2212326
563.1123,0.2205913
565.0408,0.2196324
566.9692,0.218681
568.8977,0.2183967
570.8262,0.2172768
572.7546,0.2158736
574.6831,0.2157446
576.6116,0.2148206
578.54,0.2129118
580.4685,0.2110427
582.397,0.2103092
584.3254,0.2098934
586.2539,0.2096445
588.1824,0.2085823
590.1108,0.2086467
592.0393,0.2086405
593.9678,0.2076916
595.8962,0.2069656
597.8247,0.2063849
599.7532,0.2059959
601.6816,0.2049267
603.6101,0.2039326
605.5386,0.2032374
607.467,0.2027246
609.3955,0.2024581
611.324,0.201166
613.2524,0.2003378
615.1809,0.2006849
617.1094,0.2008245
619.0378,0.2007206
620.9663,0.2005797
622.8948,0.2006342
624.8232,0.2008892
626.7517,0.2007651
628.6802,0.2001461
630.6086,0.1990439
632.5371,0.1984514
634.4656,0.1980659
636.394,0.1969727
638.3225,0.195769
640.251,0.1951613
642.1794,0.1944378
644.1079,0.1935393
646.0364,0.192522
647.9648,0.1921878
649.8933,0.1920256
651.8218,0.1915456
653.7502,0.1912854
655.6787,0.1916188
657.6072,0.1912852
659.5356,0.1906465
661.4641,0.1902512
663.3926,0.1902861
665.321,0.1904262
667.2495,0.1904119
669.178,0.1902106
671.1064,0.1900152
673.0349,0.1896407
674.9634,0.1893601
676.8918,0.1893502
678.8203,0.1891452
680.7488,0.1892549
682.6772,0.1892609
684.6057,0.1886136
686.5342,0.1881633
688.4626,0.1878214
690.3911,0.1868563
692.3196,0.1855519
694.248,0.1841334
696.1765,0.182737
698.105,0.1811834
700.0334,0.179452
701.9619,0.1775414
703.8904,0.1760067
705.8188,0.1740508
707.7473,0.171494
709.6758,0.1689315
711.6042,0.1664476
713.5327,0.1638138
715.4612,0.1609078
717.3896,0.1582626
719.3181,0.1557038
721.2466,0.1528354
723.175,0.1497923
725.1035,0.1471247
727.032,0.144648
728.9604,0.1418554
730.8889,0.1388157
732.8174,0.1360671
734.7458,0.1332602
736.6743,0.1311716
738.6028,0.1292117
740.5313,0.1267682
742.4597,0.1245832
744.3882,0.1225747
746.3167,0.1205465
748.2451,0.1187881
750.1736,0.117072
752.1021,0.1156746
754.0305,0.114214
755.959,0.1127029
757.8875,0.1114655
759.8159,0.110264
761.7444,0.109236
763.6729,0.108294
765.6013,0.1070989
767.5298,0.1064227
769.4583,0.1056122
771.3867,0.1044803
773.3152,0.103395
775.2437,0.1027386
777.1721,0.1017713
779.1006,0.100718
781.0291,0.09997125
782.9575,0.09916836
784.886,0.09860976
786.8145,0.09796985
788.7429,0.09718025
790.6714,0.09636471
792.5999,0.09542593
794.5283,0.09485532
796.4568,0.09416267
798.3853,0.09306476
800.3137,0.09230728
802.2422,0.09147257
804.1707,0.09086333
806.0991,0.09000205
808.0276,0.08906868
809.9561,0.0886
811.8845,0.0882763
813.813,0.08765006
815.7415,0.08727382
817.6699,0.08713571
819.5984,0.08674368
821.5269,0.08607254
823.4553,0.08589577
825.3838,0.08590089
827.3123,0.08546492
829.2407,0.08482055
831.1692,0.08450689
833.0977,0.08408806
835.0261,0.08341586
836.9546,0.08271627
838.8831,0.08180344
840.8115,0.08055711
842.74,0.07931769
844.6685,0.07778813
846.5969,0.07627839
848.5254,0.07437681
850.4539,0.0720861
852.3823,0.07014369
854.3108,0.06810162
856.2393,0.06578421
858.1677,0.06351925
860.0962,0.06166811
862.0247,0.05991718
863.9531,0.05772502
865.8816,0.05543373
867.8101,0.05332036
869.7385,0.05105523
871.667,0.04833106
873.5955,0.04562697
875.5239,0.04277335
877.4524,0.03974653
879.3809,0.03675504
881.3093,0.03400998
883.2378,0.03150396
885.1663,0.02923862
887.0947,0.02689488
889.0232,0.02486713
890.9517,0.02310521
892.8801,0.02179563
894.8085,0.02083476
896.737,0.0200756
898.6655,0.01978205
900.5939,0.01938125
902.5224,0.01905975
904.4509,0.01895145
906.3793,0.01871026
908.3078,0.01823993
910.2363,0.01798204
912.1647,0.01777897
