x,y
399.1926,0.08329832
401.1211,0.07754423
403.0496,0.07754423
404.978,0.06412781
406.9065,0.06753936
408.835,0.06664722
410.7634,0.0619359
412.6919,0.06981763
414.6204,0.07402826
416.5488,0.07006936
418.4773,0.0677857
420.4058,0.06697303
422.3342,0.07018458
424.2627,0.07483508
426.1912,0.07497898
428.1196,0.07070969
430.0481,0.06628306
431.9766,0.06901689
433.905,0.07538122
435.8335,0.07448767
437.762,0.07254987
439.6904,0.06995895
441.6189,0.06848171
443.5474,0.0679565
445.4758,0.0699755
447.4043,0.07024959
449.3328,0.07140229
451.2612,0.06990286
453.1897,0.06988959
455.1182,0.07424384
457.0466,0.07721415
458.9751,0.07910533
460.9036,0.07827638
462.832,0.07882953
464.7605,0.08260446
466.689,0.08609221
468.6174,0.08802453
470.5459,0.08975818
472.4744,0.0902819
474.4028,0.08942057
476.3313,0.08784086
478.2598,0.08420651
480.1882,0.08227617
482.1167,0.08116481
484.0452,0.07989787
485.9736,0.07904754
487.9021,0.07810806
489.8306,0.07890943
491.759,0.08026129
493.6875,0.0816825
495.616,0.0851182
497.5444,0.08679394
499.4729,0.08715045
501.4014,0.08974506
503.3298,0.09481199
505.2583,0.09911841
507.1868,0.1028202
509.1152,0.1072656
511.0437,0.1126681
512.9722,0.1180773
514.9006,0.1240175
516.8291,0.1303059
518.7576,0.1390565
520.686,0.1483918
522.6145,0.1576814
524.543,0.167427
526.4714,0.177673
528.3999,0.188815
530.3284,0.2020932
532.2568,0.2171311
534.1853,0.229874
536.1138,0.2430864
538.0422,0.2594407
539.9707,0.2788035
541.8992,0.3003016
543.8276,0.3230844
545.7561,0.3469463
547.6846,0.3713937
549.613,0.395701
551.5415,0.419708
553.47,0.4452669
555.3984,0.4712926
557.3269,0.4989701
559.2554,0.5198202
561.1838,0.5194823
563.1123,0.5054435
565.0408,0.4806034
566.9692,0.4459783
568.8977,0.4116661
570.8262,0.3793974
572.7546,0.3449543
574.6831,0.3102396
576.6116,0.2784979
578.54,0.2511032
580.4685,0.2289727
582.397,0.2132815
584.3254,0.203672
586.2539,0.1992544
588.1824,0.19928
590.1108,0.2044535
592.0393,0.2165579
593.9678,0.2370167
595.8962,0.2683741
597.8247,0.3028325
599.7532,0.3205471
601.6816,0.3110955
603.6101,0.2802064
605.5386,0.2415058
607.467,0.2058679
609.3955,0.1779314
611.324,0.1569086
613.2524,0.1405332
615.1809,0.1284829
617.1094,0.120579
619.0378,0.1161053
620.9663,0.1129688
622.8948,0.110213
624.8232,0.1093137
626.7517,0.1097299
628.6802,0.1098323
630.6086,0.1089396
632.5371,0.1066772
634.4656,0.1032611
636.394,0.09979574
638.3225,0.09641333
640.251,0.09179937
642.1794,0.0874204
644.1079,0.08335436
646.0364,0.07907794
647.9648,0.07394485
649.8933,0.06956112
651.8218,0.06633277
653.7502,0.06296788
655.6787,0.06066637
657.6072,0.0590877
659.5356,0.05689605
661.4641,0.05579695
663.3926,0.05471258
665.321,0.05304243
667.2495,0.05183067
669.178,0.0507919
671.1064,0.0499418
673.0349,0.04947156
674.9634,0.04896178
676.8918,0.04818933
678.8203,0.04743961
680.7488,0.04680014
682.6772,0.04591874
684.6057,0.04488911
686.5342,0.0446845
688.4626,0.04481486
690.3911,0.04469309
692.3196,0.04449809
694.248,0.04393977
696.1765,0.04309814
698.105,0.04234984
700.0334,0.04195052
701.9619,0.04188177
703.8904,0.04191713
705.8188,0.0413674
707.7473,0.04082799
709.6758,0.04066079
711.6042,0.04021446
713.5327,0.03994694
715.4612,0.04000619
717.3896,0.04031286
719.3181,0.0404541
721.2466,0.04000881
723.175,0.03969146
725.1035,0.03951212
727.032,0.03909988
728.9604,0.03905626
730.8889,0.03895259
732.8174,0.03895441
734.7458,0.03878022
736.6743,0.03826101
738.6028,0.03787898
740.5313,0.03820981
742.4597,0.03824809
744.3882,0.03820843
746.3167,0.03803964
748.2451,0.03786304
750.1736,0.0377817
752.1021,0.03748158
754.0305,0.03753548
755.959,0.03731257
757.8875,0.0367972
759.8159,0.03709472
761.7444,0.03711237
763.6729,0.03732134
765.6013,0.03732972
767.5298,0.03689989
769.4583,0.03683969
771.3867,0.03700166
773.3152,0.03677953
775.2437,0.03655611
777.1721,0.03671134
779.1006,0.03682169
781.0291,0.03684539
782.9575,0.03708281
784.886,0.03705982
786.8145,0.0372156
788.7429,0.03761818
790.6714,0.03788795
792.5999,0.03807596
794.5283,0.0378749
796.4568,0.03765973
798.3853,0.03783972
800.3137,0.03819447
802.2422,0.03862483
804.1707,0.03902712
806.0991,0.03930266
808.0276,0.03898713
809.9561,0.03903984
811.8845,0.03965255
813.813,0.04017429
815.7415,0.04040613
817.6699,0.04052801
819.5984,0.04101931
821.5269,0.04183748
823.4553,0.04208528
825.3838,0.04228556
827.3123,0.04295001
829.2407,0.04359199
831.1692,0.04394201
833.0977,0.04446726
835.0261,0.0456666
836.9546,0.04697876
838.8831,0.04772576
840.8115,0.04890604
842.74,0.0504055
844.6685,0.05164143
846.5969,0.05321438
848.5254,0.05522073
850.4539,0.05712206
852.3823,0.05955535
854.3108,0.06210545
856.2393,0.06429188
858.1677,0.06664827
860.0962,0.06888706
862.0247,0.07073371
863.9531,0.07254642
865.8816,0.07375249
867.8101,0.07458936
869.7385,0.07570127
871.667,0.07715304
873.5955,0.07723244
875.5239,0.07573254
877.4524,0.07409145
879.3809,0.07217388
881.3093,0.06936069
883.2378,0.06652038
885.1663,0.0643562
887.0947,0.06294019
889.0232,0.06203825
890.9517,0.06180642
892.8801,0.06182426
894.8085,0.06174117
896.737,0.06175068
898.6655,0.06197087
900.5939,0.06245533
902.5224,0.06303745
904.4509,0.06343441
906.3793,0.06411146
908.3078,0.06458739
910.2363,0.06501733
912.1647,0.06581143
914.0932,0.06694311
916.0217,0.06802528
917.9501,0.06903258
919.8786,0.07056283
921.8071,0.07250465
923.7355,0.07427253
925.664,0.07608222
927.5925,0.07845009
929.5209,0.08140773
931.4494,0.08462258
933.3779,0.0881574
935.3063,0.09208599
937.2348,0.09664871
939.1633,0.1016273
941.0917,0.1074807
943.0202,0.1140801
944.9487,0.1214069
946.8771,0.1297471
948.8056,0.1394874
950.7341,0.1503511
952.6625,0.1626839
954.591,0.176309
956.5195,0.1898855
958.4479,0.2024193
960.3764,0.2103039
962.3049,0.2082366
964.2333,0.1977534
966.1618,0.1869228
968.0903,0.1821656
