x,y
399.1926,0.2543537
401.1211,0.2807305
403.0496,0.2820801
404.978,0.2814937
406.9065,0.2736061
408.835,0.2712552
410.7634,0.2795013
412.6919,0.285525
414.6204,0.2789485
416.5488,0.2690291
418.4773,0.2675259
420.4058,0.2659162
422.3342,0.259541
424.2627,0.2567803
426.1912,0.2619795
428.1196,0.2727308
430.0481,0.2815317
431.9766,0.286476
433.905,0.2881748
435.8335,0.2926559
437.762,0.2994888
439.6904,0.3026068
441.6189,0.3013035
443.5474,0.2975401
445.4758,0.2912721
447.4043,0.2837919
449.3328,0.2778422
451.2612,0.2723271
453.1897,0.2664544
455.1182,0.258806
457.0466,0.2548102
458.9751,0.2530292
460.9036,0.2494954
462.832,0.2444451
464.7605,0.238563
466.689,0.2341304
468.6174,0.2278928
470.5459,0.2201701
472.4744,0.2148559
474.4028,0.2094601
476.3313,0.2031337
478.2598,0.1984387
480.1882,0.1952395
482.1167,0.1915844
484.0452,0.1885113
485.9736,0.1870236
487.9021,0.1844632
489.8306,0.1829362
491.759,0.1829849
493.6875,0.1833061
495.616,0.185012
497.5444,0.1859235
499.4729,0.1851515
501.4014,0.1841037
503.3298,0.182975
505.2583,0.1802929
507.1868,0.1739579
509.1152,0.1666489
511.0437,0.1595953
512.9722,0.1525874
514.9006,0.1464069
516.8291,0.1403749
518.7576,0.136104
520.686,0.1337511
522.6145,0.1319496
524.543,0.1305072
526.4714,0.1280968
528.3999,0.1243636
530.3284,0.1207309
532.2568,0.1181614
534.1853,0.1151737
536.1138,0.1120446
538.0422,0.1091235
539.9707,0.1065229
541.8992,0.1025142
543.8276,0.09645914
545.7561,0.0912021
547.6846,0.08641783
549.613,0.07971118
551.5415,0.07257768
553.47,0.06610392
555.3984,0.06054331
557.3269,0.05547759
559.2554,0.05056208
561.1838,0.0461275
563.1123,0.04311727
565.0408,0.04009612
566.9692,0.03678113
568.8977,0.03428242
570.8262,0.03246121
572.7546,0.03038
574.6831,0.02871053
576.6116,0.028003
578.54,0.02791928
580.4685,0.02761279
582.397,0.02713645
584.3254,0.02744119
586.2539,0.02832512
588.1824,0.02900993
590.1108,0.02937867
592.0393,0.02964095
593.9678,0.0298204
595.8962,0.03054116
597.8247,0.03124668
599.7532,0.03146214
601.6816,0.03167122
603.6101,0.03130201
605.5386,0.03044193
607.467,0.03027526
609.3955,0.03039048
611.324,0.03038011
613.2524,0.03009069
615.1809,0.02951122
617.1094,0.02891126
619.0378,0.02834673
620.9663,0.02823183
622.8948,0.02783049
624.8232,0.02781023
626.7517,0.02814404
628.6802,0.02800161
630.6086,0.0280641
632.5371,0.02850096
634.4656,0.02922547
636.394,0.03025389
638.3225,0.03133619
640.251,0.03275187
642.1794,0.03538484
644.1079,0.03862177
646.0364,0.04173137
647.9648,0.04498105
649.8933,0.04929767
651.8218,0.05492636
653.7502,0.06204931
655.6787,0.0706198
657.6072,0.07993826
659.5356,0.08928003
661.4641,0.09726319
663.3926,0.1011572
665.321,0.09987214
667.2495,0.09421863
669.178,0.08525591
671.1064,0.07542204
673.0349,0.06622691
674.9634,0.05878572
676.8918,0.05266276
678.8203,0.0481367
680.7488,0.04547083
682.6772,0.04369377
684.6057,0.04230364
686.5342,0.04146395
688.4626,0.04136725
690.3911,0.04197264
692.3196,0.0427762
694.248,0.04339387
696.1765,0.04423467
698.105,0.04559473
700.0334,0.04722758
701.9619,0.04875867
703.8904,0.04939217
705.8188,0.04931793
707.7473,0.04885317
709.6758,0.04806652
711.6042,0.04727294
713.5327,0.04636044
715.4612,0.04596725
717.3896,0.0456556
719.3181,0.04565118
721.2466,0.04617148
723.175,0.04774423
725.1035,0.0506815
727.032,0.05480823
728.9604,0.06021247
730.8889,0.06685401
732.8174,0.07339376
734.7458,0.08053569
736.6743,0.08763883
738.6028,0.0926334
740.5313,0.09468128
742.4597,0.09360091
744.3882,0.08974866
746.3167,0.08392601
748.2451,0.07671415
750.1736,0.06895954
752.1021,0.06175917
754.0305,0.05572703
755.959,0.05036744
757.8875,0.04536675
759.8159,0.04069109
761.7444,0.03694838
763.6729,0.03402878
765.6013,0.03193671
767.5298,0.03051178
769.4583,0.02941291
771.3867,0.02903252
773.3152,0.02931482
775.2437,0.02973197
777.1721,0.02973331
779.1006,0.02963786
781.0291,0.03020915
782.9575,0.03064693
784.886,0.03097824
786.8145,0.03139073
788.7429,0.03154099
790.6714,0.03183008
792.5999,0.03289944
794.5283,0.03411032
796.4568,0.03493531
798.3853,0.03559186
800.3137,0.03668724
802.2422,0.03804003
804.1707,0.03910727
806.0991,0.0400556
808.0276,0.04142529
809.9561,0.04300332
811.8845,0.04457204
813.813,0.04609307
815.7415,0.04732284
817.6699,0.04823623
819.5984,0.04942162
821.5269,0.05118357
823.4553,0.05261969
825.3838,0.05370948
827.3123,0.05582792
829.2407,0.05806746
831.1692,0.06011621
833.0977,0.06265787
835.0261,0.06544494
836.9546,0.06849333
838.8831,0.07181525
840.8115,0.07543177
842.74,0.07920038
844.6685,0.08273982
846.5969,0.08669369
848.5254,0.09043499
850.4539,0.09420922
852.3823,0.09866375
854.3108,0.1031796
856.2393,0.1071225
858.1677,0.1117555
860.0962,0.1172755
862.0247,0.1237841
863.9531,0.1320528
865.8816,0.1437538
867.8101,0.1568544
869.7385,0.1644076
871.667,0.1650422
873.5955,0.1650581
875.5239,0.1714663
877.4524,0.182704
879.3809,0.1943417
881.3093,0.205923
883.2378,0.2180947
885.1663,0.2306604
887.0947,0.2423518
889.0232,0.2527364
890.9517,0.2626654
892.8801,0.2729349
894.8085,0.2836844
896.737,0.2946389
898.6655,0.3056324
900.5939,0.3166864
902.5224,0.3268001
904.4509,0.3354351
906.3793,0.3421904
908.3078,0.3479338
910.2363,0.3524868
912.1647,0.3550597
914.0932,0.3553819
916.0217,0.353947
917.9501,0.3506813
919.8786,0.3461981
921.8071,0.341184
923.7355,0.3363687
925.664,0.3332056
927.5925,0.3316662
929.5209,0.3318481
931.4494,0.3330876
933.3779,0.3344548
935.3063,0.3359863
937.2348,0.3383236
939.1633,0.3406603
941.0917,0.3433819
943.0202,0.3466809
944.9487,0.3491012
946.8771,0.3520217
948.8056,0.3560809
950.7341,0.360574
952.6625,0.3638248
954.591,0.3653981
956.5195,0.3655528
958.4479,0.364751
960.3764,0.3621368
962.3049,0.3590848
964.2333,0.355408
966.1618,0.3513886
968.0903,0.3467
970.0187,0.3403152
971.9472,0.3332061
973.8757,0.3256133
975.8041,0.3173828
977.7326,0.3087445
979.6611,0.2991145
981.5895,0.289038
983.518,0.2789997
985.4465,0.2691719
987.3749,0.258923
989.3034,0.248627
991.2319,0.2388857
993.1603,0.2293444
995.0888,0.2198761
997.0173,0.210812
998.9457,0.2022783
1000.874,0.1939874
1002.803,0.185952
1004.731,0.1789047
1006.66,0.1723224
1008.588,0.1660571
1010.517,0.1604558
1012.445,0.1556801
1014.373,0.1515357
1016.302,0.1479316
1018.23,0.1447117
1020.159,0.1422641
1022.087,0.1404284
1024.016,0.1390308
1025.944,0.1382649
1027.873,0.1385752
1029.801,0.1398696
1031.73,0.1417141
1033.658,0.1436682
1035.587,0.1461282
1037.515,0.148052
1039.444,0.1491833
1041.372,0.1500668
1043.301,0.1507066
1045.229,0.1510957
1047.157,0.1515145
1049.086,0.1518728
1051.014,0.1524941
1052.943,0.1528569
1054.871,0.153249
1056.8,0.1528021
1058.728,0.1514
1060.657,0.1496276
1062.585,0.1471221
1064.514,0.1441301
1066.442,0.141211
1068.371,0.1386749
1070.299,0.1362752
1072.228,0.1335013
1074.156,0.1308677
1076.084,0.1284413
1078.013,0.1258584
1079.941,0.1228986
1081.87,0.119399
1083.798,0.1159541
1085.727,0.1120871
1087.655,0.1077479
1089.584,0.1034072
1091.512,0.09903487
1093.441,0.0948853
1095.369,0.09101256
1097.298,0.08776306
1099.226,0.08450022
1101.155,0.08089124
1103.083,0.07758071
1105.011,0.07472897
1106.94,0.07164821
1108.868,0.06804054
1110.797,0.0643689
1112.725,0.06047159
1114.654,0.0565586
1116.582,0.05279723
1118.511,0.0490806
1120.439,0.04579891
1122.368,0.04311787
1124.296,0.04175192
1126.225,0.0412351
1128.153,0.04167239
1130.082,0.04376705
1132.01,0.04754505
1133.938,0.05243374
1135.867,0.05882898
1137.795,0.06644756
1139.724,0.07374384
1141.652,0.07959872
1143.581,0.08274091
1145.509,0.08231839
1147.438,0.07879306
1149.366,0.07278281
1151.295,0.06508699
1153.223,0.05666068
1155.152,0.04854417
1157.08,0.04097303
1159.009,0.03460979
1160.937,0.02924858
1162.865,0.02473274
1164.794,0.02082141
1166.722,0.01759801
1168.651,0.01509066
1170.579,0.01301587
1172.508,0.01138571
1174.436,0.01004257
1176.365,0.009006696
1178.293,0.008443509
1180.222,0.007924674
1182.15,0.007308097
1184.079,0.006953113
1186.007,0.006887568
1187.936,0.00669313
1189.864,0.006364579
1191.792,0.005909157
1193.721,0.005593804
1195.649,0.005357814
1197.578,0.005380689
1199.506,0.005306796
1201.435,0.004761284
1203.363,0.00430101
1205.292,0.00419207
1207.22,0.004359726
1209.149,0.004254596
1211.077,0.0041152
1213.006,0.004179317
1214.934,0.004229745
1216.863,0.003948859
1218.791,0.003682751
1220.719,0.003563593
1222.648,0.003474285
1224.576,0.00339572
1226.505,0.003267752
1228.433,0.003540465
1230.362,0.003750761
1232.29,0.003594
1234.219,0.003597525
1236.147,0.003588179
1238.076,0.003715659
1240.004,0.003633044
1241.933,0.003454533
1243.861,0.003601068
1245.79,0.003563603
1247.718,0.003351433
1249.646,0.003194319
1251.575,0.003330498
1253.503,0.00343146
1255.432,0.003138523
1257.36,0.003126584
1259.289,0.003501551
1261.217,0.003417632
1263.146,0.002821615
1265.074,0.002829673
1267.003,0.003181215
1268.931,0.003399782
1270.86,0.003555084
1272.788,0.003474491
1274.717,0.003488936
1276.645,0.003538956
1278.573,0.003636913
1280.502,0.003678018
1282.43,0.003636336
1284.359,0.003324361
1286.287,0.003065607
1288.216,0.003177596
1290.144,0.003405478
1292.073,0.003339503
1294.001,0.003109169
1295.93,0.002901366
1297.858,0.00298838
1299.787,0.003130951
1301.715,0.00344535
1303.644,0.003553679
1305.572,0.003183603
1307.5,0.002923787
1309.429,0.003015589
1311.357,0.003068912
1313.286,0.003192699
1315.214,0.003350963
1317.143,0.003255621
1319.071,0.003309092
1321.0,0.00345676
1322.928,0.00361732
1324.857,0.003665754
1326.785,0.003624238
1328.714,0.003624811
1330.642,0.003707275
1332.571,0.003891715
1334.499,0.004059942
1336.427,0.004131764
1338.356,0.004085117
1340.284,0.004009078
1342.213,0.00398077
1344.141,0.004279471
1346.07,0.004473219
1347.998,0.004396234
1349.927,0.004525206
1351.855,0.004806679
1353.784,0.00503328
1355.712,0.005099034
1357.641,0.005221099
1359.569,0.005320374
1361.498,0.005377312
1363.426,0.005690268
1365.354,0.006185611
1367.283,0.006652907
1369.211,0.006587376
1371.14,0.006565922
1373.068,0.006909024
1374.997,0.007206261
1376.925,0.007017747
1378.854,0.007117679
1380.782,0.007499104
1382.711,0.007856592
1384.639,0.008009199
1386.568,0.008412971
1388.496,0.008677822
1390.424,0.00903345
1392.353,0.009355742
1394.281,0.009677552
1396.21,0.009910923
1398.138,0.01012152
1400.067,0.01041144
1401.995,0.01081714
1403.924,0.01115164
1405.852,0.0116011
1407.781,0.01218524
1409.709,0.01230158
1411.638,0.01252727
1413.566,0.01311553
1415.495,0.01367053
1417.423,0.01398706
1419.351,0.01450374
1421.28,0.01504418
1423.208,0.01580932
1425.137,0.01656762
1427.065,0.01718892
1428.994,0.01784999
1430.922,0.01845644
1432.851,0.01938058
1434.779,0.02064832
1436.708,0.02210202
1438.636,0.02324061
1440.565,0.0244788
1442.493,0.0258633
1444.422,0.02738267
1446.35,0.02900363
1448.278,0.03045983
1450.207,0.03140363
1452.135,0.03244113
1454.064,0.03321646
1455.992,0.03328879
1457.921,0.03285199
1459.849,0.03232504
1461.778,0.03194312
1463.706,0.03197414
1465.635,0.03171933
1467.563,0.03085016
1469.492,0.03017721
1471.42,0.02986871
1473.349,0.02918061
1475.277,0.02808175
1477.205,0.02711268
1479.134,0.02628627
1481.062,0.02542605
1482.991,0.0244406
1484.919,0.0237976
1486.848,0.02323142
1488.776,0.02235948
1490.705,0.02176106
1492.633,0.02084535
1494.562,0.01985735
1496.49,0.01927574
1498.419,0.01873503
1500.347,0.0180532
1502.276,0.01737088
1504.204,0.01653245
1506.132,0.01561429
1508.061,0.0147819
1509.989,0.01429862
1511.918,0.01401896
1513.846,0.01373801
1515.775,0.01318748
1517.703,0.01261841
1519.632,0.01216863
1521.56,0.01166488
1523.489,0.01135242
1525.417,0.01136396
1527.346,0.01081215
1529.274,0.01034792
1531.203,0.01035339
1533.131,0.0103492
1535.059,0.0103632
1536.988,0.01033593
1538.916,0.01000274
1540.845,0.009584134
1542.773,0.009248889
1544.702,0.009329991
1546.63,0.009377705
1548.559,0.009047015
1550.487,0.008643413
1552.416,0.008402816
1554.344,0.00848011
1556.273,0.008744301
1558.201,0.009039038
1560.13,0.008974056
1562.058,0.008645113
1563.986,0.008508893
1565.915,0.008254326
1567.843,0.007962938
1569.772,0.007686831
1571.7,0.007490586
1573.629,0.007360357
1575.557,0.00759263
1577.486,0.007487298
1579.414,0.007349437
1581.343,0.007463387
1583.271,0.007687785
1585.2,0.007414424
1587.128,0.007155531
1589.057,0.006926563
1590.985,0.006905683
1592.913,0.007205985
1594.842,0.007015568
1596.77,0.006750355
1598.699,0.006720371
1600.627,0.006779138
1602.556,0.006875569
1604.484,0.006882769
1606.413,0.006690349
1608.341,0.006678957
1610.27,0.006618449
1612.198,0.006428115
1614.127,0.006523521
1616.055,0.006792032
1617.984,0.006843065
1619.912,0.006771119
1621.84,0.006778095
1623.769,0.006872912
1625.697,0.006743364
1627.626,0.006381599
1629.554,0.006128886
1631.483,0.006150644
1633.411,0.006677669
1635.34,0.006711207
1637.268,0.006173987
1639.197,0.005792652
1641.125,0.00585621
1643.054,0.006351891
1644.982,0.006740984
1646.911,0.006544602
1648.839,0.006401873
1650.767,0.006412065
1652.696,0.006590195
1654.624,0.006593182
1656.553,0.006091143
1658.481,0.005913601
1660.41,0.006118531
1662.338,0.005990554
1664.267,0.005524585
1666.195,0.005443705
1668.124,0.005757754
1670.052,0.005772776
1671.981,0.005667544
1673.909,0.00569644
1675.838,0.005437782
1677.766,0.005068042
1679.694,0.004697128
1681.623,0.004651659
1683.551,0.005153714
1685.48,0.005282854
1687.408,0.00493442
1689.337,0.004882301
1691.265,0.004571637
1693.194,0.004307169
1695.122,0.004334842
1697.051,0.004300973
1698.979,0.004265999
1700.908,0.004107438
1702.836,0.003841397
1704.765,0.003834335
1706.693,0.003864821
1708.621,0.004105799
1710.55,0.004397214
1712.478,0.004144451
1714.407,0.004004726
1716.335,0.004137201
1718.264,0.003840948
1720.192,0.003675639
1722.121,0.003716632
1724.049,0.003951787
1725.978,0.00434656
1727.906,0.004466711
1729.835,0.004346934
1731.763,0.004170697
1733.692,0.003901765
1735.62,0.003269746
1737.548,0.002868558
1739.477,0.002550077
1741.405,0.002657527
1743.334,0.003005801
1745.262,0.003068056
1747.191,0.002884187
1749.119,0.002964225
1751.048,0.003177907
1752.976,0.003142154
1754.905,0.002948812
1756.833,0.002603265
1758.762,0.002719512
1760.69,0.003078542
1762.619,0.002789716
1764.547,0.0027257
1766.475,0.003317588
1768.404,0.00322747
1770.332,0.003180392
1772.261,0.003649353
1774.189,0.002985052
1776.118,0.002437587
1778.046,0.002905435
1779.975,0.003480552
1781.903,0.003409065
1783.832,0.003019847
1785.76,0.002568356
1787.689,0.002465055
1789.617,0.00281376
1791.546,0.002739943
1793.474,0.002235983
1795.402,0.001707595
1797.331,0.001559519
1799.259,0.001905885
1801.188,0.002191257
1803.116,0.002172035
1805.045,0.002051719
1806.973,0.001868443
1808.902,0.00189549
1810.83,0.002355649
1812.759,0.002041518
1814.687,0.001884676
1816.616,0.00259981
1818.544,0.002965441
1820.473,0.00224956
1822.401,0.001586656
1824.329,0.001463816
1826.258,0.001643616
1828.186,0.001618036
1830.115,0.001461533
1832.043,0.001564518
1833.972,0.001613597
1835.9,0.001493821
1837.829,0.001043869
1839.757,0.001343132
1841.686,0.001872468
1843.614,0.002359575
1845.543,0.002340639
1847.471,0.001925904
1849.4,0.001989588
1851.328,0.001810091
1853.256,0.001540673
1855.185,0.001754227
1857.113,0.001713008
1859.042,0.001812447
1860.97,0.002054456
1862.899,0.001758305
1864.827,0.001949943
1866.756,0.001908745
1868.684,0.001284681
1870.613,0.001288117
1872.541,0.001061101
1874.47,0.0005404012
1876.398,0.0003790926
1878.327,0.001102705
1880.255,0.001448274
1882.183,0.001853385
1884.112,0.001691492
1886.04,0.001768686
1887.969,0.001836762
1889.897,0.001420321
1891.826,0.001274347
1893.754,0.0003991724
1895.683,5.841502e-06
1897.611,0.0006424609
1899.54,0.001690585
1901.468,0.001548308
1903.397,0.001071828
1905.325,0.0008113168
1907.254,0.0005072952
1909.182,0.0003836275
1911.11,4.888665e-05
1913.039,-0.0006955047
1914.967,-0.0009110323
1916.896,-0.0008925988
1918.824,-0.0002618383
1920.753,-0.0003357728
1922.681,-0.001392984
1924.61,-0.0009737122
1926.538,-0.0008907759
1928.467,-0.0005331859
1930.395,-0.0009186274
1932.324,-0.0004301424
1934.252,-0.001894913
1936.181,-0.003360947
1938.109,-0.003553471
1940.037,-0.002572719
1941.966,-0.002527869
1943.894,-0.002997167
1945.823,-0.002918289
1947.751,-0.002763982
1949.68,-0.002092286
1951.608,-0.001013917
1953.537,-0.001388585
1955.465,-0.004082593
1957.394,-0.00654527
1959.322,-0.005678864
1961.251,-0.003389385
1963.179,-0.003202344
1965.108,-0.003219112
1967.036,-0.002889112
1968.964,-0.001935038
1970.893,-0.00250165
1972.821,-0.004396239
1974.75,-0.005671776
1976.678,-0.00494686
1978.607,-0.003682363
1980.535,-0.00390064
1982.464,-0.003757299
1984.392,-0.002531699
1986.321,-0.002646497
1988.249,-0.003139993
1990.178,-0.002223229
1992.106,-0.002054257
1994.035,-0.00372443
1995.963,-0.002263465
1997.891,-0.001865313
1999.82,-0.00265933
2001.748,-0.001633401
2003.677,-0.001747022
2005.605,-0.002003337
2007.534,-0.001184275
2009.462,-0.000776462
2011.391,-0.001389253
2013.319,-0.001787052
2015.248,-0.002395416
2017.176,-0.0030638
2019.105,0.0001911573
2021.033,0.001639762
2022.962,-0.002017865
2024.89,-0.002008609
2026.818,-0.001417744
2028.747,-0.004107871
2030.675,-0.002396778
2032.604,0.0005479818
2034.532,0.0001449483
2036.461,-0.002375545
2038.389,-0.00159622
2040.318,-0.0006374789
2042.246,-0.0001124569
2044.175,1.273367e-05
2046.103,0.0001424501
2048.032,0.001195267
2049.96,0.001117635
2051.889,1.278172e-05
2053.817,0.0006281981
2055.746,0.001264363
2057.674,0.0005268385
2059.603,0.0004094832
2061.531,0.0005984997
2063.459,0.000616848
2065.388,0.0008429633
2067.316,0.001952618
2069.245,0.002694288
2071.173,0.001556488
2073.102,0.001556836
2075.03,0.00177464
2076.959,0.002064838
2078.887,0.001562146
2080.816,0.001120927
2082.744,0.001321397
2084.673,0.002443181
2086.601,0.00310669
2088.53,0.001898797
2090.458,0.001303261
2092.386,0.00084968
2094.315,-0.0002252915
2096.243,0.001712614
2098.172,0.003739755
2100.1,0.001730196
2102.029,-0.000440561
2103.957,2.237802e-05
2105.886,0.002319589
2107.814,0.003204853
2109.743,0.001863725
2111.671,-1.609254e-05
2113.6,-0.0002480202
2115.528,0.0003633794
2117.457,0.001592745
2119.385,0.001551708
2121.313,0.0008299793
2123.242,0.001311019
2125.17,0.001553264
2127.099,0.0009539374
2129.027,-0.0007834744
2130.956,-0.001925008
2132.884,-0.003091007
2134.813,-0.001165969
2136.741,0.001579592
2138.67,0.002135351
2140.598,-0.001423968
2142.527,-0.005032659
2144.455,-0.003086956
2146.384,-0.000794409
2148.312,-0.003183528
2150.24,-0.004096703
2152.169,-0.004489081
2154.097,-0.006501719
2156.026,-0.005588802
2157.954,-0.001429159
2159.883,-0.0001178612
2161.811,-0.0001814201
2163.74,0.0007259613
2165.668,0.001978564
2167.597,0.0002157757
2169.525,-0.0007061506
2171.454,-0.001053249
2173.382,-3.175716e-05
2175.311,0.001993657
2177.239,0.001529465
2179.167,0.000312481
2181.096,0.001761737
2183.024,0.002055164
2184.953,-0.000255597
2186.881,0.0005470147
2188.81,0.003270292
2190.738,0.002310958
2192.667,0.001462152
2194.595,0.002313714
2196.524,0.00220982
2198.452,0.001095249
2200.381,0.001309148
2202.309,0.0007690628
2204.238,0.001659851
2206.166,0.002603673
2208.094,0.002952941
2210.023,0.00364549
2211.951,0.004302046
2213.88,0.004041675
2215.808,0.003874163
2217.737,0.002210171
2219.665,0.00206401
2221.594,0.00275497
2223.522,0.002416369
2225.451,0.001942962
2227.379,0.00276962
2229.308,0.002600024
2231.236,0.003034318
2233.165,0.004106604
2235.093,0.003620907
2237.021,0.002982407
2238.95,0.004697476
2240.878,0.00636209
2242.807,0.005337582
2244.735,0.005304705
2246.664,0.004382046
2248.592,0.00334466
2250.521,0.003279141
2252.449,0.002908204
2254.378,0.003357688
2256.306,0.004676348
2258.235,0.005529822
2260.163,0.005478514
2262.092,0.004690372
2264.02,0.005488316
2265.948,0.005641889
2267.877,0.004725623
2269.805,0.004309564
2271.734,0.004572951
2273.662,0.005000612
2275.591,0.005230711
2277.519,0.005788118
2279.448,0.005739461
2281.376,0.004534874
2283.305,0.004034182
2285.233,0.005417462
2287.162,0.005892131
2289.09,0.006436827
2291.019,0.006082605
2292.947,0.005459429
2294.875,0.005119797
2296.804,0.005414055
2298.732,0.006247167
2300.661,0.005819557
2302.589,0.00563245
2304.518,0.005873247
2306.446,0.005879544
2308.375,0.00529392
2310.303,0.00567326
2312.232,0.007052008
2314.16,0.00746576
2316.089,0.00767812
2318.017,0.008414757
2319.946,0.01002735
2321.874,0.01193123
2323.802,0.01176834
2325.731,0.01056843
2327.659,0.01000827
2329.588,0.01016633
2331.516,0.01080927
2333.445,0.01118572
2335.373,0.01126116
2337.302,0.01126568
2339.23,0.01144843
2341.159,0.01167897
2343.087,0.01130016
2345.016,0.01013885
2346.944,0.0084666
2348.873,0.007340668
2350.801,0.008907082
2352.729,0.01061495
2354.658,0.01244207
2356.586,0.01362841
2358.515,0.01321057
2360.443,0.01248452
2362.372,0.01205609
2364.3,0.01207402
2366.229,0.01155448
2368.157,0.01074727
2370.086,0.01049894
2372.014,0.009940326
2373.942,0.009092287
2375.871,0.008385224
2377.799,0.007310218
2379.728,0.006738997
2381.656,0.006396136
2383.585,0.00674499
2385.513,0.006358617
2387.442,0.006417484
2389.37,0.006957809
2391.299,0.005709057
2393.227,0.00526326
2395.156,0.006180002
2397.084,0.006286055
2399.012,0.006129985
2400.941,0.007086491
2402.869,0.006900459
2404.798,0.006651924
2406.726,0.007914473
2408.655,0.008286526
2410.583,0.00825661
2412.512,0.008006555
2414.44,0.008500781
2416.369,0.008212677
2418.297,0.006520016
2420.226,0.006437104
2422.154,0.006945338
2424.083,0.006199295
2426.011,0.005478047
