x,y
399.1926,0.2479319
401.1211,0.2301057
403.0496,0.2301057
404.978,0.2224124
406.9065,0.2274534
408.835,0.226159
410.7634,0.2231983
412.6919,0.2299149
414.6204,0.2427309
416.5488,0.2433364
418.4773,0.2509446
420.4058,0.2588229
422.3342,0.2640045
424.2627,0.2707154
426.1912,0.2749376
428.1196,0.2740268
430.0481,0.2745474
431.9766,0.2799251
433.905,0.2856498
435.8335,0.2825284
437.762,0.280488
439.6904,0.2785477
441.6189,0.2727327
443.5474,0.2695977
445.4758,0.2749829
447.4043,0.2763154
449.3328,0.2754217
451.2612,0.2746991
453.1897,0.2800689
455.1182,0.2869453
457.0466,0.2880887
458.9751,0.285369
460.9036,0.283045
462.832,0.2821137
464.7605,0.2792771
466.689,0.2759328
468.6174,0.2709852
470.5459,0.2630865
472.4744,0.2562345
474.4028,0.254266
476.3313,0.2518204
478.2598,0.2480295
480.1882,0.2463291
482.1167,0.2457032
484.0452,0.2432766
485.9736,0.2419688
487.9021,0.2413985
489.8306,0.2420235
491.759,0.2453783
493.6875,0.2497769
495.616,0.2559388
497.5444,0.2604794
499.4729,0.2663682
501.4014,0.2739289
503.3298,0.2800278
505.2583,0.2841848
507.1868,0.2861555
509.1152,0.2886281
511.0437,0.2902056
512.9722,0.2884814
514.9006,0.286015
516.8291,0.2851301
518.7576,0.2862067
520.686,0.2881568
522.6145,0.2905909
524.543,0.2931302
526.4714,0.2983959
528.3999,0.3044256
530.3284,0.310794
532.2568,0.3191688
534.1853,0.3262552
536.1138,0.3323156
538.0422,0.342382
539.9707,0.3546927
541.8992,0.366904
543.8276,0.38158
545.7561,0.3980301
547.6846,0.4161044
549.613,0.437559
551.5415,0.4604892
553.47,0.4854184
555.3984,0.5083621
557.3269,0.5278298
559.2554,0.543478
561.1838,0.5540349
563.1123,0.5606373
565.0408,0.5600846
566.9692,0.5523567
568.8977,0.5356231
570.8262,0.5099781
572.7546,0.4763421
574.6831,0.4385109
576.6116,0.399307
578.54,0.3619722
580.4685,0.3238826
582.397,0.2882387
584.3254,0.2594276
586.2539,0.235794
588.1824,0.2177521
590.1108,0.2056827
592.0393,0.1974228
593.9678,0.1903199
595.8962,0.1861187
597.8247,0.1833877
599.7532,0.1815835
601.6816,0.1814016
603.6101,0.1810577
605.5386,0.1810422
607.467,0.1823685
609.3955,0.1848406
611.324,0.1864137
613.2524,0.1873278
615.1809,0.1889856
617.1094,0.1913655
619.0378,0.1941322
620.9663,0.1970473
622.8948,0.2000426
624.8232,0.2039529
626.7517,0.2086556
628.6802,0.2127603
630.6086,0.2161228
632.5371,0.218566
634.4656,0.2209242
636.394,0.2244501
638.3225,0.2265937
640.251,0.22747
642.1794,0.230212
644.1079,0.2335847
646.0364,0.236615
647.9648,0.2395543
649.8933,0.2427573
651.8218,0.2463151
653.7502,0.2499316
655.6787,0.2540663
657.6072,0.2579829
659.5356,0.2609193
661.4641,0.264616
663.3926,0.2692117
665.321,0.2736264
667.2495,0.2777769
669.178,0.2821645
671.1064,0.2865175
673.0349,0.2908858
674.9634,0.2946573
676.8918,0.2980353
678.8203,0.3003642
680.7488,0.3022369
682.6772,0.3043719
684.6057,0.3049154
686.5342,0.3051471
688.4626,0.3061656
690.3911,0.3055184
692.3196,0.3042381
694.248,0.3023762
696.1765,0.2989721
698.105,0.2965067
700.0334,0.2946923
701.9619,0.293574
703.8904,0.2930371
705.8188,0.2922162
707.7473,0.2924812
709.6758,0.2939361
711.6042,0.2956044
713.5327,0.2973273
715.4612,0.2996455
717.3896,0.3025792
719.3181,0.3054411
721.2466,0.3083788
723.175,0.3117181
725.1035,0.3145652
727.032,0.3173963
728.9604,0.3220435
730.8889,0.3272749
732.8174,0.332081
734.7458,0.3365245
736.6743,0.3407875
738.6028,0.3447661
740.5313,0.3488537
742.4597,0.3521869
744.3882,0.355144
746.3167,0.3581868
748.2451,0.3598803
750.1736,0.3605198
752.1021,0.3600202
754.0305,0.3588992
755.959,0.3563211
757.8875,0.3517384
759.8159,0.3466557
761.7444,0.3410729
763.6729,0.3351269
765.6013,0.3281847
767.5298,0.3210831
769.4583,0.3147904
771.3867,0.3085508
773.3152,0.3018681
775.2437,0.2951396
777.1721,0.2878027
779.1006,0.2794104
781.0291,0.2708523
782.9575,0.2616271
784.886,0.2513349
786.8145,0.2426948
788.7429,0.2358702
790.6714,0.2298225
792.5999,0.2257555
794.5283,0.2221298
796.4568,0.2180213
798.3853,0.2145959
800.3137,0.212003
802.2422,0.2096947
804.1707,0.2067134
806.0991,0.2036995
808.0276,0.2014352
809.9561,0.1993544
811.8845,0.1980911
813.813,0.1971936
815.7415,0.1966632
817.6699,0.1967444
819.5984,0.1977576
821.5269,0.1993242
823.4553,0.2004939
825.3838,0.2018661
827.3123,0.2039796
829.2407,0.2065899
831.1692,0.2087457
833.0977,0.211083
835.0261,0.2138877
836.9546,0.2168349
838.8831,0.2196292
840.8115,0.2222857
842.74,0.2250737
844.6685,0.2280989
846.5969,0.2311017
848.5254,0.2340053
850.4539,0.2367775
852.3823,0.2399433
854.3108,0.2431201
856.2393,0.2471472
858.1677,0.251236
860.0962,0.255096
862.0247,0.2592964
863.9531,0.2639423
865.8816,0.2687938
867.8101,0.2750427
869.7385,0.2827032
871.667,0.2914459
873.5955,0.3013386
875.5239,0.3110867
877.4524,0.3185952
879.3809,0.320935
881.3093,0.316805
883.2378,0.3079572
885.1663,0.2984607
887.0947,0.2901474
889.0232,0.2837974
890.9517,0.2790451
892.8801,0.2749861
894.8085,0.2719885
896.737,0.2695525
898.6655,0.2676516
900.5939,0.2662092
902.5224,0.2644819
904.4509,0.2625709
906.3793,0.260699
908.3078,0.2587579
910.2363,0.2571032
912.1647,0.2559521
914.0932,0.2559044
916.0217,0.2569594
917.9501,0.258627
919.8786,0.2611195
921.8071,0.2644218
923.7355,0.2690285
925.664,0.275428
927.5925,0.2829551
929.5209,0.2918799
931.4494,0.3016065
933.3779,0.3129468
935.3063,0.3256596
937.2348,0.3400732
939.1633,0.3557446
941.0917,0.3728091
943.0202,0.3913629
944.9487,0.4115966
946.8771,0.433873
948.8056,0.4572653
950.7341,0.4803866
952.6625,0.5038844
954.591,0.5277243
956.5195,0.5524534
958.4479,0.5782241
960.3764,0.6042715
962.3049,0.6305468
964.2333,0.6563624
966.1618,0.6804221
968.0903,0.703201
970.0187,0.7244418
971.9472,0.742242
973.8757,0.7554159
975.8041,0.7645041
977.7326,0.7709787
979.6611,0.7739754
981.5895,0.7719909
983.518,0.7640449
985.4465,0.7508903
987.3749,0.7326225
989.3034,0.7107577
991.2319,0.6867819
993.1603,0.6604238
995.0888,0.633301
997.0173,0.604989
998.9457,0.5752234
1000.874,0.5449662
1002.803,0.5143399
1004.731,0.4836281
1006.66,0.4536435
1008.588,0.4247378
1010.517,0.3969042
1012.445,0.3702884
1014.373,0.3460325
1016.302,0.3236689
1018.23,0.3032432
1020.159,0.2848386
1022.087,0.2680921
1024.016,0.2527191
1025.944,0.2389234
1027.873,0.2265692
1029.801,0.2153111
1031.73,0.2052955
1033.658,0.1967831
1035.587,0.1891185
1037.515,0.1831858
1039.444,0.1790187
1041.372,0.1754963
1043.301,0.1722137
1045.229,0.1692544
1047.157,0.1649303
1049.086,0.1588586
1051.014,0.1515556
1052.943,0.1428789
1054.871,0.1336413
1056.8,0.1252029
1058.728,0.1178054
1060.657,0.111194
1062.585,0.1048984
1064.514,0.09926792
1066.442,0.0945533
1068.371,0.09107775
1070.299,0.08813187
1072.228,0.08569903
1074.156,0.08420502
1076.084,0.08311055
1078.013,0.08250877
1079.941,0.08237249
1081.87,0.08225054
1083.798,0.08209956
1085.727,0.08172485
1087.655,0.08100694
1089.584,0.07941362
1091.512,0.07619479
1093.441,0.07220221
1095.369,0.06773505
1097.298,0.0632011
1099.226,0.05922469
1101.155,0.05585117
1103.083,0.05281007
1105.011,0.05002128
1106.94,0.04772535
1108.868,0.04556285
1110.797,0.04323325
1112.725,0.04143483
1114.654,0.04020504
1116.582,0.03921388
1118.511,0.03825659
1120.439,0.03709198
1122.368,0.03639059
1124.296,0.03598847
1126.225,0.03537771
1128.153,0.0347341
1130.082,0.03421726
1132.01,0.03379566
1133.938,0.03347075
1135.867,0.03321075
1137.795,0.03294802
1139.724,0.0327918
1141.652,0.03262682
1143.581,0.03252475
1145.509,0.03259589
1147.438,0.03291435
1149.366,0.03371222
1151.295,0.03483763
1153.223,0.03591943
1155.152,0.03735312
1157.08,0.03918897
1159.009,0.04106108
1160.937,0.04273717
1162.865,0.04413933
1164.794,0.04488176
1166.722,0.04537654
1168.651,0.04565019
1170.579,0.04543971
1172.508,0.04436207
1174.436,0.04226905
1176.365,0.03953193
