x,y
399.1926,0.1793071
401.1211,0.1744598
403.0496,0.1752985
404.978,0.1729537
406.9065,0.1737243
408.835,0.1788319
410.7634,0.1911498
412.6919,0.2012724
414.6204,0.2040073
416.5488,0.2108219
418.4773,0.2150009
420.4058,0.2141291
422.3342,0.2119537
424.2627,0.2125183
426.1912,0.2119159
428.1196,0.2130515
430.0481,0.2129795
431.9766,0.2092419
433.905,0.2100529
435.8335,0.2130195
437.762,0.2130807
439.6904,0.2155344
441.6189,0.2230128
443.5474,0.225892
445.4758,0.2266899
447.4043,0.2331214
449.3328,0.2461539
451.2612,0.2604252
453.1897,0.2768028
455.1182,0.293839
457.0466,0.3089831
458.9751,0.3178872
460.9036,0.3221077
462.832,0.3216456
464.7605,0.3135938
466.689,0.2962697
468.6174,0.2756422
470.5459,0.2578129
472.4744,0.2426257
474.4028,0.2307251
476.3313,0.2214946
478.2598,0.2104243
480.1882,0.1985231
482.1167,0.1872061
484.0452,0.1743013
485.9736,0.1598502
487.9021,0.1464899
489.8306,0.1337083
491.759,0.1217269
493.6875,0.1113234
495.616,0.1020722
497.5444,0.09288204
499.4729,0.0850446
501.4014,0.07706049
503.3298,0.06774099
505.2583,0.05764607
507.1868,0.04870406
509.1152,0.04223998
511.0437,0.03839185
512.9722,0.03580919
514.9006,0.03462802
516.8291,0.03454152
518.7576,0.03585505
520.686,0.03719154
522.6145,0.039053
524.543,0.04170658
526.4714,0.04433815
528.3999,0.04754141
530.3284,0.04999715
532.2568,0.05062298
534.1853,0.04866868
536.1138,0.04548796
538.0422,0.04238864
539.9707,0.03928255
541.8992,0.03623071
543.8276,0.03543023
545.7561,0.03522391
547.6846,0.03463369
549.613,0.03408632
551.5415,0.03462609
553.47,0.03609192
555.3984,0.03719686
557.3269,0.03829525
559.2554,0.03925427
561.1838,0.04057069
563.1123,0.04224922
565.0408,0.04394265
566.9692,0.04590926
568.8977,0.04807545
570.8262,0.05042752
572.7546,0.0533137
574.6831,0.05656039
576.6116,0.06004792
578.54,0.06372724
580.4685,0.06687117
582.397,0.07018904
584.3254,0.07428209
586.2539,0.07763588
588.1824,0.07983054
590.1108,0.08200088
592.0393,0.08383367
593.9678,0.08444952
595.8962,0.08368918
597.8247,0.08245672
599.7532,0.08137533
601.6816,0.08123033
603.6101,0.08211204
605.5386,0.08571557
607.467,0.09241431
609.3955,0.1005963
611.324,0.1085192
613.2524,0.1120795
615.1809,0.1047279
617.1094,0.08918324
619.0378,0.07346465
620.9663,0.06163633
622.8948,0.0540561
624.8232,0.04977766
626.7517,0.04753693
628.6802,0.04674531
630.6086,0.04688674
632.5371,0.04752216
634.4656,0.04887272
636.394,0.05124144
638.3225,0.05507341
640.251,0.0599653
642.1794,0.06659891
644.1079,0.0762429
646.0364,0.08816093
647.9648,0.09954575
649.8933,0.1075617
651.8218,0.1082315
653.7502,0.09945522
655.6787,0.08522689
657.6072,0.0719476
659.5356,0.06221743
661.4641,0.0563569
663.3926,0.0534882
665.321,0.05225812
667.2495,0.05142746
669.178,0.05165736
671.1064,0.05291349
673.0349,0.05430503
674.9634,0.05593917
676.8918,0.05791508
678.8203,0.06022757
680.7488,0.06259552
682.6772,0.06484031
684.6057,0.06770312
686.5342,0.07113138
688.4626,0.07466875
690.3911,0.07867026
692.3196,0.08321695
694.248,0.08870082
696.1765,0.0952887
698.105,0.1023038
700.0334,0.1103913
701.9619,0.1199206
703.8904,0.1305459
705.8188,0.1429081
707.7473,0.157575
709.6758,0.1748868
711.6042,0.1949278
713.5327,0.2176116
715.4612,0.2422893
717.3896,0.2664123
719.3181,0.2858913
721.2466,0.2960285
723.175,0.2915642
725.1035,0.2720948
727.032,0.2439636
728.9604,0.213642
730.8889,0.1857811
732.8174,0.1619526
734.7458,0.1432066
736.6743,0.1314017
738.6028,0.1275153
740.5313,0.1308272
742.4597,0.1393081
744.3882,0.1522397
746.3167,0.1663605
748.2451,0.178681
750.1736,0.1859482
752.1021,0.1856235
754.0305,0.1783735
755.959,0.167073
757.8875,0.1544752
759.8159,0.1412437
761.7444,0.1277194
763.6729,0.1146773
765.6013,0.1026231
767.5298,0.0928496
769.4583,0.08607703
771.3867,0.08280182
