x,y
399.1926,0.1662776
401.1211,0.1757203
403.0496,0.1765651
404.978,0.1788096
406.9065,0.1768879
408.835,0.1767371
410.7634,0.1835024
412.6919,0.1887865
414.6204,0.1913124
416.5488,0.1915417
418.4773,0.1899466
420.4058,0.1857812
422.3342,0.1853349
424.2627,0.1904492
426.1912,0.1956586
428.1196,0.1958858
430.0481,0.1929932
431.9766,0.1930757
433.905,0.1924445
435.8335,0.1886458
437.762,0.1857312
439.6904,0.1810707
441.6189,0.1764352
443.5474,0.172485
445.4758,0.1704643
447.4043,0.1696591
449.3328,0.1680321
451.2612,0.1638941
453.1897,0.1597926
455.1182,0.1535864
457.0466,0.1427366
458.9751,0.12909
460.9036,0.1148282
462.832,0.1016338
464.7605,0.093357787
466.689,0.090982758
468.6174,0.090787843
470.5459,0.091885202
472.4744,0.094359443
474.4028,0.0968033
476.3313,0.097631112
478.2598,0.099205859
480.1882,0.1011673
482.1167,0.1025225
484.0452,0.1030044
485.9736,0.1028173
487.9021,0.1032408
489.8306,0.1029811
491.759,0.1010198
493.6875,0.098783493
495.616,0.096355133
497.5444,0.093510032
499.4729,0.091171779
501.4014,0.088657252
503.3298,0.086112902
505.2583,0.084651724
507.1868,0.087162398
509.1152,0.094028749
511.0437,0.1059578
512.9722,0.1234089
514.9006,0.1414016
516.8291,0.1522918
518.7576,0.1505255
520.686,0.1398727
522.6145,0.1274462
524.543,0.1177357
526.4714,0.1117099
528.3999,0.1075452
530.3284,0.1037951
532.2568,0.1012057
534.1853,0.099203698
536.1138,0.097731508
538.0422,0.096088551
539.9707,0.09371876
541.8992,0.091880307
543.8276,0.090633258
545.7561,0.089883007
547.6846,0.091042884
549.613,0.09328267
551.5415,0.095744923
553.47,0.098975658
555.3984,0.1030224
557.3269,0.1073447
559.2554,0.1110316
561.1838,0.1118758
563.1123,0.1092005
565.0408,0.107919
566.9692,0.1098235
568.8977,0.1122484
570.8262,0.1158474
572.7546,0.1202788
574.6831,0.1236753
576.6116,0.1270702
578.54,0.1302558
580.4685,0.1326578
582.397,0.1344424
584.3254,0.1365117
586.2539,0.138116
588.1824,0.1385976
590.1108,0.1393161
592.0393,0.1405755
593.9678,0.1411163
595.8962,0.1413385
597.8247,0.1413172
599.7532,0.1412875
601.6816,0.1413527
603.6101,0.1419117
605.5386,0.142231
607.467,0.1419127
609.3955,0.1416313
611.324,0.1415317
613.2524,0.1409007
615.1809,0.1397802
617.1094,0.1388831
619.0378,0.1379164
620.9663,0.1372107
622.8948,0.1359763
624.8232,0.1349006
626.7517,0.1343842
628.6802,0.1335157
630.6086,0.1326922
632.5371,0.131974
634.4656,0.1304448
636.394,0.1292363
638.3225,0.1288197
640.251,0.1279955
642.1794,0.1268946
644.1079,0.1255841
646.0364,0.1243324
647.9648,0.1231728
649.8933,0.1222406
651.8218,0.1209599
653.7502,0.1196369
655.6787,0.1183109
657.6072,0.1168204
659.5356,0.1150948
661.4641,0.1138022
663.3926,0.113425
665.321,0.1140109
667.2495,0.1149521
669.178,0.116234
671.1064,0.1175572
673.0349,0.1182247
674.9634,0.1168381
676.8918,0.1142655
678.8203,0.111986
680.7488,0.1098779
682.6772,0.108594
684.6057,0.1077507
686.5342,0.1063639
688.4626,0.1051067
690.3911,0.1045628
692.3196,0.1040768
694.248,0.103302
696.1765,0.1021082
698.105,0.1012321
700.0334,0.1004457
701.9619,0.098914579
703.8904,0.097588427
705.8188,0.096452832
707.7473,0.094971642
709.6758,0.093199663
711.6042,0.091780059
713.5327,0.090191543
715.4612,0.089080527
717.3896,0.0881579
719.3181,0.086684689
721.2466,0.085267007
723.175,0.083668321
725.1035,0.082193948
727.032,0.081019387
728.9604,0.079787463
730.8889,0.078281187
732.8174,0.07630831
734.7458,0.073232397
736.6743,0.069768801
738.6028,0.065872043
740.5313,0.06148883
742.4597,0.056557171
744.3882,0.051275011
746.3167,0.046204571
748.2451,0.041592348
750.1736,0.037723899
752.1021,0.034645289
754.0305,0.032609958
755.959,0.031418361
757.8875,0.030714869
759.8159,0.030678179
761.7444,0.031675778
763.6729,0.033645131
765.6013,0.036164969
767.5298,0.039608091
769.4583,0.04407407
771.3867,0.04884927
773.3152,0.05250673
775.2437,0.05306064
777.1721,0.050119601
779.1006,0.044793669
781.0291,0.039187148
782.9575,0.034390122
784.886,0.03094806
786.8145,0.029453591
788.7429,0.02905806
790.6714,0.028591899
792.5999,0.028493591
794.5283,0.028435931
796.4568,0.028089561
798.3853,0.028148569
800.3137,0.02873403
802.2422,0.029379079
804.1707,0.0304689
806.0991,0.03205853
808.0276,0.033338021
809.9561,0.034921121
811.8845,0.03648961
813.813,0.03834302
815.7415,0.040994059
817.6699,0.043335531
819.5984,0.04548071
821.5269,0.047741849
823.4553,0.050148621
825.3838,0.052759901
827.3123,0.055767719
829.2407,0.059241161
831.1692,0.06281092
833.0977,0.066160031
835.0261,0.06981425
836.9546,0.073823288
838.8831,0.077632181
840.8115,0.08188007
842.74,0.086619772
844.6685,0.091071203
846.5969,0.095257953
848.5254,0.099936113
850.4539,0.1054685
852.3823,0.110988
854.3108,0.1162047
856.2393,0.1215145
858.1677,0.1263435
860.0962,0.1308541
862.0247,0.1355645
863.9531,0.1396921
865.8816,0.1432895
867.8101,0.146
869.7385,0.1479902
871.667,0.1494855
873.5955,0.1503998
875.5239,0.1513458
877.4524,0.1528252
879.3809,0.1543552
881.3093,0.1552135
883.2378,0.1556628
885.1663,0.156331
887.0947,0.1569507
889.0232,0.1572271
890.9517,0.1568569
892.8801,0.1562958
894.8085,0.1557662
896.737,0.1549735
898.6655,0.1536759
900.5939,0.1522614
902.5224,0.1510375
904.4509,0.1496201
906.3793,0.1485687
908.3078,0.147569
910.2363,0.1462659
912.1647,0.1457117
914.0932,0.1469739
916.0217,0.1492651
917.9501,0.1529813
919.8786,0.1581733
921.8071,0.1645483
923.7355,0.1713848
925.664,0.177214
927.5925,0.1802828
929.5209,0.1801118
931.4494,0.1780966
933.3779,0.1751894
935.3063,0.1715913
937.2348,0.1682938
939.1633,0.1651672
941.0917,0.1622841
943.0202,0.1595744
944.9487,0.1567215
946.8771,0.1542912
948.8056,0.1520953
950.7341,0.1500054
952.6625,0.1480188
954.591,0.1461747
956.5195,0.1444849
958.4479,0.1427891
960.3764,0.141506
962.3049,0.1408151
964.2333,0.1414628
966.1618,0.1430525
968.0903,0.1446035
970.0187,0.1447476
971.9472,0.1424314
973.8757,0.138282
975.8041,0.1335379
977.7326,0.1284835
979.6611,0.1238003
981.5895,0.1196284
983.518,0.1155442
985.4465,0.1117554
987.3749,0.1081989
989.3034,0.1047348
991.2319,0.1014461
993.1603,0.098152362
995.0888,0.094739653
997.0173,0.091669083
998.9457,0.088793859
1000.874,0.085522458
1002.803,0.082510203
1004.731,0.079912178
1006.66,0.076755583
1008.588,0.074072398
1010.517,0.071595259
1012.445,0.068677217
1014.373,0.065908171
1016.302,0.063416883
1018.23,0.060862862
1020.159,0.058507461
1022.087,0.056518141
1024.016,0.054541629
1025.944,0.052507579
1027.873,0.050522629
1029.801,0.04884766
1031.73,0.047183309
1033.658,0.045248669
1035.587,0.043342471
1037.515,0.041554678
1039.444,0.039678689
1041.372,0.037988119
1043.301,0.03643078
1045.229,0.03490052
1047.157,0.033230022
1049.086,0.032026321
1051.014,0.030983711
1052.943,0.02958652
1054.871,0.028012469
1056.8,0.026609451
1058.728,0.02537014
1060.657,0.02406171
1062.585,0.02285439
1064.514,0.021580029
1066.442,0.02054397
1068.371,0.019626969
1070.299,0.018654071
1072.228,0.01769894
1074.156,0.016712699
1076.084,0.01564534
1078.013,0.01482365
1079.941,0.01406539
1081.87,0.01341503
1083.798,0.01284611
1085.727,0.01223011
