x,y
399.1926,0.3216636
401.1211,0.2922031
403.0496,0.2936079
404.978,0.2881244
406.9065,0.2897861
408.835,0.2840757
410.7634,0.2802862
412.6919,0.2757177
414.6204,0.2661874
416.5488,0.2580067
418.4773,0.2449502
420.4058,0.232048
422.3342,0.2280889
424.2627,0.2234829
426.1912,0.2179998
428.1196,0.2153426
430.0481,0.2119219
431.9766,0.2066914
433.905,0.2060667
435.8335,0.2075447
437.762,0.2090724
439.6904,0.2123076
441.6189,0.2143493
443.5474,0.2120045
445.4758,0.2080201
447.4043,0.2032441
449.3328,0.1973347
451.2612,0.1923456
453.1897,0.1863532
455.1182,0.1781039
457.0466,0.1686801
458.9751,0.1582647
460.9036,0.1493077
462.832,0.1414762
464.7605,0.1340419
466.689,0.1271847
468.6174,0.121824
470.5459,0.1182389
472.4744,0.1145861
474.4028,0.1124676
476.3313,0.1127784
478.2598,0.1144598
480.1882,0.117848
482.1167,0.1212507
484.0452,0.121739
485.9736,0.1192435
487.9021,0.1153085
489.8306,0.1101555
491.759,0.1040512
493.6875,0.098363511
495.616,0.094386823
497.5444,0.09169846
499.4729,0.090732813
501.4014,0.093225487
503.3298,0.099820949
505.2583,0.1107908
507.1868,0.1248965
509.1152,0.1402058
511.0437,0.1557618
512.9722,0.1707607
514.9006,0.1823196
516.8291,0.1878945
518.7576,0.1864878
520.686,0.1797237
522.6145,0.1689416
524.543,0.1569039
526.4714,0.1435485
528.3999,0.13052
530.3284,0.1173138
532.2568,0.1035098
534.1853,0.091737837
536.1138,0.082194246
538.0422,0.073131293
539.9707,0.065885343
541.8992,0.059690859
543.8276,0.054193351
545.7561,0.050248381
547.6846,0.047481459
549.613,0.045391221
551.5415,0.043555249
553.47,0.041342791
555.3984,0.03996066
557.3269,0.039040301
559.2554,0.037773419
561.1838,0.037415352
563.1123,0.03719601
565.0408,0.036715541
566.9692,0.035882369
568.8977,0.034627959
570.8262,0.03400638
572.7546,0.03380781
574.6831,0.033447411
576.6116,0.033096999
578.54,0.033304319
580.4685,0.033896402
582.397,0.034395412
584.3254,0.035641272
586.2539,0.037861452
588.1824,0.040974751
590.1108,0.04513051
592.0393,0.05050372
593.9678,0.056210991
595.8962,0.061172031
597.8247,0.065214477
599.7532,0.067554072
601.6816,0.068087257
603.6101,0.066679373
605.5386,0.063953899
607.467,0.060560789
609.3955,0.056734879
611.324,0.053066909
613.2524,0.05023947
615.1809,0.04794874
617.1094,0.045633391
619.0378,0.04406153
620.9663,0.04256361
622.8948,0.040816888
624.8232,0.039898001
626.7517,0.039458279
628.6802,0.039262678
630.6086,0.038548421
632.5371,0.038556069
634.4656,0.039618451
636.394,0.040975802
638.3225,0.04231311
640.251,0.043775462
642.1794,0.045293331
644.1079,0.046427641
646.0364,0.047609981
647.9648,0.048880219
649.8933,0.0500503
651.8218,0.051291279
653.7502,0.052443322
655.6787,0.05360084
657.6072,0.05488639
659.5356,0.056269929
661.4641,0.057522658
663.3926,0.0587845
665.321,0.05998743
667.2495,0.061420389
669.178,0.06267029
671.1064,0.063515693
673.0349,0.064689018
674.9634,0.066286117
676.8918,0.067900732
678.8203,0.069679648
680.7488,0.071735933
682.6772,0.074121982
684.6057,0.076515533
686.5342,0.078909643
688.4626,0.08168824
690.3911,0.08461763
692.3196,0.087204807
694.248,0.089972652
696.1765,0.093062527
698.105,0.096406043
700.0334,0.099472247
701.9619,0.1025491
703.8904,0.1059962
705.8188,0.1099341
707.7473,0.1135401
709.6758,0.1170472
711.6042,0.1206604
713.5327,0.1247458
715.4612,0.1292892
717.3896,0.1337572
719.3181,0.138442
721.2466,0.1434
723.175,0.1481352
725.1035,0.1534754
727.032,0.1593805
728.9604,0.1648026
730.8889,0.1705247
732.8174,0.1771737
734.7458,0.1838195
736.6743,0.1899972
738.6028,0.1957135
740.5313,0.2014907
742.4597,0.2068322
744.3882,0.2116889
746.3167,0.2160477
748.2451,0.2201371
750.1736,0.2243412
752.1021,0.2287331
754.0305,0.233356
755.959,0.2383587
757.8875,0.2440351
759.8159,0.2493849
761.7444,0.2547995
763.6729,0.2612923
765.6013,0.2679622
767.5298,0.2744763
769.4583,0.2808015
771.3867,0.2870847
773.3152,0.2942478
775.2437,0.3016385
777.1721,0.3089586
779.1006,0.3157891
781.0291,0.322651
782.9575,0.329901
784.886,0.3365831
786.8145,0.3423229
788.7429,0.3481831
790.6714,0.3544709
792.5999,0.3606706
794.5283,0.365813
796.4568,0.3703338
798.3853,0.3746703
800.3137,0.3783077
802.2422,0.3814134
804.1707,0.3834684
806.0991,0.3852495
808.0276,0.3865709
809.9561,0.3868771
811.8845,0.3856917
813.813,0.3827262
815.7415,0.3789482
817.6699,0.3736623
819.5984,0.3670292
821.5269,0.3593042
823.4553,0.3510044
825.3838,0.3431547
827.3123,0.3360379
829.2407,0.3300482
831.1692,0.3261626
833.0977,0.3242721
835.0261,0.3223515
836.9546,0.3194892
838.8831,0.3152544
840.8115,0.3087498
842.74,0.3005124
844.6685,0.29029
846.5969,0.278994
848.5254,0.2674394
850.4539,0.2552726
852.3823,0.2428388
854.3108,0.2308531
856.2393,0.2195917
858.1677,0.2094263
860.0962,0.2001266
862.0247,0.1920194
863.9531,0.185318
865.8816,0.180163
867.8101,0.176458
869.7385,0.1744516
871.667,0.1744085
873.5955,0.177463
875.5239,0.184219
877.4524,0.1954185
879.3809,0.2115807
881.3093,0.231959
883.2378,0.2550281
885.1663,0.2772911
887.0947,0.2951691
889.0232,0.3077752
890.9517,0.3146936
892.8801,0.3161905
894.8085,0.3132151
896.737,0.3067017
898.6655,0.2976891
900.5939,0.2865443
902.5224,0.2742408
904.4509,0.2620743
906.3793,0.2499768
908.3078,0.2384307
910.2363,0.2278311
912.1647,0.217676
914.0932,0.207851
916.0217,0.1987513
917.9501,0.19058
919.8786,0.1835152
921.8071,0.1769253
923.7355,0.1702001
925.664,0.1634159
927.5925,0.1568456
929.5209,0.1504494
931.4494,0.143936
933.3779,0.1377223
935.3063,0.1318078
937.2348,0.1261445
939.1633,0.1212563
941.0917,0.116545
943.0202,0.11182
944.9487,0.1070789
946.8771,0.101762
948.8056,0.096535787
950.7341,0.09168385
952.6625,0.086658493
954.591,0.081833638
956.5195,0.077391282
958.4479,0.072800957
960.3764,0.068110406
