x,y
399.1926,0.2198149
401.1211,0.2132133
403.0496,0.2142383
404.978,0.2134994
406.9065,0.2178436
408.835,0.2248206
410.7634,0.2278195
412.6919,0.2230588
414.6204,0.2134073
416.5488,0.2080627
418.4773,0.2101457
420.4058,0.2116945
422.3342,0.2100797
424.2627,0.207643
426.1912,0.2051322
428.1196,0.2027599
430.0481,0.2026935
431.9766,0.2051116
433.905,0.2051326
435.8335,0.2062214
437.762,0.2115298
439.6904,0.2126109
441.6189,0.2125413
443.5474,0.2129569
445.4758,0.2133635
447.4043,0.2135354
449.3328,0.2115686
451.2612,0.2086641
453.1897,0.2074234
455.1182,0.2067717
457.0466,0.2068899
458.9751,0.2068657
460.9036,0.2067934
462.832,0.2078174
464.7605,0.2060134
466.689,0.2031799
468.6174,0.2028345
470.5459,0.2032813
472.4744,0.2047164
474.4028,0.2056826
476.3313,0.2050552
478.2598,0.2046978
480.1882,0.2038303
482.1167,0.2019698
484.0452,0.1991148
485.9736,0.1962109
487.9021,0.1927339
489.8306,0.1914285
491.759,0.1897808
493.6875,0.185773
495.616,0.1829485
497.5444,0.1816251
499.4729,0.1813408
501.4014,0.1823775
503.3298,0.1847196
505.2583,0.18619
507.1868,0.188354
509.1152,0.1902302
511.0437,0.1919529
512.9722,0.1915814
514.9006,0.1884022
516.8291,0.1865516
518.7576,0.1858537
520.686,0.1860021
522.6145,0.1864297
524.543,0.1871827
526.4714,0.1895809
528.3999,0.1932691
530.3284,0.1980621
532.2568,0.2013251
534.1853,0.2025252
536.1138,0.2042032
538.0422,0.2062505
539.9707,0.2065869
541.8992,0.2056428
543.8276,0.203384
545.7561,0.2011082
547.6846,0.1990112
549.613,0.1949942
551.5415,0.1911137
553.47,0.1890744
555.3984,0.1878483
557.3269,0.1856351
559.2554,0.1824033
561.1838,0.1800938
563.1123,0.179165
565.0408,0.1792553
566.9692,0.1791427
568.8977,0.1776276
570.8262,0.1766045
572.7546,0.1765206
574.6831,0.1757469
576.6116,0.1745935
578.54,0.1733015
580.4685,0.1729102
582.397,0.1725498
584.3254,0.1725767
586.2539,0.173542
588.1824,0.175483
590.1108,0.1782148
592.0393,0.1823222
593.9678,0.1867346
595.8962,0.1903995
597.8247,0.1934521
599.7532,0.1957224
601.6816,0.1977978
603.6101,0.1998193
605.5386,0.2011053
607.467,0.2019427
609.3955,0.2014424
611.324,0.1997367
613.2524,0.1977962
615.1809,0.1948418
617.1094,0.1920539
619.0378,0.1908245
620.9663,0.1915401
622.8948,0.1923407
624.8232,0.1927986
626.7517,0.1938274
628.6802,0.1944985
630.6086,0.1954333
632.5371,0.1975475
634.4656,0.2001105
636.394,0.2026425
638.3225,0.2049272
640.251,0.2075112
642.1794,0.2099687
644.1079,0.2126805
646.0364,0.2154606
647.9648,0.2177847
649.8933,0.2190595
651.8218,0.2201369
653.7502,0.2214705
655.6787,0.2229592
657.6072,0.2234796
659.5356,0.2228262
661.4641,0.2216491
663.3926,0.2200248
665.321,0.2181865
667.2495,0.2157823
669.178,0.2135451
671.1064,0.2114535
673.0349,0.2089224
674.9634,0.206267
676.8918,0.2036127
678.8203,0.2003339
680.7488,0.1966262
682.6772,0.1930364
684.6057,0.1887604
686.5342,0.1839367
688.4626,0.180055
690.3911,0.1768229
692.3196,0.173253
694.248,0.1697144
696.1765,0.1668589
698.105,0.1654454
700.0334,0.1649867
701.9619,0.1654747
703.8904,0.1667972
705.8188,0.1681277
707.7473,0.1691191
709.6758,0.1692327
711.6042,0.1681646
713.5327,0.1661847
715.4612,0.1639574
717.3896,0.1615615
719.3181,0.1585704
721.2466,0.1550064
723.175,0.1514491
725.1035,0.1482065
727.032,0.145239
728.9604,0.1422559
730.8889,0.1389287
732.8174,0.1356037
734.7458,0.1318759
736.6743,0.1282059
738.6028,0.1248985
740.5313,0.1218493
742.4597,0.1188732
744.3882,0.1167144
746.3167,0.1154017
748.2451,0.1147539
750.1736,0.1143672
752.1021,0.113976
754.0305,0.1139161
755.959,0.1136954
757.8875,0.1136654
759.8159,0.1136446
761.7444,0.1131537
763.6729,0.112098
765.6013,0.1107546
767.5298,0.1093796
769.4583,0.1081536
771.3867,0.1069514
773.3152,0.1055959
775.2437,0.1037367
777.1721,0.1018274
779.1006,0.1002162
781.0291,0.098210543
782.9575,0.09622214
784.886,0.094522767
786.8145,0.093022652
788.7429,0.09210588
790.6714,0.091607273
792.5999,0.091387771
794.5283,0.091385417
796.4568,0.090960748
798.3853,0.09054938
800.3137,0.090341911
802.2422,0.089933261
804.1707,0.089228123
806.0991,0.088636123
808.0276,0.087575689
809.9561,0.086985357
811.8845,0.08633066
813.813,0.085340887
815.7415,0.084466644
817.6699,0.083331823
819.5984,0.082238033
821.5269,0.080803461
823.4553,0.079252429
825.3838,0.077700809
827.3123,0.07621529
829.2407,0.074930198
831.1692,0.073214322
833.0977,0.07120055
835.0261,0.069311649
836.9546,0.067282163
838.8831,0.065280616
840.8115,0.063804023
842.74,0.062220719
844.6685,0.06027887
846.5969,0.058411371
848.5254,0.056819592
850.4539,0.055386949
852.3823,0.053914201
854.3108,0.052197441
856.2393,0.050725721
858.1677,0.049084041
860.0962,0.047869328
862.0247,0.046845399
863.9531,0.04553356
865.8816,0.04466841
867.8101,0.04390312
869.7385,0.043288998
871.667,0.04301212
873.5955,0.043192551
875.5239,0.04379613
877.4524,0.044454511
879.3809,0.045669582
881.3093,0.047039442
883.2378,0.048599631
885.1663,0.050630201
887.0947,0.052980889
889.0232,0.055190951
890.9517,0.057164121
892.8801,0.059516259
894.8085,0.062299442
896.737,0.064632311
898.6655,0.066576637
900.5939,0.068118632
902.5224,0.069343947
904.4509,0.070266381
906.3793,0.070756502
908.3078,0.071215697
910.2363,0.071031258
912.1647,0.070331849
914.0932,0.069627561
916.0217,0.068793237
917.9501,0.067986473
919.8786,0.066982336
921.8071,0.065884337
923.7355,0.064849652
925.664,0.063984953
927.5925,0.06335742
929.5209,0.062524617
931.4494,0.061690211
933.3779,0.061292719
935.3063,0.061075531
937.2348,0.06123282
939.1633,0.06135099
941.0917,0.061219651
943.0202,0.060983829
944.9487,0.061058089
946.8771,0.061393131
948.8056,0.061819259
950.7341,0.062326871
952.6625,0.062325489
954.591,0.06194891
956.5195,0.06206366
958.4479,0.06237527
960.3764,0.062576219
962.3049,0.063059643
964.2333,0.063442439
966.1618,0.063710637
968.0903,0.06398733
970.0187,0.064073987
971.9472,0.063558571
973.8757,0.062717073
975.8041,0.061906781
977.7326,0.060470682
979.6611,0.058562178
981.5895,0.056512009
983.518,0.05433134
985.4465,0.052120902
987.3749,0.050016809
989.3034,0.047882579
991.2319,0.045705989
993.1603,0.043597192
995.0888,0.041783132
997.0173,0.040209051
998.9457,0.038627122
1000.874,0.03729713
1002.803,0.036134381
1004.731,0.034828879
1006.66,0.033293769
1008.588,0.032148719
1010.517,0.03080168
1012.445,0.029183
1014.373,0.02816727
1016.302,0.027410001
1018.23,0.026732661
1020.159,0.02629083
1022.087,0.02599718
1024.016,0.025773039
1025.944,0.02588015
1027.873,0.026098041
1029.801,0.026267519
1031.73,0.02658757
1033.658,0.02650914
1035.587,0.02660043
1037.515,0.026725611
1039.444,0.026363861
1041.372,0.026250791
1043.301,0.026411811
1045.229,0.026775951
1047.157,0.02735362
1049.086,0.028268149
1051.014,0.02907184
1052.943,0.029308461
1054.871,0.02891711
1056.8,0.028633039
1058.728,0.02827546
1060.657,0.027622979
1062.585,0.027091431
1064.514,0.026745711
1066.442,0.02673408
1068.371,0.02696738
1070.299,0.02709477
1072.228,0.02716551
1074.156,0.02718954
1076.084,0.02687653
1078.013,0.026660999
1079.941,0.026262719
1081.87,0.02589657
1083.798,0.025681511
1085.727,0.02551632
1087.655,0.025468949
1089.584,0.02525397
1091.512,0.02514107
1093.441,0.02503269
1095.369,0.024885859
1097.298,0.024726089
1099.226,0.02436443
1101.155,0.023838449
1103.083,0.02370926
1105.011,0.02359909
1106.94,0.023388069
1108.868,0.02298636
1110.797,0.022558089
1112.725,0.02218725
1114.654,0.021709651
1116.582,0.02190592
1118.511,0.02259033
1120.439,0.02253218
1122.368,0.02180711
1124.296,0.020838231
1126.225,0.020029981
1128.153,0.01942727
1130.082,0.019334549
1132.01,0.018760061
1133.938,0.017975019
1135.867,0.01741847
1137.795,0.016918469
1139.724,0.016330941
1141.652,0.015739631
1143.581,0.01537012
1145.509,0.01499086
1147.438,0.0143801
1149.366,0.01377276
1151.295,0.01353763
1153.223,0.01325672
1155.152,0.01304086
1157.08,0.01304709
1159.009,0.01292835
1160.937,0.01313365
1162.865,0.01346676
1164.794,0.01325474
1166.722,0.01298457
1168.651,0.01282963
1170.579,0.01257183
1172.508,0.01234669
1174.436,0.01224322
1176.365,0.01195484
1178.293,0.01187066
1180.222,0.01193195
1182.15,0.01183868
1184.079,0.01146718
1186.007,0.01137472
1187.936,0.01134819
1189.864,0.01103467
1191.792,0.01073795
1193.721,0.01064098
1195.649,0.01061474
1197.578,0.01028392
1199.506,0.0099831196
1201.435,0.0096644638
1203.363,0.009334961
1205.292,0.0093482556
1207.22,0.0091005471
1209.149,0.0085896766
1211.077,0.0081739957
1213.006,0.0079157008
1214.934,0.0075618532
1216.863,0.0073348819
1218.791,0.0072205239
1220.719,0.0067836889
1222.648,0.0064352429
1224.576,0.0064419839
1226.505,0.006456696
1228.433,0.0064630159
1230.362,0.006389156
1232.29,0.006101239
1234.219,0.0059315059
1236.147,0.0059013078
1238.076,0.005877045
1240.004,0.0060189702
1241.933,0.0058958111
1243.861,0.005617247
1245.79,0.0057040011
1247.718,0.0055457782
1249.646,0.0053495788
1251.575,0.0053769322
1253.503,0.0053978008
1255.432,0.005311586
1257.36,0.005344274
1259.289,0.0053035109
1261.217,0.0053066108
1263.146,0.0054914439
1265.074,0.005755275
1267.003,0.005830572
1268.931,0.0059275841
1270.86,0.0058932211
1272.788,0.0056287041
1274.717,0.0057686251
1276.645,0.0059504062
1278.573,0.0058583869
1280.502,0.0056674038
1282.43,0.0055570859
1284.359,0.0055721472
1286.287,0.005485862
1288.216,0.0053858161
1290.144,0.005458537
1292.073,0.0055969232
1294.001,0.005573838
1295.93,0.005460599
1297.858,0.005648436
1299.787,0.0059417882
1301.715,0.0058857929
1303.644,0.005784838
1305.572,0.005782776
1307.5,0.0057459339
1309.429,0.005700415
1311.357,0.005895278
1313.286,0.0060805911
1315.214,0.00617242
1317.143,0.0061699119
1319.071,0.0060038869
1321.0,0.005979137
1322.928,0.0059705921
1324.857,0.0058646901
1326.785,0.0060544559
1328.714,0.006259806
1330.642,0.0061212932
1332.571,0.0061456491
1334.499,0.0063739638
1336.427,0.0065344749
1338.356,0.0065347119
1340.284,0.006444972
1342.213,0.0066359448
1344.141,0.0065817419
1346.07,0.0065017911
1347.998,0.0064682909
1349.927,0.0063655782
1351.855,0.0063000978
1353.784,0.0063565578
1355.712,0.0064790542
1357.641,0.0064298748
1359.569,0.0064457492
1361.498,0.0065631731
1363.426,0.0068337251
1365.354,0.0069204629
1367.283,0.006776297
1369.211,0.0068230708
1371.14,0.006818206
1373.068,0.0064907991
1374.997,0.0064577269
1376.925,0.0068338681
1378.854,0.0068170531
1380.782,0.0065992819
1382.711,0.0067971051
1384.639,0.0069265431
1386.568,0.007108218
1388.496,0.0074365162
1390.424,0.007500391
1392.353,0.007490708
1394.281,0.0078158621
1396.21,0.0082290312
1398.138,0.0080444682
1400.067,0.0080531202
1401.995,0.0080346977
1403.924,0.0080954339
1405.852,0.008190725
1407.781,0.0082332566
1409.709,0.0084508425
1411.638,0.0085098743
1413.566,0.008436258
1415.495,0.0084386384
1417.423,0.0084397076
1419.351,0.0082161343
1421.28,0.0081107654
1423.208,0.0083592841
1425.137,0.008538492
1427.065,0.0085313013
1428.994,0.0086190179
1430.922,0.0087348847
1432.851,0.0086029517
1434.779,0.0086367521
1436.708,0.0084820027
1438.636,0.0084336661
1440.565,0.0083780652
1442.493,0.0082373414
1444.422,0.0080585824
1446.35,0.0081575988
1448.278,0.0082349842
1450.207,0.0083155222
1452.135,0.0083340406
1454.064,0.0081883185
1455.992,0.0079780202
1457.921,0.007974742
1459.849,0.0080546066
1461.778,0.0076148962
1463.706,0.007207131
1465.635,0.0074372948
1467.563,0.0076882942
1469.492,0.0080996715
1471.42,0.0086452747
1473.349,0.0091384044
1475.277,0.0093609393
1477.205,0.0095062442
1479.134,0.0097148642
1481.062,0.0096959444
1482.991,0.0097529674
1484.919,0.0098935403
1486.848,0.0099849366
1488.776,0.01000034
1490.705,0.0098318812
1492.633,0.0097596934
1494.562,0.01011037
1496.49,0.0101627
1498.419,0.01009869
1500.347,0.01022283
1502.276,0.01007964
1504.204,0.01001616
1506.132,0.01002342
