x,y
399.1926,0.1322723
401.1211,0.1081863
403.0496,0.1087064
404.978,0.1019499
406.9065,0.093720339
408.835,0.090465821
410.7634,0.092664666
412.6919,0.099008098
414.6204,0.1027107
416.5488,0.1088492
418.4773,0.1184562
420.4058,0.1296926
422.3342,0.1412754
424.2627,0.1560321
426.1912,0.1744551
428.1196,0.1928051
430.0481,0.2083738
431.9766,0.2204325
433.905,0.2308803
435.8335,0.2378176
437.762,0.2405615
439.6904,0.2355793
441.6189,0.2256823
443.5474,0.2145495
445.4758,0.2023413
447.4043,0.1907248
449.3328,0.1787302
451.2612,0.1639272
453.1897,0.1506345
455.1182,0.1394747
457.0466,0.1252499
458.9751,0.111922
460.9036,0.1011332
462.832,0.090803169
464.7605,0.086504802
466.689,0.089778364
468.6174,0.09980464
470.5459,0.1166799
472.4744,0.138974
474.4028,0.1589485
476.3313,0.1727038
478.2598,0.181528
480.1882,0.1811228
482.1167,0.1746928
484.0452,0.1665656
485.9736,0.1569418
487.9021,0.1465569
489.8306,0.1365786
491.759,0.128249
493.6875,0.1195777
495.616,0.1108597
497.5444,0.1033087
499.4729,0.095844887
501.4014,0.08902552
503.3298,0.083164968
505.2583,0.077161103
507.1868,0.070491381
509.1152,0.064156629
511.0437,0.05856809
512.9722,0.054217141
514.9006,0.05051209
516.8291,0.046778809
518.7576,0.043431722
520.686,0.04092636
522.6145,0.039094221
524.543,0.0375579
526.4714,0.03544382
528.3999,0.032954048
530.3284,0.03179447
532.2568,0.03216194
534.1853,0.032217789
536.1138,0.03226136
538.0422,0.03285072
539.9707,0.03291183
541.8992,0.032357059
543.8276,0.032494951
545.7561,0.033567749
547.6846,0.034918949
549.613,0.035574809
551.5415,0.03534295
553.47,0.036612891
555.3984,0.038908988
557.3269,0.041279688
559.2554,0.04409387
561.1838,0.04737816
563.1123,0.05239819
565.0408,0.059472982
566.9692,0.066762947
568.8977,0.072225884
570.8262,0.073851883
572.7546,0.070946343
574.6831,0.064308487
576.6116,0.056790959
578.54,0.050454259
580.4685,0.045752201
582.397,0.042214539
584.3254,0.039762281
586.2539,0.038069151
588.1824,0.036834281
590.1108,0.036471959
