x,y
399.1926,0.2874408
401.1211,0.2841945
403.0496,0.2855608
404.978,0.2890599
406.9065,0.2932891
408.835,0.2940023
410.7634,0.2972291
412.6919,0.2937976
414.6204,0.2940383
416.5488,0.2971371
418.4773,0.3026867
420.4058,0.3049363
422.3342,0.302928
424.2627,0.3034095
426.1912,0.308313
428.1196,0.3075151
430.0481,0.3072291
431.9766,0.3060281
433.905,0.3037008
435.8335,0.301729
437.762,0.3013825
439.6904,0.3007545
441.6189,0.3011751
443.5474,0.2989267
445.4758,0.2962524
447.4043,0.297256
449.3328,0.295772
451.2612,0.2943565
453.1897,0.2914634
455.1182,0.2872178
457.0466,0.2849338
458.9751,0.28419
460.9036,0.2828805
462.832,0.282868
464.7605,0.2785661
466.689,0.2728954
468.6174,0.2709611
470.5459,0.2675085
472.4744,0.2640724
474.4028,0.2614817
476.3313,0.2593341
478.2598,0.2574357
480.1882,0.2545624
482.1167,0.2514704
484.0452,0.2490575
485.9736,0.2460915
487.9021,0.2434271
489.8306,0.2404737
491.759,0.2396568
493.6875,0.2373654
495.616,0.2342591
497.5444,0.2315962
499.4729,0.2286468
501.4014,0.2273223
503.3298,0.224971
505.2583,0.2211868
507.1868,0.2167512
509.1152,0.2129361
511.0437,0.2099135
512.9722,0.2065337
514.9006,0.2040649
516.8291,0.2023929
518.7576,0.1987324
520.686,0.1947479
522.6145,0.19164
524.543,0.1896906
526.4714,0.1868846
528.3999,0.1844973
530.3284,0.1836093
532.2568,0.1827179
534.1853,0.181639
536.1138,0.1811224
538.0422,0.1825366
539.9707,0.1842615
541.8992,0.1866128
543.8276,0.1892786
545.7561,0.1923416
547.6846,0.1940136
549.613,0.1933039
551.5415,0.1933437
553.47,0.1945951
555.3984,0.1946414
557.3269,0.1929432
559.2554,0.1905159
561.1838,0.1884172
563.1123,0.1864919
565.0408,0.1841776
566.9692,0.1821395
568.8977,0.1805309
570.8262,0.1774987
572.7546,0.1742373
574.6831,0.1724057
576.6116,0.1704475
578.54,0.1682149
580.4685,0.1658932
582.397,0.1635586
584.3254,0.1606563
586.2539,0.1584477
588.1824,0.1564347
590.1108,0.1545422
592.0393,0.1524832
593.9678,0.1504323
595.8962,0.1479404
597.8247,0.1452096
599.7532,0.1423524
601.6816,0.1394637
603.6101,0.137021
605.5386,0.1349399
607.467,0.1324525
609.3955,0.1295078
611.324,0.1267325
613.2524,0.1243344
615.1809,0.122063
617.1094,0.1198287
619.0378,0.117753
620.9663,0.1160045
622.8948,0.1142709
624.8232,0.1122397
626.7517,0.111021
628.6802,0.1101275
630.6086,0.1092656
632.5371,0.1089137
634.4656,0.1086599
636.394,0.1086903
638.3225,0.109009
640.251,0.1099632
642.1794,0.1112449
644.1079,0.1120607
646.0364,0.1126257
647.9648,0.1132988
649.8933,0.1140388
651.8218,0.1154201
653.7502,0.1166062
655.6787,0.1169386
657.6072,0.1168917
659.5356,0.1174379
661.4641,0.117209
663.3926,0.1161159
665.321,0.1154863
667.2495,0.114361
669.178,0.1128322
671.1064,0.1106726
673.0349,0.1088606
674.9634,0.1067188
676.8918,0.1033871
678.8203,0.099822037
680.7488,0.096820049
682.6772,0.094050542
684.6057,0.09041734
686.5342,0.086951829
688.4626,0.083976217
690.3911,0.08142177
692.3196,0.079091132
694.248,0.076766104
696.1765,0.073968031
698.105,0.071453974
700.0334,0.069024287
701.9619,0.066685587
703.8904,0.064493664
705.8188,0.062861368
707.7473,0.060945362
709.6758,0.059612919
711.6042,0.058326822
713.5327,0.056513552
715.4612,0.055164188
717.3896,0.053909741
719.3181,0.051925581
721.2466,0.050249331
723.175,0.048553798
725.1035,0.046515509
727.032,0.04447278
728.9604,0.04300544
730.8889,0.041501991
732.8174,0.03976522
734.7458,0.038814411
736.6743,0.038056519
738.6028,0.03657867
740.5313,0.03525852
742.4597,0.0341678
744.3882,0.033461042
746.3167,0.03276746
748.2451,0.031932581
750.1736,0.03124636
752.1021,0.03104013
754.0305,0.03085557
755.959,0.03046154
757.8875,0.03032002
759.8159,0.03008561
761.7444,0.02996796
763.6729,0.030245541
765.6013,0.030377271
767.5298,0.03040171
769.4583,0.030745979
771.3867,0.031227609
773.3152,0.031960871
775.2437,0.03272368
777.1721,0.03350519
779.1006,0.033614501
781.0291,0.032872651
782.9575,0.031964529
784.886,0.031574178
786.8145,0.031549349
788.7429,0.031633928
790.6714,0.032057621
792.5999,0.03267011
794.5283,0.033170361
796.4568,0.033642229
798.3853,0.033888809
800.3137,0.033661939
802.2422,0.032783519
804.1707,0.03131203
806.0991,0.029956751
808.0276,0.02890194
809.9561,0.028114291
811.8845,0.02751134
813.813,0.027160341
815.7415,0.026932269
817.6699,0.02712979
819.5984,0.02713134
821.5269,0.027272981
823.4553,0.02772568
825.3838,0.027784791
827.3123,0.027415309
829.2407,0.027436299
831.1692,0.027548291
833.0977,0.02758405
835.0261,0.02815943
836.9546,0.02858201
838.8831,0.02841376
840.8115,0.02854828
842.74,0.029228089
844.6685,0.029687351
846.5969,0.029790441
848.5254,0.029813699
850.4539,0.030241249
852.3823,0.03066425
854.3108,0.0306355
856.2393,0.03045922
858.1677,0.03058452
860.0962,0.03102782
862.0247,0.031169189
863.9531,0.031550009
865.8816,0.032104071
867.8101,0.032394391
869.7385,0.032854568
871.667,0.033169411
873.5955,0.03326327
875.5239,0.033235401
877.4524,0.032790761
879.3809,0.03194803
881.3093,0.032015011
883.2378,0.032981958
885.1663,0.03429427
887.0947,0.035438199
889.0232,0.036515839
890.9517,0.037187941
892.8801,0.037706502
894.8085,0.038390409
896.737,0.039099921
898.6655,0.039619818
900.5939,0.03986758
902.5224,0.040418159
904.4509,0.041196719
906.3793,0.0420449
908.3078,0.042704578
910.2363,0.043340981
912.1647,0.043982379
914.0932,0.04477229
916.0217,0.04558675
917.9501,0.046280939
919.8786,0.047193982
921.8071,0.04800418
923.7355,0.048694748
925.664,0.049754471
927.5925,0.050465912
929.5209,0.050885729
931.4494,0.05143657
933.3779,0.052158311
935.3063,0.05270189
937.2348,0.053370349
939.1633,0.05413866
941.0917,0.055069178
943.0202,0.055857029
944.9487,0.056303371
946.8771,0.056856941
948.8056,0.0573732
950.7341,0.058190521
952.6625,0.059009138
954.591,0.05946039
956.5195,0.060010791
958.4479,0.060877159
960.3764,0.061981499
962.3049,0.063093483
964.2333,0.064237848
966.1618,0.064889178
968.0903,0.065710127
970.0187,0.06707029
971.9472,0.068214647
973.8757,0.069363743
975.8041,0.070599608
977.7326,0.071577087
979.6611,0.072932564
