x,y
399.1926,0.2452072
401.1211,0.2688036
403.0496,0.2700959
404.978,0.2673773
406.9065,0.2641084
408.835,0.2664239
410.7634,0.2696033
412.6919,0.2715534
414.6204,0.2730514
416.5488,0.2780005
418.4773,0.2817456
420.4058,0.2861311
422.3342,0.2927205
424.2627,0.2990253
426.1912,0.3043573
428.1196,0.312136
430.0481,0.3175355
431.9766,0.3153954
433.905,0.319356
435.8335,0.3220788
437.762,0.3209047
439.6904,0.3267823
441.6189,0.3282932
443.5474,0.3250888
445.4758,0.3234185
447.4043,0.3186879
449.3328,0.3096831
451.2612,0.3009949
453.1897,0.2988615
455.1182,0.3033405
457.0466,0.3088987
458.9751,0.3094315
460.9036,0.3118482
462.832,0.3177886
464.7605,0.3224081
466.689,0.3252888
468.6174,0.3268685
470.5459,0.3259914
472.4744,0.3237979
474.4028,0.3198687
476.3313,0.3160442
478.2598,0.3123475
480.1882,0.3098777
482.1167,0.3107625
484.0452,0.3152802
485.9736,0.3193594
487.9021,0.3261555
489.8306,0.3352189
491.759,0.3426546
493.6875,0.3477802
495.616,0.3502175
497.5444,0.3526249
499.4729,0.3517857
501.4014,0.3495794
503.3298,0.347844
505.2583,0.3464507
507.1868,0.3437122
509.1152,0.3399394
511.0437,0.3344715
512.9722,0.3278452
514.9006,0.3214047
516.8291,0.3138363
518.7576,0.3070409
520.686,0.2998812
522.6145,0.2912302
524.543,0.2795457
526.4714,0.2679537
528.3999,0.2579566
530.3284,0.2500773
532.2568,0.2438811
534.1853,0.239471
536.1138,0.2372469
538.0422,0.238772
539.9707,0.2440343
541.8992,0.2502561
543.8276,0.2553121
545.7561,0.2607479
547.6846,0.2652147
549.613,0.2621766
551.5415,0.2542868
553.47,0.2451263
555.3984,0.2340442
557.3269,0.2222221
559.2554,0.2113174
561.1838,0.2018636
563.1123,0.1952302
565.0408,0.1921266
566.9692,0.1926177
568.8977,0.1969401
570.8262,0.2047035
572.7546,0.2168977
574.6831,0.2315334
576.6116,0.2476534
578.54,0.2646373
580.4685,0.2796978
582.397,0.2944946
584.3254,0.3090319
586.2539,0.3217834
588.1824,0.3306376
590.1108,0.3390896
592.0393,0.3476865
593.9678,0.3524511
595.8962,0.3558735
597.8247,0.3580647
599.7532,0.3575639
601.6816,0.3555453
603.6101,0.3516493
605.5386,0.3448105
607.467,0.3366636
609.3955,0.3287522
611.324,0.3202137
613.2524,0.3105749
615.1809,0.301322
617.1094,0.2926027
619.0378,0.2836447
620.9663,0.2748665
622.8948,0.2664416
624.8232,0.2580258
626.7517,0.2497568
628.6802,0.2419769
630.6086,0.234553
632.5371,0.2272202
634.4656,0.2203634
636.394,0.2142489
638.3225,0.2075412
640.251,0.2002044
642.1794,0.1937309
644.1079,0.1872509
646.0364,0.1807621
647.9648,0.1745856
649.8933,0.1690116
651.8218,0.1634821
653.7502,0.1580857
655.6787,0.1527865
657.6072,0.1476448
659.5356,0.1428751
661.4641,0.1381692
663.3926,0.1338102
665.321,0.1300645
667.2495,0.1267147
669.178,0.1236423
671.1064,0.1209931
673.0349,0.1185129
674.9634,0.1161786
676.8918,0.1146005
678.8203,0.1127167
680.7488,0.1110647
682.6772,0.110172
684.6057,0.10976
686.5342,0.1094131
688.4626,0.1095608
690.3911,0.1103258
692.3196,0.1122738
694.248,0.1151425
696.1765,0.1179597
698.105,0.1212352
700.0334,0.1249927
701.9619,0.1277506
703.8904,0.1283015
705.8188,0.1265902
707.7473,0.1230598
709.6758,0.1177149
711.6042,0.1110227
713.5327,0.1033486
715.4612,0.095451117
717.3896,0.088082314
719.3181,0.08135055
721.2466,0.075134881
723.175,0.069544978
725.1035,0.064685144
727.032,0.060350642
728.9604,0.0564707
730.8889,0.053510699
732.8174,0.051153678
734.7458,0.04869939
736.6743,0.04638882
738.6028,0.043989431
740.5313,0.0420633
742.4597,0.04050073
744.3882,0.038953111
746.3167,0.037393309
748.2451,0.036006741
750.1736,0.035159349
752.1021,0.034469571
754.0305,0.033608839
755.959,0.032831881
757.8875,0.03271468
759.8159,0.032602981
761.7444,0.032350089
763.6729,0.03225198
765.6013,0.032226719
767.5298,0.031852409
769.4583,0.031620741
771.3867,0.03172154
773.3152,0.031630859
775.2437,0.03174996
777.1721,0.031825721
779.1006,0.03201241
781.0291,0.03256854
782.9575,0.032828219
784.886,0.033069111
786.8145,0.033591039
788.7429,0.034051221
790.6714,0.03394185
792.5999,0.03383486
794.5283,0.03402571
796.4568,0.03457265
798.3853,0.035442948
800.3137,0.036029279
802.2422,0.03644317
804.1707,0.0369175
806.0991,0.037293792
808.0276,0.038051762
809.9561,0.038770009
811.8845,0.03904691
813.813,0.03936911
815.7415,0.04007091
817.6699,0.040777091
819.5984,0.04126491
821.5269,0.041722991
823.4553,0.042710431
825.3838,0.043557908
827.3123,0.044217352
829.2407,0.04497052
831.1692,0.045431029
833.0977,0.046147231
835.0261,0.04696444
836.9546,0.047897302
838.8831,0.048833199
840.8115,0.050034221
842.74,0.050964411
844.6685,0.05166069
846.5969,0.05267949
848.5254,0.054147761
850.4539,0.055783462
852.3823,0.057244278
854.3108,0.05877278
856.2393,0.059893839
858.1677,0.061125249
860.0962,0.06284605
862.0247,0.06472782
863.9531,0.066735402
865.8816,0.068918213
867.8101,0.07133656
869.7385,0.073856972
871.667,0.07647565
873.5955,0.079478733
875.5239,0.082944997
877.4524,0.086398058
879.3809,0.089743637
881.3093,0.09390568
883.2378,0.098340027
885.1663,0.1029871
887.0947,0.1083817
889.0232,0.1143358
890.9517,0.1206354
892.8801,0.1274101
894.8085,0.1345954
896.737,0.1425707
898.6655,0.1513381
900.5939,0.1597445
902.5224,0.1668333
904.4509,0.1731092
