x,y
399.1926,0.043157831
401.1211,0.040313661
403.0496,0.040507469
404.978,0.037913289
406.9065,0.03811786
408.835,0.040659979
410.7634,0.040122371
412.6919,0.038401209
414.6204,0.040030759
416.5488,0.040015891
418.4773,0.03862619
420.4058,0.038530961
422.3342,0.039769989
424.2627,0.04214387
426.1912,0.042353678
428.1196,0.04097743
430.0481,0.040530849
431.9766,0.041496951
433.905,0.043680329
435.8335,0.045508441
437.762,0.044615742
439.6904,0.045192041
441.6189,0.04566117
443.5474,0.046695311
445.4758,0.048420612
447.4043,0.048379961
449.3328,0.047263831
451.2612,0.046269421
453.1897,0.046230111
455.1182,0.045389932
457.0466,0.045270119
458.9751,0.045323469
460.9036,0.045471471
462.832,0.045910452
464.7605,0.045673359
466.689,0.045308329
468.6174,0.04512088
470.5459,0.04505977
472.4744,0.045017499
474.4028,0.044181991
476.3313,0.043825861
478.2598,0.044370219
480.1882,0.04547637
482.1167,0.045343649
484.0452,0.04525644
485.9736,0.04515278
487.9021,0.0437443
489.8306,0.04296254
491.759,0.043482359
493.6875,0.043648768
495.616,0.043393329
497.5444,0.043384161
499.4729,0.042963762
501.4014,0.042476829
503.3298,0.042254161
505.2583,0.04220232
507.1868,0.042331379
509.1152,0.04145091
511.0437,0.040460221
512.9722,0.0400405
514.9006,0.039488118
516.8291,0.03911449
518.7576,0.038821619
520.686,0.038526859
522.6145,0.037783019
524.543,0.037305791
526.4714,0.037031371
528.3999,0.036867309
530.3284,0.036275379
532.2568,0.0353943
534.1853,0.035242211
536.1138,0.034979511
538.0422,0.034203131
539.9707,0.033832561
541.8992,0.033372041
543.8276,0.03305465
545.7561,0.032795589
547.6846,0.031986099
549.613,0.031694438
551.5415,0.031606801
553.47,0.03111654
555.3984,0.031464029
557.3269,0.031482618
559.2554,0.031396549
561.1838,0.031027669
563.1123,0.03060554
565.0408,0.030339491
566.9692,0.030571969
568.8977,0.03090121
570.8262,0.03117569
572.7546,0.03118326
574.6831,0.03179225
576.6116,0.03253204
578.54,0.033556491
580.4685,0.03435415
582.397,0.034743831
584.3254,0.035388332
586.2539,0.036680829
588.1824,0.038615599
590.1108,0.04232638
592.0393,0.04669765
593.9678,0.049363319
595.8962,0.04907643
597.8247,0.047004409
599.7532,0.045148458
601.6816,0.04430696
603.6101,0.04481411
605.5386,0.04647129
607.467,0.04855109
609.3955,0.05062972
611.324,0.052159149
613.2524,0.053328872
615.1809,0.052941851
617.1094,0.050919771
619.0378,0.049432602
620.9663,0.048512869
622.8948,0.046900291
624.8232,0.044868369
626.7517,0.0434517
628.6802,0.042953029
630.6086,0.042155869
632.5371,0.041234959
634.4656,0.040479209
636.394,0.040047418
638.3225,0.039525811
640.251,0.0388925
642.1794,0.03796256
644.1079,0.036707051
646.0364,0.035632931
647.9648,0.034669019
649.8933,0.033877712
651.8218,0.033037551
653.7502,0.03249922
655.6787,0.03206281
657.6072,0.031395789
659.5356,0.030328561
661.4641,0.02961825
663.3926,0.02969458
665.321,0.030234581
667.2495,0.030993359
669.178,0.03148346
671.1064,0.03238048
673.0349,0.03345412
674.9634,0.033942688
676.8918,0.033252891
678.8203,0.031562518
680.7488,0.028784649
682.6772,0.02513708
684.6057,0.021737611
686.5342,0.019181119
688.4626,0.01732206
690.3911,0.016233919
692.3196,0.01508182
694.248,0.01378239
696.1765,0.01311599
698.105,0.01279919
700.0334,0.01218703
701.9619,0.01166314
703.8904,0.01152301
705.8188,0.01106047
707.7473,0.01092368
709.6758,0.01101451
711.6042,0.01091049
713.5327,0.01075897
715.4612,0.01058074
717.3896,0.0105502
719.3181,0.01046992
721.2466,0.0106467
723.175,0.01103307
725.1035,0.01081143
727.032,0.01040658
728.9604,0.0105348
730.8889,0.01062284
732.8174,0.01051863
734.7458,0.01063459
736.6743,0.01072911
738.6028,0.01065292
740.5313,0.01105197
742.4597,0.01146027
744.3882,0.01136728
746.3167,0.01127209
748.2451,0.01128818
750.1736,0.0115664
752.1021,0.01169053
754.0305,0.01132285
755.959,0.01114529
757.8875,0.0109988
759.8159,0.01126921
761.7444,0.01119163
763.6729,0.01074909
765.6013,0.01063665
767.5298,0.01072473
769.4583,0.01086244
771.3867,0.0106432
773.3152,0.01043781
775.2437,0.01032295
777.1721,0.01012084
779.1006,0.01008137
781.0291,0.0098284418
782.9575,0.0094240392
784.886,0.0094282143
786.8145,0.0094131082
788.7429,0.0093639223
790.6714,0.009323284
792.5999,0.0093673961
794.5283,0.0094098002
796.4568,0.0093266461
798.3853,0.0093473531
800.3137,0.0093799857
802.2422,0.0094690081
804.1707,0.0095766289
806.0991,0.0095830141
808.0276,0.0097417859
809.9561,0.0098124454
811.8845,0.0097189546
813.813,0.0099464683
815.7415,0.01007714
817.6699,0.0098897368
819.5984,0.01005983
821.5269,0.01041129
823.4553,0.01016586
825.3838,0.01007506
827.3123,0.0103333
829.2407,0.01047363
831.1692,0.01041135
833.0977,0.01020959
835.0261,0.01021592
836.9546,0.01061352
838.8831,0.010606
840.8115,0.01066472
842.74,0.01103534
844.6685,0.01090697
846.5969,0.01074732
848.5254,0.01072262
850.4539,0.01056992
852.3823,0.01087355
854.3108,0.01119586
856.2393,0.01105559
858.1677,0.01086829
860.0962,0.01103432
862.0247,0.01130016
863.9531,0.0112465
865.8816,0.01113277
867.8101,0.01129943
869.7385,0.01143499
871.667,0.01143535
873.5955,0.01169013
875.5239,0.01186849
877.4524,0.0119114
879.3809,0.01212389
881.3093,0.01208248
883.2378,0.01214876
885.1663,0.01212767
887.0947,0.01218243
889.0232,0.01206978
890.9517,0.01188437
892.8801,0.01230951
894.8085,0.01242894
896.737,0.01248162
898.6655,0.01266283
900.5939,0.01297971
902.5224,0.01327493
904.4509,0.01341054
906.3793,0.01349132
908.3078,0.01348579
