x,y
399.1926,0.076014668
401.1211,0.057307739
403.0496,0.05758325
404.978,0.052774649
406.9065,0.047825191
408.835,0.042977199
410.7634,0.041057602
412.6919,0.039420541
414.6204,0.036166869
416.5488,0.035002701
418.4773,0.035918191
420.4058,0.035594098
422.3342,0.036246479
424.2627,0.036229718
426.1912,0.036175061
428.1196,0.03669633
430.0481,0.037469219
431.9766,0.039933998
433.905,0.041221298
435.8335,0.04123297
437.762,0.043534949
439.6904,0.04573489
441.6189,0.045665659
443.5474,0.048224341
445.4758,0.052562989
447.4043,0.056486271
449.3328,0.060150631
451.2612,0.0626304
453.1897,0.066100739
455.1182,0.071126677
457.0466,0.077597544
458.9751,0.082282558
460.9036,0.086104438
462.832,0.089777417
464.7605,0.093335353
466.689,0.09648779
468.6174,0.097574517
470.5459,0.097864121
472.4744,0.099129088
474.4028,0.100495
476.3313,0.1037735
478.2598,0.1076345
480.1882,0.1128751
482.1167,0.1185286
484.0452,0.1248723
485.9736,0.1340283
487.9021,0.1442493
489.8306,0.1560137
491.759,0.1704858
493.6875,0.1865991
495.616,0.2057242
497.5444,0.2268839
499.4729,0.2494072
501.4014,0.2728848
503.3298,0.2957821
505.2583,0.3133351
507.1868,0.3194918
509.1152,0.3125694
511.0437,0.2967643
512.9722,0.2733786
514.9006,0.2495494
516.8291,0.2294357
518.7576,0.2150808
520.686,0.2064081
522.6145,0.2014588
524.543,0.200262
526.4714,0.203621
528.3999,0.2085069
530.3284,0.2143533
532.2568,0.2211677
534.1853,0.2262431
536.1138,0.2292929
538.0422,0.2316135
539.9707,0.2310251
541.8992,0.2281068
543.8276,0.2242108
545.7561,0.2185311
547.6846,0.2104672
549.613,0.2018293
551.5415,0.1926006
553.47,0.1838477
555.3984,0.1757919
557.3269,0.166533
559.2554,0.1571441
561.1838,0.151255
563.1123,0.1497385
565.0408,0.1512519
566.9692,0.154648
568.8977,0.1588347
570.8262,0.1637846
572.7546,0.1674854
574.6831,0.1683889
576.6116,0.1662762
578.54,0.1626082
580.4685,0.15734
582.397,0.1485246
584.3254,0.1381997
586.2539,0.1274609
588.1824,0.1170509
590.1108,0.1068965
592.0393,0.096754476
593.9678,0.087728932
595.8962,0.080322042
597.8247,0.073927984
599.7532,0.068005741
601.6816,0.062602237
603.6101,0.057889812
605.5386,0.054507669
607.467,0.05188062
609.3955,0.049238749
611.324,0.04708549
613.2524,0.045558728
615.1809,0.043755289
617.1094,0.04163016
619.0378,0.03977849
620.9663,0.037982401
622.8948,0.036445629
624.8232,0.035114601
626.7517,0.033317029
628.6802,0.032257318
630.6086,0.032036979
632.5371,0.03175915
634.4656,0.031180689
636.394,0.030745139
638.3225,0.03048932
640.251,0.03052122
642.1794,0.030599611
644.1079,0.030224649
646.0364,0.030158021
647.9648,0.030382231
649.8933,0.03071213
651.8218,0.031085281
