x,y
399.1926,0.05540102
401.1211,0.052610919
403.0496,0.052863851
404.978,0.050041821
406.9065,0.048172921
408.835,0.046930801
410.7634,0.046725459
412.6919,0.04639766
414.6204,0.046142548
416.5488,0.04743791
418.4773,0.049485561
420.4058,0.051518042
422.3342,0.05313576
424.2627,0.054597039
426.1912,0.057287838
428.1196,0.06205954
430.0481,0.065781213
431.9766,0.067023329
433.905,0.066263773
435.8335,0.067614198
437.762,0.071138851
439.6904,0.07320983
441.6189,0.076817557
443.5474,0.081211343
445.4758,0.083924808
447.4043,0.086147919
449.3328,0.089655131
451.2612,0.094708674
453.1897,0.097681157
455.1182,0.1007368
457.0466,0.1040346
458.9751,0.1057155
460.9036,0.1078779
462.832,0.111026
464.7605,0.1146774
466.689,0.1184114
468.6174,0.1215913
470.5459,0.1246586
472.4744,0.1271342
474.4028,0.1292145
476.3313,0.1309553
478.2598,0.1311597
480.1882,0.1310513
482.1167,0.1313754
484.0452,0.1310918
485.9736,0.1298538
487.9021,0.128278
489.8306,0.1255589
491.759,0.1215462
493.6875,0.1166336
495.616,0.1121509
497.5444,0.1131316
499.4729,0.1202013
501.4014,0.1267368
503.3298,0.1296177
505.2583,0.1300111
507.1868,0.1299279
509.1152,0.1296929
511.0437,0.1295014
512.9722,0.1293931
514.9006,0.1293688
516.8291,0.1287891
518.7576,0.1280749
520.686,0.1279673
522.6145,0.1283393
524.543,0.1287476
526.4714,0.1294859
528.3999,0.1301227
530.3284,0.130223
532.2568,0.130715
534.1853,0.132446
536.1138,0.1338732
538.0422,0.1357806
539.9707,0.1371116
541.8992,0.1372619
543.8276,0.1358661
545.7561,0.1330688
547.6846,0.1291752
549.613,0.1240828
551.5415,0.1182587
553.47,0.1129414
555.3984,0.1079062
557.3269,0.1037761
559.2554,0.09970548
561.1838,0.094676331
563.1123,0.090588734
565.0408,0.087151811
566.9692,0.083745793
568.8977,0.080085143
570.8262,0.077345341
572.7546,0.075129181
574.6831,0.072426192
576.6116,0.069827177
578.54,0.067666411
580.4685,0.065767497
582.397,0.064081483
584.3254,0.062488411
586.2539,0.061392359
588.1824,0.0601216
590.1108,0.058399979
592.0393,0.057320841
593.9678,0.05630758
595.8962,0.055542629
597.8247,0.054757912
599.7532,0.054084089
601.6816,0.05355845
603.6101,0.052920811
605.5386,0.052498709
607.467,0.052491348
609.3955,0.052233022
611.324,0.051819749
613.2524,0.051565312
615.1809,0.051475059
617.1094,0.051627722
619.0378,0.052196819
620.9663,0.052774228
622.8948,0.053645819
624.8232,0.054920752
626.7517,0.05658051
628.6802,0.058133058
630.6086,0.059521832
632.5371,0.061651301
634.4656,0.063736692
636.394,0.06581939
638.3225,0.06794513
640.251,0.0700946
642.1794,0.072073951
644.1079,0.073961377
646.0364,0.075531982
647.9648,0.077101722
649.8933,0.07919763
651.8218,0.080694057
653.7502,0.082337283
655.6787,0.084481701
657.6072,0.086288601
659.5356,0.088105068
661.4641,0.08981204
663.3926,0.091020338
665.321,0.09253934
667.2495,0.093700863
669.178,0.094595127
671.1064,0.09528134
673.0349,0.09481167
674.9634,0.093320109
676.8918,0.09188886
678.8203,0.090089381
680.7488,0.088076822
682.6772,0.086291179
684.6057,0.084945433
686.5342,0.083774179
688.4626,0.082182936
690.3911,0.080038108
692.3196,0.077678978
694.248,0.075316258
696.1765,0.072855607
698.105,0.070256948
700.0334,0.067376338
701.9619,0.064309217
703.8904,0.06119249
