x,y
399.1926,0.4709491
401.1211,0.4066234
403.0496,0.4066234
404.978,0.3977124
406.9065,0.3830797
408.835,0.3695873
410.7634,0.3640578
412.6919,0.3461712
414.6204,0.3202077
416.5488,0.3095165
418.4773,0.3058141
420.4058,0.2952379
422.3342,0.2890502
424.2627,0.2881946
426.1912,0.2848025
428.1196,0.275609
430.0481,0.25896
431.9766,0.2509371
433.905,0.2514786
435.8335,0.2477832
437.762,0.2422646
439.6904,0.2412168
441.6189,0.2374
443.5474,0.2276309
445.4758,0.2182083
447.4043,0.2060701
449.3328,0.1903394
451.2612,0.1788725
453.1897,0.1720951
455.1182,0.1680829
457.0466,0.1616251
458.9751,0.1522211
460.9036,0.1437728
462.832,0.1337264
464.7605,0.1218272
466.689,0.1126457
468.6174,0.1067039
470.5459,0.1014812
472.4744,0.1004044
474.4028,0.1010871
476.3313,0.1005091
478.2598,0.1000739
480.1882,0.09957432
482.1167,0.099485859
484.0452,0.099432491
485.9736,0.098037243
487.9021,0.097755343
489.8306,0.099271089
491.759,0.1031437
493.6875,0.107267
495.616,0.1097517
497.5444,0.1142781
499.4729,0.122415
501.4014,0.1346508
503.3298,0.1509176
505.2583,0.1731733
507.1868,0.2018186
509.1152,0.2319073
511.0437,0.2531866
512.9722,0.257241
514.9006,0.2458302
516.8291,0.2267888
518.7576,0.2131043
520.686,0.2083392
522.6145,0.2122252
524.543,0.2190261
526.4714,0.2200327
528.3999,0.2117521
530.3284,0.1959655
532.2568,0.1760739
534.1853,0.1547348
536.1138,0.1370599
538.0422,0.1247642
539.9707,0.1161272
541.8992,0.1100186
543.8276,0.1023638
545.7561,0.094058692
547.6846,0.088319346
549.613,0.085358143
551.5415,0.084546886
553.47,0.08522737
555.3984,0.085912153
557.3269,0.086051777
559.2554,0.086290449
561.1838,0.085767329
563.1123,0.087052859
565.0408,0.088794909
566.9692,0.089510873
568.8977,0.088319346
570.8262,0.085874878
572.7546,0.083747387
574.6831,0.082734682
576.6116,0.082774773
578.54,0.082663372
580.4685,0.082612999
582.397,0.083027542
584.3254,0.084633768
586.2539,0.086434722
588.1824,0.087589659
590.1108,0.088249683
592.0393,0.088089213
593.9678,0.088366337
595.8962,0.089051656
597.8247,0.089678541
599.7532,0.091619387
601.6816,0.093138233
603.6101,0.094535917
605.5386,0.096483499
607.467,0.097456083
609.3955,0.098441809
611.324,0.1000093
613.2524,0.1002754
615.1809,0.100957
617.1094,0.1026951
619.0378,0.1047131
620.9663,0.1064008
622.8948,0.1083886
624.8232,0.1105094
626.7517,0.1126693
628.6802,0.1149128
630.6086,0.1169126
632.5371,0.1195521
634.4656,0.12302
636.394,0.1257493
638.3225,0.1286304
640.251,0.1322154
642.1794,0.1360933
644.1079,0.1404256
646.0364,0.1449343
647.9648,0.148648
649.8933,0.1528963
651.8218,0.1585741
653.7502,0.1639283
655.6787,0.1689335
657.6072,0.174358
659.5356,0.1805511
661.4641,0.186956
663.3926,0.1928059
665.321,0.199243
667.2495,0.2062638
669.178,0.2129625
671.1064,0.2196729
673.0349,0.2269608
674.9634,0.2344385
676.8918,0.2416773
678.8203,0.2489875
680.7488,0.2565084
682.6772,0.264316
684.6057,0.2723401
686.5342,0.2804223
688.4626,0.2886649
690.3911,0.2962663
692.3196,0.3041186
694.248,0.3120766
696.1765,0.3192938
698.105,0.3263316
700.0334,0.3341865
