x,y
399.1926,0.2445578
401.1211,0.2399131
403.0496,0.2410665
404.978,0.2392963
406.9065,0.239862
408.835,0.2362451
410.7634,0.23733
412.6919,0.2374002
414.6204,0.2363195
416.5488,0.2349261
418.4773,0.2400402
420.4058,0.2411505
422.3342,0.2394588
424.2627,0.2406758
426.1912,0.2462985
428.1196,0.2530628
430.0481,0.255483
431.9766,0.2576558
433.905,0.2583541
435.8335,0.2580396
437.762,0.2621037
439.6904,0.2618264
441.6189,0.2582359
443.5474,0.2570506
445.4758,0.2592306
447.4043,0.2584209
449.3328,0.2550488
451.2612,0.2533269
453.1897,0.2528301
455.1182,0.2519672
457.0466,0.2511066
458.9751,0.2466298
460.9036,0.2432658
462.832,0.2399546
464.7605,0.2353292
466.689,0.2322617
468.6174,0.228884
470.5459,0.2233678
472.4744,0.217324
474.4028,0.2128503
476.3313,0.2087061
478.2598,0.2026109
480.1882,0.1978534
482.1167,0.1938462
484.0452,0.1891427
485.9736,0.1851202
487.9021,0.1818696
489.8306,0.1786716
491.759,0.1765866
493.6875,0.1761203
495.616,0.1767318
497.5444,0.1777877
499.4729,0.1790918
501.4014,0.1810275
503.3298,0.18227
505.2583,0.1808784
507.1868,0.1784609
509.1152,0.1748472
511.0437,0.16988
512.9722,0.1644506
514.9006,0.1592943
516.8291,0.1549374
518.7576,0.1507005
520.686,0.1474711
522.6145,0.1444154
524.543,0.1416415
526.4714,0.1396097
528.3999,0.1366528
530.3284,0.1332219
532.2568,0.1302176
534.1853,0.1261814
536.1138,0.1226141
538.0422,0.1195857
539.9707,0.1158814
541.8992,0.1113925
543.8276,0.1062778
545.7561,0.1004511
547.6846,0.093894683
549.613,0.088195421
551.5415,0.082744993
553.47,0.076946869
555.3984,0.071857847
557.3269,0.067786738
559.2554,0.06345623
561.1838,0.059268419
563.1123,0.055918079
565.0408,0.05251094
566.9692,0.04872011
568.8977,0.045214131
570.8262,0.042371999
572.7546,0.039661791
574.6831,0.03720117
576.6116,0.035129
578.54,0.033475101
580.4685,0.032424379
582.397,0.031252231
584.3254,0.030233931
586.2539,0.029897761
588.1824,0.02947415
590.1108,0.02850776
592.0393,0.027612319
593.9678,0.02763485
595.8962,0.02830003
597.8247,0.02864622
599.7532,0.02925468
601.6816,0.02973358
603.6101,0.030274579
605.5386,0.030912969
607.467,0.031385701
609.3955,0.03194391
611.324,0.032800712
613.2524,0.033503119
615.1809,0.03436362
617.1094,0.03502436
619.0378,0.035863262
620.9663,0.03635022
622.8948,0.036855999
624.8232,0.037818979
626.7517,0.038783081
628.6802,0.040008958
630.6086,0.041723199
632.5371,0.043358412
634.4656,0.044923041
636.394,0.046680141
638.3225,0.04843235
640.251,0.050561991
642.1794,0.052546401
644.1079,0.054233801
646.0364,0.056305051
647.9648,0.05809021
649.8933,0.05984132
651.8218,0.06194634
653.7502,0.064559482
655.6787,0.067088783
657.6072,0.06900733
659.5356,0.07105346
661.4641,0.072932333
663.3926,0.073619738
665.321,0.072935939
667.2495,0.071100451
669.178,0.068608001
671.1064,0.066082567
673.0349,0.063997202
674.9634,0.062910259
676.8918,0.062923983
678.8203,0.062643737
680.7488,0.062145069
682.6772,0.061528601
684.6057,0.060725551
686.5342,0.06000888
688.4626,0.058867481
690.3911,0.057485119
692.3196,0.056382392
694.248,0.055338021
696.1765,0.054702502
698.105,0.054724809
700.0334,0.054384839
701.9619,0.053861059
703.8904,0.05263849
705.8188,0.050874449
707.7473,0.048940409
709.6758,0.046890698
711.6042,0.04530374
713.5327,0.04431108
715.4612,0.043808799
717.3896,0.043643169
719.3181,0.044111341
721.2466,0.045464419
723.175,0.04754347
725.1035,0.049376801
727.032,0.051644839
728.9604,0.054649409
730.8889,0.057663839
732.8174,0.061026718
734.7458,0.064063363
736.6743,0.065346807
738.6028,0.064416282
740.5313,0.062021229
742.4597,0.058799241
744.3882,0.055451311
746.3167,0.052372769
748.2451,0.05001599
750.1736,0.047724579
752.1021,0.045483571
754.0305,0.043958981
755.959,0.043045431
757.8875,0.042205662
759.8159,0.041419979
761.7444,0.04079796
763.6729,0.040878609
765.6013,0.041353751
767.5298,0.04199861
769.4583,0.042695969
771.3867,0.043713208
773.3152,0.044941381
775.2437,0.046357021
777.1721,0.04813331
779.1006,0.050309502
781.0291,0.052925091
782.9575,0.055915259
784.886,0.058833789
786.8145,0.06228805
788.7429,0.065921918
790.6714,0.069224648
792.5999,0.072886787
794.5283,0.07674785
796.4568,0.080344386
798.3853,0.083349682
800.3137,0.086021028
802.2422,0.088104062
804.1707,0.089625724
806.0991,0.090942912
808.0276,0.091514356
809.9561,0.091006652
811.8845,0.090079717
813.813,0.089443617
815.7415,0.089076899
817.6699,0.088783354
819.5984,0.088381916
821.5269,0.088285796
823.4553,0.088710003
825.3838,0.089317173
