x,y
399.1926,0.1542658
401.1211,0.140112
403.0496,0.1407856
404.978,0.1420852
406.9065,0.1395102
408.835,0.1353396
410.7634,0.1313536
412.6919,0.1273397
414.6204,0.1276778
416.5488,0.1312235
418.4773,0.1348109
420.4058,0.1362281
422.3342,0.1386184
424.2627,0.1415915
426.1912,0.1397593
428.1196,0.1380146
430.0481,0.1399695
431.9766,0.1416329
433.905,0.1420659
435.8335,0.1416424
437.762,0.1397745
439.6904,0.1385322
441.6189,0.1373471
443.5474,0.1354417
445.4758,0.1347379
447.4043,0.1335262
449.3328,0.1317706
451.2612,0.1321427
453.1897,0.1312761
455.1182,0.128223
457.0466,0.1260165
458.9751,0.1244582
460.9036,0.1229457
462.832,0.1221109
464.7605,0.1208592
466.689,0.1195152
468.6174,0.1184046
470.5459,0.1158344
472.4744,0.1135744
474.4028,0.1108682
476.3313,0.1069691
478.2598,0.1026063
480.1882,0.098346233
482.1167,0.094167523
484.0452,0.091118932
485.9736,0.087683879
487.9021,0.085134909
489.8306,0.082851909
491.759,0.080486238
493.6875,0.078165486
495.616,0.077791236
497.5444,0.07752917
499.4729,0.077161603
501.4014,0.077759176
503.3298,0.078657113
505.2583,0.079423152
507.1868,0.080348253
509.1152,0.081152089
511.0437,0.082911551
512.9722,0.086065382
514.9006,0.088487104
516.8291,0.089074589
518.7576,0.089994133
520.686,0.091989517
522.6145,0.094464011
524.543,0.095663331
526.4714,0.095683463
528.3999,0.095861539
530.3284,0.097779818
532.2568,0.1002158
534.1853,0.1023688
536.1138,0.1043319
538.0422,0.1075595
539.9707,0.1112527
541.8992,0.1149637
543.8276,0.1197088
545.7561,0.1239844
547.6846,0.1294304
549.613,0.1354933
551.5415,0.1413575
553.47,0.1471802
555.3984,0.1526587
557.3269,0.1583294
559.2554,0.164831
561.1838,0.1699316
563.1123,0.1752711
565.0408,0.1801279
566.9692,0.1819025
568.8977,0.1822982
570.8262,0.1805285
572.7546,0.1762832
574.6831,0.17073
576.6116,0.1644363
578.54,0.1586646
580.4685,0.1544779
582.397,0.1516538
584.3254,0.1507622
586.2539,0.1518733
588.1824,0.1556209
590.1108,0.160128
592.0393,0.1633561
593.9678,0.1651114
595.8962,0.1660328
597.8247,0.1654453
599.7532,0.163967
601.6816,0.1627017
603.6101,0.1608972
605.5386,0.1590264
607.467,0.1572476
609.3955,0.154865
611.324,0.1521385
613.2524,0.1494284
615.1809,0.1464854
617.1094,0.1427139
619.0378,0.13886
620.9663,0.1350539
622.8948,0.1317113
624.8232,0.1292893
626.7517,0.1264942
628.6802,0.1238824
630.6086,0.1222831
632.5371,0.1219407
634.4656,0.1229584
636.394,0.1245325
638.3225,0.1267448
640.251,0.1295632
642.1794,0.1318807
644.1079,0.1341857
646.0364,0.136478
647.9648,0.1376924
649.8933,0.1375214
651.8218,0.1367106
653.7502,0.1353486
655.6787,0.1330793
657.6072,0.1296677
659.5356,0.1263275
661.4641,0.1230425
663.3926,0.1195882
665.321,0.1160579
667.2495,0.1129943
669.178,0.110275
671.1064,0.1084093
673.0349,0.1068242
674.9634,0.1049948
676.8918,0.1037173
678.8203,0.1028675
680.7488,0.1017109
682.6772,0.1008296
684.6057,0.099904947
686.5342,0.098569699
688.4626,0.096938036
690.3911,0.09564846
692.3196,0.094046503
694.248,0.092027582
696.1765,0.089505948
698.105,0.086782753
700.0334,0.083629839
701.9619,0.080512598
703.8904,0.077517733
705.8188,0.074646361
707.7473,0.07174065
709.6758,0.068506517
711.6042,0.065534241
713.5327,0.063051537
715.4612,0.06071024
717.3896,0.058877271
719.3181,0.0567788
721.2466,0.055571798
723.175,0.05472938
725.1035,0.053685699
727.032,0.052978128
728.9604,0.052862652
730.8889,0.052466299
732.8174,0.052160889
734.7458,0.051725969
736.6743,0.051284801
738.6028,0.05133618
740.5313,0.051406
742.4597,0.051384579
744.3882,0.05171575
746.3167,0.052054599
748.2451,0.052150309
750.1736,0.05186788
752.1021,0.05204282
754.0305,0.05274355
755.959,0.053108871
757.8875,0.053316619
759.8159,0.054036111
761.7444,0.054970901
763.6729,0.055938471
765.6013,0.057092998
767.5298,0.058211561
769.4583,0.058845978
771.3867,0.059882838
773.3152,0.060870711
775.2437,0.061762001
777.1721,0.063178428
779.1006,0.064463943
781.0291,0.065463006
782.9575,0.06638626
784.886,0.067204393
786.8145,0.068267033
788.7429,0.069757037
790.6714,0.071007863
792.5999,0.072225727
794.5283,0.073751748
796.4568,0.074925601
798.3853,0.075953759
800.3137,0.077269003
802.2422,0.079120927
804.1707,0.080813423
806.0991,0.082036197
808.0276,0.083616681
809.9561,0.085617967
811.8845,0.087401547
813.813,0.089213356
815.7415,0.091230214
817.6699,0.093505293
819.5984,0.095707901
821.5269,0.098001927
823.4553,0.1000433
825.3838,0.1020454
827.3123,0.1041929
829.2407,0.1065491
831.1692,0.1087501
833.0977,0.1110019
835.0261,0.1131263
836.9546,0.1151974
838.8831,0.1170589
840.8115,0.1191397
842.74,0.1214372
844.6685,0.1236397
846.5969,0.1260133
848.5254,0.1284632
850.4539,0.1307027
852.3823,0.1332513
854.3108,0.1356779
856.2393,0.1378867
858.1677,0.1404178
860.0962,0.1431944
862.0247,0.1457663
863.9531,0.1485473
865.8816,0.151237
867.8101,0.1540713
869.7385,0.1575119
871.667,0.1610887
873.5955,0.1644791
875.5239,0.1678054
877.4524,0.1705468
879.3809,0.1731116
881.3093,0.1761585
883.2378,0.1790977
885.1663,0.1814449
887.0947,0.1838551
889.0232,0.1866136
890.9517,0.1886923
892.8801,0.1902447
894.8085,0.1919108
896.737,0.193452
898.6655,0.1947002
900.5939,0.19562
902.5224,0.1959051
904.4509,0.1958097
906.3793,0.1954223
908.3078,0.1949285
910.2363,0.1942237
912.1647,0.1932178
914.0932,0.192513
916.0217,0.1915171
917.9501,0.1895608
919.8786,0.1878221
921.8071,0.1864887
923.7355,0.1848962
925.664,0.1831492
927.5925,0.1813425
929.5209,0.1794451
931.4494,0.1772338
933.3779,0.1748095
935.3063,0.1726309
937.2348,0.1701397
939.1633,0.1671729
941.0917,0.1640742
943.0202,0.161317
944.9487,0.1584453
946.8771,0.1558209
948.8056,0.153826
950.7341,0.1522556
952.6625,0.1512822
954.591,0.1511193
956.5195,0.1517434
958.4479,0.1530591
960.3764,0.1551783
962.3049,0.1578458
964.2333,0.1610558
966.1618,0.1652542
968.0903,0.1705237
970.0187,0.1762503
971.9472,0.1829527
973.8757,0.1906794
975.8041,0.1987044
977.7326,0.2061751
979.6611,0.2127908
981.5895,0.2178748
983.518,0.2204641
985.4465,0.220995
987.3749,0.221055
989.3034,0.2214863
991.2319,0.22223
993.1603,0.2242947
995.0888,0.2281948
997.0173,0.2337016
998.9457,0.240389
1000.874,0.247333
1002.803,0.2540303
1004.731,0.2602756
1006.66,0.2658041
1008.588,0.2704827
1010.517,0.2740735
1012.445,0.2764884
1014.373,0.2781033
1016.302,0.278904
1018.23,0.2790782
1020.159,0.2781101
1022.087,0.2766097
1024.016,0.2745441
1025.944,0.2716287
1027.873,0.2679169
1029.801,0.2636279
1031.73,0.2587329
1033.658,0.2531998
1035.587,0.2473127
1037.515,0.2406303
1039.444,0.2334794
1041.372,0.226029
1043.301,0.2184946
1045.229,0.2109282
1047.157,0.2032872
1049.086,0.195769
1051.014,0.1889204
1052.943,0.1830386
1054.871,0.1772395
1056.8,0.1721981
1058.728,0.1682987
1060.657,0.1651423
1062.585,0.1630288
1064.514,0.1613753
1066.442,0.1607586
1068.371,0.1615537
1070.299,0.162692
1072.228,0.1635629
1074.156,0.164502
1076.084,0.1646246
1078.013,0.1633286
1079.941,0.1609208
1081.87,0.1573922
1083.798,0.1531536
1085.727,0.1477848
1087.655,0.142123
1089.584,0.1362141
1091.512,0.1296653
1093.441,0.1231142
1095.369,0.1168039
1097.298,0.1105692
1099.226,0.1048665
1101.155,0.099688031
1103.083,0.094279192
1105.011,0.089205168
1106.94,0.084945612
1108.868,0.080536813
1110.797,0.076291673
1112.725,0.072595067
1114.654,0.0689836
1116.582,0.065426677
1118.511,0.06215544
1120.439,0.059137359
1122.368,0.056602281
1124.296,0.05465012
1126.225,0.052745011
1128.153,0.051228039
1130.082,0.049879309
1132.01,0.048529331
1133.938,0.047445629
1135.867,0.046708401
1137.795,0.046246819
1139.724,0.045745149
1141.652,0.045415819
1143.581,0.045395371
1145.509,0.04549206
1147.438,0.04558035
1149.366,0.0457398
1151.295,0.046382479
1153.223,0.04767495
1155.152,0.0492846
1157.08,0.051186118
1159.009,0.053533409
1160.937,0.05584228
1162.865,0.057165761
1164.794,0.057025898
1166.722,0.055691011
1168.651,0.053541519
1170.579,0.05093896
1172.508,0.04813654
1174.436,0.04582971
1176.365,0.043958951
1178.293,0.042313531
1180.222,0.04094879
1182.15,0.039975129
1184.079,0.038942449
1186.007,0.037773632
1187.936,0.036925189
1189.864,0.03644583
1191.792,0.035712939
1193.721,0.035047662
1195.649,0.034608539
1197.578,0.034064662
1199.506,0.033625301
1201.435,0.03314032
1203.363,0.03245854
1205.292,0.03208692
1207.22,0.031781521
1209.149,0.03116883
1211.077,0.03091302
1213.006,0.03076897
1214.934,0.03012237
1216.863,0.029880671
1218.791,0.02971163
1220.719,0.02918211
1222.648,0.029177541
1224.576,0.029109281
1226.505,0.028712619
1228.433,0.028466981
1230.362,0.02847787
1232.29,0.028134629
1234.219,0.027557099
1236.147,0.027596669
1238.076,0.02804539
1240.004,0.02804726
1241.933,0.027514931
1243.861,0.0273079
1245.79,0.027383851
1247.718,0.02748921
1249.646,0.02744502
1251.575,0.02744912
1253.503,0.027217399
1255.432,0.027157521
1257.36,0.02748307
1259.289,0.027540451
1261.217,0.02732401
1263.146,0.02729078
1265.074,0.027336059
1267.003,0.02765586
1268.931,0.02792065
1270.86,0.02787259
1272.788,0.027793011
1274.717,0.027936479
1276.645,0.02795713
1278.573,0.02803464
1280.502,0.02831858
1282.43,0.028426331
1284.359,0.028350949
1286.287,0.02813785
1288.216,0.02800782
1290.144,0.0281987
1292.073,0.028373551
1294.001,0.028559189
1295.93,0.02860659
1297.858,0.0284849
1299.787,0.028602339
1301.715,0.028644091
1303.644,0.028768141
1305.572,0.028731329
1307.5,0.028727651
1309.429,0.02897534
1311.357,0.02925723
1313.286,0.029390501
1315.214,0.029261811
1317.143,0.029124871
1319.071,0.029259451
1321.0,0.029351549
1322.928,0.029398881
1324.857,0.029375991
1326.785,0.02971663
1328.714,0.02986113
1330.642,0.029728239
1332.571,0.02944533
1334.499,0.029354841
1336.427,0.02939605
1338.356,0.029589821
1340.284,0.0295734
1342.213,0.02965324
1344.141,0.02997403
1346.07,0.02980078
1347.998,0.02949742
1349.927,0.029595779
1351.855,0.029968079
1353.784,0.029977979
1355.712,0.029717419
1357.641,0.0295412
1359.569,0.029626461
1361.498,0.02995039
1363.426,0.029952521
1365.354,0.029545501
1367.283,0.02937665
1369.211,0.029547431
1371.14,0.02966487
1373.068,0.029784439
1374.997,0.029577279
1376.925,0.02953718
1378.854,0.02972598
1380.782,0.02996023
1382.711,0.030157709
1384.639,0.030112309
1386.568,0.03031976
1388.496,0.030500369
1390.424,0.03029984
1392.353,0.03017512
1394.281,0.030424209
1396.21,0.03050969
1398.138,0.030501161
1400.067,0.03078644
1401.995,0.030847421
1403.924,0.030714059
1405.852,0.030877899
1407.781,0.031029079
1409.709,0.030931011
1411.638,0.03108526
1413.566,0.03116601
1415.495,0.030906631
1417.423,0.030776501
1419.351,0.03087745
1421.28,0.030953219
1423.208,0.03116199
1425.137,0.031415019
1427.065,0.03152613
1428.994,0.031717211
1430.922,0.031700741
1432.851,0.0316405
1434.779,0.031514838
1436.708,0.031271748
1438.636,0.0314648
1440.565,0.031488601
1442.493,0.03108759
1444.422,0.030987339
1446.35,0.031015869
1448.278,0.03120718
1450.207,0.0312145
1452.135,0.030769199
1454.064,0.03053968
1455.992,0.030406339
1457.921,0.030352799
1459.849,0.030287709
1461.778,0.030344989
1463.706,0.03033893
1465.635,0.03022036
1467.563,0.03031596
1469.492,0.030713029
1471.42,0.031035841
1473.349,0.031193219
1475.277,0.03141899
1477.205,0.03162463
1479.134,0.03166442
1481.062,0.031791139
1482.991,0.03206655
1484.919,0.03205194
1486.848,0.0320393
1488.776,0.032055821
1490.705,0.031934131
1492.633,0.031918179
1494.562,0.032053381
1496.49,0.03207453
1498.419,0.03192164
1500.347,0.031971499
1502.276,0.032152761
1504.204,0.032085769
1506.132,0.031963758
1508.061,0.03224856
1509.989,0.0324733
1511.918,0.032338399
1513.846,0.032377649
1515.775,0.032535449
1517.703,0.032470599
1519.632,0.032479811
1521.56,0.032782961
1523.489,0.032841321
1525.417,0.03273844
1527.346,0.032812469
1529.274,0.03295986
1531.203,0.032942139
1533.131,0.032649878
1535.059,0.032589938
1536.988,0.032898601
1538.916,0.033130009
1540.845,0.033347029
1542.773,0.03345722
1544.702,0.033432759
1546.63,0.0338342
1548.559,0.033940341
1550.487,0.033818308
1552.416,0.033884659
1554.344,0.033905249
1556.273,0.033648949
1558.201,0.033728089
1560.13,0.033622541
1562.058,0.03371577
1563.986,0.034022462
1565.915,0.034218751
1567.843,0.034400109
1569.772,0.034858979
1571.7,0.03524714
1573.629,0.035205562
1575.557,0.035210069
1577.486,0.035276718
1579.414,0.035061259
1581.343,0.035250772
1583.271,0.035869099
1585.2,0.036284689
1587.128,0.036419149
1589.057,0.036864009
1590.985,0.03716331
1592.913,0.03722189
1594.842,0.03735099
1596.77,0.037608381
1598.699,0.038042691
1600.627,0.038360171
1602.556,0.038652141
1604.484,0.03936471
1606.413,0.039608561
1608.341,0.039725479
1610.27,0.040206201
1612.198,0.040685002
1614.127,0.040834971
1616.055,0.04113967
1617.984,0.041583959
1619.912,0.04152482
1621.84,0.041719291
1623.769,0.04165405
1625.697,0.041509662
1627.626,0.041505139
1629.554,0.04118995
1631.483,0.040951639
1633.411,0.04049642
1635.34,0.03937545
1637.268,0.038689949
1639.197,0.038120762
1641.125,0.037345652
1643.054,0.03677652
1644.982,0.03602238
1646.911,0.03547477
1648.839,0.03511351
1650.767,0.034546141
1652.696,0.033833198
1654.624,0.033021182
1656.553,0.032587308
1658.481,0.03209094
1660.41,0.031563431
1662.338,0.0314437
1664.267,0.031165469
1666.195,0.03050009
1668.124,0.02977578
1670.052,0.02946117
1671.981,0.029615611
1673.909,0.0296645
1675.838,0.029344549
1677.766,0.02893609
1679.694,0.028638121
1681.623,0.02840993
1683.551,0.02844077
1685.48,0.02835305
1687.408,0.028166071
1689.337,0.02787585
1691.265,0.027551631
1693.194,0.02737613
1695.122,0.027178239
1697.051,0.027091829
1698.979,0.0269705
1700.908,0.02693921
1702.836,0.026415739
1704.765,0.025872361
1706.693,0.02540719
1708.621,0.024791891
1710.55,0.024932111
1712.478,0.024948251
1714.407,0.024781041
1716.335,0.02489059
1718.264,0.0249444
1720.192,0.024897501
1722.121,0.024797991
1724.049,0.024747699
1725.978,0.02458418
1727.906,0.024103031
1729.835,0.024020029
1731.763,0.023976911
1733.692,0.023633219
