x,y
399.1926,0.2594956
401.1211,0.2705009
403.0496,0.2718014
404.978,0.2696721
406.9065,0.26724
408.835,0.2701351
410.7634,0.274718
412.6919,0.2733822
414.6204,0.280299
416.5488,0.2825687
418.4773,0.2797465
420.4058,0.2813734
422.3342,0.2831838
424.2627,0.2860121
426.1912,0.2883982
428.1196,0.2896619
430.0481,0.2817018
431.9766,0.2755767
433.905,0.2681589
435.8335,0.262758
437.762,0.2605728
439.6904,0.2586658
441.6189,0.2527144
443.5474,0.2503531
445.4758,0.2486811
447.4043,0.2469488
449.3328,0.2431967
451.2612,0.241553
453.1897,0.2444434
455.1182,0.2476213
457.0466,0.2493747
458.9751,0.249954
460.9036,0.2490818
462.832,0.2459107
464.7605,0.2405877
466.689,0.2381896
468.6174,0.2341884
470.5459,0.2288654
472.4744,0.2239319
474.4028,0.2181451
476.3313,0.2124451
478.2598,0.2073297
480.1882,0.2019188
482.1167,0.196247
484.0452,0.1912907
485.9736,0.1874231
487.9021,0.1833652
489.8306,0.1796437
491.759,0.1775534
493.6875,0.1762801
495.616,0.1744434
497.5444,0.1724842
499.4729,0.1707368
501.4014,0.169787
503.3298,0.1688609
505.2583,0.1680294
507.1868,0.1642868
509.1152,0.1603903
511.0437,0.1578282
512.9722,0.1549591
514.9006,0.1529001
516.8291,0.1516227
518.7576,0.1508679
520.686,0.1492547
522.6145,0.1443271
524.543,0.136885
526.4714,0.1283406
528.3999,0.1190982
530.3284,0.1105405
532.2568,0.103651
534.1853,0.098361157
536.1138,0.093892217
538.0422,0.090607367
539.9707,0.087577812
541.8992,0.0839829
543.8276,0.080124572
545.7561,0.076947853
547.6846,0.075980738
549.613,0.074655958
551.5415,0.0728883
553.47,0.072086386
555.3984,0.071184583
557.3269,0.070421576
559.2554,0.069427177
561.1838,0.067188449
563.1123,0.065137327
565.0408,0.063391186
566.9692,0.062462829
568.8977,0.062627457
570.8262,0.062114149
572.7546,0.061417561
574.6831,0.060986631
576.6116,0.0602834
578.54,0.059082162
580.4685,0.057364341
582.397,0.0558373
584.3254,0.054796621
586.2539,0.054130081
588.1824,0.05320419
590.1108,0.05286945
592.0393,0.053626109
593.9678,0.054457359
595.8962,0.055288229
597.8247,0.056702569
599.7532,0.05918137
601.6816,0.061446302
603.6101,0.062671833
605.5386,0.063355193
607.467,0.063584208
609.3955,0.063165434
611.324,0.06174304
613.2524,0.059061751
615.1809,0.057759561
617.1094,0.058016479
619.0378,0.058379419
620.9663,0.058368631
622.8948,0.058411311
624.8232,0.05868227
626.7517,0.059194028
628.6802,0.060472932
630.6086,0.06156629
632.5371,0.062681749
634.4656,0.064415947
636.394,0.065872163
638.3225,0.067230798
640.251,0.068937413
642.1794,0.070594251
644.1079,0.07217022
646.0364,0.074048847
647.9648,0.075751707
649.8933,0.077422477
651.8218,0.078850687
653.7502,0.080453753
655.6787,0.081683993
657.6072,0.083623223
659.5356,0.086705931
661.4641,0.089504957
663.3926,0.092235222
665.321,0.095626317
667.2495,0.099422187
669.178,0.1027095
671.1064,0.1054302
673.0349,0.1086136
674.9634,0.1122372
676.8918,0.1166884
678.8203,0.1212564
680.7488,0.1245419
682.6772,0.1247796
684.6057,0.1222778
686.5342,0.1195533
688.4626,0.1194497
690.3911,0.1204718
692.3196,0.1207956
694.248,0.1203078
696.1765,0.1200706
698.105,0.1220242
700.0334,0.126639
701.9619,0.1318292
703.8904,0.1352131
705.8188,0.1357776
707.7473,0.1339075
709.6758,0.1304655
711.6042,0.1265889
713.5327,0.1236559
715.4612,0.1219718
717.3896,0.1202263
719.3181,0.1179895
721.2466,0.1164604
723.175,0.1150806
725.1035,0.1142553
727.032,0.1147422
728.9604,0.1159267
730.8889,0.1176166
732.8174,0.1199089
734.7458,0.1227663
736.6743,0.1262103
738.6028,0.1299476
740.5313,0.1336833
742.4597,0.1375523
744.3882,0.1413889
746.3167,0.145463
748.2451,0.1499939
750.1736,0.1549074
752.1021,0.1598267
754.0305,0.1646202
755.959,0.1699539
757.8875,0.17574
759.8159,0.1813157
761.7444,0.1872701
763.6729,0.1933898
765.6013,0.1993421
767.5298,0.2041781
769.4583,0.2088985
771.3867,0.2143658
773.3152,0.2201948
775.2437,0.2263278
777.1721,0.2327269
779.1006,0.2392704
781.0291,0.2464762
782.9575,0.2537497
784.886,0.2606364
786.8145,0.2673293
788.7429,0.2747191
790.6714,0.2822113
792.5999,0.289779
794.5283,0.2969094
796.4568,0.3026263
798.3853,0.3061364
800.3137,0.3082273
802.2422,0.30834
804.1707,0.3056779
806.0991,0.3009819
808.0276,0.2967192
809.9561,0.2938725
811.8845,0.2927063
813.813,0.293735
815.7415,0.2964014
817.6699,0.2996026
819.5984,0.3032538
821.5269,0.3070132
823.4553,0.3102898
825.3838,0.3130175
827.3123,0.3160238
829.2407,0.3185229
831.1692,0.3198491
833.0977,0.3203362
835.0261,0.3203261
836.9546,0.3191
838.8831,0.3174632
840.8115,0.3159408
842.74,0.3138203
844.6685,0.3121574
846.5969,0.3113963
848.5254,0.3116835
850.4539,0.3122218
852.3823,0.3132406
854.3108,0.3155613
856.2393,0.3185582
858.1677,0.3210278
860.0962,0.3233176
862.0247,0.3258765
863.9531,0.3280228
865.8816,0.3297832
867.8101,0.3300363
869.7385,0.3296165
871.667,0.3291689
873.5955,0.3286147
875.5239,0.3279949
877.4524,0.3268938
879.3809,0.3255313
881.3093,0.3238963
883.2378,0.3219441
885.1663,0.3196841
887.0947,0.3164576
889.0232,0.3136211
890.9517,0.3107039
892.8801,0.3069857
894.8085,0.3029632
896.737,0.2985528
898.6655,0.2938648
900.5939,0.2883407
902.5224,0.2818437
904.4509,0.2756826
906.3793,0.2689895
908.3078,0.2614041
910.2363,0.2536207
912.1647,0.246067
914.0932,0.2384804
916.0217,0.2311482
917.9501,0.2239811
919.8786,0.2175892
921.8071,0.2130232
923.7355,0.2101936
925.664,0.2084478
927.5925,0.2068839
929.5209,0.2054814
931.4494,0.2041679
933.3779,0.2028362
935.3063,0.2015459
937.2348,0.1996496
939.1633,0.1969239
941.0917,0.194077
943.0202,0.1907201
944.9487,0.1863904
946.8771,0.1820924
948.8056,0.1781431
950.7341,0.1745588
952.6625,0.1710137
954.591,0.1676167
956.5195,0.1642685
958.4479,0.1615394
960.3764,0.1592092
962.3049,0.1572218
964.2333,0.1553868
966.1618,0.1533635
968.0903,0.151249
970.0187,0.1491039
971.9472,0.1464718
973.8757,0.1433397
975.8041,0.1400833
977.7326,0.136599
979.6611,0.13271
981.5895,0.1288958
983.518,0.1252114
985.4465,0.1215827
987.3749,0.1180609
989.3034,0.1147739
991.2319,0.1115901
993.1603,0.1086977
995.0888,0.1064917
997.0173,0.1047562
998.9457,0.1034487
1000.874,0.1020756
1002.803,0.1007469
1004.731,0.1002295
1006.66,0.099716917
1008.588,0.099234708
1010.517,0.099408567
1012.445,0.099831648
1014.373,0.099958837
1016.302,0.1003206
1018.23,0.1006968
1020.159,0.1012893
1022.087,0.1017475
1024.016,0.1019252
1025.944,0.1023832
1027.873,0.1026956
1029.801,0.1021292
1031.73,0.1010631
1033.658,0.099472754
1035.587,0.09693332
1037.515,0.093862452
1039.444,0.090806209
1041.372,0.087800562
1043.301,0.084980063
1045.229,0.082018062
1047.157,0.078938119
1049.086,0.076383993
1051.014,0.074234411
1052.943,0.072237812
1054.871,0.070474409
1056.8,0.069207698
1058.728,0.068268009
1060.657,0.067450941
1062.585,0.066902667
1064.514,0.066690482
1066.442,0.0664066
1068.371,0.066304661
1070.299,0.066423163
1072.228,0.066334277
1074.156,0.065908574
1076.084,0.065403111
1078.013,0.064920671
1079.941,0.064393252
1081.87,0.064127311
1083.798,0.063256212
1085.727,0.062299069
1087.655,0.061857238
1089.584,0.061225459
1091.512,0.060400158
1093.441,0.059413619
1095.369,0.058520541
1097.298,0.057640981
1099.226,0.05669469
1101.155,0.055941001
1103.083,0.05527823
1105.011,0.054562651
1106.94,0.053463649
1108.868,0.052320771
1110.797,0.051374432
1112.725,0.05061828
1114.654,0.049901471
1116.582,0.04909284
1118.511,0.048047408
1120.439,0.047021531
1122.368,0.0460972
1124.296,0.045417748
1126.225,0.045088209
1128.153,0.044745281
1130.082,0.044484451
1132.01,0.043818071
1133.938,0.043207821
1135.867,0.042939909
1137.795,0.042819221
1139.724,0.04268745
1141.652,0.042372551
1143.581,0.04228881
1145.509,0.042189419
1147.438,0.04194127
1149.366,0.041878261
1151.295,0.042061958
1153.223,0.04218607
1155.152,0.042210411
1157.08,0.04185605
1159.009,0.041858159
1160.937,0.04234026
1162.865,0.042676091
1164.794,0.042657681
1166.722,0.042541139
1168.651,0.04270377
1170.579,0.04325201
1172.508,0.04341042
1174.436,0.04330954
1176.365,0.043473721
1178.293,0.043897759
1180.222,0.044121701
1182.15,0.04448485
1184.079,0.044612531
1186.007,0.044957329
1187.936,0.04523436
1189.864,0.04545927
1191.792,0.04578897
1193.721,0.046047091
1195.649,0.04633281
1197.578,0.046612181
1199.506,0.046880499
1201.435,0.04713906
1203.363,0.047384471
1205.292,0.04752912
1207.22,0.047766291
1209.149,0.04831972
1211.077,0.048570111
1213.006,0.04863105
1214.934,0.048837818
1216.863,0.049217969
1218.791,0.049472939
1220.719,0.04938776
1222.648,0.049597379
1224.576,0.049934361
1226.505,0.050027382
1228.433,0.050385509
1230.362,0.050926689
1232.29,0.051364869
1234.219,0.05172801
1236.147,0.052041691
1238.076,0.052308369
1240.004,0.052728351
1241.933,0.053188719
1243.861,0.053462651
1245.79,0.053765889
1247.718,0.05405372
1249.646,0.054384999
1251.575,0.05485642
1253.503,0.055376992
1255.432,0.055971429
1257.36,0.056218561
1259.289,0.056568239
1261.217,0.056925438
1263.146,0.057338599
1265.074,0.05818478
1267.003,0.058846202
1268.931,0.059317
1270.86,0.059853941
1272.788,0.060312688
1274.717,0.060803581
1276.645,0.061448321
1278.573,0.061993498
1280.502,0.062606148
1282.43,0.063152581
1284.359,0.063450448
1286.287,0.063748822
1288.216,0.064472973
1290.144,0.06533853
1292.073,0.066033423
1294.001,0.066513121
1295.93,0.066814907
1297.858,0.067337088
1299.787,0.068230473
1301.715,0.06915877
1303.644,0.070017941
1305.572,0.070823543
1307.5,0.071542293
1309.429,0.072282299
1311.357,0.073243961
1313.286,0.074441813
1315.214,0.075428382
1317.143,0.075982757
1319.071,0.076510608
1321.0,0.077536471
1322.928,0.07854598
1324.857,0.079506621
1326.785,0.080403604
1328.714,0.081230372
1330.642,0.082103968
1332.571,0.08334244
1334.499,0.084550351
1336.427,0.085434914
1338.356,0.086099572
1340.284,0.087288544
1342.213,0.0884232
1344.141,0.089583032
1346.07,0.090726659
1347.998,0.091931313
1349.927,0.092912041
1351.855,0.094192043
1353.784,0.095599853
1355.712,0.09655384
1357.641,0.097276881
1359.569,0.098236188
1361.498,0.099472307
1363.426,0.1007911
1365.354,0.1017307
1367.283,0.1027969
1369.211,0.1039296
1371.14,0.1050699
1373.068,0.1062399
1374.997,0.1073657
1376.925,0.1086168
1378.854,0.1103715
1380.782,0.1121667
1382.711,0.1140641
1384.639,0.1165207
1386.568,0.1188828
1388.496,0.1212105
1390.424,0.1237886
1392.353,0.1262166
1394.281,0.1284786
1396.21,0.1303583
1398.138,0.1317363
1400.067,0.1326324
1401.995,0.1328308
1403.924,0.1326685
1405.852,0.1329646
1407.781,0.1331036
1409.709,0.1324075
1411.638,0.1318951
1413.566,0.1314403
1415.495,0.1307821
1417.423,0.1302298
1419.351,0.1295778
1421.28,0.1288316
1423.208,0.1280563
1425.137,0.1271708
1427.065,0.1265426
1428.994,0.1259282
1430.922,0.1249145
1432.851,0.1237558
1434.779,0.1228478
1436.708,0.1220371
1438.636,0.1210895
1440.565,0.119581
1442.493,0.117994
1444.422,0.1165878
1446.35,0.1150764
1448.278,0.1136726
1450.207,0.1122554
1452.135,0.1109661
1454.064,0.1096927
1455.992,0.1084137
1457.921,0.106838
1459.849,0.10494
1461.778,0.1036946
1463.706,0.1028275
1465.635,0.1013952
1467.563,0.099966653
1469.492,0.098922387
1471.42,0.098260313
1473.349,0.097433232
1475.277,0.096249267
1477.205,0.094906479
1479.134,0.094005808
1481.062,0.093716197
1482.991,0.093208648
1484.919,0.092407517
1486.848,0.091712452
1488.776,0.091115907
1490.705,0.090794601
1492.633,0.090463012
1494.562,0.090091102
1496.49,0.089905567
1498.419,0.090000838
1500.347,0.090220049
1502.276,0.089997843
1504.204,0.089493081
1506.132,0.089253493
1508.061,0.089498132
1509.989,0.089605004
1511.918,0.089582652
1513.846,0.089505501
1515.775,0.089409679
1517.703,0.08972916
1519.632,0.090372853
1521.56,0.090715997
1523.489,0.090704463
1525.417,0.090813257
1527.346,0.090813197
1529.274,0.090749621
1531.203,0.090888143
1533.131,0.091177747
1535.059,0.091195911
1536.988,0.091525123
1538.916,0.091938868
1540.845,0.092019401
1542.773,0.092091039
1544.702,0.092483558
1546.63,0.092574097
1548.559,0.092807896
1550.487,0.092855424
1552.416,0.093026832
1554.344,0.093212686
1556.273,0.093466192
1558.201,0.094040141
1560.13,0.094109707
1562.058,0.09411829
1563.986,0.094228953
1565.915,0.094175771
1567.843,0.094183341
1569.772,0.094522253
1571.7,0.094770469
1573.629,0.094898857
1575.557,0.095133737
1577.486,0.095150791
1579.414,0.09512113
1581.343,0.095388547
1583.271,0.095877297
1585.2,0.096099883
1587.128,0.09624619
1589.057,0.096413814
1590.985,0.096709237
1592.913,0.097103707
1594.842,0.097191527
1596.77,0.097304747
1598.699,0.097491883
1600.627,0.09796378
1602.556,0.098580301
1604.484,0.098905072
1606.413,0.098998807
1608.341,0.098822057
1610.27,0.099095203
1612.198,0.099575579
1614.127,0.099961087
1616.055,0.1000158
1617.984,0.1000812
1619.912,0.1001191
1621.84,0.1004739
1623.769,0.1008884
1625.697,0.1009975
1627.626,0.1013106
1629.554,0.1013976
1631.483,0.1013051
1633.411,0.101872
1635.34,0.1022256
1637.268,0.1024059
1639.197,0.1029417
1641.125,0.1032995
1643.054,0.1033974
1644.982,0.1033697
1646.911,0.1033265
1648.839,0.1035662
1650.767,0.1036296
1652.696,0.1037654
1654.624,0.1041891
1656.553,0.1047236
1658.481,0.1050501
1660.41,0.1053895
1662.338,0.1053384
1664.267,0.1051929
1666.195,0.1049663
1668.124,0.1049527
1670.052,0.1055443
1671.981,0.1059785
1673.909,0.1059854
1675.838,0.1060719
1677.766,0.1060899
1679.694,0.1064586
1681.623,0.1071046
1683.551,0.1072088
1685.48,0.1069874
1687.408,0.1071809
1689.337,0.1072097
1691.265,0.1072694
1693.194,0.1075276
1695.122,0.1077853
1697.051,0.1077666
1698.979,0.1081048
1700.908,0.1087354
1702.836,0.1087842
1704.765,0.1086933
1706.693,0.1082945
1708.621,0.1081846
1710.55,0.1084157
1712.478,0.1089728
1714.407,0.1094014
1716.335,0.1097397
1718.264,0.1102764
1720.192,0.1106331
1722.121,0.1110768
1724.049,0.1109263
1725.978,0.1110088
1727.906,0.1116555
1729.835,0.1114645
1731.763,0.1108266
1733.692,0.1108139
1735.62,0.1111195
1737.548,0.1113371
1739.477,0.1114961
1741.405,0.1110475
1743.334,0.111181
1745.262,0.1111529
1747.191,0.1109921
1749.119,0.1115072
1751.048,0.1121435
1752.976,0.1125361
1754.905,0.1128384
1756.833,0.1131846
1758.762,0.1130891
1760.69,0.1130524
1762.619,0.1135041
1764.547,0.1141569
1766.475,0.1142749
1768.404,0.1145848
1770.332,0.1146972
1772.261,0.1142983
1774.189,0.1143081
1776.118,0.1143252
1778.046,0.1145454
1779.975,0.1155912
1781.903,0.1165677
1783.832,0.1160289
1785.76,0.1157895
1787.689,0.1161506
1789.617,0.1163101
1791.546,0.1165065
1793.474,0.1166792
1795.402,0.1165844
1797.331,0.1166827
1799.259,0.116946
1801.188,0.1174077
1803.116,0.1182435
1805.045,0.1185129
1806.973,0.1182849
1808.902,0.1179096
1810.83,0.117728
1812.759,0.117892
1814.687,0.1179821
1816.616,0.1181574
1818.544,0.1191304
1820.473,0.1193482
1822.401,0.1195312
1824.329,0.1194457
1826.258,0.1195818
1828.186,0.1204531
1830.115,0.1205506
1832.043,0.1205454
1833.972,0.1209042
1835.9,0.1209388
1837.829,0.1212083
1839.757,0.1219174
1841.686,0.1224336
1843.614,0.1228508
1845.543,0.1228117
1847.471,0.1219617
1849.4,0.1224467
1851.328,0.1232866
1853.256,0.124097
1855.185,0.1239443
1857.113,0.123698
1859.042,0.1231581
1860.97,0.1228902
1862.899,0.1229061
1864.827,0.1235455
1866.756,0.1244769
1868.684,0.1246829
1870.613,0.1247236
1872.541,0.1249627
1874.47,0.1247503
1876.398,0.1242061
1878.327,0.1239982
1880.255,0.1245751
1882.183,0.1250277
1884.112,0.1252925
1886.04,0.1255521
1887.969,0.1263584
1889.897,0.1261735
1891.826,0.1268897
1893.754,0.1270863
1895.683,0.1259671
1897.611,0.1253961
1899.54,0.1256839
1901.468,0.1270888
1903.397,0.1280201
1905.325,0.1281868
1907.254,0.1282416
1909.182,0.1275403
1911.11,0.126895
1913.039,0.1272276
1914.967,0.1271052
1916.896,0.1280167
1918.824,0.1293239
1920.753,0.1293806
1922.681,0.1291523
1924.61,0.1289212
1926.538,0.1288463
1928.467,0.1282667
1930.395,0.1284638
1932.324,0.1293115
1934.252,0.1297624
1936.181,0.1293404
1938.109,0.1289982
1940.037,0.1289481
1941.966,0.1291384
1943.894,0.1302876
1945.823,0.130519
1947.751,0.130433
1949.68,0.1289563
1951.608,0.1303625
1953.537,0.1304836
1955.465,0.1283077
1957.394,0.1288212
1959.322,0.130393
1961.251,0.1318024
1963.179,0.1308907
1965.108,0.1303815
1967.036,0.1292661
1968.964,0.1310183
1970.893,0.1340836
1972.821,0.1341571
1974.75,0.1344294
1976.678,0.1365799
1978.607,0.138045
