x,y
399.1926,0.1836922
401.1211,0.1713469
403.0496,0.1721706
404.978,0.1644333
406.9065,0.1565586
408.835,0.1583719
410.7634,0.1624268
412.6919,0.1657405
414.6204,0.1629114
416.5488,0.1600388
418.4773,0.1608225
420.4058,0.1601404
422.3342,0.1567673
424.2627,0.1538082
426.1912,0.1539804
428.1196,0.1552709
430.0481,0.1554148
431.9766,0.1527078
433.905,0.1514666
435.8335,0.1501534
437.762,0.1486933
439.6904,0.1478998
441.6189,0.1479196
443.5474,0.1466387
445.4758,0.144183
447.4043,0.142637
449.3328,0.1415637
451.2612,0.1398941
453.1897,0.1379735
455.1182,0.1375465
457.0466,0.1360867
458.9751,0.1346542
460.9036,0.1333884
462.832,0.1312377
464.7605,0.1285822
466.689,0.1254639
468.6174,0.121681
470.5459,0.119384
472.4744,0.1159232
474.4028,0.1126688
476.3313,0.1099209
478.2598,0.1077253
480.1882,0.1063874
482.1167,0.1046514
484.0452,0.1038254
485.9736,0.1033159
487.9021,0.1020759
489.8306,0.1016314
491.759,0.1018913
493.6875,0.1019696
495.616,0.1022302
497.5444,0.1012482
499.4729,0.1008358
501.4014,0.1023041
503.3298,0.1036195
505.2583,0.1043293
507.1868,0.10413
509.1152,0.1047049
511.0437,0.1059756
512.9722,0.1077154
514.9006,0.1088297
516.8291,0.1091071
518.7576,0.1105478
520.686,0.1120102
522.6145,0.1123035
524.543,0.1130587
526.4714,0.1155102
528.3999,0.1182411
530.3284,0.1209467
532.2568,0.1237814
534.1853,0.1275026
536.1138,0.1313547
538.0422,0.1359129
539.9707,0.1413928
541.8992,0.1473579
543.8276,0.1533012
545.7561,0.1609408
547.6846,0.1698662
549.613,0.1781062
551.5415,0.1822872
553.47,0.1819241
555.3984,0.1784599
557.3269,0.1732643
559.2554,0.1668149
561.1838,0.1604815
563.1123,0.1552651
565.0408,0.1508362
566.9692,0.1475274
568.8977,0.1440548
570.8262,0.1412218
572.7546,0.1387178
574.6831,0.1360879
576.6116,0.1327742
578.54,0.1289141
580.4685,0.1261083
582.397,0.123363
584.3254,0.1199359
586.2539,0.1167942
588.1824,0.114465
590.1108,0.1135436
592.0393,0.113902
593.9678,0.1143433
595.8962,0.1150526
597.8247,0.1153021
599.7532,0.1153596
601.6816,0.1148235
603.6101,0.1127262
605.5386,0.1102821
607.467,0.1074682
609.3955,0.1049842
611.324,0.1036714
613.2524,0.1032175
615.1809,0.1040171
617.1094,0.1058851
619.0378,0.1083519
620.9663,0.1110728
622.8948,0.1151098
624.8232,0.1186862
626.7517,0.1212352
628.6802,0.1234654
630.6086,0.1247564
632.5371,0.1247047
634.4656,0.1230172
636.394,0.1202589
638.3225,0.1173487
640.251,0.1140424
642.1794,0.1093898
644.1079,0.1041764
646.0364,0.099222697
647.9648,0.094548471
649.8933,0.08995983
651.8218,0.085589498
653.7502,0.0811124
655.6787,0.07706327
657.6072,0.073465087
659.5356,0.070393667
661.4641,0.067806363
663.3926,0.065413073
665.321,0.063165702
667.2495,0.060884319
669.178,0.058567241
671.1064,0.05649969
673.0349,0.055051599
674.9634,0.053470138
676.8918,0.052037012
678.8203,0.050623622
680.7488,0.049171861
682.6772,0.04784387
684.6057,0.0467765
686.5342,0.04592758
688.4626,0.0448981
690.3911,0.043945301
692.3196,0.043433741
694.248,0.042956881
696.1765,0.042283211
698.105,0.041835099
700.0334,0.040988728
701.9619,0.040265132
703.8904,0.040030371
705.8188,0.039781589
707.7473,0.039371181
709.6758,0.038917821
711.6042,0.038607869
713.5327,0.03864998
715.4612,0.038661201
717.3896,0.038523231
719.3181,0.03835715
721.2466,0.03800676
723.175,0.03777143
725.1035,0.037994649
