x,y
399.1926,0.1617939
401.1211,0.1890862
403.0496,0.1899953
404.978,0.1948571
406.9065,0.1990387
408.835,0.2045594
410.7634,0.2110335
412.6919,0.2183545
414.6204,0.2213412
416.5488,0.2202347
418.4773,0.2181985
420.4058,0.2118328
422.3342,0.2028951
424.2627,0.1898771
426.1912,0.1786731
428.1196,0.1701128
430.0481,0.1614524
431.9766,0.154501
433.905,0.1515625
435.8335,0.1526142
437.762,0.1566114
439.6904,0.1658951
441.6189,0.1790351
443.5474,0.1930509
445.4758,0.2070523
447.4043,0.2165173
449.3328,0.215676
451.2612,0.2085624
453.1897,0.19776
455.1182,0.1861431
457.0466,0.1731443
458.9751,0.1635562
460.9036,0.1551084
462.832,0.1458619
464.7605,0.1369509
466.689,0.1290682
468.6174,0.1221584
470.5459,0.1167616
472.4744,0.1127547
474.4028,0.110948
476.3313,0.1111733
478.2598,0.1124528
480.1882,0.1136666
482.1167,0.1136011
484.0452,0.1121641
485.9736,0.1096898
487.9021,0.1069242
489.8306,0.1043108
491.759,0.1015953
493.6875,0.098846488
495.616,0.096087649
497.5444,0.09428478
499.4729,0.094101988
501.4014,0.094404019
503.3298,0.096728168
505.2583,0.099898197
507.1868,0.1030123
509.1152,0.1073706
511.0437,0.1124858
512.9722,0.1192799
514.9006,0.1261135
516.8291,0.1331605
518.7576,0.1409729
520.686,0.1468719
522.6145,0.1514297
524.543,0.1542861
526.4714,0.1562562
528.3999,0.1588929
530.3284,0.1616904
532.2568,0.1658449
534.1853,0.1726744
536.1138,0.1789659
538.0422,0.1868372
539.9707,0.1974932
541.8992,0.2083982
543.8276,0.2180771
545.7561,0.2253582
547.6846,0.2317889
549.613,0.2369802
551.5415,0.2402575
553.47,0.2413655
555.3984,0.2400474
557.3269,0.2355479
559.2554,0.2293987
561.1838,0.2230836
563.1123,0.2158922
565.0408,0.2077519
566.9692,0.1992487
568.8977,0.1900764
570.8262,0.1808385
572.7546,0.1717226
574.6831,0.1630717
576.6116,0.1557786
578.54,0.1490275
580.4685,0.1432073
582.397,0.1381936
584.3254,0.1334437
586.2539,0.1288362
588.1824,0.1235255
590.1108,0.1183867
592.0393,0.1135712
593.9678,0.108169
595.8962,0.102853
597.8247,0.097864643
599.7532,0.093099073
601.6816,0.089223944
603.6101,0.08632914
605.5386,0.083826549
607.467,0.081922077
609.3955,0.080870651
611.324,0.080796093
613.2524,0.081041172
615.1809,0.080680951
617.1094,0.080509856
619.0378,0.080779649
620.9663,0.080966637
622.8948,0.081424311
624.8232,0.082263418
626.7517,0.083108597
628.6802,0.084881298
630.6086,0.087435648
632.5371,0.090404987
634.4656,0.093689479
636.394,0.096391313
638.3225,0.098939553
640.251,0.1013401
642.1794,0.103463
644.1079,0.1048591
646.0364,0.1054559
647.9648,0.1054938
649.8933,0.1050752
651.8218,0.104212
653.7502,0.10295
655.6787,0.1015373
657.6072,0.099224873
659.5356,0.09682855
661.4641,0.094635457
663.3926,0.092213973
665.321,0.090262324
667.2495,0.088277154
669.178,0.086008228
671.1064,0.083550952
673.0349,0.081799217
674.9634,0.080307327
676.8918,0.078640103
678.8203,0.077001087
680.7488,0.075653806
682.6772,0.074520983
684.6057,0.073213063
686.5342,0.07191468
688.4626,0.071195252
690.3911,0.070726231
692.3196,0.07021004
694.248,0.069719523
696.1765,0.069076598
698.105,0.068461709
700.0334,0.068189397
701.9619,0.068027288
703.8904,0.067918673
705.8188,0.068318456
707.7473,0.06895566
709.6758,0.06945271
711.6042,0.069941841
713.5327,0.07067398
715.4612,0.071539968
717.3896,0.072285406
719.3181,0.073464014
721.2466,0.073999763
723.175,0.074197367
725.1035,0.074261189
727.032,0.074251659
728.9604,0.073915534
730.8889,0.07342121
732.8174,0.072919197
734.7458,0.07216692
736.6743,0.071726047
738.6028,0.07164035
740.5313,0.071439892
742.4597,0.071315557
744.3882,0.072008044
746.3167,0.073062994
748.2451,0.073621742
750.1736,0.074561827
752.1021,0.076060377
754.0305,0.077771433
755.959,0.079669528
757.8875,0.081393227
759.8159,0.082895599
761.7444,0.084543303
763.6729,0.086206533
765.6013,0.087515622
767.5298,0.088829324
769.4583,0.090400882
771.3867,0.091658533
773.3152,0.092266306
775.2437,0.09269397
777.1721,0.093217611
779.1006,0.093421862
781.0291,0.093035974
782.9575,0.09193188
784.886,0.090963453
786.8145,0.089977019
788.7429,0.088845968
790.6714,0.087640703
792.5999,0.086270407
794.5283,0.085025012
796.4568,0.084228933
798.3853,0.083182417
800.3137,0.082132317
802.2422,0.081357792
804.1707,0.080670148
806.0991,0.07997635
808.0276,0.079390138
809.9561,0.078786582
811.8845,0.078244321
813.813,0.07759399
815.7415,0.076869749
817.6699,0.075878173
819.5984,0.075063698
821.5269,0.073992617
823.4553,0.072548769
825.3838,0.07094986
827.3123,0.069419257
829.2407,0.067693561
831.1692,0.065797843
833.0977,0.063496493
835.0261,0.061687861
836.9546,0.059945889
838.8831,0.057924662
840.8115,0.055849779
842.74,0.054106131
844.6685,0.052404791
846.5969,0.05062899
848.5254,0.049282901
850.4539,0.04813895
852.3823,0.047078218
854.3108,0.046077169
856.2393,0.045199059
858.1677,0.044240151
860.0962,0.043670211
862.0247,0.04331984
863.9531,0.04310438
865.8816,0.04289243
867.8101,0.04266965
869.7385,0.042277951
871.667,0.042259891
873.5955,0.042218741
875.5239,0.041923039
877.4524,0.04187965
879.3809,0.041436002
881.3093,0.04094702
883.2378,0.040719811
885.1663,0.04048764
887.0947,0.039913211
889.0232,0.039310899
890.9517,0.038471531
892.8801,0.03810744
894.8085,0.038096141
896.737,0.03761695
898.6655,0.036817901
900.5939,0.036260471
902.5224,0.036091529
904.4509,0.036083099
906.3793,0.035849869
908.3078,0.03569885
910.2363,0.035538152
912.1647,0.035525631
914.0932,0.035712339
916.0217,0.03617195
917.9501,0.03670245
919.8786,0.037346099
921.8071,0.03824459
923.7355,0.039059181
925.664,0.040128749
927.5925,0.041547202
929.5209,0.043028641
931.4494,0.0447479
933.3779,0.046703849
935.3063,0.048791319
937.2348,0.051134739
939.1633,0.053635929
941.0917,0.056346159
943.0202,0.059391141
944.9487,0.06257388
946.8771,0.06596303
948.8056,0.0691012
950.7341,0.072084107
952.6625,0.074925311
954.591,0.077376626
956.5195,0.07958395
958.4479,0.081697591
960.3764,0.083907738
962.3049,0.085799597
964.2333,0.087804362
966.1618,0.090333194
968.0903,0.093118601
970.0187,0.095904343
971.9472,0.099532701
973.8757,0.1037907
975.8041,0.1081229
977.7326,0.1128681
979.6611,0.1184182
981.5895,0.1249176
983.518,0.1320685
985.4465,0.1400318
987.3749,0.1491304
989.3034,0.1588284
991.2319,0.1693387
993.1603,0.181008
995.0888,0.1934906
997.0173,0.2068284
998.9457,0.2205445
1000.874,0.2342924
1002.803,0.2469724
1004.731,0.2574738
1006.66,0.2659979
1008.588,0.2726611
1010.517,0.2769908
1012.445,0.2792721
1014.373,0.2795626
1016.302,0.2786375
1018.23,0.2763949
1020.159,0.272477
1022.087,0.2679395
1024.016,0.2633028
1025.944,0.2588549
1027.873,0.2546076
1029.801,0.2501053
1031.73,0.244974
1033.658,0.2393512
1035.587,0.2329862
1037.515,0.2258734
1039.444,0.2185984
1041.372,0.2110005
1043.301,0.2027418
1045.229,0.19351
1047.157,0.1835625
1049.086,0.1735774
1051.014,0.1636836
1052.943,0.1538902
1054.871,0.1447279
1056.8,0.1364722
1058.728,0.1294389
1060.657,0.1236465
1062.585,0.1185154
1064.514,0.1133847
1066.442,0.1073607
1068.371,0.1002254
1070.299,0.092603222
1072.228,0.085023783
1074.156,0.077843763
1076.084,0.070754059
1078.013,0.063613169
1079.941,0.05655789
1081.87,0.049911361
1083.798,0.044082101
1085.727,0.038995881
1087.655,0.034551959
1089.584,0.030856291
1091.512,0.02769159
1093.441,0.0248961
1095.369,0.022765109
1097.298,0.02081611
1099.226,0.01903226
1101.155,0.017563241
1103.083,0.016322769
1105.011,0.01538749
1106.94,0.01486275
1108.868,0.0141352
1110.797,0.01323609
1112.725,0.01282284
1114.654,0.01264068
1116.582,0.01203693
1118.511,0.01120558
1120.439,0.01097866
1122.368,0.01082707
1124.296,0.01026147
1126.225,0.0097965794
1128.153,0.0095510837
1130.082,0.009385434
1132.01,0.0091992421
1133.938,0.0091092298
1135.867,0.0087364679
1137.795,0.0082058934
1139.724,0.0078983782
1141.652,0.0077727772
1143.581,0.0075377459
1145.509,0.007149538
1147.438,0.0069834539
1149.366,0.0069219712
1151.295,0.006828967
1153.223,0.006741405
1155.152,0.0066437591
1157.08,0.006433649
1159.009,0.0065765241
1160.937,0.006384227
1162.865,0.0061477302
1164.794,0.0061812112
1166.722,0.0060026608
1168.651,0.0056903209
1170.579,0.0054961438
1172.508,0.0054315678
1174.436,0.005466932
1176.365,0.0053726989
1178.293,0.005311361
1180.222,0.0054249731
1182.15,0.0054891421
1184.079,0.0056167981
1186.007,0.0057949401
1187.936,0.0055337902
1189.864,0.0052228761
1191.792,0.0053200228
1193.721,0.0054911412
1195.649,0.0057081338
1197.578,0.0057656472
1199.506,0.00544124
1201.435,0.0052584652
1203.363,0.0054569221
1205.292,0.0056252172
1207.22,0.0055145919
1209.149,0.0053677089
1211.077,0.0054955119
1213.006,0.0055056028
1214.934,0.005294696
1216.863,0.0051732408
1218.791,0.005274836
1220.719,0.005297889
1222.648,0.0053956308
1224.576,0.005521466
1226.505,0.0055077011
1228.433,0.0055299331
1230.362,0.0057275929
1232.29,0.005655149
1234.219,0.0054899082
1236.147,0.00533175
1238.076,0.0052338471
1240.004,0.005416818
1241.933,0.005527962
1243.861,0.0057071252
