x,y
399.1926,0.095632613
401.1211,0.087880768
403.0496,0.088303261
404.978,0.089351408
406.9065,0.088642329
408.835,0.093096219
410.7634,0.095662527
412.6919,0.09547738
414.6204,0.092393287
416.5488,0.087226689
418.4773,0.081188694
420.4058,0.076943427
422.3342,0.072662808
424.2627,0.068358369
426.1912,0.068389699
428.1196,0.071965829
430.0481,0.075823389
431.9766,0.077273987
433.905,0.078649372
435.8335,0.081258409
437.762,0.085033588
439.6904,0.088933617
441.6189,0.092734799
443.5474,0.095754758
445.4758,0.098461233
447.4043,0.102453
449.3328,0.1071117
451.2612,0.1111523
453.1897,0.113961
455.1182,0.1155635
457.0466,0.1175396
458.9751,0.1204186
460.9036,0.1236174
462.832,0.1263046
464.7605,0.1276861
466.689,0.1286653
468.6174,0.1273961
470.5459,0.1241469
472.4744,0.119569
474.4028,0.1159971
476.3313,0.1129795
478.2598,0.1107978
480.1882,0.1103621
482.1167,0.1105697
484.0452,0.1107707
485.9736,0.1103542
487.9021,0.1096946
489.8306,0.1094323
491.759,0.1086666
493.6875,0.1074492
495.616,0.1079298
497.5444,0.1086441
499.4729,0.109132
501.4014,0.108957
503.3298,0.1093936
505.2583,0.1102639
507.1868,0.1103825
509.1152,0.1115908
511.0437,0.1122318
512.9722,0.1121636
514.9006,0.113369
516.8291,0.114922
518.7576,0.1161112
520.686,0.1170191
522.6145,0.1174837
524.543,0.1177324
526.4714,0.117013
528.3999,0.1153281
530.3284,0.1146453
532.2568,0.1138527
534.1853,0.1122362
536.1138,0.1104242
538.0422,0.1083564
539.9707,0.1067082
541.8992,0.1062009
543.8276,0.106369
545.7561,0.1074303
547.6846,0.1073176
549.613,0.1058682
551.5415,0.1038172
553.47,0.1010262
555.3984,0.098561034
557.3269,0.096889094
559.2554,0.097144566
561.1838,0.098421343
563.1123,0.099750876
565.0408,0.1011047
566.9692,0.1033922
568.8977,0.1058666
570.8262,0.1077672
572.7546,0.1104388
574.6831,0.1133632
576.6116,0.1157277
578.54,0.1171002
580.4685,0.1174371
582.397,0.1176797
584.3254,0.1176317
586.2539,0.1178068
588.1824,0.1190751
590.1108,0.1204048
592.0393,0.1216816
593.9678,0.1232452
595.8962,0.125361
597.8247,0.1272939
599.7532,0.1284032
601.6816,0.1290273
603.6101,0.1299959
605.5386,0.1314457
607.467,0.1332107
609.3955,0.1343002
611.324,0.1347187
613.2524,0.1356524
615.1809,0.136656
617.1094,0.1374638
619.0378,0.1382301
620.9663,0.1385075
622.8948,0.1384654
624.8232,0.1389334
626.7517,0.1393203
628.6802,0.1393126
630.6086,0.1392674
632.5371,0.1396011
634.4656,0.1397956
636.394,0.1403397
638.3225,0.1419357
640.251,0.1439421
642.1794,0.1458622
644.1079,0.1477683
646.0364,0.1501286
647.9648,0.1519594
649.8933,0.1529361
651.8218,0.1540695
653.7502,0.1542228
655.6787,0.1525954
657.6072,0.1498628
659.5356,0.1467495
661.4641,0.1424679
663.3926,0.1371448
665.321,0.131966
667.2495,0.1273584
669.178,0.1235292
671.1064,0.1203777
673.0349,0.118616
674.9634,0.1178637
676.8918,0.1174068
678.8203,0.1174448
680.7488,0.1176116
682.6772,0.118681
684.6057,0.1198727
686.5342,0.1206971
688.4626,0.1216406
690.3911,0.1230753
692.3196,0.1247118
694.248,0.1262154
696.1765,0.1276644
698.105,0.1294524
700.0334,0.1308293
701.9619,0.1316654
703.8904,0.1321446
705.8188,0.1324336
707.7473,0.1329203
709.6758,0.1335858
711.6042,0.1338192
713.5327,0.1337386
715.4612,0.1336817
717.3896,0.1331509
719.3181,0.1321915
721.2466,0.1317999
723.175,0.1318109
725.1035,0.1321871
727.032,0.1328307
728.9604,0.1339374
730.8889,0.1355302
732.8174,0.1369665
734.7458,0.1384412
736.6743,0.1393929
738.6028,0.1393443
740.5313,0.1393634
742.4597,0.1390242
744.3882,0.1382907
746.3167,0.1373183
748.2451,0.1363617
750.1736,0.1354124
752.1021,0.1343718
754.0305,0.1325783
755.959,0.130578
757.8875,0.1284081
759.8159,0.1257413
761.7444,0.1234768
763.6729,0.121975
765.6013,0.1200031
767.5298,0.1177775
769.4583,0.1157888
771.3867,0.113986
773.3152,0.1123027
775.2437,0.110594
777.1721,0.1097222
779.1006,0.1087916
781.0291,0.1075413
782.9575,0.1065729
784.886,0.1061557
786.8145,0.1063712
788.7429,0.1065946
790.6714,0.1073333
792.5999,0.1084363
794.5283,0.1100571
796.4568,0.1128189
798.3853,0.1162387
800.3137,0.1197655
802.2422,0.1238227
804.1707,0.1286974
806.0991,0.1336704
808.0276,0.1377525
809.9561,0.140462
811.8845,0.1416834
813.813,0.1418574
815.7415,0.140629
817.6699,0.1388958
819.5984,0.1369273
821.5269,0.1354248
823.4553,0.1342465
825.3838,0.1326767
827.3123,0.131579
829.2407,0.1313452
831.1692,0.1311736
833.0977,0.1315728
835.0261,0.1323959
836.9546,0.1335565
838.8831,0.1347201
840.8115,0.1362708
842.74,0.1381547
844.6685,0.1395965
846.5969,0.140689
848.5254,0.1416068
850.4539,0.1423106
852.3823,0.142857
854.3108,0.1427594
856.2393,0.1422808
858.1677,0.1417048
860.0962,0.1411584
862.0247,0.1404591
863.9531,0.1400978
865.8816,0.1400874
867.8101,0.1395369
869.7385,0.1387881
871.667,0.1381705
873.5955,0.1369794
875.5239,0.1351397
877.4524,0.1333952
879.3809,0.1317297
881.3093,0.1303144
883.2378,0.1292907
885.1663,0.1290211
887.0947,0.128593
889.0232,0.127261
890.9517,0.1255149
892.8801,0.1233552
894.8085,0.1211982
896.737,0.1185568
898.6655,0.1152706
900.5939,0.1115994
902.5224,0.1079896
904.4509,0.1045046
906.3793,0.1005785
908.3078,0.096179336
910.2363,0.092253722
912.1647,0.089027159
914.0932,0.085665382
916.0217,0.082516387
917.9501,0.079943269
919.8786,0.078260437
921.8071,0.077083133
923.7355,0.076041952
925.664,0.075957723
927.5925,0.076603837
929.5209,0.077935457
