x,y
399.1926,0.050015729
401.1211,0.051310889
403.0496,0.051557571
404.978,0.05037925
406.9065,0.047677241
408.835,0.048189551
410.7634,0.052852329
412.6919,0.056450952
414.6204,0.0561845
416.5488,0.05704318
418.4773,0.05990399
420.4058,0.06187062
422.3342,0.064431012
424.2627,0.068047747
426.1912,0.072555572
428.1196,0.079971768
430.0481,0.086763777
431.9766,0.094759747
433.905,0.1036063
435.8335,0.1126775
437.762,0.1198987
439.6904,0.1295815
441.6189,0.1401371
443.5474,0.1461468
445.4758,0.1475623
447.4043,0.1442519
449.3328,0.1370375
451.2612,0.1259472
453.1897,0.1152366
455.1182,0.1071597
457.0466,0.1019551
458.9751,0.1007056
460.9036,0.1020044
462.832,0.1041849
464.7605,0.1089297
466.689,0.1159632
468.6174,0.122527
470.5459,0.1280947
472.4744,0.1353594
474.4028,0.142076
476.3313,0.1466032
478.2598,0.1513249
480.1882,0.1573334
482.1167,0.1591319
484.0452,0.1585233
485.9736,0.1557246
487.9021,0.1495148
489.8306,0.1423341
491.759,0.135125
493.6875,0.1297528
495.616,0.1251
497.5444,0.1196487
499.4729,0.1140862
501.4014,0.1106046
503.3298,0.1096275
505.2583,0.109777
507.1868,0.1120212
509.1152,0.1164384
511.0437,0.1221667
512.9722,0.1265861
514.9006,0.1302186
516.8291,0.1334076
518.7576,0.1343372
520.686,0.1318862
522.6145,0.128426
524.543,0.1243522
526.4714,0.1207348
528.3999,0.1186048
530.3284,0.1200484
532.2568,0.1259772
534.1853,0.1342926
536.1138,0.1465229
538.0422,0.1608738
539.9707,0.1754091
541.8992,0.1907091
543.8276,0.204344
545.7561,0.2160563
547.6846,0.2252822
549.613,0.2270699
551.5415,0.2200981
553.47,0.2067307
555.3984,0.1896182
557.3269,0.1705942
559.2554,0.1521267
561.1838,0.1346436
563.1123,0.1193386
565.0408,0.1069682
566.9692,0.098566383
568.8977,0.093853243
570.8262,0.09112636
572.7546,0.089647293
574.6831,0.090310812
576.6116,0.09330634
578.54,0.098092817
580.4685,0.1027229
582.397,0.1081729
584.3254,0.1151265
586.2539,0.1229083
588.1824,0.1316428
590.1108,0.1405481
592.0393,0.1498464
593.9678,0.1602572
595.8962,0.1719762
597.8247,0.1839778
599.7532,0.1951357
601.6816,0.2059506
603.6101,0.2150034
605.5386,0.2223392
607.467,0.2285823
609.3955,0.2309913
611.324,0.2294745
613.2524,0.225757
615.1809,0.219428
617.1094,0.2111522
619.0378,0.2030492
620.9663,0.1966555
622.8948,0.1913147
624.8232,0.1879485
626.7517,0.1877233
628.6802,0.1888739
630.6086,0.1900886
632.5371,0.1886333
634.4656,0.1819684
636.394,0.171059
638.3225,0.1582288
640.251,0.1456451
642.1794,0.1360508
644.1079,0.1304196
646.0364,0.1275285
647.9648,0.1253759
649.8933,0.1222436
651.8218,0.1156181
653.7502,0.1045563
655.6787,0.091519423
657.6072,0.078009307
659.5356,0.065404497
661.4641,0.055747289
663.3926,0.048373468
665.321,0.04285527
667.2495,0.03908189
669.178,0.03597511
671.1064,0.033547271
673.0349,0.03172553
674.9634,0.03066425
676.8918,0.029702939
678.8203,0.029093619
680.7488,0.02907387
682.6772,0.02876872
684.6057,0.02872459
686.5342,0.029060069
688.4626,0.029339449
690.3911,0.029742271
692.3196,0.03015337
694.248,0.029822331
696.1765,0.029326741
698.105,0.028993379
700.0334,0.028750859
701.9619,0.02848888
703.8904,0.02870517
705.8188,0.02960079
707.7473,0.030101961
709.6758,0.030311691
711.6042,0.03066338
713.5327,0.03121032
715.4612,0.031986311
717.3896,0.032924339
719.3181,0.033929341
721.2466,0.034493811
723.175,0.034832321
725.1035,0.035632581
727.032,0.03666129
728.9604,0.037922949
730.8889,0.039477181
732.8174,0.040509779
