x,y
399.1926,0.2176311
401.1211,0.218356
403.0496,0.2194058
404.978,0.2149319
406.9065,0.2010901
408.835,0.199664
410.7634,0.2018103
412.6919,0.198578
414.6204,0.1955463
416.5488,0.1881906
418.4773,0.1813011
420.4058,0.176944
422.3342,0.1720718
424.2627,0.1710264
426.1912,0.170931
428.1196,0.1661823
430.0481,0.1637867
431.9766,0.1618272
433.905,0.1567686
435.8335,0.1527003
437.762,0.1487308
439.6904,0.1455129
441.6189,0.1427639
443.5474,0.1384902
445.4758,0.1337411
447.4043,0.1298029
449.3328,0.1262989
451.2612,0.1230485
453.1897,0.1195203
455.1182,0.1155706
457.0466,0.1113767
458.9751,0.108869
460.9036,0.1061364
462.832,0.1012441
464.7605,0.095483117
466.689,0.091752447
468.6174,0.088664383
470.5459,0.085385278
472.4744,0.083004802
474.4028,0.080216862
476.3313,0.07953383
478.2598,0.08071775
480.1882,0.082271807
482.1167,0.084830187
484.0452,0.088640541
485.9736,0.093031317
487.9021,0.098419897
489.8306,0.1048422
491.759,0.1133886
493.6875,0.1244607
495.616,0.1379123
497.5444,0.1526792
499.4729,0.1693416
501.4014,0.1872766
503.3298,0.2054123
505.2583,0.2234881
507.1868,0.2409734
509.1152,0.257939
511.0437,0.2739865
512.9722,0.2883385
514.9006,0.2999383
516.8291,0.3128177
518.7576,0.3246456
520.686,0.335739
522.6145,0.344399
524.543,0.3530724
526.4714,0.3599343
528.3999,0.3674012
530.3284,0.3747185
532.2568,0.3781086
534.1853,0.3828048
536.1138,0.3862299
538.0422,0.3875569
539.9707,0.3869524
541.8992,0.3876274
543.8276,0.3870507
545.7561,0.3857077
547.6846,0.3868189
549.613,0.385666
551.5415,0.3845847
553.47,0.3811563
555.3984,0.3721951
557.3269,0.3644667
559.2554,0.3601159
561.1838,0.3549462
563.1123,0.3485615
565.0408,0.3406604
566.9692,0.3323536
568.8977,0.327803
570.8262,0.3215288
572.7546,0.313145
574.6831,0.3062134
576.6116,0.30074
578.54,0.2947304
580.4685,0.2887118
582.397,0.2831617
584.3254,0.2762766
586.2539,0.2696151
588.1824,0.2654221
590.1108,0.2618205
592.0393,0.2565673
593.9678,0.2521509
595.8962,0.2480066
597.8247,0.2430464
599.7532,0.2383723
601.6816,0.2342899
603.6101,0.2308643
605.5386,0.2278328
607.467,0.2245405
609.3955,0.2205566
611.324,0.2172183
613.2524,0.2142284
615.1809,0.2110059
617.1094,0.2081308
619.0378,0.2057561
620.9663,0.2029853
622.8948,0.2002921
624.8232,0.1974629
626.7517,0.1950102
628.6802,0.1930624
630.6086,0.1907949
632.5371,0.1886974
634.4656,0.1871899
636.394,0.1855034
638.3225,0.1835254
640.251,0.1815635
642.1794,0.1796964
644.1079,0.1778001
646.0364,0.1759766
647.9648,0.1744053
649.8933,0.173239
651.8218,0.1721276
653.7502,0.1712231
655.6787,0.1705092
657.6072,0.1688137
659.5356,0.1674693
661.4641,0.166316
663.3926,0.164073
665.321,0.1619581
667.2495,0.1595433
669.178,0.15626
671.1064,0.1533503
673.0349,0.1509264
674.9634,0.1486312
676.8918,0.1462846
678.8203,0.143799
680.7488,0.1408573
682.6772,0.1382551
684.6057,0.1360132
686.5342,0.1335375
688.4626,0.1309051
690.3911,0.1289032
692.3196,0.1272869
694.248,0.1252178
696.1765,0.1223758
698.105,0.119785
700.0334,0.1176338
701.9619,0.1157512
703.8904,0.1140002
705.8188,0.1123253
707.7473,0.1107523
709.6758,0.1085488
711.6042,0.106184
713.5327,0.1043313
715.4612,0.1026621
717.3896,0.1009366
719.3181,0.098679028
721.2466,0.096640781
723.175,0.094873242
725.1035,0.092930727
727.032,0.091057122
728.9604,0.08936502
730.8889,0.087725677
732.8174,0.085745558
734.7458,0.083547652
736.6743,0.082026757
738.6028,0.080575377
740.5313,0.07838694
742.4597,0.076142788
744.3882,0.074299827
746.3167,0.072501317
748.2451,0.070484191
750.1736,0.068362273
752.1021,0.06629274
754.0305,0.064422771
755.959,0.062614799
757.8875,0.060374591
759.8159,0.058142789
761.7444,0.055845682
763.6729,0.053497519
765.6013,0.05157673
767.5298,0.049559351
769.4583,0.047513518
771.3867,0.045687459
773.3152,0.043844908
775.2437,0.041892041
777.1721,0.04029632
779.1006,0.038486511
781.0291,0.036352161
782.9575,0.034297131
784.886,0.03257484
786.8145,0.03116332
788.7429,0.029701389
790.6714,0.02820918
792.5999,0.02714961
794.5283,0.026811739
796.4568,0.026394101
798.3853,0.025703849
800.3137,0.024962731
802.2422,0.024080589
804.1707,0.023402009
806.0991,0.0228715
808.0276,0.022767151
809.9561,0.022731241
811.8845,0.022490939
813.813,0.022128871
815.7415,0.021726601
817.6699,0.02164522
819.5984,0.021575119
821.5269,0.02116015
823.4553,0.020689109
825.3838,0.020470049
827.3123,0.02017064
829.2407,0.020001231
831.1692,0.01997521
833.0977,0.01962818
835.0261,0.01925591
836.9546,0.018967619
838.8831,0.018511141
840.8115,0.01831406
842.74,0.01830237
844.6685,0.01805673
846.5969,0.01753993
848.5254,0.01741072
850.4539,0.017523769
