x,y
399.1926,0.4726996
401.1211,0.4481952
403.0496,0.4481952
404.978,0.4364922
406.9065,0.4448122
408.835,0.457653
410.7634,0.4622888
412.6919,0.4594819
414.6204,0.4468266
416.5488,0.4409817
418.4773,0.4456109
420.4058,0.4368986
422.3342,0.4200499
424.2627,0.4155276
426.1912,0.4082134
428.1196,0.4056873
430.0481,0.3986273
431.9766,0.389841
433.905,0.3854346
435.8335,0.3790105
437.762,0.3756303
439.6904,0.3778455
441.6189,0.3821304
443.5474,0.3792918
445.4758,0.3765397
447.4043,0.369047
449.3328,0.3627155
451.2612,0.3621181
453.1897,0.3656358
455.1182,0.3656399
457.0466,0.3639598
458.9751,0.3660223
460.9036,0.3676171
462.832,0.3664958
464.7605,0.3680708
466.689,0.371876
468.6174,0.3764851
470.5459,0.3779196
472.4744,0.3762251
474.4028,0.3752857
476.3313,0.3704261
478.2598,0.3589881
480.1882,0.3490596
482.1167,0.3417246
484.0452,0.3342522
485.9736,0.3333768
487.9021,0.3363344
489.8306,0.3413027
491.759,0.3498297
493.6875,0.3617064
495.616,0.3731485
497.5444,0.3838861
499.4729,0.3942144
501.4014,0.402457
503.3298,0.4090488
505.2583,0.4123109
507.1868,0.4111989
509.1152,0.4113517
511.0437,0.4122296
512.9722,0.4131401
514.9006,0.4136793
516.8291,0.4142662
518.7576,0.4140777
520.686,0.4121521
522.6145,0.4107217
524.543,0.4135886
526.4714,0.4172149
528.3999,0.4161572
530.3284,0.4142926
532.2568,0.4118614
534.1853,0.4079607
536.1138,0.4058317
538.0422,0.4041011
539.9707,0.4004089
541.8992,0.3967745
543.8276,0.3959108
545.7561,0.3973742
547.6846,0.3965198
549.613,0.3925772
551.5415,0.3915212
553.47,0.3882831
555.3984,0.3839531
557.3269,0.382064
559.2554,0.3774355
561.1838,0.3719257
563.1123,0.3644677
565.0408,0.3565171
566.9692,0.3489709
568.8977,0.3415165
570.8262,0.3357116
572.7546,0.3332454
574.6831,0.331883
576.6116,0.3297916
578.54,0.3266519
580.4685,0.3232746
582.397,0.3184488
584.3254,0.3129084
586.2539,0.3068597
588.1824,0.3012232
590.1108,0.2955252
592.0393,0.2882353
593.9678,0.2814503
595.8962,0.2750956
597.8247,0.2691191
599.7532,0.2652653
601.6816,0.2622777
603.6101,0.259406
605.5386,0.256501
607.467,0.2549857
609.3955,0.2535242
611.324,0.2538129
613.2524,0.2556013
615.1809,0.2572214
617.1094,0.2598303
619.0378,0.2634361
620.9663,0.2671932
622.8948,0.2739115
624.8232,0.2814406
626.7517,0.2887213
628.6802,0.2948121
630.6086,0.2990986
632.5371,0.300855
634.4656,0.2998121
636.394,0.2973827
638.3225,0.292451
640.251,0.2864746
642.1794,0.2833464
644.1079,0.2822544
646.0364,0.2815989
647.9648,0.2824902
649.8933,0.2840395
651.8218,0.2863474
653.7502,0.289138
655.6787,0.2923222
657.6072,0.2956526
659.5356,0.2987371
661.4641,0.3016814
663.3926,0.3049143
665.321,0.3077852
667.2495,0.3110748
669.178,0.3142866
671.1064,0.3178075
673.0349,0.3209063
674.9634,0.3241907
676.8918,0.3269594
678.8203,0.3292444
680.7488,0.3321456
682.6772,0.3343705
684.6057,0.3373174
686.5342,0.3406242
688.4626,0.3441053
690.3911,0.3476036
692.3196,0.3505132
694.248,0.3538109
696.1765,0.3578456
698.105,0.3622476
700.0334,0.3669565
701.9619,0.3706775
703.8904,0.3736468
705.8188,0.3764599
707.7473,0.3789315
709.6758,0.3815961
711.6042,0.3836939
