x,y
399.1926,0.6380659
401.1211,0.7119054
403.0496,0.7119054
404.978,0.7195497
406.9065,0.6959102
408.835,0.6824852
410.7634,0.6622627
412.6919,0.623014
414.6204,0.608817
416.5488,0.5832816
418.4773,0.5474905
420.4058,0.5301251
422.3342,0.4850031
424.2627,0.4498331
426.1912,0.4371795
428.1196,0.4280846
430.0481,0.4044566
431.9766,0.4007405
433.905,0.3988942
435.8335,0.3913162
437.762,0.4014437
439.6904,0.4104678
441.6189,0.4244242
443.5474,0.4342578
445.4758,0.4434314
447.4043,0.4556899
449.3328,0.4665095
451.2612,0.4858159
453.1897,0.502985
455.1182,0.5114329
457.0466,0.5235146
458.9751,0.5407918
460.9036,0.5552992
462.832,0.5749218
464.7605,0.5963453
466.689,0.6153496
468.6174,0.63568
470.5459,0.6617334
472.4744,0.6857209
474.4028,0.7049426
476.3313,0.7366374
478.2598,0.762574
480.1882,0.7800418
482.1167,0.7957866
484.0452,0.7888424
485.9736,0.7636312
487.9021,0.7282876
489.8306,0.6798127
491.759,0.630671
493.6875,0.5698633
495.616,0.5116698
497.5444,0.467774
499.4729,0.4368441
501.4014,0.4115571
503.3298,0.3960745
505.2583,0.3866364
507.1868,0.3796961
509.1152,0.3792872
511.0437,0.3816294
512.9722,0.3885914
514.9006,0.3972016
516.8291,0.4034892
518.7576,0.4153877
520.686,0.4291979
522.6145,0.4392186
524.543,0.4533041
526.4714,0.4660182
528.3999,0.4775073
530.3284,0.4931043
532.2568,0.5023307
534.1853,0.5118704
536.1138,0.5192825
538.0422,0.5291425
539.9707,0.5370338
541.8992,0.5474478
543.8276,0.5624151
545.7561,0.5702654
547.6846,0.5808877
549.613,0.5892042
551.5415,0.5995966
553.47,0.608263
555.3984,0.6174583
557.3269,0.6283758
559.2554,0.6321053
561.1838,0.6401317
563.1123,0.6512598
565.0408,0.6577778
566.9692,0.66497
568.8977,0.6693289
570.8262,0.6746254
572.7546,0.6814128
574.6831,0.6869676
576.6116,0.6953986
578.54,0.703262
580.4685,0.7126271
582.397,0.7160799
584.3254,0.7224072
586.2539,0.7339668
588.1824,0.740743
590.1108,0.7477561
592.0393,0.7525479
593.9678,0.7559738
595.8962,0.7704679
597.8247,0.7722061
599.7532,0.7752346
601.6816,0.7853509
603.6101,0.7876554
605.5386,0.7935828
607.467,0.799929
609.3955,0.8066668
611.324,0.8134981
613.2524,0.8182669
615.1809,0.8216205
617.1094,0.8232079
619.0378,0.8321541
620.9663,0.8377603
622.8948,0.8423261
624.8232,0.8490999
626.7517,0.8520659
628.6802,0.8562508
630.6086,0.8571626
632.5371,0.8619605
634.4656,0.8723803
636.394,0.87762
638.3225,0.8819264
640.251,0.8831237
642.1794,0.885147
644.1079,0.8861836
646.0364,0.8886965
647.9648,0.888683
649.8933,0.8906792
651.8218,0.8989667
653.7502,0.8997454
655.6787,0.8992184
657.6072,0.9011179
659.5356,0.8980995
661.4641,0.8945776
663.3926,0.8932871
665.321,0.8888006
667.2495,0.8834908
669.178,0.8738474
671.1064,0.8655391
673.0349,0.8589612
674.9634,0.851656
676.8918,0.8413725
678.8203,0.8310464
680.7488,0.8183113
682.6772,0.8078215
684.6057,0.7994986
686.5342,0.7876186
688.4626,0.7766742
690.3911,0.7633153
692.3196,0.7502574
694.248,0.7403213
696.1765,0.7298042
698.105,0.7172128
700.0334,0.7051252
701.9619,0.6924334
703.8904,0.6797624
705.8188,0.6687577
707.7473,0.6545624
709.6758,0.6409166
711.6042,0.6283041
713.5327,0.6140883
715.4612,0.6000106
717.3896,0.5868111
719.3181,0.5738063
721.2466,0.5616332
723.175,0.5505003
725.1035,0.5399087
727.032,0.5278753
728.9604,0.5143013
730.8889,0.5021448
732.8174,0.4905844
734.7458,0.4789247
736.6743,0.467455
738.6028,0.4552483
740.5313,0.44261
742.4597,0.4291112
744.3882,0.4157645
746.3167,0.4028871
748.2451,0.3900865
750.1736,0.3785585
752.1021,0.367382
754.0305,0.3574354
755.959,0.3484208
757.8875,0.3395787
759.8159,0.330644
761.7444,0.3216462
763.6729,0.3128034
765.6013,0.3040596
767.5298,0.295284
769.4583,0.2869576
771.3867,0.2796574
773.3152,0.2724392
775.2437,0.2665119
777.1721,0.2624026
779.1006,0.2600993
781.0291,0.2592555
782.9575,0.260123
784.886,0.2635843
786.8145,0.2687819
788.7429,0.2758152
790.6714,0.2842615
792.5999,0.2944703
794.5283,0.3061914
796.4568,0.3189985
798.3853,0.3341508
800.3137,0.3502063
802.2422,0.3659301
804.1707,0.3809771
806.0991,0.3952348
808.0276,0.4088897
809.9561,0.4201149
811.8845,0.4279058
813.813,0.4324715
815.7415,0.4343085
817.6699,0.4306024
819.5984,0.4208403
821.5269,0.4045443
823.4553,0.3799824
825.3838,0.3487345
827.3123,0.3147761
829.2407,0.2876975
831.1692,0.2817068
833.0977,0.3039487
835.0261,0.346087
836.9546,0.3873899
838.8831,0.4100921
840.8115,0.4114836
842.74,0.3997491
844.6685,0.382639
846.5969,0.3626445
848.5254,0.3419737
850.4539,0.3215822
852.3823,0.3009556
854.3108,0.280641
856.2393,0.2611018
858.1677,0.242523
860.0962,0.2253882
862.0247,0.2094101
863.9531,0.1939743
865.8816,0.1786068
867.8101,0.163495
869.7385,0.1485643
871.667,0.134101
873.5955,0.1205762
875.5239,0.1084929
877.4524,0.097103693
879.3809,0.085157633
881.3093,0.074251063
883.2378,0.065701284
885.1663,0.05857785
887.0947,0.05321588
889.0232,0.049786109
890.9517,0.047261879
892.8801,0.045744639
894.8085,0.04459817
896.737,0.043235999
898.6655,0.04193183
900.5939,0.040875271
902.5224,0.04028869
904.4509,0.03984328
906.3793,0.039592799
908.3078,0.039576322
910.2363,0.039688699
912.1647,0.040277131
914.0932,0.041974168
916.0217,0.04418882
917.9501,0.04673228
919.8786,0.049855679
921.8071,0.053955119
923.7355,0.058875911
925.664,0.065540388
927.5925,0.074003592
929.5209,0.084879562
931.4494,0.098623388
933.3779,0.1135993
935.3063,0.1258268
937.2348,0.1295189
939.1633,0.1226507
941.0917,0.1106989
943.0202,0.1008813
944.9487,0.095911339
946.8771,0.092331462
948.8056,0.085755818
950.7341,0.07667049
952.6625,0.067778148
954.591,0.060347661
956.5195,0.05536896
958.4479,0.05283653
960.3764,0.051577501
962.3049,0.050754581
964.2333,0.05077618
966.1618,0.051795799
968.0903,0.05313798
970.0187,0.05497089
971.9472,0.058171671
973.8757,0.062486131
975.8041,0.067275994
977.7326,0.073419981
979.6611,0.081594728
981.5895,0.091780633
983.518,0.1042521
985.4465,0.1197195
987.3749,0.138677
989.3034,0.1603535
991.2319,0.1821008
993.1603,0.1969816
995.0888,0.1989532
997.0173,0.1869764
998.9457,0.1652985
1000.874,0.1406903
1002.803,0.1180317
1004.731,0.099637538
1006.66,0.086431041
1008.588,0.077270404
1010.517,0.070151873
1012.445,0.063919157
1014.373,0.05820372
1016.302,0.052956849
1018.23,0.048405372
1020.159,0.044508521
1022.087,0.04128537
1024.016,0.038532481
1025.944,0.03609186
1027.873,0.034276102
1029.801,0.03301093
1031.73,0.031833619
1033.658,0.030980971
1035.587,0.030128529
1037.515,0.029200541
1039.444,0.02839995
1041.372,0.027800679
1043.301,0.02709702
1045.229,0.02643567
1047.157,0.02566584
1049.086,0.025066679
1051.014,0.024899971
1052.943,0.02477143
1054.871,0.024343921
1056.8,0.024220619
1058.728,0.02418464
1060.657,0.024068801
1062.585,0.02376516
1064.514,0.023573101
1066.442,0.023727089
1068.371,0.023454459
1070.299,0.023130169
1072.228,0.02335885
1074.156,0.0235228
1076.084,0.023459321
1078.013,0.02346131
1079.941,0.023444461
1081.87,0.023152711
1083.798,0.02277177
1085.727,0.02245567
1087.655,0.02236552
1089.584,0.0224615
1091.512,0.022554461
1093.441,0.02274104
1095.369,0.02322457
1097.298,0.02367652
1099.226,0.02391858
1101.155,0.02422405
1103.083,0.02459936
1105.011,0.02489657
1106.94,0.025034741
1108.868,0.02534879
1110.797,0.02578041
1112.725,0.026264559
1114.654,0.0263393
1116.582,0.026170829
1118.511,0.02589488
1120.439,0.02605018
1122.368,0.02629593
1124.296,0.026086951
1126.225,0.02599716
1128.153,0.02632191
1130.082,0.026622901
1132.01,0.02700883
1133.938,0.02736471
1135.867,0.02752718
1137.795,0.02779747
1139.724,0.02792055
1141.652,0.028139779
1143.581,0.02846607
1145.509,0.028499359
1147.438,0.028576041
1149.366,0.028855469
1151.295,0.0290365
1153.223,0.02891387
1155.152,0.02896703
1157.08,0.02922911
1159.009,0.029319391
1160.937,0.02931981
1162.865,0.029324351
1164.794,0.029100651
1166.722,0.0287391
1168.651,0.02856857
1170.579,0.028600911
1172.508,0.02899193
1174.436,0.02941858
1176.365,0.02983092
1178.293,0.03015187
1180.222,0.03050462
1182.15,0.03086918
1184.079,0.031339549
1186.007,0.031703278
1187.936,0.031649821
1189.864,0.03179935
1191.792,0.032235339
1193.721,0.032386821
1195.649,0.032200791
1197.578,0.031944118
1199.506,0.031836111
1201.435,0.031610619
1203.363,0.031570349
1205.292,0.03181304
1207.22,0.032130182
1209.149,0.03243823
1211.077,0.032924
1213.006,0.033332519
1214.934,0.03372962
1216.863,0.033929162
1218.791,0.034191381
1220.719,0.03441564
1222.648,0.034519691
1224.576,0.034778971
1226.505,0.035053018
1228.433,0.03506035
1230.362,0.035386439
1232.29,0.03572768
1234.219,0.035786361
1236.147,0.035953298
1238.076,0.036226619
1240.004,0.03648302
1241.933,0.036581419
1243.861,0.036875792
1245.79,0.037244871
1247.718,0.037516192
1249.646,0.03770588
1251.575,0.03791865
1253.503,0.038210601
1255.432,0.03861494
1257.36,0.038953539
1259.289,0.03924989
1261.217,0.039597951
1263.146,0.039979778
1265.074,0.040531829
1267.003,0.041030239
1268.931,0.041905958
1270.86,0.042878471
1272.788,0.043870889
1274.717,0.045084208
1276.645,0.046080481
1278.573,0.04637124
1280.502,0.04626124
1282.43,0.046096109
1284.359,0.045668591
1286.287,0.04516425
1288.216,0.044844579
1290.144,0.044707529
1292.073,0.044693239
1294.001,0.04461921
1295.93,0.044662472
1297.858,0.044770919
1299.787,0.044886239
1301.715,0.045435991
1303.644,0.04580988
1305.572,0.045966141
1307.5,0.046291091
1309.429,0.046914451
1311.357,0.047154158
1313.286,0.04733377
1315.214,0.04760636
1317.143,0.04775738
1319.071,0.047970209
1321.0,0.04857609
1322.928,0.04924427
1324.857,0.049613621
1326.785,0.049922321
1328.714,0.050223429
1330.642,0.050640151
1332.571,0.05123705
1334.499,0.051709831
1336.427,0.052299611
1338.356,0.052818421
1340.284,0.053412851
1342.213,0.053995982
1344.141,0.0545187
1346.07,0.05512144
1347.998,0.055688038
1349.927,0.056234099
1351.855,0.056864429
1353.784,0.057584651
1355.712,0.058202319
1357.641,0.05885027
1359.569,0.05977134
1361.498,0.060746402
1363.426,0.061589099
1365.354,0.062442169
1367.283,0.063150249
1369.211,0.063966498
1371.14,0.06488242
1373.068,0.065965436
1374.997,0.066964723
1376.925,0.067924462
1378.854,0.06898772
1380.782,0.070035636
1382.711,0.071032546
1384.639,0.072020501
1386.568,0.072963931
1388.496,0.074318849
1390.424,0.07547579
1392.353,0.076278083
1394.281,0.077160008
1396.21,0.078229092
1398.138,0.079109348
1400.067,0.079671323
1401.995,0.080314577
1403.924,0.080965184
1405.852,0.081692301
1407.781,0.082456157
1409.709,0.083102278
1411.638,0.083761051
1413.566,0.08437141
1415.495,0.0848682
1417.423,0.085399836
1419.351,0.085798651
1421.28,0.085990623
1423.208,0.086199723
1425.137,0.086539209
1427.065,0.08678823
1428.994,0.08695291
1430.922,0.086885683
1432.851,0.08679454
1434.779,0.086831607
1436.708,0.086765893
1438.636,0.086265758
1440.565,0.085668758
1442.493,0.085265793
1444.422,0.084839121
1446.35,0.08434099
1448.278,0.083906658
1450.207,0.083430357
1452.135,0.082938462
1454.064,0.082498513
1455.992,0.082177617
1457.921,0.081364967
1459.849,0.080480851
1461.778,0.07993938
1463.706,0.079404272
1465.635,0.078714333
1467.563,0.078010418
1469.492,0.077345267
1471.42,0.076423407
1473.349,0.075530387
1475.277,0.074961193
1477.205,0.074365906
1479.134,0.073766381
1481.062,0.072948493
1482.991,0.072307393
1484.919,0.072011702
1486.848,0.071728364
1488.776,0.071465328
1490.705,0.071069278
1492.633,0.070723973
1494.562,0.070536561
1496.49,0.070327573
1498.419,0.070112422
1500.347,0.070054092
1502.276,0.069790788
1504.204,0.069430001
1506.132,0.069178261
1508.061,0.068489037
1509.989,0.067603983
1511.918,0.067130707
1513.846,0.066908248
1515.775,0.066731639
1517.703,0.066469602
1519.632,0.066421218
1521.56,0.066513158
1523.489,0.066462353
1525.417,0.066517986
1527.346,0.066715948
1529.274,0.066591211
1531.203,0.066465512
1533.131,0.066554792
1535.059,0.066670828
1536.988,0.066692077
1538.916,0.066618517
1540.845,0.066564754
1542.773,0.066472813
1544.702,0.06629321
1546.63,0.066184074
1548.559,0.06612619
1550.487,0.065933622
1552.416,0.065666862
1554.344,0.065629981
1556.273,0.065723181
1558.201,0.065982647
1560.13,0.065885417
1562.058,0.065588862
1563.986,0.065401852
1565.915,0.065291278
1567.843,0.065251842
1569.772,0.065282151
1571.7,0.065288231
1573.629,0.065463178
1575.557,0.065896787
1577.486,0.066191822
1579.414,0.066467047
1581.343,0.066881269
1583.271,0.067058943
1585.2,0.067193098
1587.128,0.067456692
1589.057,0.06772726
1590.985,0.067789651
1592.913,0.06799823
1594.842,0.068159848
1596.77,0.068134271
1598.699,0.068003736
1600.627,0.06791652
1602.556,0.067914203
1604.484,0.068076558
1606.413,0.068061046
1608.341,0.068256646
1610.27,0.068729289
1612.198,0.069161557
1614.127,0.069218017
1616.055,0.06959869
1617.984,0.069869317
1619.912,0.069979116
1621.84,0.070227422
1623.769,0.070499383
1625.697,0.070704266
1627.626,0.070832767
1629.554,0.071029633
1631.483,0.071229778
1633.411,0.071354017
1635.34,0.071207613
1637.268,0.070788972
