x,y
399.1926,0.044166598
401.1211,0.038634241
403.0496,0.03881998
404.978,0.03744743
406.9065,0.034821078
408.835,0.032512221
410.7634,0.031902678
412.6919,0.03405612
414.6204,0.035171639
416.5488,0.035465751
418.4773,0.03674385
420.4058,0.038337
422.3342,0.03871287
424.2627,0.039282799
426.1912,0.04004113
428.1196,0.042284772
430.0481,0.04388909
431.9766,0.044033349
433.905,0.04356426
435.8335,0.044959601
437.762,0.047526479
439.6904,0.04885577
441.6189,0.050227199
443.5474,0.050262839
445.4758,0.05056661
447.4043,0.05147149
449.3328,0.051983371
451.2612,0.051588669
453.1897,0.05291412
455.1182,0.054515362
457.0466,0.055687509
458.9751,0.05607336
460.9036,0.056369629
462.832,0.056861371
464.7605,0.058590509
466.689,0.059700139
468.6174,0.060593311
470.5459,0.062041279
472.4744,0.063708372
474.4028,0.06504368
476.3313,0.065574147
478.2598,0.065308914
480.1882,0.065140001
482.1167,0.064448677
484.0452,0.064489998
485.9736,0.065279201
487.9021,0.065373279
489.8306,0.06485261
491.759,0.064920597
493.6875,0.065575667
495.616,0.065794952
497.5444,0.066023163
499.4729,0.066620506
501.4014,0.067375153
503.3298,0.068732731
505.2583,0.069579557
507.1868,0.069464803
509.1152,0.070122592
511.0437,0.072249457
512.9722,0.074253611
514.9006,0.074839041
516.8291,0.07551074
518.7576,0.077320993
520.686,0.079428598
522.6145,0.081460878
524.543,0.083300881
526.4714,0.08444462
528.3999,0.085611053
530.3284,0.086582638
532.2568,0.087589502
534.1853,0.088048831
536.1138,0.08846312
538.0422,0.089593753
539.9707,0.090540022
541.8992,0.091907993
543.8276,0.094749518
545.7561,0.098040611
547.6846,0.1007577
549.613,0.1042627
551.5415,0.1082221
553.47,0.1114132
555.3984,0.1151322
557.3269,0.1199102
559.2554,0.1245462
561.1838,0.1287317
563.1123,0.1329479
565.0408,0.137694
566.9692,0.1425421
568.8977,0.1473978
570.8262,0.1532173
572.7546,0.1601534
574.6831,0.1669475
576.6116,0.1732564
