x,y
399.1926,0.1769278
401.1211,0.1717636
403.0496,0.1725894
404.978,0.1725454
406.9065,0.1673604
408.835,0.1673943
410.7634,0.1734198
412.6919,0.1805961
414.6204,0.1859355
416.5488,0.1859034
418.4773,0.1876199
420.4058,0.193413
422.3342,0.2015905
424.2627,0.207745
426.1912,0.2088931
428.1196,0.2110048
430.0481,0.2141352
431.9766,0.2145252
433.905,0.2126737
435.8335,0.2099247
437.762,0.2070335
439.6904,0.2014711
441.6189,0.1958295
443.5474,0.1894822
445.4758,0.1829018
447.4043,0.1774722
449.3328,0.1720209
451.2612,0.1666384
453.1897,0.1621037
455.1182,0.1577934
457.0466,0.1516842
458.9751,0.1456279
460.9036,0.1411839
462.832,0.1369181
464.7605,0.1308102
466.689,0.1250677
468.6174,0.1209306
470.5459,0.1173373
472.4744,0.1127825
474.4028,0.1080954
476.3313,0.10502
478.2598,0.1019229
480.1882,0.09903203
482.1167,0.096292347
484.0452,0.094180711
485.9736,0.092358232
487.9021,0.091240533
489.8306,0.090258993
491.759,0.089206353
493.6875,0.088065013
495.616,0.087054178
497.5444,0.085729063
499.4729,0.084545791
501.4014,0.083512373
503.3298,0.082276233
505.2583,0.082142442
507.1868,0.082021013
509.1152,0.080869399
511.0437,0.079471603
512.9722,0.079005018
514.9006,0.078542411
516.8291,0.077486672
518.7576,0.077059358
520.686,0.076744527
522.6145,0.075784832
524.543,0.074510522
526.4714,0.074556068
528.3999,0.074717037
530.3284,0.07467401
532.2568,0.074509852
534.1853,0.074760087
536.1138,0.07457155
538.0422,0.0747407
539.9707,0.07601054
541.8992,0.07726831
543.8276,0.078420959
545.7561,0.079462782
547.6846,0.080525331
549.613,0.082561657
551.5415,0.084650308
553.47,0.086926661
555.3984,0.089732356
557.3269,0.092265658
559.2554,0.09532883
561.1838,0.098472297
563.1123,0.1013657
565.0408,0.1041048
566.9692,0.1072445
568.8977,0.1104523
570.8262,0.1128439
572.7546,0.1155716
574.6831,0.1180388
576.6116,0.1202632
578.54,0.1222366
580.4685,0.1239898
582.397,0.1252715
584.3254,0.1256467
586.2539,0.1256174
588.1824,0.1258792
590.1108,0.1262837
592.0393,0.1266759
593.9678,0.1274507
595.8962,0.1288787
597.8247,0.129202
599.7532,0.1296896
601.6816,0.1310867
603.6101,0.1324306
605.5386,0.134275
607.467,0.1367294
609.3955,0.1398485
611.324,0.1432783
613.2524,0.1462876
615.1809,0.1487794
617.1094,0.1520552
619.0378,0.1554782
620.9663,0.1585179
622.8948,0.162243
624.8232,0.1661157
626.7517,0.1690963
628.6802,0.1715879
630.6086,0.1744663
632.5371,0.1772284
634.4656,0.1794039
636.394,0.1817976
638.3225,0.1842607
640.251,0.1858021
642.1794,0.1875592
644.1079,0.190461
646.0364,0.1936204
647.9648,0.1961071
649.8933,0.1988042
651.8218,0.2023628
653.7502,0.2070013
655.6787,0.2118306
657.6072,0.2167178
659.5356,0.2216503
661.4641,0.2264201
663.3926,0.231839
665.321,0.2375621
667.2495,0.2421242
669.178,0.2460851
671.1064,0.2490648
673.0349,0.2510261
674.9634,0.2527037
676.8918,0.2545157
678.8203,0.2558144
680.7488,0.2566522
682.6772,0.2576865
684.6057,0.2576772
686.5342,0.2575022
688.4626,0.2578745
690.3911,0.2567917
692.3196,0.2547753
694.248,0.252037
696.1765,0.2480221
698.105,0.2430804
700.0334,0.2380475
701.9619,0.2330653
703.8904,0.2270713
705.8188,0.2207983
707.7473,0.2144847
709.6758,0.2081369
711.6042,0.2023452
713.5327,0.1972296
715.4612,0.1922234
717.3896,0.1877733
719.3181,0.1832056
721.2466,0.1786842
723.175,0.1749885
725.1035,0.1715658
727.032,0.1682388
728.9604,0.1651284
730.8889,0.1624172
732.8174,0.159383
734.7458,0.1556432
736.6743,0.1521743
738.6028,0.1491015
740.5313,0.1453764
742.4597,0.1417804
744.3882,0.1391886
746.3167,0.1369156
748.2451,0.1340813
750.1736,0.1311293
752.1021,0.1283693
754.0305,0.126146
755.959,0.1242591
757.8875,0.1219142
759.8159,0.119485
761.7444,0.117355
763.6729,0.1154874
765.6013,0.1141114
767.5298,0.1131208
769.4583,0.1124744
771.3867,0.1117771
773.3152,0.111335
775.2437,0.1110573
777.1721,0.1115643
779.1006,0.1126252
781.0291,0.1134865
782.9575,0.1144342
784.886,0.1164236
786.8145,0.1190606
788.7429,0.1219778
790.6714,0.125955
792.5999,0.1308398
794.5283,0.1362747
796.4568,0.1427335
798.3853,0.1504088
800.3137,0.1590913
802.2422,0.1680748
804.1707,0.1766949
806.0991,0.1848581
808.0276,0.1927303
809.9561,0.1992154
811.8845,0.2037367
813.813,0.2075053
815.7415,0.2102253
817.6699,0.2117266
819.5984,0.2132362
821.5269,0.2151196
823.4553,0.2162148
825.3838,0.2172337
827.3123,0.2193627
829.2407,0.2225108
831.1692,0.2261343
833.0977,0.229804
835.0261,0.2344954
836.9546,0.2395944
838.8831,0.2451381
840.8115,0.2507972
842.74,0.2572663
844.6685,0.2642652
846.5969,0.2706768
848.5254,0.2767425
850.4539,0.2830295
852.3823,0.2885244
854.3108,0.2919496
856.2393,0.2935995
858.1677,0.2933362
860.0962,0.2905895
862.0247,0.2851025
863.9531,0.2768386
865.8816,0.2663888
867.8101,0.2549577
869.7385,0.2436718
871.667,0.2334041
873.5955,0.224864
875.5239,0.2181934
877.4524,0.2132881
879.3809,0.2089919
881.3093,0.2046544
883.2378,0.1999542
885.1663,0.1948897
887.0947,0.1889535
889.0232,0.1823455
890.9517,0.1752511
892.8801,0.1681672
894.8085,0.1604879
896.737,0.1526057
898.6655,0.1447669
900.5939,0.1370093
902.5224,0.129942
904.4509,0.123294
906.3793,0.1169212
908.3078,0.1111648
910.2363,0.1056997
912.1647,0.1007613
914.0932,0.096693844
916.0217,0.093159392
917.9501,0.090054654
919.8786,0.087213702
921.8071,0.084624931
923.7355,0.082128912
925.664,0.080163479
927.5925,0.078578234
929.5209,0.077038527
931.4494,0.075929299
933.3779,0.07502804
935.3063,0.073933557
937.2348,0.073089384
939.1633,0.072283089
941.0917,0.071581811
943.0202,0.071221553
944.9487,0.070839427
946.8771,0.070479468
948.8056,0.070136108
950.7341,0.069929317
952.6625,0.069409378
954.591,0.068450943
956.5195,0.06749025
958.4479,0.066712677
960.3764,0.06591209
962.3049,0.064723
964.2333,0.063087568
966.1618,0.06148915
968.0903,0.059999429
970.0187,0.057998139
