x,y
399.1926,0.0179193
401.1211,0.026251441
403.0496,0.02637765
404.978,0.025506999
406.9065,0.023995711
408.835,0.021814739
410.7634,0.02409859
412.6919,0.02518923
414.6204,0.02409037
416.5488,0.02356768
418.4773,0.023553479
420.4058,0.023720341
422.3342,0.0237647
424.2627,0.02571103
426.1912,0.02703576
428.1196,0.027138891
430.0481,0.02675543
431.9766,0.024775879
433.905,0.023212651
435.8335,0.024665879
437.762,0.025934881
439.6904,0.0268394
441.6189,0.02724429
443.5474,0.02597628
445.4758,0.02722422
447.4043,0.02794873
449.3328,0.02870547
451.2612,0.02998165
453.1897,0.031877011
455.1182,0.033000771
457.0466,0.03339028
458.9751,0.034041472
460.9036,0.034946039
462.832,0.036599301
464.7605,0.038653292
466.689,0.04007728
468.6174,0.041246329
470.5459,0.042670708
472.4744,0.04437156
474.4028,0.046368591
476.3313,0.046675771
478.2598,0.045053791
480.1882,0.0438844
482.1167,0.042852979
484.0452,0.04239621
485.9736,0.04188155
487.9021,0.041452669
489.8306,0.04150727
491.759,0.041696869
493.6875,0.041566089
495.616,0.04178251
497.5444,0.042236529
499.4729,0.042329259
501.4014,0.043157309
503.3298,0.04421521
505.2583,0.04537943
507.1868,0.04623593
509.1152,0.04657555
511.0437,0.04817516
512.9722,0.049764059
514.9006,0.05086229
516.8291,0.051980089
518.7576,0.052630529
520.686,0.053829599
522.6145,0.055472098
524.543,0.056567062
526.4714,0.05729311
528.3999,0.058041599
530.3284,0.05921635
532.2568,0.060112242
534.1853,0.060672149
536.1138,0.060480099
538.0422,0.06008628
539.9707,0.06065068
541.8992,0.061645329
543.8276,0.06194327
545.7561,0.062537722
547.6846,0.063470043
549.613,0.064003877
551.5415,0.064379454
553.47,0.064916573
555.3984,0.065699331
557.3269,0.066774577
559.2554,0.067521632
561.1838,0.067564368
563.1123,0.067912303
565.0408,0.068652824
566.9692,0.069424823
568.8977,0.069542073
570.8262,0.069745943
572.7546,0.07048621
574.6831,0.071547084
576.6116,0.072345249
578.54,0.072945952
580.4685,0.073812507
582.397,0.075037234
584.3254,0.076262534
586.2539,0.077545702
588.1824,0.079827107
590.1108,0.081976406
592.0393,0.083700687
593.9678,0.085471652
595.8962,0.08718659
597.8247,0.087990478
599.7532,0.087969802
601.6816,0.087568797
603.6101,0.086551048
605.5386,0.084808096
607.467,0.083317563
609.3955,0.082884014
611.324,0.082678869
613.2524,0.082691677
615.1809,0.083246693
617.1094,0.084558323
619.0378,0.086459689
620.9663,0.088306047
622.8948,0.090213053
624.8232,0.092461191
626.7517,0.094862223
628.6802,0.096840367
630.6086,0.098275527
632.5371,0.09952037
634.4656,0.1000792
636.394,0.1012723
638.3225,0.1032422
640.251,0.1076303
642.1794,0.1169942
644.1079,0.1380848
646.0364,0.1858105
647.9648,0.1995834
649.8933,0.1159526
651.8218,0.065961927
653.7502,0.063048817
655.6787,0.067209899
657.6072,0.070645057
659.5356,0.073505141
661.4641,0.076245673
663.3926,0.078719832
665.321,0.08068426
667.2495,0.08167313
669.178,0.083129764
671.1064,0.085081659
673.0349,0.087018408
674.9634,0.088456258
676.8918,0.090102829
678.8203,0.091355577
680.7488,0.092689201
682.6772,0.093750857
684.6057,0.095116019
686.5342,0.096412636
688.4626,0.097905964
690.3911,0.099769562
692.3196,0.1016023
694.248,0.1029801
696.1765,0.1043436
698.105,0.1056669
700.0334,0.106845
701.9619,0.1079065
703.8904,0.1099527
705.8188,0.1118702
707.7473,0.1136204
709.6758,0.1154489
711.6042,0.1175703
713.5327,0.1196259
715.4612,0.1218874
717.3896,0.1243632
719.3181,0.1271417
721.2466,0.1292976
723.175,0.131694
725.1035,0.1348755
727.032,0.13833
728.9604,0.1417912
730.8889,0.1455803
732.8174,0.150185
734.7458,0.1560049
736.6743,0.1615721
738.6028,0.1671002
740.5313,0.1750482
742.4597,0.1846457
744.3882,0.1963372
746.3167,0.2118313
748.2451,0.2288755
750.1736,0.2503177
752.1021,0.2826887
754.0305,0.3279212
755.959,0.3716455
757.8875,0.3562033
759.8159,0.2631807
761.7444,0.1636359
763.6729,0.1028816
765.6013,0.078829579
767.5298,0.071423396
769.4583,0.069713794
771.3867,0.069959737
773.3152,0.07165087
775.2437,0.074235633
777.1721,0.077389553
779.1006,0.079912268
781.0291,0.082573287
782.9575,0.085443713
784.886,0.088449813
786.8145,0.091047153
788.7429,0.093808793
790.6714,0.096301213
792.5999,0.098839067
794.5283,0.1014276
796.4568,0.1040177
798.3853,0.1068884
800.3137,0.1098901
802.2422,0.112829
804.1707,0.1158526
806.0991,0.1185647
808.0276,0.1233058
809.9561,0.1302045
811.8845,0.1312454
813.813,0.1289023
815.7415,0.1332301
817.6699,0.1394044
819.5984,0.1470483
821.5269,0.1550112
823.4553,0.1653083
825.3838,0.1777935
827.3123,0.1957155
829.2407,0.220441
831.1692,0.2624102
833.0977,0.3302021
835.0261,0.3783634
836.9546,0.2430706
838.8831,0.094410174
840.8115,0.052503102
842.74,0.053651132
844.6685,0.06034033
846.5969,0.067074537
848.5254,0.074074157
850.4539,0.079747468
852.3823,0.084657833
854.3108,0.088029087
856.2393,0.091438122
858.1677,0.094420142
860.0962,0.097540289
862.0247,0.1005237
863.9531,0.1033953
865.8816,0.1055468
867.8101,0.1077496
869.7385,0.1093275
871.667,0.1117087
873.5955,0.1136245
875.5239,0.1158887
877.4524,0.1179222
879.3809,0.1195601
881.3093,0.1210137
883.2378,0.1225529
885.1663,0.1239526
887.0947,0.1256169
889.0232,0.127113
890.9517,0.1288031
892.8801,0.1303835
894.8085,0.1321672
896.737,0.1338061
898.6655,0.135384
900.5939,0.1367811
902.5224,0.1382832
904.4509,0.1396511
906.3793,0.1412133
908.3078,0.1425627
910.2363,0.143779
912.1647,0.1448146
914.0932,0.1457995
916.0217,0.1468045
917.9501,0.1480933
919.8786,0.1496685
921.8071,0.1508809
923.7355,0.1516302
925.664,0.1531498
927.5925,0.1544537
929.5209,0.1557346
931.4494,0.1569068
933.3779,0.1583731
935.3063,0.1601001
937.2348,0.1615052
939.1633,0.162477
941.0917,0.1634921
943.0202,0.1646296
944.9487,0.1658647
946.8771,0.1672267
948.8056,0.1691926
950.7341,0.1710144
952.6625,0.1727395
954.591,0.1744716
956.5195,0.1761782
958.4479,0.1778601
960.3764,0.1799002
962.3049,0.1819135
964.2333,0.184243
966.1618,0.1864127
968.0903,0.1877603
970.0187,0.1884131
971.9472,0.1891986
973.8757,0.1909607
975.8041,0.1938604
977.7326,0.1963964
979.6611,0.1988124
981.5895,0.2013782
983.518,0.2039176
985.4465,0.2062961
987.3749,0.2083452
989.3034,0.2101414
991.2319,0.2122263
993.1603,0.2144368
995.0888,0.2160988
997.0173,0.2172756
998.9457,0.2186747
1000.874,0.2195717
1002.803,0.2206267
1004.731,0.2224095
1006.66,0.2243394
1008.588,0.2258854
1010.517,0.2274912
1012.445,0.2294556
1014.373,0.2309841
1016.302,0.2320864
1018.23,0.2336598
1020.159,0.2351697
1022.087,0.2366678
1024.016,0.2379661
1025.944,0.2394637
1027.873,0.2409852
1029.801,0.2420856
1031.73,0.242584
1033.658,0.242896
1035.587,0.2428171
1037.515,0.242884
1039.444,0.2430101
1041.372,0.243406
1043.301,0.2441267
1045.229,0.2447884
1047.157,0.2453163
1049.086,0.2461237
1051.014,0.2471779
1052.943,0.2482899
1054.871,0.2495891
1056.8,0.2518492
1058.728,0.2555437
1060.657,0.258659
1062.585,0.2536207
1064.514,0.2443003
1066.442,0.240549
1068.371,0.2405573
1070.299,0.2411614
1072.228,0.2415154
1074.156,0.2411239
1076.084,0.2409559
1078.013,0.2412473
1079.941,0.2410803
1081.87,0.2407513
1083.798,0.2404954
1085.727,0.2406242
1087.655,0.2412152
1089.584,0.2415321
1091.512,0.2413624
1093.441,0.2412725
1095.369,0.2412711
1097.298,0.2410804
1099.226,0.2409433
1101.155,0.2411637
1103.083,0.2417473
1105.011,0.24194
1106.94,0.2422894
1108.868,0.2422675
1110.797,0.2420224
1112.725,0.2421259
1114.654,0.2425831
1116.582,0.243459
1118.511,0.244645
1120.439,0.2458411
1122.368,0.2475291
1124.296,0.2489337
1126.225,0.2494368
1128.153,0.2492523
1130.082,0.2486472
1132.01,0.2478313
1133.938,0.2471888
1135.867,0.2467546
1137.795,0.246583
1139.724,0.2466983
1141.652,0.2470942
1143.581,0.2474326
1145.509,0.2483479
1147.438,0.2499007
1149.366,0.2514374
1151.295,0.253098
1153.223,0.255074
1155.152,0.2570299
1157.08,0.2590147
1159.009,0.260956
1160.937,0.2630711
1162.865,0.2655039
1164.794,0.2671543
1166.722,0.2684978
1168.651,0.2699913
1170.579,0.2714019
1172.508,0.2729786
1174.436,0.2743767
1176.365,0.2758659
1178.293,0.2768188
1180.222,0.2779091
1182.15,0.2789843
1184.079,0.2802095
1186.007,0.2819826
1187.936,0.2829751
1189.864,0.283947
1191.792,0.2853042
1193.721,0.2868256
1195.649,0.2884541
1197.578,0.2903192
1199.506,0.2923544
1201.435,0.2941403
1203.363,0.2960702
1205.292,0.2982241
1207.22,0.3000944
1209.149,0.3018422
1211.077,0.3037404
1213.006,0.3060989
1214.934,0.3086575
1216.863,0.3108544
1218.791,0.3133412
1220.719,0.3159629
1222.648,0.3182246
1224.576,0.3211223
1226.505,0.3243947
1228.433,0.3275948
1230.362,0.3306125
1232.29,0.3336135
1234.219,0.3367183
1236.147,0.340127
1238.076,0.3438479
1240.004,0.3480563
1241.933,0.3520153
1243.861,0.3556794
1245.79,0.3595165
1247.718,0.3639918
1249.646,0.3685335
1251.575,0.3730467
1253.503,0.3777451
1255.432,0.3826217
1257.36,0.3876762
1259.289,0.3928316
1261.217,0.3977456
1263.146,0.4026369
1265.074,0.4080455
1267.003,0.4137237
1268.931,0.4191933
1270.86,0.4243759
1272.788,0.4294052
1274.717,0.4346191
1276.645,0.4398045
1278.573,0.4455657
1280.502,0.4515105
1282.43,0.4574599
1284.359,0.4634421
1286.287,0.469423
1288.216,0.4756088
1290.144,0.4822284
1292.073,0.4888251
1294.001,0.4955802
1295.93,0.5020417
1297.858,0.5081814
1299.787,0.5154135
1301.715,0.5228415
1303.644,0.5291308
1305.572,0.5356874
1307.5,0.5425984
1309.429,0.5490764
1311.357,0.5563082
1313.286,0.564759
1315.214,0.5741916
1317.143,0.5836149
1319.071,0.5914395
1321.0,0.599197
1322.928,0.6072629
1324.857,0.6140741
1326.785,0.6198586
1328.714,0.6236956
1330.642,0.6243605
1332.571,0.6234795
1334.499,0.6205022
1336.427,0.6141276
1338.356,0.6044138
1340.284,0.5915076
1342.213,0.5752173
1344.141,0.5560991
1346.07,0.5344787
1347.998,0.5105861
1349.927,0.4850039
1351.855,0.45922
1353.784,0.4329027
1355.712,0.4070836
1357.641,0.3832033
1359.569,0.3611802
1361.498,0.3408943
1363.426,0.3232276
1365.354,0.3079976
1367.283,0.295267
1369.211,0.2840334
1371.14,0.2744501
1373.068,0.2665086
1374.997,0.2597701
1376.925,0.2543557
1378.854,0.2498033
1380.782,0.2458124
1382.711,0.2425445
1384.639,0.2404388
1386.568,0.2387674
1388.496,0.2380524
1390.424,0.238364
1392.353,0.2391205
1394.281,0.2402951
1396.21,0.241853
1398.138,0.2439871
1400.067,0.2463799
1401.995,0.2488747
1403.924,0.2516757
1405.852,0.2543919
1407.781,0.2567151
1409.709,0.2597613
1411.638,0.2633036
1413.566,0.2660571
1415.495,0.2687662
1417.423,0.2720846
1419.351,0.2755824
1421.28,0.2792157
1423.208,0.2833403
1425.137,0.2879921
1427.065,0.2923987
1428.994,0.2974804
1430.922,0.3028983
1432.851,0.3081001
1434.779,0.3138554
1436.708,0.3199957
1438.636,0.3258902
1440.565,0.3318495
1442.493,0.3375841
1444.422,0.3431047
1446.35,0.3491255
1448.278,0.3552014
1450.207,0.3608299
1452.135,0.3663483
1454.064,0.3713915
1455.992,0.3763559
1457.921,0.3818139
1459.849,0.3870077
1461.778,0.3922858
1463.706,0.3973933
1465.635,0.4021789
1467.563,0.406931
1469.492,0.4115446
1471.42,0.4158988
1473.349,0.4200519
1475.277,0.4240416
1477.205,0.4275698
1479.134,0.4307441
1481.062,0.4336486
1482.991,0.4362328
1484.919,0.4385943
1486.848,0.4403741
1488.776,0.4418579
1490.705,0.443064
1492.633,0.4436426
1494.562,0.4430853
1496.49,0.4421305
1498.419,0.440957
1500.347,0.4389085
1502.276,0.4360819
1504.204,0.432549
1506.132,0.4290031
1508.061,0.4251247
1509.989,0.4201255
1511.918,0.4140958
1513.846,0.4081655
1515.775,0.4016353
1517.703,0.3938018
1519.632,0.3855069
1521.56,0.3769043
1523.489,0.3683074
1525.417,0.3595109
1527.346,0.3501356
1529.274,0.339999
1531.203,0.3296666
1533.131,0.3190036
1535.059,0.3080804
1536.988,0.2964993
1538.916,0.284812
1540.845,0.2728067
1542.773,0.2610231
1544.702,0.2496498
1546.63,0.2382679
1548.559,0.2264207
1550.487,0.2149015
1552.416,0.2041919
1554.344,0.1936547
1556.273,0.1836455
1558.201,0.1742219
1560.13,0.165387
1562.058,0.1569657
1563.986,0.1490569
1565.915,0.1421002
1567.843,0.1356983
1569.772,0.1295937
1571.7,0.1238721
1573.629,0.1186671
1575.557,0.1139939
1577.486,0.1099495
1579.414,0.1063662
1581.343,0.1027033
1583.271,0.099451661
1585.2,0.096611828
1587.128,0.094148472
1589.057,0.091939934
1590.985,0.090015069
1592.913,0.088228248
1594.842,0.086675368
1596.77,0.085263647
1598.699,0.084054947
1600.627,0.08321429
1602.556,0.082773224
1604.484,0.081998743
1606.413,0.081182562
1608.341,0.080653973
1610.27,0.080408387
1612.198,0.080298021
1614.127,0.080043077
1616.055,0.079665467
1617.984,0.079570137
1619.912,0.079352953
1621.84,0.079163611
1623.769,0.079259723
1625.697,0.079410642
1627.626,0.079332016
1629.554,0.079360299
1631.483,0.079655431
1633.411,0.079880297
1635.34,0.079990983
1637.268,0.079920433
1639.197,0.079960167
1641.125,0.080392353
1643.054,0.080388397
1644.982,0.080375321
1646.911,0.081024207
1648.839,0.081765547
1650.767,0.081688859
1652.696,0.081497379
1654.624,0.081604138
1656.553,0.081858464
1658.481,0.082294777
1660.41,0.082621418
1662.338,0.083210617
1664.267,0.083846837
1666.195,0.083765581
1668.124,0.083897598
1670.052,0.084490873
1671.981,0.085016668
1673.909,0.085488513
1675.838,0.085898973
1677.766,0.08626204
1679.694,0.086696073
1681.623,0.087433487
1683.551,0.088164501
1685.48,0.088609248
1687.408,0.089341
1689.337,0.089809187
1691.265,0.089909121
1693.194,0.090508483
1695.122,0.091120109
1697.051,0.092498481
1698.979,0.093824953
1700.908,0.094744943
1702.836,0.096143529
1704.765,0.098427437
1706.693,0.1020988
1708.621,0.1070323
1710.55,0.1094885
1712.478,0.1065649
1714.407,0.1020351
1716.335,0.1000277
1718.264,0.1002652
1720.192,0.1005544
1722.121,0.1000855
1724.049,0.09928894
1725.978,0.098452993
1727.906,0.097594537
1729.835,0.096734799
1731.763,0.096289068
1733.692,0.096183211
1735.62,0.096380249
1737.548,0.097159609
1739.477,0.097871266
1741.405,0.098016821
1743.334,0.098233208
1745.262,0.098731339
1747.191,0.099068247
1749.119,0.099812433
1751.048,0.1006139
1752.976,0.1013178
1754.905,0.1023679
1756.833,0.103487
1758.762,0.1040945
1760.69,0.1048184
1762.619,0.1059782
1764.547,0.1065258
1766.475,0.106659
1768.404,0.1073498
1770.332,0.1084366
1772.261,0.1090049
1774.189,0.109692
1776.118,0.1105816
1778.046,0.1110068
1779.975,0.1112143
1781.903,0.1119738
1783.832,0.1124577
1785.76,0.1130162
1787.689,0.1136726
1789.617,0.1146754
1791.546,0.1156135
1793.474,0.1167377
1795.402,0.117894
1797.331,0.1186578
1799.259,0.1199257
1801.188,0.1205785
1803.116,0.1216245
1805.045,0.1232084
1806.973,0.1247805
1808.902,0.1266608
1810.83,0.1293771
1812.759,0.1340693
1814.687,0.1399276
1816.616,0.145386
1818.544,0.1472648
1820.473,0.1452852
1822.401,0.1410481
1824.329,0.1355867
1826.258,0.1297494
1828.186,0.125396
1830.115,0.1237412
1832.043,0.1235839
1833.972,0.12321
1835.9,0.1228914
1837.829,0.12367
1839.757,0.1246171
1841.686,0.1251778
1843.614,0.1255093
1845.543,0.1258352
1847.471,0.1256303
1849.4,0.1264093
1851.328,0.1273695
1853.256,0.1273174
1855.185,0.1273363
1857.113,0.1283442
1859.042,0.1290008
1860.97,0.1290187
1862.899,0.1295729
1864.827,0.1298403
1866.756,0.1305475
1868.684,0.1323829
1870.613,0.1334764
1872.541,0.1329917
1874.47,0.1329453
1876.398,0.133837
1878.327,0.1346708
1880.255,0.1349801
1882.183,0.1353429
1884.112,0.1363775
1886.04,0.1374901
1887.969,0.1379438
1889.897,0.1382735
1891.826,0.1378338
1893.754,0.1380825
1895.683,0.1391455
1897.611,0.139959
1899.54,0.1394647
1901.468,0.1384469
1903.397,0.1399526
1905.325,0.1413074
1907.254,0.1413789
1909.182,0.1417714
1911.11,0.1416807
1913.039,0.1414239
1914.967,0.1421356
1916.896,0.1433721
1918.824,0.1437802
1920.753,0.1434733
1922.681,0.1433099
1924.61,0.1431652
1926.538,0.1436103
1928.467,0.1458239
1930.395,0.146497
1932.324,0.1455972
1934.252,0.1451953
1936.181,0.1458672
1938.109,0.1476873
1940.037,0.1483204
1941.966,0.1483919
1943.894,0.1484511
1945.823,0.1467519
1947.751,0.1465606
1949.68,0.1480922
1951.608,0.14881
1953.537,0.1496114
1955.465,0.1493032
1957.394,0.148842
1959.322,0.1504807
1961.251,0.1517829
1963.179,0.1510925
1965.108,0.1493992
1967.036,0.1483635
1968.964,0.1491144
1970.893,0.1503159
1972.821,0.152598
1974.75,0.1545476
1976.678,0.1545659
1978.607,0.1547459
1980.535,0.1543765
1982.464,0.1537574
1984.392,0.1546553
1986.321,0.1545148
1988.249,0.1544824
1990.178,0.1581784
1992.106,0.1591931
1994.035,0.1583057
1995.963,0.1582487
1997.891,0.1576239
1999.82,0.157322
2001.748,0.1585651
2003.677,0.1589632
2005.605,0.1603149
2007.534,0.1630916
2009.462,0.1623765
2011.391,0.1612506
2013.319,0.1617996
2015.248,0.1603447
2017.176,0.1607153
2019.105,0.1620279
2021.033,0.1617206
2022.962,0.1600176
2024.89,0.1609466
2026.818,0.1666083
2028.747,0.1685269
2030.675,0.1647305
2032.604,0.1654413
2034.532,0.167845
2036.461,0.1682158
