x,y
399.1926,0.2552034
401.1211,0.2436388
403.0496,0.2448101
404.978,0.2389947
406.9065,0.2426109
408.835,0.253305
410.7634,0.260843
412.6919,0.2576811
414.6204,0.2538846
416.5488,0.2517939
418.4773,0.252829
420.4058,0.2533677
422.3342,0.2518318
424.2627,0.2463049
426.1912,0.2394118
428.1196,0.234181
430.0481,0.2347315
431.9766,0.2380087
433.905,0.238202
435.8335,0.2360345
437.762,0.2385987
439.6904,0.2433372
441.6189,0.2445717
443.5474,0.2422613
445.4758,0.2431572
447.4043,0.2430591
449.3328,0.2426043
451.2612,0.2402458
453.1897,0.2404153
455.1182,0.24181
457.0466,0.2430509
458.9751,0.2439075
460.9036,0.2462042
462.832,0.2496523
464.7605,0.2523023
466.689,0.2547178
468.6174,0.2577188
470.5459,0.2603741
472.4744,0.2623987
474.4028,0.2643752
476.3313,0.2645709
478.2598,0.2635263
480.1882,0.2622254
482.1167,0.2595858
484.0452,0.2560649
485.9736,0.2544519
487.9021,0.2534127
489.8306,0.2511757
491.759,0.2497935
493.6875,0.2474713
495.616,0.2443091
497.5444,0.2423637
499.4729,0.2387777
501.4014,0.2359802
503.3298,0.2332894
505.2583,0.2285543
507.1868,0.2243448
509.1152,0.2199387
511.0437,0.2137629
512.9722,0.2081289
514.9006,0.203286
516.8291,0.1979895
518.7576,0.193398
520.686,0.187422
522.6145,0.1812267
524.543,0.176042
526.4714,0.1697919
528.3999,0.1633142
530.3284,0.1581776
532.2568,0.153327
534.1853,0.1487558
536.1138,0.1452904
538.0422,0.1429227
539.9707,0.141991
541.8992,0.1416574
543.8276,0.1417397
545.7561,0.1411047
547.6846,0.1418629
549.613,0.1419844
551.5415,0.1414132
553.47,0.1396145
555.3984,0.1366936
557.3269,0.1344644
559.2554,0.1330686
561.1838,0.1312502
563.1123,0.1295778
565.0408,0.1280035
566.9692,0.1255059
568.8977,0.1235719
570.8262,0.1221932
572.7546,0.1200974
574.6831,0.117552
576.6116,0.1143013
578.54,0.111264
580.4685,0.1092099
582.397,0.1072126
584.3254,0.1053755
586.2539,0.1052299
588.1824,0.1061234
590.1108,0.1068918
592.0393,0.1081949
593.9678,0.1102916
595.8962,0.1131504
597.8247,0.1170764
599.7532,0.1212747
601.6816,0.1252111
603.6101,0.129123
605.5386,0.1317435
607.467,0.1319736
609.3955,0.130095
611.324,0.125598
613.2524,0.1200284
615.1809,0.1137114
617.1094,0.1078371
619.0378,0.1025047
620.9663,0.09794154
622.8948,0.094504572
624.8232,0.091641881
626.7517,0.089421786
628.6802,0.087361626
630.6086,0.085333452
632.5371,0.083831571
634.4656,0.082780793
636.394,0.082456373
638.3225,0.082683772
640.251,0.083221197
642.1794,0.083420239
644.1079,0.083862528
646.0364,0.08508718
647.9648,0.086554028
649.8933,0.087346353
651.8218,0.087464437
653.7502,0.087328687
655.6787,0.087710992
657.6072,0.088440359
659.5356,0.08933039
661.4641,0.090736568
663.3926,0.092497908
665.321,0.094236188
667.2495,0.095590517
669.178,0.096333392
671.1064,0.096180789
673.0349,0.095948212
674.9634,0.095000997
676.8918,0.093121476
678.8203,0.09178298
680.7488,0.09096361
682.6772,0.090743043
684.6057,0.091897503
686.5342,0.094131261
688.4626,0.096796207
690.3911,0.1007484
692.3196,0.1058004
694.248,0.1110977
696.1765,0.1157286
698.105,0.1192295
700.0334,0.1216117
701.9619,0.1233228
703.8904,0.1240464
705.8188,0.1228204
707.7473,0.1201164
709.6758,0.116274
711.6042,0.1112839
713.5327,0.1047834
715.4612,0.097111128
717.3896,0.088917904
719.3181,0.081146859
721.2466,0.07474149
723.175,0.070364401
725.1035,0.067590408
727.032,0.066385709
728.9604,0.066231377
