x,y
399.1926,0.080507927
401.1211,0.093414009
403.0496,0.0938631
404.978,0.08795929
406.9065,0.085942812
408.835,0.089705549
410.7634,0.097590007
412.6919,0.1029816
414.6204,0.1027612
416.5488,0.1053748
418.4773,0.1112309
420.4058,0.1125603
422.3342,0.1129998
424.2627,0.1140746
426.1912,0.1152062
428.1196,0.1200267
430.0481,0.1225994
431.9766,0.1188013
433.905,0.11842
435.8335,0.1203125
437.762,0.1192874
439.6904,0.1174898
441.6189,0.1171263
443.5474,0.1158519
445.4758,0.1158302
447.4043,0.1160159
449.3328,0.1144902
451.2612,0.1125678
453.1897,0.1133273
455.1182,0.1142491
457.0466,0.1143935
458.9751,0.1162364
460.9036,0.1178132
462.832,0.1193965
464.7605,0.1207372
466.689,0.119972
468.6174,0.1192795
470.5459,0.1192457
472.4744,0.1196786
474.4028,0.1211662
476.3313,0.1224657
478.2598,0.1228053
480.1882,0.1234221
482.1167,0.1236839
484.0452,0.1237282
485.9736,0.1244233
487.9021,0.1254352
489.8306,0.1265639
491.759,0.1280891
493.6875,0.1286331
495.616,0.1291244
497.5444,0.1299871
499.4729,0.1311039
501.4014,0.1327133
503.3298,0.1352671
505.2583,0.138013
507.1868,0.1396693
509.1152,0.1417843
511.0437,0.1449435
512.9722,0.1474901
514.9006,0.1496475
516.8291,0.1516723
518.7576,0.1529433
520.686,0.1544593
522.6145,0.1558289
524.543,0.1576578
526.4714,0.1596344
528.3999,0.1612547
530.3284,0.1625936
532.2568,0.1636869
534.1853,0.1661318
536.1138,0.1674734
538.0422,0.1666982
539.9707,0.1657739
541.8992,0.1650982
543.8276,0.1646256
545.7561,0.1642393
547.6846,0.1635012
549.613,0.1618714
551.5415,0.1596379
553.47,0.1581358
555.3984,0.1565664
557.3269,0.1549933
559.2554,0.1546836
561.1838,0.1534951
563.1123,0.1506255
565.0408,0.1483727
566.9692,0.1476984
568.8977,0.1475553
570.8262,0.1469015
572.7546,0.1454762
574.6831,0.1454547
576.6116,0.145486
578.54,0.1448189
580.4685,0.1436444
582.397,0.1430203
584.3254,0.1429926
586.2539,0.1426866
588.1824,0.1428972
590.1108,0.144201
592.0393,0.1453597
593.9678,0.1459307
595.8962,0.1476498
597.8247,0.149821
599.7532,0.1510991
601.6816,0.1526206
603.6101,0.154318
605.5386,0.1555129
607.467,0.155916
609.3955,0.1559109
611.324,0.1545186
613.2524,0.1510891
615.1809,0.1454423
617.1094,0.1383303
619.0378,0.1307197
620.9663,0.1236685
622.8948,0.1172567
624.8232,0.1116121
626.7517,0.1068222
628.6802,0.1026786
630.6086,0.099487931
632.5371,0.09741281
634.4656,0.094826527
636.394,0.092884339
638.3225,0.091932371
640.251,0.091432631
642.1794,0.091597483
644.1079,0.091425851
646.0364,0.091051012
647.9648,0.091269553
649.8933,0.091869667
651.8218,0.092396319
653.7502,0.093234546
655.6787,0.093730956
657.6072,0.094409898
659.5356,0.095653519
661.4641,0.096694902
663.3926,0.097057283
665.321,0.098120123
667.2495,0.099726409
669.178,0.1009105
671.1064,0.1013233
673.0349,0.1014839
674.9634,0.1022192
676.8918,0.1027683
678.8203,0.1027801
680.7488,0.1024808
682.6772,0.1022131
684.6057,0.1017572
686.5342,0.1003848
688.4626,0.099399798
690.3911,0.098481551
692.3196,0.097184896
694.248,0.095800713
696.1765,0.09472727
698.105,0.09450575
700.0334,0.095844783
701.9619,0.1007736
703.8904,0.110074
705.8188,0.1140761
707.7473,0.1018517
709.6758,0.084168904
711.6042,0.074126929
713.5327,0.070585817
715.4612,0.069299228
717.3896,0.068635508
719.3181,0.068304963
721.2466,0.068267569
723.175,0.068836637
725.1035,0.069995597
727.032,0.071527429
728.9604,0.073906891
730.8889,0.077836789
732.8174,0.084664822
734.7458,0.097510263
736.6743,0.1198912
738.6028,0.1422959
740.5313,0.1420751
742.4597,0.1165424
744.3882,0.089989737
746.3167,0.077026673
748.2451,0.073293597
750.1736,0.071886897
752.1021,0.070636839
754.0305,0.069572411
755.959,0.068813168
757.8875,0.068429507
759.8159,0.068681583
761.7444,0.069117457
763.6729,0.06966351
765.6013,0.070636094
767.5298,0.071707383
769.4583,0.072499193
771.3867,0.073738851
773.3152,0.075223699
775.2437,0.076606639
777.1721,0.078213088
779.1006,0.080081753
781.0291,0.082313791
782.9575,0.083837859
784.886,0.085679643
786.8145,0.087866567
788.7429,0.089574672
790.6714,0.090915687
792.5999,0.092645921
794.5283,0.094549902
796.4568,0.095926143
798.3853,0.096930392
800.3137,0.097583711
802.2422,0.098027043
804.1707,0.098364428
806.0991,0.099007271
808.0276,0.099630341
809.9561,0.100741
811.8845,0.1027429
813.813,0.1055306
815.7415,0.1085112
817.6699,0.110675
819.5984,0.1098664
821.5269,0.1054739
823.4553,0.099600941
825.3838,0.094416633
827.3123,0.090717681
829.2407,0.088941343
831.1692,0.088732153
833.0977,0.089680701
835.0261,0.090764202
836.9546,0.092536971
838.8831,0.097195022
840.8115,0.1038067
842.74,0.1031982
844.6685,0.093500368
846.5969,0.083623327
848.5254,0.077093408
850.4539,0.071966372
852.3823,0.067646183
854.3108,0.064448528
856.2393,0.06205447
858.1677,0.06086456
860.0962,0.060429331
862.0247,0.060372159
863.9531,0.060349021
865.8816,0.060743518
867.8101,0.06142702
869.7385,0.062793359
871.667,0.064966582
873.5955,0.067918882
875.5239,0.071033187
877.4524,0.074815512
879.3809,0.079430372
881.3093,0.084903769
883.2378,0.091199137
885.1663,0.098726667
887.0947,0.1074105
889.0232,0.1172668
890.9517,0.1289826
892.8801,0.1429446
894.8085,0.1589538
896.737,0.1753707
898.6655,0.1887999
900.5939,0.1948317
902.5224,0.1910564
904.4509,0.1772103
906.3793,0.1559235
908.3078,0.1314705
910.2363,0.1083096
912.1647,0.090103216
914.0932,0.07774666
916.0217,0.068207361
917.9501,0.059681151
919.8786,0.052354861
921.8071,0.04657197
923.7355,0.042492911
925.664,0.0392281
927.5925,0.03626129
929.5209,0.033353578
931.4494,0.03074868
933.3779,0.028883539
935.3063,0.027799491
937.2348,0.02689584
939.1633,0.02596751
941.0917,0.025496971
943.0202,0.02540208
944.9487,0.02507619
946.8771,0.02495341
948.8056,0.02505729
950.7341,0.025078351
952.6625,0.025133209
954.591,0.02523814
956.5195,0.025176
958.4479,0.0251888
960.3764,0.02530494
962.3049,0.0256403
964.2333,0.025910979
966.1618,0.02639954
968.0903,0.02702897
970.0187,0.027371541
971.9472,0.02785214
973.8757,0.02855364
975.8041,0.029177889
977.7326,0.02998147
979.6611,0.031603791
981.5895,0.033263329
983.518,0.0335899
985.4465,0.03266928
987.3749,0.032206692
989.3034,0.032369319
991.2319,0.03291126
993.1603,0.033642519
995.0888,0.034432281
997.0173,0.03505696
998.9457,0.035394669
1000.874,0.036105219
1002.803,0.03712675
1004.731,0.037985221
1006.66,0.038779881
1008.588,0.039310999
1010.517,0.040124688
1012.445,0.040989839
1014.373,0.041696269
1016.302,0.04252445
1018.23,0.043116689
1020.159,0.043820269
1022.087,0.04493637
1024.016,0.04598406
1025.944,0.047043309
1027.873,0.04834507
1029.801,0.049419139
1031.73,0.050458539
1033.658,0.051900171
1035.587,0.0534687
1037.515,0.054964431
1039.444,0.056895841
1041.372,0.058900051
1043.301,0.060914371
1045.229,0.063018844
1047.157,0.065303631
1049.086,0.067903921
1051.014,0.070923902
1052.943,0.074178293
1054.871,0.077892758
1056.8,0.082306117
1058.728,0.087823048
1060.657,0.09432482
1062.585,0.1018628
1064.514,0.1104772
1066.442,0.1203084
1068.371,0.132056
1070.299,0.1465835
1072.228,0.1639841
1074.156,0.1856957
1076.084,0.2124971
1078.013,0.2427694
1079.941,0.2672512
1081.87,0.2754245
1083.798,0.2694754
1085.727,0.2669683
1087.655,0.2817744
1089.584,0.3071494
1091.512,0.3309076
1093.441,0.3471668
1095.369,0.3529858
1097.298,0.3474415
1099.226,0.3319742
1101.155,0.3082718
1103.083,0.2789769
1105.011,0.2467967
1106.94,0.2139077
1108.868,0.1831654
1110.797,0.156337
1112.725,0.1339992
1114.654,0.1161913
1116.582,0.1024917
1118.511,0.092178501
1120.439,0.084756002
1122.368,0.079608418
1124.296,0.075941883
1126.225,0.0732086
1128.153,0.071385443
1130.082,0.069898874
1132.01,0.068726487
1133.938,0.06794551
1135.867,0.067507721
1137.795,0.067626096
1139.724,0.068026632
1141.652,0.068160921
1143.581,0.068261668
1145.509,0.068356358
1147.438,0.069084272
1149.366,0.070275277
1151.295,0.071414627
1153.223,0.072703212
1155.152,0.073913582
1157.08,0.075589038
1159.009,0.077606194
1160.937,0.079904526
1162.865,0.082671598
1164.794,0.085980602
1166.722,0.089851059
1168.651,0.094498828
1170.579,0.099808007
1172.508,0.1054924
1174.436,0.1117467
1176.365,0.1187188
1178.293,0.1252883
1180.222,0.1307954
1182.15,0.1343186
1184.079,0.1348233
1186.007,0.13256
1187.936,0.1274804
1189.864,0.1200911
1191.792,0.1113618
1193.721,0.1020322
1195.649,0.09273845
1197.578,0.084124647
1199.506,0.076571167
1201.435,0.069916546
1203.363,0.064040497
1205.292,0.058972381
1207.22,0.054810081
1209.149,0.0511222
1211.077,0.04791582
1213.006,0.045160901
1214.934,0.042882241
1216.863,0.040817332
1218.791,0.038893271
1220.719,0.037374321
1222.648,0.0363396
1224.576,0.035221271
1226.505,0.034211159
1228.433,0.033200379
1230.362,0.032235712
1232.29,0.031438161
1234.219,0.030695811
1236.147,0.03007794
1238.076,0.02971654
1240.004,0.029395949
1241.933,0.02921473
1243.861,0.02888206
1245.79,0.02857694
1247.718,0.02848991
1249.646,0.028758571
1251.575,0.028894611
1253.503,0.02863431
1255.432,0.028216841
1257.36,0.0283092
1259.289,0.02852992
1261.217,0.028529231
1263.146,0.02872909
1265.074,0.02902359
1267.003,0.02919385
1268.931,0.02952601
1270.86,0.030058989
1272.788,0.03059802
1274.717,0.03109834
1276.645,0.031336669
1278.573,0.031512849
1280.502,0.03189183
1282.43,0.03243725
1284.359,0.033028848
1286.287,0.03326324
1288.216,0.033654708
1290.144,0.034185611
1292.073,0.034677919
1294.001,0.035705999
1295.93,0.036635712
1297.858,0.0373642
1299.787,0.038404509
1301.715,0.039670382
1303.644,0.040899072
1305.572,0.042353939
1307.5,0.044501401
1309.429,0.04684509
1311.357,0.048927329
1313.286,0.050941549
1315.214,0.052935518
1317.143,0.05484299
1319.071,0.05683833
1321.0,0.05941179
1322.928,0.062677547
1324.857,0.066332102
1326.785,0.070794336
1328.714,0.076312073
1330.642,0.082810909
1332.571,0.090032332
1334.499,0.097751901
1336.427,0.1054797
1338.356,0.1133975
1340.284,0.1213464
1342.213,0.1296451
1344.141,0.1398557
1346.07,0.1523311
1347.998,0.1672961
1349.927,0.1848203
1351.855,0.2049569
1353.784,0.2284801
1355.712,0.2559056
1357.641,0.2881504
1359.569,0.3250665
1361.498,0.3670309
1363.426,0.4120787
1365.354,0.4535215
1367.283,0.4819256
1369.211,0.4892294
1371.14,0.4734149
1373.068,0.4423083
1374.997,0.4088833
1376.925,0.3799922
1378.854,0.3559506
1380.782,0.3340601
1382.711,0.3113467
1384.639,0.2871013
1386.568,0.2627744
1388.496,0.2398043
1390.424,0.2185692
1392.353,0.2002661
1394.281,0.1848109
1396.21,0.1708666
1398.138,0.1587648
1400.067,0.1483346
1401.995,0.1391726
1403.924,0.130772
1405.852,0.122977
1407.781,0.1152752
1409.709,0.1077424
1411.638,0.1005906
1413.566,0.093961842
1415.495,0.087602533
1417.423,0.081814833
1419.351,0.076958939
1421.28,0.072450951
1423.208,0.068228163
1425.137,0.064668939
1427.065,0.061771639
1428.994,0.058979101
1430.922,0.056347031
1432.851,0.054274879
1434.779,0.052648049
1436.708,0.05125162
1438.636,0.049748521
1440.565,0.048528001
1442.493,0.047594681
1444.422,0.04676377
1446.35,0.046053231
1448.278,0.045630459
1450.207,0.04508375
1452.135,0.044951919
1454.064,0.045100149
1455.992,0.045381408
1457.921,0.045521501
1459.849,0.045625009
1461.778,0.046211708
1463.706,0.046824671
1465.635,0.047512028
1467.563,0.04818105
1469.492,0.0488845
1471.42,0.05008037
1473.349,0.05116798
1475.277,0.052053209
1477.205,0.053233732
1479.134,0.054954872
1481.062,0.056998499
1482.991,0.059129711
1484.919,0.0614153
1486.848,0.06403587
1488.776,0.067093603
1490.705,0.070104986
1492.633,0.072983943
1494.562,0.076187164
1496.49,0.080083497
1498.419,0.084474303
1500.347,0.08932171
1502.276,0.094219171
1504.204,0.099534944
1506.132,0.1058825
1508.061,0.1124324
1509.989,0.1194463
1511.918,0.1275762
1513.846,0.1359682
1515.775,0.1447275
1517.703,0.1543918
1519.632,0.1650412
1521.56,0.1765313
1523.489,0.1891001
1525.417,0.203129
1527.346,0.2183541
1529.274,0.2338469
1531.203,0.2494671
1533.131,0.2654609
1535.059,0.2816078
1536.988,0.298617
1538.916,0.3163794
1540.845,0.3341807
1542.773,0.3510419
1544.702,0.3657807
1546.63,0.3766208
1548.559,0.382733
1550.487,0.3833677
1552.416,0.379226
1554.344,0.372675
1556.273,0.3651881
1558.201,0.3589171
1560.13,0.3556566
1562.058,0.3572564
1563.986,0.3657764
1565.915,0.382204
1567.843,0.4054819
1569.772,0.4324277
1571.7,0.4568988
1573.629,0.4728416
1575.557,0.4748676
1577.486,0.4588916
1579.414,0.4286796
1581.343,0.3900244
1583.271,0.3483689
1585.2,0.3094015
1587.128,0.2761506
1589.057,0.2489763
1590.985,0.2263443
1592.913,0.2065736
1594.842,0.1888566
1596.77,0.1723658
1598.699,0.156912
1600.627,0.1432326
1602.556,0.1314165
1604.484,0.1217451
1606.413,0.1142379
1608.341,0.1088954
1610.27,0.104642
1612.198,0.1009229
1614.127,0.09753494
1616.055,0.094696768
1617.984,0.092815533
1619.912,0.091510661
1621.84,0.090912879
1623.769,0.090771079
1625.697,0.091305047
1627.626,0.092870198
1629.554,0.094238147
1631.483,0.095374532
1633.411,0.096567526
1635.34,0.097173877
1637.268,0.097757652
1639.197,0.098088317
1641.125,0.097718887
1643.054,0.096346483
1644.982,0.094216511
1646.911,0.09199591
1648.839,0.089891814
1650.767,0.087149113
1652.696,0.083684653
1654.624,0.079966277
1656.553,0.0761903
1658.481,0.07257209
1660.41,0.069553442
1662.338,0.0661989
1664.267,0.063023821
1666.195,0.060851119
1668.124,0.059031431
1670.052,0.057198141
1671.981,0.05539171
1673.909,0.053176239
1675.838,0.050756969
1677.766,0.04878623
1679.694,0.04718519
1681.623,0.046041701
1683.551,0.04554531
1685.48,0.044623919
1687.408,0.043439131
1689.337,0.042897351
1691.265,0.04189891
1693.194,0.040932611
1695.122,0.041045081
1697.051,0.040846448
1698.979,0.040446449
1700.908,0.040371388
1702.836,0.040009309
1704.765,0.04006118
1706.693,0.040349972
1708.621,0.040387079
1710.55,0.04015018
1712.478,0.039987762
1714.407,0.039532971
1716.335,0.038919859
1718.264,0.037450511
1720.192,0.035434678
1722.121,0.033725511
1724.049,0.032177739
1725.978,0.030652359
1727.906,0.02884056
1729.835,0.026909471
1731.763,0.02551656
1733.692,0.02391999
1735.62,0.0217996
1737.548,0.019868011
1739.477,0.01912941
1741.405,0.01788453
1743.334,0.01645186
1745.262,0.01496644
1747.191,0.01378311
1749.119,0.01334391
1751.048,0.01289565
1752.976,0.01144699
1754.905,0.0106985
1756.833,0.01040848
1758.762,0.0097421976
1760.69,0.0092952652
1762.619,0.0088756084
1764.547,0.0081783487
1766.475,0.0078226021
1768.404,0.0079358649
1770.332,0.0082870433
1772.261,0.008331093
1774.189,0.0079090847
1776.118,0.0077999062
1778.046,0.008419157
1779.975,0.0088440999
1781.903,0.0081147486
1783.832,0.0080136973
1785.76,0.0081159296
1787.689,0.007643179
1789.617,0.0074432958
1791.546,0.0080573494
1793.474,0.0081009679
1795.402,0.0080430787
1797.331,0.0080956426
1799.259,0.0079473648
1801.188,0.007520766
1803.116,0.0069010602
1805.045,0.0058454052
1806.973,0.005620115
1808.902,0.0061891759
1810.83,0.0067030792
1812.759,0.0065604821
1814.687,0.0060244552
1816.616,0.0064279959
1818.544,0.0070474041
1820.473,0.0072265831
1822.401,0.0075310618
1824.329,0.0081190448
1826.258,0.0087884003
1828.186,0.0089597041
1830.115,0.0086172149
1832.043,0.0078136893
1833.972,0.0072460128
1835.9,0.0065152459
1837.829,0.0059884442
1839.757,0.006250083
1841.686,0.0062274211
1843.614,0.0063631749
1845.543,0.0061315121
1847.471,0.0058788862
1849.4,0.006129629
1851.328,0.0061338581
1853.256,0.005931505
1855.185,0.0055858358
1857.113,0.0056050271
1859.042,0.005714749
1860.97,0.0055390568
1862.899,0.0052774111
1864.827,0.0059783719
1866.756,0.0061560539
1868.684,0.0058787181
1870.613,0.0053629619
1872.541,0.00547917
1874.47,0.00618531
1876.398,0.0066021141
1878.327,0.006794889
1880.255,0.00687424
1882.183,0.0062153512
1884.112,0.0051567438
1886.04,0.0055779382
1887.969,0.0063982331
1889.897,0.005762239
1891.826,0.0055303611
1893.754,0.0053794738
1895.683,0.0055697761
1897.611,0.0061955322
1899.54,0.0059916358
1901.468,0.004998344
1903.397,0.0049104011
1905.325,0.0045299772
1907.254,0.0035753159
1909.182,0.003654158
