x,y
399.1926,0.2509851
401.1211,0.260011
403.0496,0.2612611
404.978,0.2692774
406.9065,0.2787262
408.835,0.2736959
410.7634,0.2834329
412.6919,0.2880044
414.6204,0.2830242
416.5488,0.284102
418.4773,0.2871617
420.4058,0.2947242
422.3342,0.3004321
424.2627,0.296986
426.1912,0.2935594
428.1196,0.300807
430.0481,0.3004749
431.9766,0.2910772
433.905,0.2875761
435.8335,0.283144
437.762,0.2740748
439.6904,0.2667461
441.6189,0.2607823
443.5474,0.2560593
445.4758,0.2498056
447.4043,0.2385149
449.3328,0.2303942
451.2612,0.2230336
453.1897,0.2166948
455.1182,0.2120854
457.0466,0.2054894
458.9751,0.2008662
460.9036,0.197705
462.832,0.193706
464.7605,0.1916883
466.689,0.1903325
468.6174,0.1903829
470.5459,0.1927494
472.4744,0.1948743
474.4028,0.1975716
476.3313,0.2016373
478.2598,0.2082836
480.1882,0.2162799
482.1167,0.2222271
484.0452,0.2265969
485.9736,0.2316887
487.9021,0.2325826
489.8306,0.2280323
491.759,0.2187278
493.6875,0.2105011
495.616,0.206034
497.5444,0.2048534
499.4729,0.2077251
501.4014,0.21612
503.3298,0.2247305
505.2583,0.2274138
507.1868,0.224179
509.1152,0.2149711
511.0437,0.2033235
512.9722,0.1914251
514.9006,0.1808465
516.8291,0.1734271
518.7576,0.1712856
520.686,0.1718645
522.6145,0.1711348
524.543,0.1692484
526.4714,0.1665139
528.3999,0.1611815
530.3284,0.1564353
532.2568,0.1535181
534.1853,0.1503971
536.1138,0.1487109
538.0422,0.1496945
539.9707,0.1532211
541.8992,0.1563897
543.8276,0.1506201
545.7561,0.1357383
547.6846,0.1209211
549.613,0.1092264
551.5415,0.1012268
553.47,0.099826612
555.3984,0.1043867
557.3269,0.1123427
559.2554,0.1213619
561.1838,0.1287993
563.1123,0.1346369
565.0408,0.1401681
566.9692,0.1450094
568.8977,0.1495687
570.8262,0.1541887
572.7546,0.157813
574.6831,0.1603043
576.6116,0.1622237
578.54,0.1645229
580.4685,0.166471
582.397,0.1679669
584.3254,0.1688677
586.2539,0.1693209
588.1824,0.1701742
590.1108,0.1704557
592.0393,0.1700295
593.9678,0.1700083
595.8962,0.1698054
597.8247,0.1699177
599.7532,0.1689237
601.6816,0.1667919
603.6101,0.163296
605.5386,0.1577958
607.467,0.1524191
609.3955,0.148026
611.324,0.1440895
613.2524,0.1401184
615.1809,0.1348842
617.1094,0.1300564
619.0378,0.1258989
620.9663,0.1224611
622.8948,0.1193893
624.8232,0.1169695
626.7517,0.1157041
628.6802,0.1158026
630.6086,0.1164913
632.5371,0.1162002
634.4656,0.1126938
636.394,0.1050089
638.3225,0.095731527
640.251,0.086086512
642.1794,0.076732427
644.1079,0.067365833
646.0364,0.058017161
647.9648,0.04980341
649.8933,0.043868128
651.8218,0.040517841
653.7502,0.03881231
655.6787,0.038259801
657.6072,0.038640529
659.5356,0.040264782
661.4641,0.043459501
663.3926,0.04773397
665.321,0.053002741
667.2495,0.059574571
669.178,0.067909352
671.1064,0.077179
673.0349,0.088181451
674.9634,0.1010957
676.8918,0.1149265
678.8203,0.1303976
680.7488,0.1471702
682.6772,0.1645313
684.6057,0.181071
686.5342,0.1940578
688.4626,0.2013515
690.3911,0.2035413
692.3196,0.2023862
694.248,0.1984003
696.1765,0.1927413
698.105,0.1869167
700.0334,0.1811497
701.9619,0.1754904
703.8904,0.1698954
705.8188,0.1642234
707.7473,0.1588338
709.6758,0.1542868
711.6042,0.1500237
713.5327,0.1454477
715.4612,0.1419714
717.3896,0.1394267
719.3181,0.1373261
721.2466,0.1357644
723.175,0.1356306
725.1035,0.1362091
727.032,0.1370343
728.9604,0.1389342
730.8889,0.1415121
732.8174,0.1436334
734.7458,0.1454146
736.6743,0.14682
738.6028,0.1481877
740.5313,0.1487639
742.4597,0.1479311
744.3882,0.1462966
746.3167,0.1441511
748.2451,0.1410641
750.1736,0.1369424
752.1021,0.1321076
754.0305,0.1269664
755.959,0.1211708
757.8875,0.114237
759.8159,0.1065996
761.7444,0.099522293
763.6729,0.09346626
765.6013,0.088708296
767.5298,0.085279368
769.4583,0.082996741
771.3867,0.082573377
773.3152,0.083957471
775.2437,0.0863043
777.1721,0.089056797
779.1006,0.093096003
781.0291,0.098568067
782.9575,0.1042508
784.886,0.1104641
786.8145,0.1179155
788.7429,0.1261422
790.6714,0.1344173
792.5999,0.1443078
794.5283,0.1556768
796.4568,0.1675132
798.3853,0.1805476
800.3137,0.1951431
802.2422,0.2108959
804.1707,0.2264643
806.0991,0.2412888
808.0276,0.2544926
809.9561,0.2640131
811.8845,0.2687727
813.813,0.2665929
815.7415,0.2593091
817.6699,0.2487216
819.5984,0.2349912
821.5269,0.2209115
823.4553,0.2070477
825.3838,0.1933051
827.3123,0.1813526
829.2407,0.1703696
831.1692,0.1598647
833.0977,0.1506955
835.0261,0.1424132
836.9546,0.1344309
838.8831,0.1264914
840.8115,0.1188314
842.74,0.1109644
844.6685,0.1031266
846.5969,0.095984846
848.5254,0.088884063
850.4539,0.082431667
852.3823,0.077964157
854.3108,0.074753337
856.2393,0.072456412
858.1677,0.072245181
860.0962,0.073955864
862.0247,0.077477947
863.9531,0.083134897
865.8816,0.091634251
867.8101,0.1032935
869.7385,0.1175811
871.667,0.1348887
873.5955,0.1549229
875.5239,0.1768725
877.4524,0.198775
879.3809,0.2189925
881.3093,0.2369435
883.2378,0.2512909
885.1663,0.259789
887.0947,0.2622271
889.0232,0.2612955
890.9517,0.2588907
892.8801,0.2563944
894.8085,0.2546487
896.737,0.2535037
898.6655,0.2514731
900.5939,0.2481123
902.5224,0.243387
904.4509,0.2376982
906.3793,0.2309896
908.3078,0.2233911
910.2363,0.2151602
912.1647,0.2067273
914.0932,0.1987274
916.0217,0.191291
917.9501,0.1847472
919.8786,0.1790769
921.8071,0.174248
923.7355,0.1703017
925.664,0.1671283
927.5925,0.1645087
929.5209,0.1622903
931.4494,0.1606001
933.3779,0.1590355
935.3063,0.1577381
937.2348,0.1572107
939.1633,0.1576843
941.0917,0.1586725
943.0202,0.1607735
944.9487,0.164583
946.8771,0.17005
948.8056,0.1765667
950.7341,0.1828509
952.6625,0.1869605
954.591,0.188687
956.5195,0.18673
958.4479,0.1797109
960.3764,0.1682075
962.3049,0.1547526
964.2333,0.1416435
966.1618,0.1300138
968.0903,0.1201696
970.0187,0.1118352
971.9472,0.1049092
973.8757,0.098937869
975.8041,0.093949839
977.7326,0.089652359
979.6611,0.085781418
981.5895,0.082073651
983.518,0.078714982
985.4465,0.076055117
987.3749,0.073091909
989.3034,0.069868252
991.2319,0.066799432
993.1603,0.063677147
995.0888,0.0604873
997.0173,0.05759719
998.9457,0.054835141
1000.874,0.051901609
1002.803,0.04908096
1004.731,0.046574511
1006.66,0.04409742
1008.588,0.041296631
1010.517,0.038812961
1012.445,0.036558781
1014.373,0.034434319
1016.302,0.032129891
1018.23,0.029949261
1020.159,0.02793666
1022.087,0.02614055
1024.016,0.02460047
1025.944,0.02309007
1027.873,0.02193637
1029.801,0.021047549
1031.73,0.02001928
1033.658,0.01904162
1035.587,0.018568929
1037.515,0.01809556
1039.444,0.01750748
1041.372,0.017132809
1043.301,0.0171225
1045.229,0.016976731
1047.157,0.016766069
1049.086,0.016496509
1051.014,0.016196489
1052.943,0.015821559
1054.871,0.01562655
1056.8,0.01525595
1058.728,0.01517062
1060.657,0.01538146
1062.585,0.01545086
1064.514,0.01523919
1066.442,0.01524938
1068.371,0.01533813
1070.299,0.01547403
1072.228,0.01568538
1074.156,0.015749371
1076.084,0.015784539
1078.013,0.016004071
1079.941,0.01620635
1081.87,0.016415879
1083.798,0.01712371
1085.727,0.01789774
1087.655,0.018107221
1089.584,0.018272519
1091.512,0.018753439
1093.441,0.019190351
1095.369,0.019805931
1097.298,0.02056163
1099.226,0.020992391
1101.155,0.021402961
1103.083,0.022136601
1105.011,0.02287196
1106.94,0.0235608
1108.868,0.024256609
1110.797,0.025281239
1112.725,0.026411351
1114.654,0.02733317
1116.582,0.02838603
1118.511,0.02933968
1120.439,0.030254761
1122.368,0.031827699
1124.296,0.03395059
1126.225,0.03587975
1128.153,0.03780625
1130.082,0.040107429
1132.01,0.04283081
1133.938,0.045704968
1135.867,0.04896763
1137.795,0.05233724
1139.724,0.055891272
1141.652,0.059835739
1143.581,0.064360641
1145.509,0.069641307
1147.438,0.075564153
1149.366,0.08218307
1151.295,0.089818373
1153.223,0.09854503
1155.152,0.1085741
1157.08,0.1201854
1159.009,0.1338099
1160.937,0.148965
1162.865,0.1660232
1164.794,0.1842097
1166.722,0.2032271
1168.651,0.2218241
1170.579,0.2377731
1172.508,0.2492187
1174.436,0.2534903
1176.365,0.2488799
1178.293,0.2362938
1180.222,0.2186908
1182.15,0.1997316
1184.079,0.1815815
1186.007,0.1653932
1187.936,0.1511905
1189.864,0.1384232
1191.792,0.1270137
1193.721,0.1172194
1195.649,0.1087294
1197.578,0.1012079
1199.506,0.094825611
1201.435,0.088953167
1203.363,0.083214693
1205.292,0.077635907
1207.22,0.072213553
1209.149,0.066822387
1211.077,0.061432399
1213.006,0.055805251
1214.934,0.050081272
1216.863,0.044382811
1218.791,0.038927209
1220.719,0.033754721
1222.648,0.02886365
1224.576,0.024441641
1226.505,0.020437829
1228.433,0.017345451
1230.362,0.01483377
1232.29,0.01276876
1234.219,0.01142776
1236.147,0.01015031
1238.076,0.0092081083
1240.004,0.008626393
1241.933,0.007957031
1243.861,0.0073802439
1245.79,0.006720562
1247.718,0.006153455
1249.646,0.0057338788
1251.575,0.0056440802
1253.503,0.0053840009
1255.432,0.0045863949
1257.36,0.004277172
1259.289,0.00452067
1261.217,0.0043019159
1263.146,0.0036696231
1265.074,0.0034837211
1267.003,0.0035108321
1268.931,0.0036498189
1270.86,0.003710092
1272.788,0.0035485509
1274.717,0.003546787
1276.645,0.0035044739
1278.573,0.003361084
1280.502,0.003237044
1282.43,0.003067438
1284.359,0.0028255859
1286.287,0.002493493
1288.216,0.002321644
1290.144,0.0022726669
1292.073,0.0021914749
1294.001,0.0023040001
1295.93,0.0020815961
1297.858,0.002049776
1299.787,0.0021506031
1301.715,0.002197827
1303.644,0.0021801391
1305.572,0.0021820611
1307.5,0.0020988339
1309.429,0.0019857129
1311.357,0.002008782
1313.286,0.0021360731
1315.214,0.0021723669
1317.143,0.002115845
1319.071,0.002096439
1321.0,0.0021166811
1322.928,0.002043267
1324.857,0.0019740451
1326.785,0.001968713
1328.714,0.0019650371
1330.642,0.001837882
1332.571,0.0018412099
1334.499,0.001917204
1336.427,0.001883456
1338.356,0.001775628
1340.284,0.001637753
1342.213,0.001586461
1344.141,0.001604058
1346.07,0.001360388
1347.998,0.001294247
1349.927,0.001434946
1351.855,0.001549262
1353.784,0.001473536
1355.712,0.001495135
1357.641,0.001462492
1359.569,0.00157224
1361.498,0.001699822
1363.426,0.001722799
1365.354,0.001992943
1367.283,0.002282382
