x,y
399.1926,0.1284853
401.1211,0.1160008
403.0496,0.1165584
404.978,0.1170704
406.9065,0.1215647
408.835,0.1257641
410.7634,0.1283793
412.6919,0.1292585
414.6204,0.1271723
416.5488,0.1277132
418.4773,0.1311715
420.4058,0.1334088
422.3342,0.1325956
424.2627,0.1348346
426.1912,0.1362423
428.1196,0.1355314
430.0481,0.1340177
431.9766,0.1316782
433.905,0.1303617
435.8335,0.1306698
437.762,0.1291836
439.6904,0.1261363
441.6189,0.1250441
443.5474,0.1221719
445.4758,0.1181332
447.4043,0.1126327
449.3328,0.107048
451.2612,0.1006525
453.1897,0.093255118
455.1182,0.087459482
457.0466,0.085078537
458.9751,0.086395018
460.9036,0.089420773
462.832,0.092302799
464.7605,0.094484143
466.689,0.097362392
468.6174,0.1006784
470.5459,0.1032622
472.4744,0.1072187
474.4028,0.1100927
476.3313,0.1097694
478.2598,0.1086358
480.1882,0.1068141
482.1167,0.1039726
484.0452,0.1042972
485.9736,0.1078864
487.9021,0.111027
489.8306,0.1128276
491.759,0.1141048
493.6875,0.1144657
495.616,0.1141536
497.5444,0.1126649
499.4729,0.111769
501.4014,0.1103309
503.3298,0.1077022
505.2583,0.1039111
507.1868,0.1005568
509.1152,0.097222313
511.0437,0.09402778
512.9722,0.091665089
514.9006,0.090664446
516.8291,0.092370354
518.7576,0.096774057
520.686,0.1017059
522.6145,0.1050839
524.543,0.106091
526.4714,0.1053638
528.3999,0.1037399
530.3284,0.1010973
532.2568,0.096968003
534.1853,0.093092047
536.1138,0.091468573
538.0422,0.091134883
539.9707,0.091763929
541.8992,0.093143813
543.8276,0.094475172
545.7561,0.095285147
547.6846,0.096390307
549.613,0.097546481
551.5415,0.099850059
553.47,0.104719
555.3984,0.1094343
557.3269,0.112506
559.2554,0.1137661
561.1838,0.1142819
563.1123,0.1136455
565.0408,0.1109039
566.9692,0.1064729
568.8977,0.1019362
570.8262,0.097620517
572.7546,0.094405711
574.6831,0.093301818
576.6116,0.094781123
578.54,0.097984023
580.4685,0.1013764
582.397,0.1031673
584.3254,0.1037015
586.2539,0.1030458
588.1824,0.1016673
590.1108,0.1002797
592.0393,0.098376267
593.9678,0.097235873
595.8962,0.095835216
597.8247,0.093828224
599.7532,0.091853283
601.6816,0.089551121
603.6101,0.087357476
605.5386,0.085107893
607.467,0.08232782
609.3955,0.080002658
611.324,0.079165332
613.2524,0.079019427
615.1809,0.078873128
617.1094,0.080283202
619.0378,0.083149232
620.9663,0.087334633
622.8948,0.092291579
624.8232,0.096555188
626.7517,0.1001557
628.6802,0.1031245
630.6086,0.1059178
632.5371,0.1090348
634.4656,0.1125793
636.394,0.1161717
638.3225,0.1193325
640.251,0.1223059
642.1794,0.1247876
644.1079,0.1263124
646.0364,0.1271979
647.9648,0.1275684
649.8933,0.1269895
651.8218,0.1257637
653.7502,0.1236166
655.6787,0.1215572
657.6072,0.1194445
659.5356,0.1172204
661.4641,0.1149426
663.3926,0.1126859
665.321,0.1105989
667.2495,0.1083522
669.178,0.1058079
671.1064,0.1036202
673.0349,0.1015997
674.9634,0.099507608
676.8918,0.097705111
678.8203,0.096292421
680.7488,0.094669782
682.6772,0.092878424
684.6057,0.091697857
686.5342,0.090439864
688.4626,0.088831291
690.3911,0.087240577
692.3196,0.085763827
694.248,0.084258489
696.1765,0.082361422
698.105,0.080938809
700.0334,0.079895139
701.9619,0.078004479
703.8904,0.07610745
705.8188,0.074403599
707.7473,0.073053807
709.6758,0.071409836
711.6042,0.069301948
713.5327,0.067520171
715.4612,0.066420257
717.3896,0.065096229
719.3181,0.063428909
721.2466,0.06168009
723.175,0.059954628
725.1035,0.058154009
727.032,0.056347869
728.9604,0.05500517
730.8889,0.05330221
732.8174,0.051517401
734.7458,0.049451791
736.6743,0.047434941
738.6028,0.045600951
740.5313,0.043725759
742.4597,0.04173154
744.3882,0.039947581
746.3167,0.038268499
748.2451,0.03645749
750.1736,0.034484848
752.1021,0.032795329
754.0305,0.03170177
755.959,0.03089394
757.8875,0.030991491
759.8159,0.03198209
761.7444,0.03321249
763.6729,0.035442501
765.6013,0.038515661
767.5298,0.042438019
769.4583,0.047840621
771.3867,0.054124258
773.3152,0.06015503
775.2437,0.064717181
777.1721,0.067872867
779.1006,0.069772013
781.0291,0.069723383
782.9575,0.068195403
784.886,0.065678582
786.8145,0.063172467
788.7429,0.06072383
790.6714,0.058170889
792.5999,0.056113761
794.5283,0.054690521
796.4568,0.05372671
798.3853,0.05296218
800.3137,0.052498579
802.2422,0.05225287
804.1707,0.05230701
806.0991,0.052704819
808.0276,0.052368369
809.9561,0.05195111
811.8845,0.051350899
813.813,0.05033984
815.7415,0.049178708
817.6699,0.047494009
819.5984,0.045182161
821.5269,0.042455789
823.4553,0.039928969
825.3838,0.037523899
827.3123,0.03568238
829.2407,0.034393601
831.1692,0.032575071
833.0977,0.030449649
835.0261,0.029131619
836.9546,0.02811029
838.8831,0.02696717
840.8115,0.025949299
842.74,0.025053561
844.6685,0.024020121
846.5969,0.022960801
848.5254,0.022160459
850.4539,0.02143752
852.3823,0.02092533
854.3108,0.020411739
856.2393,0.02000457
858.1677,0.019354761
860.0962,0.018826289
862.0247,0.0187393
863.9531,0.01868294
865.8816,0.018576249
867.8101,0.01840361
869.7385,0.01824932
871.667,0.01817565
873.5955,0.018557729
875.5239,0.018987769
877.4524,0.019229179
879.3809,0.019969329
881.3093,0.02115009
883.2378,0.02277766
885.1663,0.025278689
887.0947,0.02830842
889.0232,0.031635851
890.9517,0.035350788
892.8801,0.039939981
894.8085,0.045391809
896.737,0.05149857
898.6655,0.057540789
900.5939,0.062882312
902.5224,0.067306407
904.4509,0.070233308
906.3793,0.071274102
908.3078,0.070326321
910.2363,0.067726053
912.1647,0.064236768
914.0932,0.06058174
916.0217,0.057167441
917.9501,0.053712759
919.8786,0.049767472
921.8071,0.046097461
923.7355,0.042899162
925.664,0.03973446
927.5925,0.03682299
929.5209,0.03377324
931.4494,0.03078118
933.3779,0.028186049
935.3063,0.025587261
937.2348,0.023252981
939.1633,0.0208914
941.0917,0.01864871
943.0202,0.01662297
944.9487,0.01497198
946.8771,0.01350337
948.8056,0.01208231
950.7341,0.01116394
952.6625,0.01041652
954.591,0.0094878376
956.5195,0.0089888554
958.4479,0.0086941291
960.3764,0.0084060412
962.3049,0.0079130949
964.2333,0.0076079411
966.1618,0.0074104979
968.0903,0.0072086579
970.0187,0.00730879
971.9472,0.0073755882
973.8757,0.007195279
975.8041,0.0072426149
977.7326,0.0074422061
979.6611,0.0071460162
981.5895,0.0068044108
983.518,0.0067938059
985.4465,0.00674327
987.3749,0.0067926622
989.3034,0.0070191212
991.2319,0.0071964851
993.1603,0.007203693
995.0888,0.0072300839
997.0173,0.0072725518
998.9457,0.0073833
1000.874,0.007531119
1002.803,0.0077396268
1004.731,0.0081187179
1006.66,0.0082949614
1008.588,0.0087578278
1010.517,0.008977796
1012.445,0.0089113908
1014.373,0.0089635234
1016.302,0.0090646343
1018.23,0.0091957003
1020.159,0.0090568373
1022.087,0.0089841662
1024.016,0.0088695697
1025.944,0.0088023236
1027.873,0.0091461083
1029.801,0.009575923
1031.73,0.009890154
1033.658,0.0099259382
1035.587,0.0098637091
1037.515,0.0095745372
1039.444,0.0093664611
1041.372,0.0092783067
1043.301,0.0091524292
1045.229,0.0090006329
1047.157,0.008959909
1049.086,0.0092169801
1051.014,0.0093065985
1052.943,0.0087910919
1054.871,0.0083965231
1056.8,0.0082823606
1058.728,0.0078900326
1060.657,0.007511727
1062.585,0.0074263369
1064.514,0.0073477081
1066.442,0.0072363489
1068.371,0.0069228439
1070.299,0.0068470128
1072.228,0.006829787
1074.156,0.006640221
1076.084,0.0063409628
1078.013,0.0060276282
1079.941,0.0057536359
1081.87,0.0056369151
1083.798,0.0056613558
1085.727,0.0055823429
1087.655,0.005330639
1089.584,0.0049059801
1091.512,0.005026022
