x,y
399.1926,0.3457304
401.1211,0.3444881
403.0496,0.3461443
404.978,0.3644405
406.9065,0.3714824
408.835,0.3825089
410.7634,0.3811183
412.6919,0.3575312
414.6204,0.3499142
416.5488,0.3608342
418.4773,0.3653794
420.4058,0.3612814
422.3342,0.3593154
424.2627,0.3655838
426.1912,0.3689889
428.1196,0.368872
430.0481,0.3698135
431.9766,0.3734841
433.905,0.3763777
435.8335,0.3720324
437.762,0.3698076
439.6904,0.3769141
441.6189,0.3850749
443.5474,0.3829253
445.4758,0.3788901
447.4043,0.3813029
449.3328,0.3775763
451.2612,0.3739138
453.1897,0.3771169
455.1182,0.374505
457.0466,0.3668036
458.9751,0.366943
460.9036,0.3660356
462.832,0.3614817
464.7605,0.357094
466.689,0.3544855
468.6174,0.3543684
470.5459,0.351147
472.4744,0.3425845
474.4028,0.3388849
476.3313,0.3369902
478.2598,0.3336892
480.1882,0.3327513
482.1167,0.3317411
484.0452,0.330967
485.9736,0.3289573
487.9021,0.3252364
489.8306,0.3229612
491.759,0.3212543
493.6875,0.3190186
495.616,0.3165221
497.5444,0.3126307
499.4729,0.3082322
501.4014,0.3058848
503.3298,0.3039752
505.2583,0.3009956
507.1868,0.2963163
509.1152,0.2911489
511.0437,0.287282
512.9722,0.2833297
514.9006,0.2791992
516.8291,0.2760694
518.7576,0.27385
520.686,0.2690151
522.6145,0.263041
524.543,0.2586793
526.4714,0.2546625
528.3999,0.2511363
530.3284,0.2458832
532.2568,0.2416956
534.1853,0.2383471
536.1138,0.2337963
538.0422,0.2274794
539.9707,0.2230536
541.8992,0.2189643
543.8276,0.2136607
545.7561,0.2092417
547.6846,0.2064675
549.613,0.2026337
551.5415,0.1982691
553.47,0.1948418
555.3984,0.1922021
557.3269,0.1884771
559.2554,0.1858439
561.1838,0.183283
563.1123,0.1795848
565.0408,0.1763876
566.9692,0.1754789
568.8977,0.1753239
570.8262,0.1765009
572.7546,0.1803468
574.6831,0.1854511
576.6116,0.189862
578.54,0.1905755
580.4685,0.186533
582.397,0.1810289
584.3254,0.1747473
586.2539,0.1672394
588.1824,0.1602602
590.1108,0.1539197
592.0393,0.1483133
593.9678,0.143239
595.8962,0.1388589
597.8247,0.1351729
599.7532,0.1318499
601.6816,0.1285917
603.6101,0.125718
605.5386,0.1230329
607.467,0.1206796
609.3955,0.1193986
611.324,0.1183468
613.2524,0.1182766
615.1809,0.1192594
617.1094,0.1216355
619.0378,0.1255626
620.9663,0.1299349
622.8948,0.1357102
624.8232,0.1430476
626.7517,0.1521679
628.6802,0.1640623
630.6086,0.1785739
632.5371,0.1957957
634.4656,0.2142607
636.394,0.2335085
638.3225,0.2534666
640.251,0.2732469
642.1794,0.2917578
644.1079,0.3088109
646.0364,0.3238783
647.9648,0.3376886
649.8933,0.3502367
651.8218,0.359837
653.7502,0.3659296
655.6787,0.3688967
657.6072,0.3686979
659.5356,0.3658365
661.4641,0.3628051
663.3926,0.3587053
665.321,0.3534158
667.2495,0.3470053
669.178,0.340812
671.1064,0.3344033
673.0349,0.3269081
674.9634,0.3192859
676.8918,0.3124361
678.8203,0.3044864
680.7488,0.2967102
682.6772,0.2898584
684.6057,0.2817404
686.5342,0.2732382
688.4626,0.2654239
690.3911,0.2580295
692.3196,0.2498324
694.248,0.241659
696.1765,0.2341779
698.105,0.2271414
700.0334,0.2206487
701.9619,0.2146093
703.8904,0.2087295
705.8188,0.203646
707.7473,0.1989383
709.6758,0.1939755
711.6042,0.1892444
713.5327,0.1850326
715.4612,0.1809361
717.3896,0.1768137
719.3181,0.1729709
721.2466,0.1690586
723.175,0.1652113
725.1035,0.1615171
727.032,0.1580533
728.9604,0.154779
730.8889,0.1512947
732.8174,0.1479094
734.7458,0.1449286
736.6743,0.1419432
738.6028,0.1387796
740.5313,0.1356473
742.4597,0.133038
744.3882,0.1306833
746.3167,0.1277131
748.2451,0.1250824
750.1736,0.1230343
752.1021,0.120476
754.0305,0.1179922
755.959,0.1157485
757.8875,0.1135618
759.8159,0.111565
761.7444,0.1092065
763.6729,0.1073135
765.6013,0.1058268
767.5298,0.1042234
769.4583,0.1022696
771.3867,0.1001995
773.3152,0.098451003
775.2437,0.097107977
777.1721,0.095578767
779.1006,0.09387444
781.0291,0.092448577
782.9575,0.090872653
784.886,0.089366034
786.8145,0.088381663
788.7429,0.08708518
790.6714,0.085741892
792.5999,0.084553339
794.5283,0.083435893
796.4568,0.082291469
798.3853,0.0810965
800.3137,0.079887927
802.2422,0.078655951
804.1707,0.077287666
806.0991,0.075836241
808.0276,0.074666657
809.9561,0.073580183
811.8845,0.072391652
813.813,0.071189567
815.7415,0.069819368
817.6699,0.068348616
819.5984,0.066867143
821.5269,0.065390468
823.4553,0.063669384
825.3838,0.06147838
827.3123,0.059701011
829.2407,0.058201779
831.1692,0.056187
833.0977,0.054269489
835.0261,0.05238023
836.9546,0.050516881
838.8831,0.048760831
840.8115,0.047180951
842.74,0.04550666
844.6685,0.043489851
846.5969,0.041756999
848.5254,0.04023264
850.4539,0.038569011
852.3823,0.037472121
854.3108,0.03641196
856.2393,0.034943439
858.1677,0.033620682
860.0962,0.032509111
862.0247,0.031087991
863.9531,0.0299349
865.8816,0.029023951
867.8101,0.028014161
869.7385,0.02730532
871.667,0.026525211
873.5955,0.02546161
875.5239,0.025163131
877.4524,0.02473999
879.3809,0.023845291
881.3093,0.02297318
883.2378,0.022110609
885.1663,0.021243609
887.0947,0.02076076
889.0232,0.0204223
890.9517,0.019946709
892.8801,0.01947899
894.8085,0.019203249
896.737,0.018890729
898.6655,0.01830947
900.5939,0.018036211
902.5224,0.017702671
904.4509,0.01728105
906.3793,0.01687379
908.3078,0.01652989
910.2363,0.01627625
912.1647,0.016136801
914.0932,0.015863011
916.0217,0.01558845
917.9501,0.01537605
919.8786,0.01479329
921.8071,0.0145974
923.7355,0.01493282
925.664,0.0146983
927.5925,0.0141422
929.5209,0.01374753
931.4494,0.01364812
933.3779,0.01358874
935.3063,0.01341292
937.2348,0.01326748
939.1633,0.01296066
941.0917,0.01268468
943.0202,0.01254517
944.9487,0.01252357
946.8771,0.0125762
948.8056,0.01233205
950.7341,0.01219307
952.6625,0.01208326
954.591,0.01198675
956.5195,0.0118125
958.4479,0.01155542
960.3764,0.01127834
962.3049,0.01097798
964.2333,0.01098847
966.1618,0.01096066
968.0903,0.01080905
970.0187,0.01076124
971.9472,0.01076132
973.8757,0.01046508
975.8041,0.01036343
977.7326,0.01060012
979.6611,0.01072458
981.5895,0.01070146
983.518,0.01054953
985.4465,0.01045684
987.3749,0.01043154
989.3034,0.01028059
991.2319,0.01033794
993.1603,0.01035148
995.0888,0.01044301
997.0173,0.01060714
998.9457,0.01034452
1000.874,0.01012274
1002.803,0.01024472
1004.731,0.01048033
1006.66,0.01058218
1008.588,0.01024652
1010.517,0.0099219922
1012.445,0.009737256
1014.373,0.0098375939
1016.302,0.0099492474
1018.23,0.0097726164
1020.159,0.0095913587
1022.087,0.0094593549
1024.016,0.0094711389
1025.944,0.0094815781
1027.873,0.0093020108
1029.801,0.0090981098
1031.73,0.0088508436
1033.658,0.0088232365
1035.587,0.0088043204
1037.515,0.0086649153
1039.444,0.0083927214
1041.372,0.0085300067
1043.301,0.0087845987
1045.229,0.0086783608
1047.157,0.0086401943
1049.086,0.0086490205
1051.014,0.0085249608
1052.943,0.008403806
1054.871,0.0084486781
1056.8,0.008597469
1058.728,0.0085528977
1060.657,0.0080946079
1062.585,0.0077401181
1064.514,0.0076931589
1066.442,0.0080775581
1068.371,0.0082368162
1070.299,0.0080747986
1072.228,0.0082662627
1074.156,0.0082146209
1076.084,0.0082641328
1078.013,0.0083343899
1079.941,0.0079344856
1081.87,0.0078712599
1083.798,0.0077908682
1085.727,0.0077698389
1087.655,0.0077994312
1089.584,0.0076340339
1091.512,0.007525757
1093.441,0.0072777751
1095.369,0.0070742141
1097.298,0.0071430961
1099.226,0.007310106
1101.155,0.007342455
1103.083,0.0071892519
1105.011,0.007052545
1106.94,0.0070976461
1108.868,0.0071870158
1110.797,0.0070909248
1112.725,0.0068025119
1114.654,0.0065771872
1116.582,0.0065878532
1118.511,0.0068898648
1120.439,0.0070045539
1122.368,0.0067143911
1124.296,0.0065745348
