x,y
399.1926,0.1409866
401.1211,0.1123602
403.0496,0.1129004
404.978,0.098818652
406.9065,0.087911822
408.835,0.08063402
410.7634,0.071736477
412.6919,0.064162843
414.6204,0.056450099
416.5488,0.04915132
418.4773,0.045299109
420.4058,0.042187981
422.3342,0.039699972
424.2627,0.036115821
426.1912,0.032849081
428.1196,0.033067111
430.0481,0.033003539
431.9766,0.03074543
433.905,0.03020335
435.8335,0.03165577
437.762,0.03340647
439.6904,0.035610922
441.6189,0.03647843
443.5474,0.037159391
445.4758,0.040057652
447.4043,0.044157282
449.3328,0.048633151
451.2612,0.052563179
453.1897,0.05836859
455.1182,0.06587965
457.0466,0.072577126
458.9751,0.076899432
460.9036,0.078757823
462.832,0.078123666
464.7605,0.075608708
466.689,0.072846919
468.6174,0.070492812
470.5459,0.068076327
472.4744,0.067639656
474.4028,0.06813176
476.3313,0.069704488
478.2598,0.072395541
480.1882,0.075439259
482.1167,0.079289019
484.0452,0.084487289
485.9736,0.090197884
487.9021,0.096098997
489.8306,0.1031315
491.759,0.1108716
493.6875,0.1189697
495.616,0.127266
497.5444,0.1363946
499.4729,0.1457211
501.4014,0.1544454
503.3298,0.165602
505.2583,0.1764239
507.1868,0.1849961
509.1152,0.1945727
511.0437,0.2031432
512.9722,0.2097531
514.9006,0.2156833
516.8291,0.2193268
518.7576,0.2221166
520.686,0.2255749
522.6145,0.2275095
524.543,0.227785
526.4714,0.2279114
528.3999,0.2269883
530.3284,0.2271219
532.2568,0.2291231
534.1853,0.2317805
536.1138,0.2357974
538.0422,0.2408754
539.9707,0.2467323
541.8992,0.2522002
543.8276,0.2559569
545.7561,0.2594071
547.6846,0.2615723
549.613,0.2605605
551.5415,0.2579365
553.47,0.255549
555.3984,0.254264
557.3269,0.2519416
559.2554,0.2486605
561.1838,0.245006
563.1123,0.2411049
565.0408,0.237236
566.9692,0.2324073
568.8977,0.2271608
570.8262,0.2218003
572.7546,0.217208
574.6831,0.2120606
576.6116,0.2063003
578.54,0.2016767
580.4685,0.1965522
582.397,0.1901662
584.3254,0.1846386
586.2539,0.1798323
588.1824,0.1742874
590.1108,0.1678806
592.0393,0.1613654
593.9678,0.1553086
595.8962,0.1494876
597.8247,0.1433079
599.7532,0.137559
601.6816,0.1320979
603.6101,0.1274101
605.5386,0.1233186
607.467,0.1193012
609.3955,0.1152741
611.324,0.1120602
613.2524,0.1088284
615.1809,0.1052585
617.1094,0.101905
619.0378,0.098994069
620.9663,0.096354671
622.8948,0.094034709
624.8232,0.091663472
626.7517,0.089161947
628.6802,0.087009251
630.6086,0.084849916
632.5371,0.08246842
634.4656,0.080141373
636.394,0.077239484
638.3225,0.074166447
640.251,0.071658537
642.1794,0.069015384
644.1079,0.066397801
646.0364,0.064207233
647.9648,0.06190626
649.8933,0.059607409
651.8218,0.057701331
653.7502,0.055896308
655.6787,0.054235149
657.6072,0.052670032
659.5356,0.051194891
661.4641,0.050060969
663.3926,0.04902539
665.321,0.047375988
667.2495,0.045866471
669.178,0.045025881
671.1064,0.044460151
673.0349,0.043778569
674.9634,0.043599371
676.8918,0.04383669
678.8203,0.04429394
680.7488,0.044890281
682.6772,0.045799412
684.6057,0.046995308
686.5342,0.048538111
688.4626,0.050076369
690.3911,0.051819049
692.3196,0.053400759
694.248,0.05474291
696.1765,0.055810791
698.105,0.057168469
700.0334,0.05801858
701.9619,0.05827719
703.8904,0.058573019
705.8188,0.05876689
707.7473,0.05830349
709.6758,0.05764813
711.6042,0.056738731
713.5327,0.0557626
715.4612,0.054571621
717.3896,0.053369358
719.3181,0.05212814
721.2466,0.051075719
723.175,0.049765941
725.1035,0.048347931
727.032,0.0469831
728.9604,0.045681801
730.8889,0.04441553
732.8174,0.042832021
734.7458,0.041356791
736.6743,0.04019944
738.6028,0.03878133
740.5313,0.03732311
742.4597,0.035672359
744.3882,0.033867091
746.3167,0.032054629
748.2451,0.03000317
750.1736,0.027949231
752.1021,0.025986411
754.0305,0.02458204
755.959,0.02348846
757.8875,0.022212541
759.8159,0.020454099
761.7444,0.019232061
763.6729,0.01860808
765.6013,0.01776607
767.5298,0.01688084
769.4583,0.01592342
771.3867,0.01512498
773.3152,0.01442669
775.2437,0.01405732
777.1721,0.01359354
779.1006,0.01269012
781.0291,0.012172
782.9575,0.01208843
784.886,0.01141633
786.8145,0.01071367
788.7429,0.01059402
790.6714,0.01041538
792.5999,0.0099151181
794.5283,0.0096899206
796.4568,0.0093425326
798.3853,0.0092235049
800.3137,0.0090028746
802.2422,0.008821344
804.1707,0.0087099206
806.0991,0.0084408233
808.0276,0.0081826095
809.9561,0.0079655908
811.8845,0.0077091069
813.813,0.0076756352
815.7415,0.0077846022
817.6699,0.0077423858
819.5984,0.0071546831
821.5269,0.006816505
823.4553,0.0066734091
825.3838,0.0065682409
827.3123,0.006591544
829.2407,0.0066786129
831.1692,0.0067373822
833.0977,0.0065088952
835.0261,0.0061976188
836.9546,0.0058882572
838.8831,0.0059408378
840.8115,0.0060274499
842.74,0.0059767249
844.6685,0.0059165298
846.5969,0.0057324208
848.5254,0.006069256
850.4539,0.0062058801
852.3823,0.0059984042
854.3108,0.0057958369
856.2393,0.005452333
858.1677,0.0051937089
860.0962,0.0050458368
862.0247,0.0052490579
863.9531,0.0052640522
865.8816,0.0050430228
867.8101,0.0051560621
869.7385,0.0052850111
871.667,0.0051768711
873.5955,0.005142021
875.5239,0.0053716232
877.4524,0.005285393
879.3809,0.0049634511
881.3093,0.0051068342
883.2378,0.0055595781
885.1663,0.0053901211
887.0947,0.0051333569
889.0232,0.0052793808
890.9517,0.005445919
892.8801,0.005479069
894.8085,0.0055164942
896.737,0.0054885731
898.6655,0.0053709652
900.5939,0.0052425009
902.5224,0.0056708311
904.4509,0.0061132
906.3793,0.005883201
908.3078,0.0056220931
910.2363,0.005676311
912.1647,0.0056859138
914.0932,0.0057311212
916.0217,0.0057161148
917.9501,0.0058843391
919.8786,0.0059511769
921.8071,0.006031645
923.7355,0.006008937
925.664,0.0062291669
927.5925,0.0064598019
929.5209,0.0063380529
931.4494,0.0060941111
933.3779,0.0060091931
935.3063,0.006175823
937.2348,0.0062141279
939.1633,0.0061107799
941.0917,0.0061224732
943.0202,0.005959847
944.9487,0.0060510542
946.8771,0.0064512989
948.8056,0.0066880109
950.7341,0.006389556
952.6625,0.0062059839
954.591,0.0061952048
956.5195,0.0064432439
958.4479,0.006554523
960.3764,0.0066108359
962.3049,0.0065394719
964.2333,0.0063101929
966.1618,0.0061853342
968.0903,0.0061184862
970.0187,0.0060605309
971.9472,0.006047816
973.8757,0.0059476169
975.8041,0.006072931
977.7326,0.0061168768
979.6611,0.0058596181
981.5895,0.0057448111
983.518,0.0057313251
985.4465,0.0057491162
987.3749,0.0056809941
989.3034,0.005687539
991.2319,0.005597529
993.1603,0.0056109522
995.0888,0.0056788358
997.0173,0.005686495
998.9457,0.0054045501
1000.874,0.0051747272
