x,y
399.1926,0.1123159
401.1211,0.1096239
403.0496,0.110151
404.978,0.1065535
406.9065,0.1065636
408.835,0.1064223
410.7634,0.1096482
412.6919,0.1121154
414.6204,0.1122907
416.5488,0.1140674
418.4773,0.1128075
420.4058,0.1140245
422.3342,0.1167581
424.2627,0.119486
426.1912,0.1226773
428.1196,0.1243199
430.0481,0.1249211
431.9766,0.1297683
433.905,0.1301352
435.8335,0.1295304
437.762,0.1303872
439.6904,0.1339091
441.6189,0.1386077
443.5474,0.1438316
445.4758,0.1462026
447.4043,0.1505196
449.3328,0.1584487
451.2612,0.165937
453.1897,0.1723627
455.1182,0.179575
457.0466,0.1843929
458.9751,0.1874428
460.9036,0.1888539
462.832,0.1873879
464.7605,0.1823894
466.689,0.1763869
468.6174,0.1715743
470.5459,0.1672572
472.4744,0.1629536
474.4028,0.1591772
476.3313,0.1565065
478.2598,0.1551791
480.1882,0.1531045
482.1167,0.1517998
484.0452,0.1514184
485.9736,0.1511492
487.9021,0.1508827
489.8306,0.1519083
491.759,0.1524506
493.6875,0.151836
495.616,0.150912
497.5444,0.149522
499.4729,0.146465
501.4014,0.1438143
503.3298,0.140033
505.2583,0.1362673
507.1868,0.1329051
509.1152,0.1311335
511.0437,0.1302244
512.9722,0.1290022
514.9006,0.1258678
516.8291,0.1232099
518.7576,0.1211924
520.686,0.1185803
522.6145,0.1155904
524.543,0.1128177
526.4714,0.1103828
528.3999,0.1098315
530.3284,0.1096414
532.2568,0.109616
534.1853,0.1112743
536.1138,0.1136254
538.0422,0.1169166
539.9707,0.1246376
541.8992,0.1355419
543.8276,0.1468535
545.7561,0.1551135
547.6846,0.1558007
549.613,0.1493282
551.5415,0.1380063
553.47,0.1255381
555.3984,0.1135399
557.3269,0.1031946
559.2554,0.095334753
561.1838,0.089652523
563.1123,0.086670287
565.0408,0.087876081
566.9692,0.092400663
568.8977,0.1007405
570.8262,0.1103838
572.7546,0.1182024
574.6831,0.1219074
576.6116,0.1198309
578.54,0.1131419
580.4685,0.1030722
582.397,0.091819249
584.3254,0.081356533
586.2539,0.071520157
588.1824,0.063890018
590.1108,0.058225758
592.0393,0.05430856
593.9678,0.052468009
595.8962,0.051569041
597.8247,0.05052603
599.7532,0.0493172
601.6816,0.048060749
603.6101,0.046629012
605.5386,0.045348588
607.467,0.044088531
609.3955,0.0439508
611.324,0.044613089
613.2524,0.046507571
615.1809,0.049347959
617.1094,0.053541649
619.0378,0.058572069
620.9663,0.064224772
622.8948,0.073026776
624.8232,0.086152263
626.7517,0.1043929
628.6802,0.1262054
630.6086,0.1478186
632.5371,0.163697
634.4656,0.168699
636.394,0.1641518
638.3225,0.1550763
640.251,0.1444531
642.1794,0.1342316
644.1079,0.1240387
646.0364,0.1118716
647.9648,0.096509948
649.8933,0.080328964
651.8218,0.06513235
653.7502,0.052293301
655.6787,0.042418361
657.6072,0.035660319
659.5356,0.031325661
661.4641,0.028254669
663.3926,0.02589797
665.321,0.024072159
667.2495,0.023343701
669.178,0.02288809
671.1064,0.021932799
673.0349,0.021122551
674.9634,0.02140072
676.8918,0.02130409
678.8203,0.02037215
680.7488,0.019916451
682.6772,0.01992015
684.6057,0.01948626
686.5342,0.019284001
688.4626,0.01938583
690.3911,0.01930972
692.3196,0.01953949
694.248,0.01983308
696.1765,0.01950258
698.105,0.019440239
700.0334,0.01978525
701.9619,0.02010073
703.8904,0.0201062
705.8188,0.02006714
707.7473,0.020519091
709.6758,0.02049947
711.6042,0.02008925
713.5327,0.02014854
715.4612,0.020456539
717.3896,0.020613451
719.3181,0.020837709
721.2466,0.021023661
723.175,0.02114035
