x,y
399.1926,0.3150344
401.1211,0.3537765
403.0496,0.3554773
404.978,0.3494704
406.9065,0.3460133
408.835,0.359578
410.7634,0.3630038
412.6919,0.3607001
414.6204,0.3559205
416.5488,0.3356687
418.4773,0.3177071
420.4058,0.3062173
422.3342,0.2872461
424.2627,0.2787224
426.1912,0.2805246
428.1196,0.2851494
430.0481,0.2880473
431.9766,0.2897836
433.905,0.2902499
435.8335,0.2937774
437.762,0.2993305
439.6904,0.3025411
441.6189,0.30449
443.5474,0.3054913
445.4758,0.303788
447.4043,0.3056964
449.3328,0.3079937
451.2612,0.312261
453.1897,0.3178834
455.1182,0.3230209
457.0466,0.3277688
458.9751,0.328468
460.9036,0.3269347
462.832,0.330189
464.7605,0.326968
466.689,0.3194217
468.6174,0.3113346
470.5459,0.305139
472.4744,0.2976779
474.4028,0.2875783
476.3313,0.2770692
478.2598,0.26866
480.1882,0.2597443
482.1167,0.2526199
484.0452,0.2463769
485.9736,0.2395938
487.9021,0.23253
489.8306,0.2261409
491.759,0.2210717
493.6875,0.2185991
495.616,0.218311
497.5444,0.2208327
499.4729,0.2265651
501.4014,0.2363926
503.3298,0.2472302
505.2583,0.2538811
507.1868,0.2573123
509.1152,0.2579658
511.0437,0.2558005
512.9722,0.2513488
514.9006,0.2438149
516.8291,0.2360935
518.7576,0.2289743
520.686,0.2212166
522.6145,0.2127628
524.543,0.2050994
526.4714,0.1977743
528.3999,0.1914869
530.3284,0.1859076
532.2568,0.1795031
534.1853,0.1719013
536.1138,0.1653912
538.0422,0.1581189
539.9707,0.1508608
541.8992,0.1446131
543.8276,0.1383681
545.7561,0.1334134
547.6846,0.1290623
549.613,0.1254649
551.5415,0.1231445
553.47,0.1210842
555.3984,0.1190827
557.3269,0.1183113
559.2554,0.1188354
561.1838,0.1197955
563.1123,0.1212655
565.0408,0.1237769
566.9692,0.1271973
568.8977,0.1316789
570.8262,0.1367033
572.7546,0.1412742
574.6831,0.1449498
576.6116,0.1464685
578.54,0.1449149
580.4685,0.1395253
582.397,0.1317304
584.3254,0.1237164
586.2539,0.1159442
588.1824,0.1095389
590.1108,0.1041007
592.0393,0.099440649
593.9678,0.095333837
595.8962,0.092089877
597.8247,0.08859019
599.7532,0.085694753
601.6816,0.083668023
603.6101,0.082753442
605.5386,0.084876724
607.467,0.089731254
609.3955,0.096795693
611.324,0.1033742
613.2524,0.1077686
615.1809,0.1100047
617.1094,0.1114038
619.0378,0.1141606
620.9663,0.1154198
622.8948,0.1145228
624.8232,0.110694
626.7517,0.1042617
628.6802,0.096973583
630.6086,0.090795077
632.5371,0.086452961
634.4656,0.083443537
636.394,0.081165276
638.3225,0.080109373
640.251,0.080512837
642.1794,0.081761122
644.1079,0.084295169
646.0364,0.087537937
647.9648,0.090181813
649.8933,0.091874003
651.8218,0.092260279
653.7502,0.092665382
655.6787,0.093806423
657.6072,0.096291877
659.5356,0.1003598
661.4641,0.105296
663.3926,0.1104071
665.321,0.1154829
667.2495,0.1195139
669.178,0.1213247
671.1064,0.1207491
673.0349,0.1174947
674.9634,0.1132414
676.8918,0.1085804
678.8203,0.1027265
680.7488,0.097412668
682.6772,0.093944289
684.6057,0.09193062
686.5342,0.091755264
688.4626,0.093533367
690.3911,0.096949711
692.3196,0.1014516
694.248,0.1069557
696.1765,0.1120684
698.105,0.1163513
700.0334,0.1194043
701.9619,0.1208636
703.8904,0.12035
705.8188,0.117973
707.7473,0.1138678
709.6758,0.1077729
711.6042,0.10026
713.5327,0.092346087
715.4612,0.084475987
717.3896,0.076819234
719.3181,0.069970757
721.2466,0.064034738
723.175,0.05924191
725.1035,0.05566892
727.032,0.053177081
728.9604,0.051457331
730.8889,0.049743939
732.8174,0.048705101
734.7458,0.048362151
736.6743,0.047929142
738.6028,0.04746516
740.5313,0.04723097
742.4597,0.047525331
744.3882,0.048180681
746.3167,0.048355911
748.2451,0.04847683
750.1736,0.048963469
752.1021,0.049529389
754.0305,0.050316289
755.959,0.0513588
757.8875,0.05271678
759.8159,0.053805441
761.7444,0.054857459
763.6729,0.056633551
765.6013,0.059072711
767.5298,0.06129282
769.4583,0.0631207
771.3867,0.065403067
773.3152,0.068152711
775.2437,0.071163014
777.1721,0.074490637
779.1006,0.077690721
781.0291,0.080324262
782.9575,0.082641877
784.886,0.08553157
786.8145,0.089307547
788.7429,0.093861587
790.6714,0.09955126
