x,y
399.1926,0.2014102
401.1211,0.1674285
403.0496,0.1682334
404.978,0.1609652
406.9065,0.1604397
408.835,0.1618536
410.7634,0.1691175
412.6919,0.1830363
414.6204,0.199053
416.5488,0.2088672
418.4773,0.2166197
420.4058,0.2208837
422.3342,0.2201467
424.2627,0.224478
426.1912,0.2321693
428.1196,0.2375977
430.0481,0.233979
431.9766,0.2214239
433.905,0.2059717
435.8335,0.1879539
437.762,0.1742295
439.6904,0.1609395
441.6189,0.1500808
443.5474,0.1463798
445.4758,0.1430441
447.4043,0.1383323
449.3328,0.1335954
451.2612,0.1291353
453.1897,0.1253902
455.1182,0.1214497
457.0466,0.1163151
458.9751,0.1118422
460.9036,0.1087458
462.832,0.1090335
464.7605,0.113966
466.689,0.123568
468.6174,0.1329152
470.5459,0.1395796
472.4744,0.1436195
474.4028,0.1459693
476.3313,0.1480227
478.2598,0.1493946
480.1882,0.1536237
482.1167,0.1602266
484.0452,0.1692035
485.9736,0.1822907
487.9021,0.1976394
489.8306,0.2127896
491.759,0.2242398
493.6875,0.2318211
495.616,0.2337011
497.5444,0.229625
499.4729,0.2209061
501.4014,0.2103521
503.3298,0.2013658
505.2583,0.1944518
507.1868,0.1901828
509.1152,0.1904557
511.0437,0.1955884
512.9722,0.2019104
514.9006,0.2093937
516.8291,0.2154355
518.7576,0.217773
520.686,0.2163308
522.6145,0.2083168
524.543,0.1955926
526.4714,0.182036
528.3999,0.1693201
530.3284,0.1567853
532.2568,0.1471265
534.1853,0.139761
536.1138,0.1333932
538.0422,0.1276087
539.9707,0.1219375
541.8992,0.1169901
543.8276,0.1140061
545.7561,0.1140126
547.6846,0.1173673
549.613,0.1248524
551.5415,0.1356724
553.47,0.1494091
555.3984,0.1641266
557.3269,0.1768737
559.2554,0.1866005
561.1838,0.1944177
563.1123,0.1997934
565.0408,0.2044949
566.9692,0.2096882
568.8977,0.213774
570.8262,0.2162427
572.7546,0.2174037
574.6831,0.217219
576.6116,0.2161313
578.54,0.214748
580.4685,0.2122102
582.397,0.209628
584.3254,0.2068692
586.2539,0.2022728
588.1824,0.1941432
590.1108,0.1839439
592.0393,0.1743062
593.9678,0.167226
595.8962,0.1617804
597.8247,0.1573518
599.7532,0.1561902
601.6816,0.1592823
603.6101,0.1642195
605.5386,0.1704413
607.467,0.1769591
609.3955,0.1841804
611.324,0.191591
613.2524,0.1973334
615.1809,0.2015577
617.1094,0.2039363
619.0378,0.2049445
620.9663,0.2044427
622.8948,0.2009763
624.8232,0.1946576
626.7517,0.1860149
628.6802,0.1767699
630.6086,0.1694492
632.5371,0.1637594
634.4656,0.1595262
636.394,0.1578438
638.3225,0.1572399
640.251,0.1556423
642.1794,0.152418
644.1079,0.1478634
646.0364,0.1415816
647.9648,0.1334663
649.8933,0.1261906
651.8218,0.1212469
653.7502,0.1186298
655.6787,0.1184968
657.6072,0.1209923
659.5356,0.1246
661.4641,0.127264
663.3926,0.1298944
665.321,0.1331406
667.2495,0.1362788
669.178,0.1393874
671.1064,0.1410883
673.0349,0.1401473
674.9634,0.1368884
676.8918,0.1317562
678.8203,0.1253583
680.7488,0.118051
682.6772,0.1101272
684.6057,0.1021358
686.5342,0.094626121
688.4626,0.088360153
690.3911,0.082655877
692.3196,0.077585913
694.248,0.073264837
696.1765,0.069347613
698.105,0.066561602
700.0334,0.064703673
701.9619,0.062987953
703.8904,0.06167623
705.8188,0.060923621
707.7473,0.060752191
709.6758,0.06142294
711.6042,0.062134691
713.5327,0.063189723
715.4612,0.064244866
717.3896,0.065640949
719.3181,0.067168348
721.2466,0.068704598
723.175,0.070474923
725.1035,0.071544237
727.032,0.071562149
728.9604,0.071792893
730.8889,0.072102018
732.8174,0.071805179
734.7458,0.071161963
736.6743,0.069778673
738.6028,0.067692213
740.5313,0.065632641
742.4597,0.063807331
744.3882,0.061904911
746.3167,0.059392281
748.2451,0.0573081
750.1736,0.0557363
752.1021,0.053963099
754.0305,0.052192111
755.959,0.050766598
757.8875,0.04958218
759.8159,0.048350722
761.7444,0.047396932
763.6729,0.046686221
765.6013,0.045703329
767.5298,0.044840328
769.4583,0.044237729
771.3867,0.043265119
773.3152,0.042493738
775.2437,0.04199405
777.1721,0.041250098
779.1006,0.04048178
781.0291,0.0403722
782.9575,0.04074787
784.886,0.04126412
786.8145,0.041545872
788.7429,0.041838251
790.6714,0.042299841
792.5999,0.042262059
794.5283,0.041833431
796.4568,0.041543782
798.3853,0.0410005
800.3137,0.039900929
802.2422,0.03858031
804.1707,0.037596282
806.0991,0.036818068
808.0276,0.036046159
809.9561,0.034952451
811.8845,0.034005798
813.813,0.033286989
815.7415,0.032634798
817.6699,0.032217789
819.5984,0.032029878
821.5269,0.031699441
823.4553,0.031661991
825.3838,0.03182961
827.3123,0.03227007
829.2407,0.032759421
831.1692,0.03287622
833.0977,0.033308908
835.0261,0.03402587
836.9546,0.034636121
838.8831,0.035422791
840.8115,0.03662499
842.74,0.037697259
844.6685,0.038886759
846.5969,0.0402916
848.5254,0.041577101
850.4539,0.04290282
852.3823,0.044557542
854.3108,0.046576008
856.2393,0.04888057
858.1677,0.05122434
860.0962,0.05338509
862.0247,0.055623509
863.9531,0.05826354
865.8816,0.061206471
867.8101,0.064347953
869.7385,0.067840561
871.667,0.071456142
873.5955,0.075136453
875.5239,0.079242013
877.4524,0.083412781
879.3809,0.087575443
881.3093,0.091754951
883.2378,0.095888801
885.1663,0.099619843
887.0947,0.103125
889.0232,0.1060778
890.9517,0.1083114
892.8801,0.1102351
894.8085,0.1111983
896.737,0.110818
898.6655,0.1096405
900.5939,0.1076641
902.5224,0.1046201
904.4509,0.1007358
906.3793,0.096485488
908.3078,0.091974057
910.2363,0.087553091
912.1647,0.083394058
914.0932,0.079575837
916.0217,0.076039128
917.9501,0.072843879
919.8786,0.070338517
921.8071,0.068230323
923.7355,0.066637553
925.664,0.065227114
927.5925,0.064165421
929.5209,0.063865431
931.4494,0.063942298
933.3779,0.064460129
935.3063,0.065499216
937.2348,0.066790543
939.1633,0.068354942
941.0917,0.070353784
943.0202,0.072693847
944.9487,0.075426809
946.8771,0.078729488
948.8056,0.082316749
950.7341,0.086559176
952.6625,0.091759831
954.591,0.097419038
956.5195,0.1035276
958.4479,0.1104175
960.3764,0.1183209
962.3049,0.1273541
964.2333,0.1369922
966.1618,0.147114
968.0903,0.1577607
970.0187,0.1695091
971.9472,0.1823886
973.8757,0.195797
975.8041,0.2097564
977.7326,0.2243397
979.6611,0.2400637
981.5895,0.2567636
983.518,0.2735956
985.4465,0.2886921
987.3749,0.3003962
989.3034,0.3068813
991.2319,0.3069619
993.1603,0.2996526
995.0888,0.2862678
997.0173,0.2687128
998.9457,0.248425
1000.874,0.227141
1002.803,0.2058253
1004.731,0.1853129
1006.66,0.166438
1008.588,0.1503022
1010.517,0.1375925
1012.445,0.1284476
1014.373,0.1237152
1016.302,0.1228664
1018.23,0.1247251
1020.159,0.1289849
1022.087,0.1355231
1024.016,0.1440539
1025.944,0.1548156
1027.873,0.1686318
1029.801,0.1859566
1031.73,0.20659
1033.658,0.2288104
1035.587,0.2499751
1037.515,0.2669962
1039.444,0.2792235
1041.372,0.2903602
1043.301,0.3034164
1045.229,0.3170631
1047.157,0.328116
1049.086,0.3339919
1051.014,0.3340508
1052.943,0.3287127
1054.871,0.3211988
1056.8,0.314273
1058.728,0.3086664
1060.657,0.3043527
1062.585,0.3004349
1064.514,0.2954684
1066.442,0.2887681
1068.371,0.2806756
1070.299,0.2713066
1072.228,0.2613122
1074.156,0.2514192
1076.084,0.2429983
1078.013,0.2380413
1079.941,0.2372582
1081.87,0.2397489
1083.798,0.2404677
1085.727,0.2346739
1087.655,0.2233791
1089.584,0.2099474
1091.512,0.1962874
