x,y
399.1926,0.31238
401.1211,0.3027729
403.0496,0.3042285
404.978,0.2858216
406.9065,0.2683885
408.835,0.2595818
410.7634,0.255756
412.6919,0.2498433
414.6204,0.2430933
416.5488,0.232673
418.4773,0.2253179
420.4058,0.2189106
422.3342,0.2102058
424.2627,0.19938
426.1912,0.1922976
428.1196,0.1855242
430.0481,0.1770388
431.9766,0.1682263
433.905,0.1625428
435.8335,0.1563761
437.762,0.1488868
439.6904,0.1406197
441.6189,0.1366923
443.5474,0.1360915
445.4758,0.1365472
447.4043,0.1389644
449.3328,0.1424506
451.2612,0.1474083
453.1897,0.148031
455.1182,0.145572
457.0466,0.1414409
458.9751,0.1362812
460.9036,0.1289854
462.832,0.1229784
464.7605,0.1178609
466.689,0.1118913
468.6174,0.1061009
470.5459,0.1001485
472.4744,0.094980188
474.4028,0.090421252
476.3313,0.086543933
478.2598,0.082191512
480.1882,0.078440793
482.1167,0.073941767
484.0452,0.069105327
485.9736,0.064705312
487.9021,0.060639821
489.8306,0.057536449
491.759,0.054311659
493.6875,0.050642472
495.616,0.047059469
497.5444,0.043993831
499.4729,0.04129833
501.4014,0.038700789
503.3298,0.036545482
505.2583,0.03454737
507.1868,0.03295663
509.1152,0.03202866
511.0437,0.031290539
512.9722,0.029982559
514.9006,0.02949575
516.8291,0.029856021
518.7576,0.02961264
520.686,0.02826215
522.6145,0.027725611
524.543,0.027885661
526.4714,0.02773026
528.3999,0.027622869
530.3284,0.02786454
532.2568,0.028267371
534.1853,0.02828899
536.1138,0.0273879
538.0422,0.02725604
539.9707,0.027144611
541.8992,0.02768966
543.8276,0.028646899
545.7561,0.02962335
547.6846,0.029408939
549.613,0.0292571
551.5415,0.029965561
553.47,0.03057305
555.3984,0.031015269
557.3269,0.031171011
559.2554,0.031672381
561.1838,0.0321781
563.1123,0.03263497
565.0408,0.032968059
566.9692,0.03350449
568.8977,0.034150992
570.8262,0.034678571
572.7546,0.035573918
574.6831,0.03649503
576.6116,0.037587479
578.54,0.038543541
580.4685,0.039240289
582.397,0.040057391
584.3254,0.040682189
586.2539,0.041164219
588.1824,0.041755479
590.1108,0.04284535
592.0393,0.044194631
593.9678,0.044832289
595.8962,0.046071179
597.8247,0.047472581
599.7532,0.048311349
601.6816,0.049305301
603.6101,0.050740141
605.5386,0.052498002
607.467,0.0543947
609.3955,0.055893522
611.324,0.057110108
613.2524,0.059021
615.1809,0.06121261
617.1094,0.063211977
619.0378,0.06558378
620.9663,0.067529269
622.8948,0.069493711
624.8232,0.07197056
626.7517,0.074783489
628.6802,0.077744924
630.6086,0.080643542
632.5371,0.083315194
634.4656,0.085848808
636.394,0.089216441
638.3225,0.092966698
640.251,0.096768066
642.1794,0.100762
644.1079,0.1046605
646.0364,0.108443
647.9648,0.1120024
649.8933,0.1159774
651.8218,0.1209422
653.7502,0.1257325
655.6787,0.1292268
657.6072,0.1325272
659.5356,0.1358517
661.4641,0.1389486
663.3926,0.141399
665.321,0.1435722
