x,y
399.1926,0.0057483418
401.1211,0.005995824
403.0496,0.0060246489
404.978,0.0051469309
406.9065,0.005146604
408.835,0.0055198381
410.7634,0.0046076928
412.6919,0.0062245941
414.6204,0.0061964002
416.5488,0.0052147862
418.4773,0.0066822991
420.4058,0.0084847491
422.3342,0.0057730302
424.2627,0.0045534838
426.1912,0.0047824909
428.1196,0.0051034531
430.0481,0.0051367078
431.9766,0.0057049599
433.905,0.0054793949
435.8335,0.0054005571
437.762,0.0051975688
439.6904,0.003767387
441.6189,0.003537297
443.5474,0.0038078681
445.4758,0.0054458161
447.4043,0.0063888379
449.3328,0.00670475
451.2612,0.0065101511
453.1897,0.0065319799
455.1182,0.0064924611
457.0466,0.0053599211
458.9751,0.0046128109
460.9036,0.0047600642
462.832,0.004780435
464.7605,0.0051041539
466.689,0.005515215
468.6174,0.0057255682
470.5459,0.0057081138
472.4744,0.005519134
474.4028,0.005547151
476.3313,0.005121415
478.2598,0.0053613302
480.1882,0.0058926991
482.1167,0.005465291
484.0452,0.0054129022
485.9736,0.005385173
487.9021,0.0048103589
489.8306,0.0055236169
491.759,0.0062195612
493.6875,0.0059983111
495.616,0.0053851418
497.5444,0.0048190812
499.4729,0.0048234938
501.4014,0.0055748941
503.3298,0.0058739651
505.2583,0.0052867481
507.1868,0.0048044641
509.1152,0.0049431408
511.0437,0.0058341618
512.9722,0.0058622672
514.9006,0.005249145
516.8291,0.0052853222
518.7576,0.0056382981
520.686,0.0061800382
522.6145,0.0062499489
524.543,0.0060437522
526.4714,0.006519374
528.3999,0.0066642882
530.3284,0.0063606058
532.2568,0.0059294002
534.1853,0.0055196299
536.1138,0.005820693
538.0422,0.0059451661
539.9707,0.0053862822
541.8992,0.0055347132
543.8276,0.0065036002
545.7561,0.007105323
547.6846,0.0064170612
549.613,0.0060564498
551.5415,0.0065905708
553.47,0.0071837008
555.3984,0.006899544
557.3269,0.0068563768
559.2554,0.006786312
561.1838,0.0070565189
563.1123,0.007524027
565.0408,0.0075165499
566.9692,0.007134818
568.8977,0.0068420898
570.8262,0.0069983019
572.7546,0.0070960778
574.6831,0.0071743838
576.6116,0.006815902
578.54,0.0069429032
580.4685,0.0075887069
582.397,0.0077884472
584.3254,0.0076258811
586.2539,0.0078461142
588.1824,0.0077029308
590.1108,0.0073624188
592.0393,0.0076898448
593.9678,0.008212205
595.8962,0.0083557712
597.8247,0.0083746519
599.7532,0.0085598696
601.6816,0.0088506564
603.6101,0.0087822583
605.5386,0.0083328104
607.467,0.008671172
609.3955,0.0092352796
611.324,0.0093838796
613.2524,0.0093421908
615.1809,0.0094953934
617.1094,0.009702215
619.0378,0.0098065985
620.9663,0.0097028296
622.8948,0.0098270513
624.8232,0.009835192
626.7517,0.0094338879
628.6802,0.0093971742
630.6086,0.0098048281
632.5371,0.0099922149
634.4656,0.01007568
636.394,0.01019276
638.3225,0.01024195
640.251,0.01048502
642.1794,0.01054186
644.1079,0.01044295
646.0364,0.01059597
647.9648,0.01074309
649.8933,0.01071198
651.8218,0.01077953
653.7502,0.01111081
655.6787,0.01095385
657.6072,0.01105086
659.5356,0.01187178
661.4641,0.01232764
663.3926,0.01232302
665.321,0.01280978
667.2495,0.01333443
669.178,0.01369444
671.1064,0.0142312
673.0349,0.01484773
674.9634,0.0154391
676.8918,0.016706269
678.8203,0.0181245
680.7488,0.01929247
682.6772,0.02189414
684.6057,0.0271951
686.5342,0.037594769
688.4626,0.059480619
690.3911,0.095489196
692.3196,0.1238434
694.248,0.099142917
696.1765,0.050654698
698.105,0.02303843
700.0334,0.01350094
701.9619,0.01005259
703.8904,0.0089629292
705.8188,0.0085510602
707.7473,0.0079824179
709.6758,0.0078230798
711.6042,0.0080208872
713.5327,0.0083671529
715.4612,0.0087059559
717.3896,0.0088557824
719.3181,0.0087825749
721.2466,0.0090572722
723.175,0.0092117218
725.1035,0.0091731045
727.032,0.0093008149
728.9604,0.0096510267
730.8889,0.0095325308
732.8174,0.0097505059
734.7458,0.01022132
736.6743,0.01010394
738.6028,0.01002755
740.5313,0.01024199
742.4597,0.01022981
744.3882,0.01025085
746.3167,0.01026993
748.2451,0.01048709
750.1736,0.01094374
752.1021,0.01100535
754.0305,0.01087893
755.959,0.01125166
757.8875,0.01155893
759.8159,0.01146701
761.7444,0.01166529
763.6729,0.01186068
765.6013,0.01190937
767.5298,0.0118895
769.4583,0.01247116
771.3867,0.01287956
773.3152,0.01304596
775.2437,0.01262709
777.1721,0.01252854
779.1006,0.01293523
781.0291,0.01307024
782.9575,0.01283403
784.886,0.0131226
786.8145,0.01355172
788.7429,0.01356924
790.6714,0.0133998
792.5999,0.01343019
794.5283,0.01361099
796.4568,0.01389585
798.3853,0.0141214
800.3137,0.01447224
802.2422,0.01447544
804.1707,0.01447685
806.0991,0.01482794
808.0276,0.01539689
809.9561,0.01567715
811.8845,0.01580463
813.813,0.015807319
815.7415,0.016192069
817.6699,0.01672381
819.5984,0.017629219
821.5269,0.01817294
823.4553,0.018576009
825.3838,0.01933907
827.3123,0.020326469
829.2407,0.021852501
831.1692,0.024147259
833.0977,0.027318031
835.0261,0.032090951
836.9546,0.039530318
838.8831,0.048597161
840.8115,0.05079845
842.74,0.051194452
844.6685,0.059409309
846.5969,0.073113494
848.5254,0.090384573
850.4539,0.111509
852.3823,0.1360795
854.3108,0.1592412
856.2393,0.1685708
858.1677,0.1547072
860.0962,0.1218628
862.0247,0.082372554
863.9531,0.04987479
865.8816,0.031414151
867.8101,0.02378268
869.7385,0.02071316
871.667,0.019330779
873.5955,0.018852061
875.5239,0.018405549
877.4524,0.01789818
879.3809,0.01782289
881.3093,0.01781196
883.2378,0.01773775
885.1663,0.01751928
887.0947,0.016881241
889.0232,0.016207259
890.9517,0.016391519
892.8801,0.01642332
894.8085,0.01618549
896.737,0.01614452
898.6655,0.016171999
900.5939,0.016214769
902.5224,0.01603164
904.4509,0.015902679
906.3793,0.015819799
908.3078,0.015794029
910.2363,0.015932299
912.1647,0.01613063
914.0932,0.016296079
916.0217,0.016236359
917.9501,0.016258821
919.8786,0.01654806
921.8071,0.01658183
923.7355,0.016682969
925.664,0.01679036
927.5925,0.01697454
929.5209,0.01689153
931.4494,0.016964519
933.3779,0.01693547
935.3063,0.0168778
937.2348,0.016996911
939.1633,0.017062699
941.0917,0.01707569
943.0202,0.017128861
944.9487,0.01707948
946.8771,0.017324129
948.8056,0.017821399
950.7341,0.017788781
952.6625,0.017629251
954.591,0.01800224
956.5195,0.018113021
958.4479,0.01834172
960.3764,0.01854144
962.3049,0.01871516
964.2333,0.01900287
966.1618,0.01912671
968.0903,0.019166401
970.0187,0.019332631
971.9472,0.019567979
973.8757,0.019521531
975.8041,0.019068571
977.7326,0.0192362
979.6611,0.019866889
981.5895,0.020024439
983.518,0.019909389
985.4465,0.020035019
987.3749,0.02029559
989.3034,0.020707291
991.2319,0.02080721
993.1603,0.02090306
995.0888,0.02101969
997.0173,0.021315619
998.9457,0.021589659
1000.874,0.02187787
1002.803,0.021965969
1004.731,0.022146881
1006.66,0.02239136
1008.588,0.022544639
1010.517,0.022637781
1012.445,0.022792149
1014.373,0.023082251
1016.302,0.023307471
1018.23,0.023442719
1020.159,0.023572961
1022.087,0.0236417
1024.016,0.0240258
1025.944,0.02434177
1027.873,0.02446962
1029.801,0.024522951
1031.73,0.024799149
1033.658,0.024847601
1035.587,0.02516876
1037.515,0.025312459
1039.444,0.025322851
1041.372,0.0252808
1043.301,0.02592105
1045.229,0.026321299
1047.157,0.026368391
1049.086,0.026379639
1051.014,0.02712648
1052.943,0.027981389
1054.871,0.029516069
1056.8,0.035953611
1058.728,0.050826021
1060.657,0.051135112
1062.585,0.036259081
1064.514,0.029310729
1066.442,0.027678261
1068.371,0.027655371
1070.299,0.0279609
1072.228,0.028375819
1074.156,0.02868529
1076.084,0.029251941
1078.013,0.029117459
1079.941,0.029172709
1081.87,0.02961437
1083.798,0.030222571
1085.727,0.030358899
1087.655,0.03052645
1089.584,0.030846469
1091.512,0.031333759
1093.441,0.03167478
1095.369,0.031967681
1097.298,0.032079451
1099.226,0.032551769
1101.155,0.03259556
1103.083,0.032797359
1105.011,0.033201382
1106.94,0.033626061
1108.868,0.033892769
1110.797,0.034256149
1112.725,0.034663402
1114.654,0.034934819
1116.582,0.035149779
1118.511,0.035179
1120.439,0.035380609
1122.368,0.03573098
1124.296,0.036116581
1126.225,0.03640902
1128.153,0.036328152
1130.082,0.03666668
1132.01,0.037185129
1133.938,0.03757314
1135.867,0.038103741
1137.795,0.03864146
1139.724,0.03874065
1141.652,0.038892351
1143.581,0.039418261
1145.509,0.04001011
