x,y
399.1926,0.1565743
401.1211,0.1613979
403.0496,0.1613979
404.978,0.1631834
406.9065,0.1589208
408.835,0.1681042
410.7634,0.1893938
412.6919,0.1948456
414.6204,0.1908964
416.5488,0.2006037
418.4773,0.2057376
420.4058,0.2023166
422.3342,0.1947755
424.2627,0.1890441
426.1912,0.1842281
428.1196,0.1838675
430.0481,0.1840397
431.9766,0.1807192
433.905,0.1779833
435.8335,0.17724
437.762,0.1776775
439.6904,0.1796713
441.6189,0.1817215
443.5474,0.179415
445.4758,0.1798634
447.4043,0.1821185
449.3328,0.1868146
451.2612,0.1918162
453.1897,0.1955633
455.1182,0.2018757
457.0466,0.2070246
458.9751,0.2098272
460.9036,0.2145501
462.832,0.2203639
464.7605,0.2236339
466.689,0.2268496
468.6174,0.2312004
470.5459,0.2362272
472.4744,0.2421971
474.4028,0.2477298
476.3313,0.2520955
478.2598,0.2592872
480.1882,0.263662
482.1167,0.265222
484.0452,0.2663246
485.9736,0.2660364
487.9021,0.2646786
489.8306,0.2606107
491.759,0.2520923
493.6875,0.243331
495.616,0.2348723
497.5444,0.2254317
499.4729,0.2140182
501.4014,0.204596
503.3298,0.1969461
505.2583,0.1912313
507.1868,0.1871761
509.1152,0.1840578
511.0437,0.1830821
512.9722,0.1801554
514.9006,0.1774877
516.8291,0.1759838
518.7576,0.1755718
520.686,0.1774245
522.6145,0.1807565
524.543,0.1856587
526.4714,0.1917923
528.3999,0.1987306
530.3284,0.208718
532.2568,0.2224326
534.1853,0.2368357
536.1138,0.2529481
538.0422,0.2728651
539.9707,0.294079
541.8992,0.3169671
543.8276,0.3416903
545.7561,0.3665299
547.6846,0.3916503
549.613,0.4173661
551.5415,0.4403809
553.47,0.455588
555.3984,0.4633168
557.3269,0.4703233
559.2554,0.4707733
561.1838,0.4643428
563.1123,0.4539742
565.0408,0.4376174
566.9692,0.4145368
568.8977,0.3913086
570.8262,0.368317
572.7546,0.3447076
574.6831,0.3214139
576.6116,0.2992059
578.54,0.2786393
580.4685,0.2618694
582.397,0.2519674
584.3254,0.2488027
586.2539,0.2493137
588.1824,0.2501914
590.1108,0.2489427
592.0393,0.2456962
593.9678,0.239105
595.8962,0.2271755
597.8247,0.2140956
599.7532,0.2021048
601.6816,0.1890951
603.6101,0.177192
605.5386,0.1689885
607.467,0.1622652
609.3955,0.156331
611.324,0.1506066
613.2524,0.1426238
615.1809,0.1351383
617.1094,0.1304596
619.0378,0.1265459
620.9663,0.1213064
622.8948,0.11421
624.8232,0.1056084
626.7517,0.097093821
628.6802,0.089639917
630.6086,0.082695521
632.5371,0.07678467
634.4656,0.072520927
636.394,0.069028698
638.3225,0.066132776
640.251,0.06424024
