x,y
399.1926,0.2086717
401.1211,0.2074241
403.0496,0.2084213
404.978,0.215262
406.9065,0.2216104
408.835,0.2270464
410.7634,0.2309277
412.6919,0.2308804
414.6204,0.2269526
416.5488,0.21933
418.4773,0.2129402
420.4058,0.212843
422.3342,0.213191
424.2627,0.212876
426.1912,0.2127963
428.1196,0.2207079
430.0481,0.2286161
431.9766,0.2351052
433.905,0.2395754
435.8335,0.2419672
437.762,0.2420386
439.6904,0.2415948
441.6189,0.2438598
443.5474,0.2465433
445.4758,0.2477965
447.4043,0.245748
449.3328,0.2457496
451.2612,0.2476721
453.1897,0.2496963
455.1182,0.2493346
457.0466,0.2485227
458.9751,0.2473275
460.9036,0.245864
462.832,0.244296
464.7605,0.2427346
466.689,0.2395062
468.6174,0.2370378
470.5459,0.232999
472.4744,0.2286699
474.4028,0.2250693
476.3313,0.2242241
478.2598,0.2259253
480.1882,0.2270871
482.1167,0.2267094
484.0452,0.2268457
485.9736,0.2263333
487.9021,0.2258484
489.8306,0.2265531
491.759,0.2267522
493.6875,0.2266119
495.616,0.2263933
497.5444,0.2242414
499.4729,0.2204953
501.4014,0.218327
503.3298,0.2167462
505.2583,0.2116289
507.1868,0.2075284
509.1152,0.204702
511.0437,0.2038418
512.9722,0.2038395
514.9006,0.2039886
516.8291,0.2054132
518.7576,0.2063563
520.686,0.2083091
522.6145,0.2108143
524.543,0.2127283
526.4714,0.2138588
528.3999,0.2151654
530.3284,0.21668
532.2568,0.2175781
534.1853,0.218157
536.1138,0.2197883
538.0422,0.2224172
539.9707,0.2233709
541.8992,0.2241421
543.8276,0.2244356
545.7561,0.2236619
547.6846,0.2221157
549.613,0.2217938
551.5415,0.2208384
553.47,0.2201259
555.3984,0.2199486
557.3269,0.2207199
559.2554,0.2215833
561.1838,0.2229904
563.1123,0.2244309
565.0408,0.2254155
566.9692,0.2252065
568.8977,0.2226309
570.8262,0.2205809
572.7546,0.2179531
574.6831,0.2134902
576.6116,0.2091505
578.54,0.2055181
580.4685,0.203332
582.397,0.2008171
584.3254,0.1975606
586.2539,0.1951442
588.1824,0.1923277
590.1108,0.188287
592.0393,0.1841405
593.9678,0.1808555
595.8962,0.1775811
597.8247,0.1748096
599.7532,0.1720807
