x,y
399.1926,0.2434216
401.1211,0.2589289
403.0496,0.2601737
404.978,0.2600105
406.9065,0.2519492
408.835,0.2533262
410.7634,0.2635551
412.6919,0.2742248
414.6204,0.2755025
416.5488,0.2735697
418.4773,0.2788526
420.4058,0.2761787
422.3342,0.2687812
424.2627,0.2599592
426.1912,0.2495724
428.1196,0.2366503
430.0481,0.2221487
431.9766,0.2095892
433.905,0.2018914
435.8335,0.1975047
437.762,0.1954198
439.6904,0.1927866
441.6189,0.193008
443.5474,0.1962034
445.4758,0.1955982
447.4043,0.1927552
449.3328,0.193021
451.2612,0.1926459
453.1897,0.1909457
455.1182,0.1887018
457.0466,0.1888677
458.9751,0.1895725
460.9036,0.1931962
462.832,0.1985176
464.7605,0.1996229
466.689,0.1986941
468.6174,0.1977183
470.5459,0.1943416
472.4744,0.188433
474.4028,0.1836774
476.3313,0.1785936
478.2598,0.1716295
480.1882,0.1655904
482.1167,0.1602865
484.0452,0.1544074
485.9736,0.1487181
487.9021,0.1433382
489.8306,0.1370515
491.759,0.1298861
493.6875,0.1227743
495.616,0.1173259
497.5444,0.111126
499.4729,0.1053958
501.4014,0.1006993
503.3298,0.096389107
505.2583,0.092727013
507.1868,0.089181773
509.1152,0.085959323
511.0437,0.083371893
512.9722,0.080916293
514.9006,0.079616353
516.8291,0.079026267
518.7576,0.077428043
520.686,0.075901523
522.6145,0.07472489
524.543,0.073275693
526.4714,0.071571887
528.3999,0.069602877
530.3284,0.067943789
532.2568,0.066291213
534.1853,0.064834513
536.1138,0.063202001
538.0422,0.061750729
539.9707,0.05994783
541.8992,0.058805421
543.8276,0.058565602
545.7561,0.057903301
547.6846,0.056708559
549.613,0.05552803
551.5415,0.054575428
553.47,0.05394778
555.3984,0.053281739
557.3269,0.052578669
559.2554,0.05177347
561.1838,0.051254641
563.1123,0.051193289
565.0408,0.051589441
566.9692,0.051436961
568.8977,0.051327571
570.8262,0.051436521
572.7546,0.05145504
574.6831,0.051426388
576.6116,0.051380381
578.54,0.050934918
580.4685,0.050792102
582.397,0.05150795
584.3254,0.052048761
586.2539,0.052267231
588.1824,0.052347109
590.1108,0.052969079
592.0393,0.05417354
593.9678,0.056012452
595.8962,0.057808951
597.8247,0.059376702
599.7532,0.061249379
601.6816,0.063622028
603.6101,0.06634023
605.5386,0.069556013
607.467,0.073266491
609.3955,0.077434443
611.324,0.083371557
613.2524,0.090538248
615.1809,0.097796433
617.1094,0.1046911
619.0378,0.1114432
620.9663,0.1180324
622.8948,0.1240015
624.8232,0.1292291
626.7517,0.1329583
628.6802,0.1340565
630.6086,0.1313235
632.5371,0.1250193
634.4656,0.1157585
636.394,0.1045645
638.3225,0.092696473
640.251,0.081899397
642.1794,0.073414542
644.1079,0.066915601
646.0364,0.06126482
647.9648,0.055929821
649.8933,0.051264051
651.8218,0.0475301
653.7502,0.044647802
655.6787,0.042736702
657.6072,0.041075729
659.5356,0.040112428
661.4641,0.039698321
663.3926,0.039516602
665.321,0.039493211
667.2495,0.039982099
669.178,0.041199408
671.1064,0.042559821
673.0349,0.044562992
674.9634,0.047660511
676.8918,0.0514578
678.8203,0.05597407
680.7488,0.05996494
682.6772,0.061163329
684.6057,0.05971102
686.5342,0.056617141
688.4626,0.05284645
690.3911,0.049359631
692.3196,0.046774641
694.248,0.04513187
696.1765,0.04416848
698.105,0.043692131
700.0334,0.043245729
701.9619,0.04265324
703.8904,0.04217029
705.8188,0.04225345
707.7473,0.04255214
709.6758,0.042843919
711.6042,0.04357921
713.5327,0.045137901
715.4612,0.0470272
717.3896,0.048934691
719.3181,0.05099126
721.2466,0.053758141
723.175,0.057148509
725.1035,0.060682151
727.032,0.065298423
728.9604,0.071366347
730.8889,0.077384353
732.8174,0.08309903
734.7458,0.08785931
736.6743,0.089616269
738.6028,0.087866873
740.5313,0.08302027
742.4597,0.076741107
744.3882,0.07094378
746.3167,0.066717103
748.2451,0.063479997
750.1736,0.061162479
752.1021,0.060407039
754.0305,0.061811361
755.959,0.064341903
757.8875,0.067149177
759.8159,0.0697117
761.7444,0.071295127
763.6729,0.071975522
765.6013,0.071551211
767.5298,0.070219398
769.4583,0.06863986
771.3867,0.06771104
773.3152,0.067297481
775.2437,0.067102067
777.1721,0.066165403
779.1006,0.063503534
781.0291,0.06022932
782.9575,0.057740331
784.886,0.055845059
786.8145,0.05457934
788.7429,0.054187421
790.6714,0.054887932
792.5999,0.056853231
794.5283,0.059676699
796.4568,0.062640153
798.3853,0.064477988
800.3137,0.063173577
802.2422,0.058740899
804.1707,0.052194331
806.0991,0.046096761
808.0276,0.04098862
809.9561,0.037170239
811.8845,0.034643751
813.813,0.032860748
815.7415,0.031379301
817.6699,0.029808881
819.5984,0.02836098
821.5269,0.02709952
823.4553,0.026137911
825.3838,0.025816631
827.3123,0.02543092
829.2407,0.02502686
831.1692,0.02512015
833.0977,0.02530431
835.0261,0.025512639
836.9546,0.025696371
838.8831,0.026031351
840.8115,0.02680954
842.74,0.027576789
844.6685,0.027747011
846.5969,0.02823784
848.5254,0.02897165
850.4539,0.02976351
852.3823,0.03054264
854.3108,0.031339731
856.2393,0.0322548
858.1677,0.033193629
860.0962,0.03421136
862.0247,0.035450861
863.9531,0.03809293
865.8816,0.043153699
867.8101,0.04968144
869.7385,0.05297941
871.667,0.05071352
873.5955,0.04527529
875.5239,0.042069051
877.4524,0.042401161
879.3809,0.04350134
881.3093,0.04434615
883.2378,0.04525499
885.1663,0.04623004
887.0947,0.04730279
889.0232,0.048646431
890.9517,0.05033252
