x,y
399.1926,0.095652953
401.1211,0.08871109
403.0496,0.089137577
404.978,0.086870253
406.9065,0.085356183
408.835,0.082400419
410.7634,0.080820173
412.6919,0.078622073
414.6204,0.074441008
416.5488,0.072470993
418.4773,0.069483548
420.4058,0.06624151
422.3342,0.06580656
424.2627,0.067002177
426.1912,0.069197729
428.1196,0.073295482
430.0481,0.077257663
431.9766,0.079669669
433.905,0.083763227
435.8335,0.0919488
437.762,0.1007522
439.6904,0.1062975
441.6189,0.1131265
443.5474,0.1177378
445.4758,0.1169932
447.4043,0.1152715
449.3328,0.1125118
451.2612,0.1044818
453.1897,0.097640753
455.1182,0.094026357
457.0466,0.089372717
458.9751,0.08405447
460.9036,0.079123683
462.832,0.075302787
464.7605,0.071424313
466.689,0.068295702
468.6174,0.067258582
470.5459,0.066770367
472.4744,0.065166347
474.4028,0.063714668
476.3313,0.063119039
478.2598,0.06217907
480.1882,0.061301339
482.1167,0.061288521
484.0452,0.06137979
485.9736,0.06050431
487.9021,0.058697149
489.8306,0.057886451
491.759,0.057195421
493.6875,0.05586597
495.616,0.054814529
497.5444,0.05399321
499.4729,0.054524641
501.4014,0.054668121
503.3298,0.05453651
505.2583,0.054163679
507.1868,0.05413105
509.1152,0.054353651
511.0437,0.05458051
512.9722,0.054360319
514.9006,0.054810349
516.8291,0.05591844
518.7576,0.05768086
520.686,0.060166512
522.6145,0.062494241
524.543,0.064146891
526.4714,0.067098647
528.3999,0.071609333
530.3284,0.07615383
532.2568,0.080389448
534.1853,0.085945778
536.1138,0.093221202
538.0422,0.1024199
539.9707,0.1124509
541.8992,0.1228086
543.8276,0.1360511
545.7561,0.1507439
547.6846,0.1669873
549.613,0.1858536
551.5415,0.2061683
553.47,0.2296365
555.3984,0.2546373
557.3269,0.2793971
559.2554,0.3046244
561.1838,0.3287507
563.1123,0.3492504
565.0408,0.3632708
566.9692,0.369971
568.8977,0.3722508
570.8262,0.368333
572.7546,0.3579184
574.6831,0.3438269
576.6116,0.325442
578.54,0.3054768
580.4685,0.2868544
582.397,0.2680039
584.3254,0.2483669
