x,y
399.1926,0.4895428
401.1211,0.4951677
403.0496,0.4975483
404.978,0.5181264
406.9065,0.4983325
408.835,0.5063691
410.7634,0.5092817
412.6919,0.488569
414.6204,0.4922712
416.5488,0.4884853
418.4773,0.4739066
420.4058,0.4527813
422.3342,0.4425243
424.2627,0.4377908
426.1912,0.4557528
428.1196,0.4611935
430.0481,0.4486212
431.9766,0.4299677
433.905,0.4119608
435.8335,0.4111249
437.762,0.4089579
439.6904,0.4039257
441.6189,0.3956625
443.5474,0.3802996
445.4758,0.3694728
447.4043,0.3607102
449.3328,0.3484795
451.2612,0.3396353
453.1897,0.3299207
455.1182,0.3183684
457.0466,0.3082228
458.9751,0.296056
460.9036,0.282527
462.832,0.2716278
464.7605,0.2604195
466.689,0.2478964
468.6174,0.2384242
470.5459,0.2294173
472.4744,0.2211396
474.4028,0.2145888
476.3313,0.2114859
478.2598,0.2119168
480.1882,0.2158875
482.1167,0.2206467
484.0452,0.2251728
485.9736,0.2303164
487.9021,0.2348907
489.8306,0.2356859
491.759,0.2345335
493.6875,0.2342563
495.616,0.2334923
497.5444,0.2310832
499.4729,0.2306422
501.4014,0.2315042
503.3298,0.2337012
505.2583,0.2375618
507.1868,0.2451162
509.1152,0.2531717
511.0437,0.2640997
512.9722,0.2787839
514.9006,0.2939717
516.8291,0.308183
518.7576,0.3217055
520.686,0.3366366
522.6145,0.3522141
524.543,0.3673637
526.4714,0.3822274
528.3999,0.3946582
530.3284,0.406041
532.2568,0.4167627
534.1853,0.4263897
536.1138,0.4368059
538.0422,0.4484028
539.9707,0.4588853
541.8992,0.4682882
543.8276,0.476005
545.7561,0.4812562
547.6846,0.48616
549.613,0.4928513
551.5415,0.4960729
553.47,0.4983203
555.3984,0.5009621
557.3269,0.5063996
559.2554,0.5082423
561.1838,0.5079636
563.1123,0.5045863
565.0408,0.5000761
566.9692,0.5003497
568.8977,0.4963833
570.8262,0.4891513
572.7546,0.4874759
574.6831,0.4859351
576.6116,0.4810524
578.54,0.4768598
580.4685,0.4735885
582.397,0.4686514
584.3254,0.4640079
586.2539,0.4580387
588.1824,0.4493834
590.1108,0.442847
592.0393,0.4374439
593.9678,0.4291059
595.8962,0.4209002
597.8247,0.4157824
