x,y
374.1225,0.1713683
376.051,0.1525312
377.9795,0.1762827
379.9079,0.198257
381.8364,0.1985394
383.7649,0.1753634
385.6933,0.1637054
387.6218,0.1686243
389.5503,0.1761798
391.4787,0.1894593
393.4072,0.2043485
395.3357,0.2077098
397.2641,0.2085516
399.1926,0.2054471
401.1211,0.2131297
403.0495,0.2144533
404.978,0.2113297
406.9065,0.2084462
408.8349,0.2073139
410.7634,0.2073723
412.6919,0.2056268
414.6203,0.1996599
416.5488,0.1985866
418.4773,0.1928852
420.4057,0.18756
422.3342,0.1827042
424.2627,0.1737368
426.1911,0.1679197
428.1196,0.1667455
430.0481,0.1653762
431.9765,0.1650421
433.905,0.1655754
435.8335,0.1655513
437.7619,0.1659258
439.6904,0.1711523
441.6189,0.1737674
443.5473,0.1770505
445.4758,0.1831897
447.4043,0.1863322
449.3327,0.1882257
451.2612,0.1896528
453.1897,0.1898543
455.1181,0.191387
457.0466,0.1937582
458.9751,0.1963317
460.9035,0.197523
462.832,0.1974329
464.7605,0.1989418
466.6889,0.2017129
468.6174,0.2036649
470.5459,0.202416
472.4743,0.1985086
474.4028,0.194877
476.3313,0.190892
478.2597,0.1857879
480.1882,0.1793412
482.1167,0.1718465
484.0451,0.1636273
485.9736,0.1565614
487.9021,0.1512866
489.8305,0.149147
491.759,0.1475093
493.6875,0.144741
495.6159,0.1424376
497.5444,0.1407761
499.4729,0.1379451
501.4013,0.1350224
503.3298,0.1319276
505.2583,0.1290153
507.1867,0.1266519
509.1152,0.1245186
511.0437,0.1224619
512.9721,0.1213041
514.9006,0.1193251
516.829,0.1166663
518.7575,0.1150172
520.686,0.1150695
522.6144,0.1176407
524.5429,0.1213906
526.4714,0.1269777
528.3998,0.1335526
530.3283,0.1391809
532.2568,0.1436518
534.1852,0.1456433
536.1137,0.1455719
538.0422,0.1445145
539.9706,0.1430963
541.8991,0.1409872
543.8276,0.1398343
545.756,0.1392975
547.6845,0.1395808
549.613,0.1415615
551.5414,0.1439638
553.4699,0.1454006
555.3984,0.1450677
557.3268,0.1430241
559.2553,0.1405278
561.1838,0.1368209
563.1122,0.1314757
565.0407,0.1262555
566.9692,0.1224712
568.8976,0.1207159
570.8261,0.120994
572.7546,0.1218924
574.683,0.1226777
576.6115,0.1229932
578.54,0.1230458
580.4684,0.1224286
582.3969,0.121314
584.3254,0.1201009
586.2538,0.1178282
588.1823,0.1146804
590.1108,0.111404
592.0392,0.1084531
593.9677,0.1061125
595.8962,0.1049344
597.8246,0.1055399
599.7531,0.1067668
601.6816,0.1076641
603.61,0.1091238
605.5385,0.1107287
607.467,0.1119434
609.3954,0.1135318
611.3239,0.1157077
613.2524,0.1173112
615.1808,0.1167898
617.1093,0.1145987
619.0378,0.1119047
620.9662,0.1088462
622.8947,0.1061942
624.8232,0.1043301
626.7516,0.1033733
628.6801,0.1035133
630.6086,0.1035796
632.537,0.1031233
634.4655,0.101859
636.394,0.09949798
638.3224,0.09679149
640.2509,0.09325348
642.1794,0.08913098
644.1078,0.08478533
646.0363,0.08019214
647.9648,0.07591872
649.8932,0.07286087
651.8217,0.07126674
653.7502,0.07055319
655.6786,0.07088487
657.6071,0.07279398
659.5356,0.07548586
661.4641,0.07814009
663.3925,0.08010685
665.321,0.0817342
667.2495,0.0835407
669.1779,0.08500763
671.1064,0.0869116
673.0349,0.08893589
674.9633,0.09111562
676.8918,0.09325935
678.8203,0.0945861
680.7487,0.09551811
682.6772,0.09588924
684.6057,0.09587541
686.5341,0.09533402
688.4626,0.09491098
690.3911,0.09481012
692.3195,0.0951198
694.248,0.09540745
696.1765,0.09568882
698.1049,0.09605304
700.0334,0.09642848
701.9619,0.09684088
703.8903,0.09743647
705.8188,0.09824789
707.7473,0.09944293
709.6757,0.1006649
711.6042,0.1018003
713.5327,0.1028494
715.4611,0.1039102
717.3896,0.1043189
719.3181,0.103776
721.2465,0.1027762
723.175,0.1014688
725.1035,0.09943458
727.0319,0.09715519
728.9604,0.09483105
730.8889,0.09241368
732.8173,0.09002399
734.7458,0.0880532
736.6743,0.08619418
738.6027,0.08434284
740.5312,0.08270479
742.4597,0.08132513
744.3881,0.080016
746.3166,0.07872546
748.2451,0.07748237
750.1735,0.07637523
752.102,0.07527797
754.0305,0.07396315
755.9589,0.07224618
757.8874,0.07051781
759.8159,0.06856684
761.7443,0.06641968
763.6728,0.06427212
765.6013,0.06219025
767.5297,0.05993308
769.4582,0.05776262
771.3867,0.05566597
773.3151,0.05409805
775.2436,0.05286485
777.1721,0.05209744
779.1005,0.05169142
781.029,0.05136956
782.9575,0.05133926
784.8859,0.05191856
786.8144,0.05237077
788.7429,0.05252469
790.6713,0.05252209
792.5998,0.05261432
794.5283,0.05262101
796.4567,0.05238613
798.3852,0.05154938
800.3137,0.05039939
802.2421,0.04912657
804.1706,0.04802749
806.0991,0.04678535
808.0275,0.04579772
809.956,0.04514342
811.8845,0.04450881
813.8129,0.04388113
815.7414,0.04353605
817.6699,0.04309032
819.5983,0.04265981
821.5268,0.04244833
823.4553,0.04196587
825.3837,0.04134052
827.3122,0.04074772
829.2407,0.04024363
831.1691,0.03975045
833.0976,0.039145
835.0261,0.03866516
836.9545,0.03816197
838.883,0.03737082
840.8115,0.03663263
842.7399,0.03608211
844.6684,0.03545573
846.5969,0.03496323
848.5253,0.03459314
850.4538,0.03419528
852.3823,0.03385223
854.3107,0.03365088
856.2392,0.03363478
858.1677,0.03376523
860.0961,0.03389527
862.0246,0.03415343
863.9531,0.03427026
865.8815,0.03452843
867.81,0.03495614
