x,y
370.2656,0.0
372.1941,0.0
374.1225,0.2231875
376.051,0.2379832
377.9795,0.2459574
379.9079,0.2558049
381.8364,0.2381683
383.7649,0.2173395
385.6933,0.2090999
387.6218,0.2031419
389.5503,0.1996107
391.4787,0.2019025
393.4072,0.2164617
395.3357,0.224315
397.2641,0.2305198
399.1926,0.2194008
401.1211,0.2057073
403.0495,0.1966917
404.978,0.1861093
406.9065,0.1774674
408.8349,0.173004
410.7634,0.1656757
412.6919,0.1548079
414.6203,0.1488894
416.5488,0.1440909
418.4773,0.1372784
420.4057,0.1360926
422.3342,0.1361839
424.2627,0.1351767
426.1911,0.1368253
428.1196,0.1387146
430.0481,0.1391245
431.9765,0.1401525
433.905,0.1403159
435.8335,0.1386631
437.7619,0.1383384
439.6904,0.141004
441.6189,0.1455098
443.5473,0.1475765
445.4758,0.1488463
447.4043,0.1510857
449.3327,0.1535502
451.2612,0.1563634
453.1897,0.1564735
455.1181,0.1530387
457.0466,0.1479036
458.9751,0.1418882
460.9035,0.1360084
462.832,0.1317579
464.7605,0.1287265
466.6889,0.1267443
468.6174,0.1254733
470.5459,0.1228356
472.4743,0.1180818
474.4028,0.113295
476.3313,0.1090562
478.2597,0.1048808
480.1882,0.1027471
482.1167,0.1033682
484.0451,0.1057036
485.9736,0.1086586
487.9021,0.1132744
489.8305,0.1192342
491.759,0.1255218
493.6875,0.1325572
495.6159,0.140317
497.5444,0.1471497
499.4729,0.1524615
501.4013,0.1576505
503.3298,0.1631849
505.2583,0.1682452
507.1867,0.1719861
509.1152,0.174557
511.0437,0.1765544
512.9721,0.177428
514.9006,0.1767579
516.829,0.1750173
518.7575,0.1717778
520.686,0.1678408
522.6144,0.1629895
524.5429,0.1581593
526.4714,0.153578
528.3998,0.1492392
530.3283,0.1444876
532.2568,0.1409623
534.1852,0.1393996
536.1137,0.1380416
538.0422,0.1366741
539.9706,0.1353856
541.8991,0.1342205
543.8276,0.1339878
545.756,0.1342479
547.6845,0.1349891
549.613,0.1357135
551.5414,0.1363074
553.4699,0.1364843
555.3984,0.1360482
557.3268,0.1351169
559.2553,0.1343299
561.1838,0.1336337
563.1122,0.1321963
565.0407,0.1305374
566.9692,0.1290904
568.8976,0.1278271
570.8261,0.1260917
572.7546,0.1230864
574.683,0.120424
576.6115,0.1174868
578.54,0.1137651
580.4684,0.1104447
582.3969,0.1072009
584.3254,0.1035315
586.2538,0.09984121
588.1823,0.0971527
590.1108,0.09503462
592.0392,0.09263431
593.9677,0.09014454
595.8962,0.0875206
597.8246,0.08452572
599.7531,0.08136126
601.6816,0.07813998
603.61,0.0750018
605.5385,0.07248741
607.467,0.07168142
609.3954,0.07245111
611.3239,0.07420978
613.2524,0.07701211
615.1808,0.08085965
617.1093,0.08601332
619.0378,0.09240741
620.9662,0.09942475
622.8947,0.1068093
624.8232,0.1142273
626.7516,0.1210148
628.6801,0.1270943
630.6086,0.1322965
632.537,0.1364496
634.4655,0.1401981
636.394,0.1439469
638.3224,0.1471287
640.2509,0.1493611
642.1794,0.1505213
644.1078,0.1505689
646.0363,0.1489805
647.9648,0.145717
649.8932,0.1414032
651.8217,0.1360933
653.7502,0.1306541
655.6786,0.1252262
657.6071,0.1202172
659.5356,0.1161558
661.4641,0.1124937
663.3925,0.1089737
665.321,0.1051144
667.2495,0.1004513
669.1779,0.09517361
671.1064,0.0899272
673.0349,0.08553612
674.9633,0.08183435
676.8918,0.07824856
678.8203,0.07476056
680.7487,0.07142541
682.6772,0.0678163
684.6057,0.06389523
686.5341,0.06015661
688.4626,0.05666656
690.3911,0.05359152
692.3195,0.05131933
694.248,0.04931171
696.1765,0.04744698
698.1049,0.04585707
700.0334,0.04414191
701.9619,0.04230708
703.8903,0.04031749
705.8188,0.03826075
707.7473,0.03650432
709.6757,0.0351992
711.6042,0.03470489
713.5327,0.03499692
715.4611,0.03554647
717.3896,0.03687816
719.3181,0.03873369
721.2465,0.04039899
723.175,0.04143099
725.1035,0.04096098
727.0319,0.03886254
728.9604,0.03587009
730.8889,0.03276515
732.8173,0.03015921
734.7458,0.02810243
736.6743,0.02674198
738.6027,0.02596285
740.5312,0.02556998
742.4597,0.02536893
744.3881,0.02547509
746.3166,0.02568863
748.2451,0.02585381
750.1735,0.02612765
752.102,0.02661565
754.0305,0.02727434
755.9589,0.02794364
757.8874,0.02867956
759.8159,0.02950948
761.7443,0.03019747
763.6728,0.03097364
765.6013,0.03197088
767.5297,0.03309575
769.4582,0.03428255
771.3867,0.03545073
773.3151,0.0364909
775.2436,0.03773768
777.1721,0.03932996
779.1005,0.04067725
781.029,0.04216341
782.9575,0.04398214
784.8859,0.0458341
786.8144,0.04772053
788.7429,0.04974929
790.6713,0.0521178
792.5998,0.0546384
794.5283,0.0573389
796.4567,0.06012723
798.3852,0.06293233
800.3137,0.06602141
802.2421,0.06958463
804.1706,0.07318401
806.0991,0.07675099
808.0275,0.08041767
809.956,0.0843944
811.8845,0.08878601
813.8129,0.09315046
815.7414,0.09806886
817.6699,0.1036121
819.5983,0.1094639
821.5268,0.1154476
823.4553,0.1213193
825.3837,0.1271364
827.3122,0.1326534
829.2407,0.1378935
831.1691,0.1422159
833.0976,0.1454414
835.0261,0.1474385
836.9545,0.1478027
838.883,0.1469044
840.8115,0.1453125
842.7399,0.1437122
844.6684,0.1428937
846.5969,0.1434464
848.5253,0.1450576
850.4538,0.1477465
852.3823,0.1510293
854.3107,0.1546012
856.2392,0.1577252
858.1677,0.1597943
860.0961,0.1608902
862.0246,0.161301
863.9531,0.1611602
865.8815,0.1617321
867.81,0.1646374
869.7385,0.1703415
871.6669,0.1778535
873.5954,0.184883
875.5239,0.1900196
877.4523,0.1928735
879.3808,0.1935562
881.3093,0.192216
883.2377,0.1891066
885.1662,0.1848631
887.0947,0.1801789
889.0231,0.1758648
890.9516,0.1715553
892.8801,0.1671575
894.8085,0.1629998
896.737,0.1594915
898.6655,0.1564097
900.5939,0.153493
902.5224,0.1508432
904.4509,0.1479187
906.3793,0.1446652
908.3078,0.1416297
910.2363,0.1388874
912.1647,0.1366488
914.0932,0.1350467
916.0217,0.1338238
917.9501,0.1333968
919.8786,0.1337693
921.8071,0.1353263
923.7355,0.1383972
925.664,0.143076
927.5925,0.1493131
929.5209,0.1562986
931.4494,0.1630296
933.3779,0.1689119
935.3063,0.1740301
937.2348,0.1784213
939.1633,0.181951
941.0917,0.1845751
943.0202,0.1864373
944.9487,0.187612
946.8771,0.1878223
948.8056,0.1866533
950.7341,0.1839384
952.6625,0.1792237
954.591,0.1731028
956.5195,0.16633
958.4479,0.1591769
960.3764,0.1514609
962.3049,0.1435824
964.2333,0.1356787
966.1618,0.1276723
968.0903,0.1197814
970.0187,0.1120364
971.9472,0.1043128
973.8757,0.09697143
975.8041,0.09022598
977.7326,0.08397049
979.6611,0.07825766
981.5895,0.07314613
983.518,0.06860108
985.4465,0.06441449
987.3749,0.0602853
989.3034,0.05641052
991.2319,0.05307531
993.1603,0.04980082
995.0888,0.0466815
997.0173,0.04369848
998.9457,0.04078094
1000.874,0.03811891
1002.803,0.0354991
1004.731,0.03330144
1006.66,0.03180018
1008.588,0.03094624
1010.517,0.03051692
1012.445,0.03066172
1014.373,0.03137383
1016.302,0.0327019
1018.23,0.03511934
1020.159,0.0383659
1022.087,0.04252248
1024.016,0.04775482
1025.944,0.0544074
1027.873,0.06259835
1029.801,0.07128295
1031.73,0.07936358
1033.658,0.08531174
1035.587,0.08798692
1037.515,0.08748354
1039.443,0.08455987
1041.372,0.08036817
1043.3,0.0758503
1045.229,0.07141581
1047.157,0.06730411
1049.086,0.06374226
1051.014,0.06066244
1052.943,0.05848908
1054.871,0.05726743
1056.8,0.05684292
1058.728,0.0574973
1060.657,0.05932829
1062.585,0.06191597
1064.514,0.06527399
1066.442,0.06940001
1068.37,0.07390203
1070.299,0.07795899
1072.227,0.08110025
1074.156,0.0833239
1076.084,0.08470035
1078.013,0.08533935
1079.941,0.0852681
1081.87,0.08489402
1083.798,0.08438998
1085.727,0.08381632
1087.655,0.08340146
1089.584,0.08302349
1091.512,0.08251405
1093.441,0.08238731
1095.369,0.08293176
1097.297,0.0836422
1099.226,0.08428432
1101.154,0.08453806
