x,y
374.1225,0.180625
376.051,0.1801557
377.9795,0.2018567
379.9079,0.220759
381.8364,0.2462908
383.7649,0.2268827
385.6933,0.2121967
387.6218,0.217211
389.5503,0.2100865
391.4787,0.2186531
393.4072,0.2407307
395.3357,0.2553428
397.2641,0.2620267
399.1926,0.2512338
401.1211,0.2354483
403.0495,0.2211742
404.978,0.2155649
406.9065,0.2099286
408.8349,0.2078618
410.7634,0.2046254
412.6919,0.1987564
414.6203,0.1954629
416.5488,0.1971449
418.4773,0.1981812
420.4057,0.196036
422.3342,0.1977125
424.2627,0.1989031
426.1911,0.1980887
428.1196,0.1965383
430.0481,0.1913802
431.9765,0.1874077
433.905,0.1846368
435.8335,0.1827716
437.7619,0.1805623
439.6904,0.1795478
441.6189,0.1826839
443.5473,0.1900378
445.4758,0.1955802
447.4043,0.1987885
449.3327,0.2004146
451.2612,0.2003399
453.1897,0.2008046
455.1181,0.198962
457.0466,0.1949621
458.9751,0.1939755
460.9035,0.19023
462.832,0.1839068
464.7605,0.1802036
466.6889,0.1770686
468.6174,0.1731692
470.5459,0.1679637
472.4743,0.1628581
474.4028,0.1589456
476.3313,0.1548306
478.2597,0.1498917
480.1882,0.1445044
482.1167,0.139988
484.0451,0.1360662
485.9736,0.1308762
487.9021,0.1249866
489.8305,0.119183
491.759,0.1135496
493.6875,0.1083758
495.6159,0.1033155
497.5444,0.0980603
499.4729,0.09330854
501.4013,0.0889516
503.3298,0.08523829
505.2583,0.08276477
507.1867,0.0815144
509.1152,0.08164007
511.0437,0.08259879
512.9721,0.08376731
514.9006,0.0847632
516.829,0.08453297
518.7575,0.08449251
520.686,0.08545018
522.6144,0.08598755
524.5429,0.08659352
526.4714,0.08740927
528.3998,0.08837796
530.3283,0.08964457
532.2568,0.09080365
534.1852,0.09232059
536.1137,0.09386076
538.0422,0.09580889
539.9706,0.09775251
541.8991,0.09911141
543.8276,0.1009508
545.756,0.1032067
547.6845,0.1047368
549.613,0.1065857
551.5414,0.1078053
553.4699,0.108046
555.3984,0.108237
557.3268,0.1091563
559.2553,0.1108633
561.1838,0.1114956
563.1122,0.1110618
565.0407,0.110557
566.9692,0.1102452
568.8976,0.1100584
570.8261,0.1096765
572.7546,0.1086919
574.683,0.1074813
576.6115,0.1064728
578.54,0.1055998
580.4684,0.1044172
582.3969,0.1032252
584.3254,0.1021761
586.2538,0.1009473
588.1823,0.09957186
590.1108,0.09810687
592.0392,0.09718852
593.9677,0.09543181
595.8962,0.09300534
597.8246,0.09166953
599.7531,0.09034549
601.6816,0.08841641
603.61,0.08665688
605.5385,0.08527836
607.467,0.08411445
609.3954,0.08267482
611.3239,0.08105661
613.2524,0.07962669
615.1808,0.07810293
617.1093,0.07673223
619.0378,0.07505427
620.9662,0.07344588
622.8947,0.07243235
624.8232,0.07125887
626.7516,0.06992601
628.6801,0.06852812
630.6086,0.06692748
632.537,0.06557148
634.4655,0.06419396
636.394,0.06298568
638.3224,0.062081
640.2509,0.06133913
642.1794,0.06076716
644.1078,0.06010872
646.0363,0.05965299
647.9648,0.05971525
649.8932,0.06007
651.8217,0.06055484
653.7502,0.0612169
655.6786,0.0615305
657.6071,0.0617192
659.5356,0.06181799
661.4641,0.06171349
663.3925,0.06132522
665.321,0.06056027
667.2495,0.05970085
669.1779,0.05801732
671.1064,0.05607636
673.0349,0.05386424
674.9633,0.05114202
676.8918,0.04802753
678.8203,0.04468444
680.7487,0.04150039
682.6772,0.03894185
684.6057,0.03672898
686.5341,0.03446748
688.4626,0.03276603
690.3911,0.03179814
692.3195,0.0310237
694.248,0.03033187
696.1765,0.03006388
698.1049,0.0298413
700.0334,0.02980119
701.9619,0.03003352
703.8903,0.03037472
705.8188,0.03087271
707.7473,0.03140594
709.6757,0.03197864
711.6042,0.03261389
713.5327,0.03328444
715.4611,0.03400371
717.3896,0.03481876
719.3181,0.03603264
721.2465,0.03729777
723.175,0.03837274
725.1035,0.03945767
727.0319,0.0407916
728.9604,0.04186506
730.8889,0.04282046
732.8173,0.04412363
734.7458,0.04557242
736.6743,0.047082
738.6027,0.04869057
740.5312,0.05036432
742.4597,0.05251334
744.3881,0.05479956
746.3166,0.05700619
748.2451,0.05940377
750.1735,0.06209602
752.102,0.06492317
754.0305,0.06820743
755.9589,0.07117633
757.8874,0.07413314
759.8159,0.07719826
761.7443,0.08059296
763.6728,0.0842752
765.6013,0.08792339
767.5297,0.09184461
769.4582,0.09598926
771.3867,0.1000579
773.3151,0.104387
775.2436,0.1089638
777.1721,0.1137773
779.1005,0.1184072
781.029,0.1226803
782.9575,0.1272443
784.8859,0.132158
786.8144,0.1365159
788.7429,0.1404996
790.6713,0.1440266
792.5998,0.1473188
794.5283,0.1502408
796.4567,0.1521963
798.3852,0.1531999
800.3137,0.1533199
802.2421,0.152352
804.1706,0.1504064
806.0991,0.1476056
808.0275,0.1443048
809.956,0.1408859
811.8845,0.137278
813.8129,0.1329977
815.7414,0.1283817
817.6699,0.1234604
819.5983,0.1185353
821.5268,0.1138039
823.4553,0.1092115
825.3837,0.1043714
827.3122,0.09962129
829.2407,0.09510087
831.1691,0.09097803
833.0976,0.08729385
835.0261,0.08395357
836.9545,0.08113925
838.883,0.07887768
840.8115,0.07703755
842.7399,0.07583519
844.6684,0.07498886
846.5969,0.07458525
848.5253,0.07454541
850.4538,0.07473998
852.3823,0.0753435
854.3107,0.07614393
856.2392,0.0773438
858.1677,0.07856617
860.0961,0.08004296
862.0246,0.08194824
863.9531,0.08387198
865.8815,0.08585837
867.81,0.08789324
869.7385,0.09017373
871.6669,0.09257336
873.5954,0.095181
875.5239,0.09762172
877.4523,0.1000785
879.3808,0.1027761
881.3093,0.1054218
883.2377,0.1073351
885.1662,0.1089102
887.0947,0.1102878
889.0231,0.1113341
890.9516,0.1120039
892.8801,0.112281
894.8085,0.111881
896.737,0.1112771
898.6655,0.1100642
900.5939,0.1080776
902.5224,0.1056932
904.4509,0.1032192
906.3793,0.1001409
908.3078,0.09665444
910.2363,0.09292275
912.1647,0.08898921
914.0932,0.08448618
916.0217,0.07968949
917.9501,0.07504214
919.8786,0.07008734
921.8071,0.0649367
923.7355,0.05997457
925.664,0.05500657
927.5925,0.05024901
929.5209,0.04600554
931.4494,0.04235429
933.3779,0.03901834
935.3063,0.03621474
937.2348,0.03369436
939.1633,0.03149777
941.0917,0.02969508
943.0202,0.02831785
944.9487,0.02716012
946.8771,0.02637337
948.8056,0.02592475
950.7341,0.02539799
952.6625,0.02492543
954.591,0.02476713
956.5195,0.0247194
958.4479,0.02474272
960.3764,0.02478365
962.3049,0.02491585
964.2333,0.02498586
966.1618,0.02507947
968.0903,0.02528078
970.0187,0.02560422
971.9472,0.02592338
973.8757,0.02624264
975.8041,0.02626192
977.7326,0.02630097
979.6611,0.02649646
981.5895,0.02662135
983.518,0.0266646
985.4465,0.02689079
987.3749,0.02704348
989.3034,0.02707804
991.2319,0.02698701
993.1603,0.02715603
995.0888,0.02754753
997.0173,0.02798494
998.9457,0.02817348
1000.874,0.02832884
1002.803,0.02842255
1004.731,0.02869829
1006.66,0.02902893
1008.588,0.02936508
1010.517,0.02962898
1012.445,0.02992652
1014.373,0.03016891
1016.302,0.03045856
1018.23,0.03068687
1020.159,0.03089965
1022.087,0.03107787
1024.016,0.03130317
1025.944,0.03159962
1027.873,0.03200743
1029.801,0.03232071
1031.73,0.03268241
1033.658,0.03308522
1035.587,0.03342036
1037.515,0.03357373
1039.443,0.03376443
1041.372,0.03424306
1043.3,0.03460327
1045.229,0.03462006
1047.157,0.03491811
1049.086,0.03529125
1051.014,0.03548596
1052.943,0.03552882
1054.871,0.03562328
1056.8,0.03590022
1058.728,0.03610549
1060.657,0.03617514
1062.585,0.03646597
1064.514,0.03669173
1066.442,0.03694898
1068.37,0.03711752
1070.299,0.03704608
1072.227,0.03715296
1074.156,0.03763547
1076.084,0.03805276
1078.013,0.03840205
1079.941,0.03878298
1081.87,0.03915105
1083.798,0.03940047
1085.727,0.03978532
1087.655,0.04013137
1089.584,0.04039476
1091.512,0.0406967
1093.441,0.04113467
1095.369,0.04132169
1097.297,0.04166149
1099.226,0.04207711
1101.154,0.04224179
1103.083,0.04238308
1105.011,0.04285358
1106.94,0.04312877
1108.868,0.04337362
1110.797,0.04358914
1112.725,0.04375054
1114.654,0.04377445
1116.582,0.0438972
