x,y
399.1926,0.1497474
401.1211,0.1572207
403.0495,0.1612712
404.978,0.1666976
406.9065,0.1704115
408.8349,0.1751667
410.7634,0.1820966
412.6919,0.1826802
414.6203,0.1831597
416.5488,0.1810707
418.4773,0.1815767
420.4057,0.1800725
422.3342,0.1761041
424.2627,0.1727131
426.1911,0.168459
428.1196,0.1651085
430.0481,0.1649876
431.9765,0.166311
433.905,0.1693394
435.8335,0.1762274
437.7619,0.1855123
439.6904,0.1931852
441.6189,0.1999911
443.5473,0.2059556
445.4758,0.2102188
447.4043,0.2150132
449.3327,0.2203483
451.2612,0.2241553
453.1897,0.2257695
455.1181,0.2255202
457.0466,0.2247955
458.9751,0.2214728
460.9035,0.2178972
462.832,0.2150037
464.7605,0.2121514
466.6889,0.2102174
468.6174,0.2098978
470.5459,0.2097469
472.4743,0.2092065
474.4028,0.2101822
476.3313,0.2115916
478.2597,0.2133886
480.1882,0.2165864
482.1167,0.2202701
484.0451,0.2239782
485.9736,0.2280582
487.9021,0.2313904
489.8305,0.2339479
491.759,0.2363544
493.6875,0.2380695
495.6159,0.2395818
497.5444,0.2400698
499.4729,0.240772
501.4013,0.2418329
503.3298,0.2416735
505.2583,0.2410899
507.1867,0.2396512
509.1152,0.2380938
511.0437,0.2369283
512.9721,0.2347303
514.9006,0.2325855
516.829,0.2305442
518.7575,0.2281618
520.686,0.2253317
522.6144,0.2225842
524.5429,0.2194992
526.4714,0.2163493
528.3998,0.213648
530.3283,0.2117586
532.2568,0.2104806
534.1852,0.2094655
536.1137,0.2090628
538.0422,0.2093984
539.9706,0.2105548
541.8991,0.2107905
543.8276,0.2112582
545.756,0.2116542
547.6845,0.2124554
549.613,0.214352
551.5414,0.2162787
553.4699,0.2181166
555.3984,0.2200871
557.3268,0.2218844
559.2553,0.2240292
561.1838,0.2270298
563.1122,0.2296321
565.0407,0.2320403
566.9692,0.2344358
568.8976,0.2360945
570.8261,0.2380895
572.7546,0.2403456
574.683,0.2418372
576.6115,0.2430668
578.54,0.2445617
580.4684,0.2461594
582.3969,0.2473608
584.3254,0.2481866
586.2538,0.2489356
588.1823,0.2497924
590.1108,0.2505841
592.0392,0.2510607
593.9677,0.2512916
595.8962,0.2516746
597.8246,0.2519352
599.7531,0.2520762
601.6816,0.2521358
603.61,0.2518718
605.5385,0.2515712
607.467,0.2511816
609.3954,0.2506897
611.3239,0.2499031
613.2524,0.2489383
615.1808,0.2480902
617.1093,0.2473679
619.0378,0.2468754
620.9662,0.2459114
622.8947,0.2448519
624.8232,0.24377
626.7516,0.2425247
628.6801,0.2413491
630.6086,0.2397281
632.537,0.2383854
634.4655,0.2374782
636.394,0.2364726
638.3224,0.2350296
640.2509,0.2328839
642.1794,0.2310845
644.1078,0.2298246
646.0363,0.2283909
647.9648,0.2264719
649.8932,0.2247956
651.8217,0.2232252
653.7502,0.2216409
655.6786,0.2196211
657.6071,0.2176485
659.5356,0.2160304
661.4641,0.2144886
663.3925,0.2127738
