x,y
374.1225,0.1952751
376.051,0.2292417
377.9795,0.1997094
379.9079,0.1962475
381.8364,0.2036526
383.7649,0.2024826
385.6933,0.200982
387.6218,0.2097539
389.5503,0.202514
391.4787,0.1977741
393.4072,0.2059539
395.3357,0.2186743
397.2641,0.2352772
399.1926,0.2482843
401.1211,0.2531545
403.0495,0.2562045
404.978,0.2599486
406.9065,0.2587748
408.8349,0.2630925
410.7634,0.2766523
412.6919,0.2900467
414.6203,0.2995313
416.5488,0.3099331
418.4773,0.3230214
420.4057,0.3218305
422.3342,0.3121774
424.2627,0.2861637
426.1911,0.239819
428.1196,0.1827952
430.0481,0.1358585
431.9765,0.09922621
433.905,0.07259481
435.8335,0.06635579
437.7619,0.07973043
439.6904,0.08041334
441.6189,0.07144753
443.5473,0.07437108
445.4758,0.08150484
447.4043,0.09217342
449.3327,0.105132
451.2612,0.1157205
453.1897,0.1239377
455.1181,0.1324391
457.0466,0.1416241
458.9751,0.1496938
460.9035,0.1537603
462.832,0.1546655
464.7605,0.1565053
466.6889,0.1586939
468.6174,0.1604863
470.5459,0.1608686
472.4743,0.1628912
474.4028,0.1650468
476.3313,0.1614514
478.2597,0.1606845
480.1882,0.1644035
482.1167,0.1682725
484.0451,0.1716988
485.9736,0.1751028
487.9021,0.1775902
489.8305,0.1804136
491.759,0.1837003
493.6875,0.1861337
495.6159,0.1878072
497.5444,0.1901054
499.4729,0.1929643
501.4013,0.1955544
503.3298,0.1989546
505.2583,0.2029007
507.1867,0.2065477
509.1152,0.2105044
511.0437,0.214622
512.9721,0.2183332
514.9006,0.2219704
516.829,0.2259174
518.7575,0.2263316
520.686,0.226758
522.6144,0.230722
524.5429,0.2355623
526.4714,0.2400655
528.3998,0.2446838
530.3283,0.248397
532.2568,0.2523753
534.1852,0.256646
536.1137,0.2612184
538.0422,0.2668073
539.9706,0.2710061
541.8991,0.2732159
543.8276,0.2737384
545.756,0.2755223
547.6845,0.2793504
549.613,0.284648
551.5414,0.2894185
553.4699,0.2933983
555.3984,0.2959788
557.3268,0.297778
559.2553,0.3017592
561.1838,0.3067976
563.1122,0.3108299
565.0407,0.3152368
566.9692,0.3202374
568.8976,0.3258196
570.8261,0.3326668
572.7546,0.3391226
574.683,0.3452034
576.6115,0.3393444
578.54,0.3280308
580.4684,0.3333058
582.3969,0.3472824
584.3254,0.3572974
586.2538,0.3632753
588.1823,0.3655166
590.1108,0.3621599
592.0392,0.3475617
593.9677,0.314236
595.8962,0.2644248
597.8246,0.2086255
599.7531,0.165259
601.6816,0.1518601
603.61,0.1660867
605.5385,0.1927755
607.467,0.2197778
609.3954,0.2435427
611.3239,0.2628925
613.2524,0.2772045
615.1808,0.2886254
617.1093,0.2978583
619.0378,0.3054156
620.9662,0.3129464
622.8947,0.3196527
624.8232,0.325639
626.7516,0.3320054
628.6801,0.3384189
630.6086,0.344049
632.537,0.3496461
634.4655,0.3554265
636.394,0.3586549
638.3224,0.3554653
640.2509,0.3427152
642.1794,0.3232433
644.1078,0.3111714
646.0363,0.3161219
647.9648,0.3317105
649.8932,0.3466386
651.8217,0.3566433
653.7502,0.3640191
655.6786,0.3690624
657.6071,0.3728708
659.5356,0.3764424
661.4641,0.3793241
663.3925,0.3814608
665.321,0.3826185
667.2495,0.3832899
669.1779,0.3830488
671.1064,0.3843504
673.0349,0.3854261
674.9633,0.3846692
676.8918,0.3838418
678.8203,0.3832346
680.7487,0.3811105
682.6772,0.3774557
684.6057,0.3738298
686.5341,0.3703144
688.4626,0.3653988
690.3911,0.3599031
692.3195,0.3540414
694.248,0.3453972
696.1765,0.3327005
698.1049,0.3156196
700.0334,0.2996943
701.9619,0.3018793
703.8903,0.3273592
705.8188,0.3522865
707.7473,0.3596444
709.6757,0.3572069
711.6042,0.3515273
713.5327,0.3448195
715.4611,0.3373467
717.3896,0.3293677
719.3181,0.3199226
721.2465,0.3093836
723.175,0.2980094
725.1035,0.2864624
727.0319,0.276515
728.9604,0.2719916
730.8889,0.2751921
732.8173,0.2767885
734.7458,0.2702361
736.6743,0.2623517
738.6027,0.2571829
740.5312,0.2525634
742.4597,0.2458414
744.3881,0.2374613
746.3166,0.2277608
748.2451,0.2177752
750.1735,0.207829
752.102,0.1981265
754.0305,0.1887992
755.9589,0.1798663
757.8874,0.1734716
759.8159,0.1728126
761.7443,0.1799216
763.6728,0.1946074
765.6013,0.2149938
767.5297,0.2382896
769.4582,0.2598228
771.3867,0.2739158
773.3151,0.2771547
775.2436,0.2698057
777.1721,0.2542366
779.1005,0.2348139
781.029,0.215258
782.9575,0.1978391
784.8859,0.1839675
786.8144,0.1751214
788.7429,0.1692983
790.6713,0.1619631
792.5998,0.1524917
794.5283,0.1423964
796.4567,0.1324722
798.3852,0.1232359
800.3137,0.115349
802.2421,0.109458
804.1706,0.1055754
806.0991,0.1038485
808.0275,0.1035126
809.956,0.1034186
811.8845,0.1031678
813.8129,0.1021956
815.7414,0.09988365
817.6699,0.09716256
819.5983,0.09417075
821.5268,0.09085635
823.4553,0.08701806
825.3837,0.08274081
827.3122,0.07799547
829.2407,0.07298144
831.1691,0.06779948
833.0976,0.06281518
835.0261,0.05827426
836.9545,0.05488293
838.883,0.05275514
840.8115,0.0521429
842.7399,0.05322443
844.6684,0.05545227
846.5969,0.05850989
848.5253,0.06278984
850.4538,0.06805944
852.3823,0.07455999
854.3107,0.08227521
856.2392,0.09132157
858.1677,0.1013156
860.0961,0.1126374
862.0246,0.1251527
863.9531,0.1387391
865.8815,0.1531883
867.81,0.1687949
869.7385,0.1854265
871.6669,0.203151
873.5954,0.2217169
875.5239,0.2410775
877.4523,0.2608362
879.3808,0.2806486
881.3093,0.2998928
883.2377,0.3180971
885.1662,0.3343996
887.0947,0.348698
889.0231,0.3605299
890.9516,0.3695407
892.8801,0.3746988
894.8085,0.375819
896.737,0.3740782
898.6655,0.3699235
900.5939,0.3613416
902.5224,0.3461913
904.4509,0.3258178
906.3793,0.3053514
908.3078,0.2899032
910.2363,0.2789899
912.1647,0.2686189
914.0932,0.256557
916.0217,0.2446577
917.9501,0.2383147
919.8786,0.2432848
921.8071,0.2631887
923.7355,0.2923631
925.664,0.3202686
927.5925,0.3403361
929.5209,0.3522168
931.4494,0.3571586
933.3779,0.3564579
935.3063,0.3507924
937.2348,0.3412372
939.1633,0.3290528
941.0917,0.3161616
943.0202,0.3033928
944.9487,0.2905756
946.8771,0.2778699
948.8056,0.2658793
950.7341,0.2543336
952.6625,0.2432782
954.591,0.2323004
956.5195,0.2216294
958.4479,0.2117206
960.3764,0.2025882
962.3049,0.1955722
964.2333,0.1941077
966.1618,0.2014941
968.0903,0.217236
970.0187,0.2343075
971.9472,0.2448508
973.8757,0.2468562
975.8041,0.2427492
977.7326,0.2353836
979.6611,0.2273605
981.5895,0.2195612
983.518,0.2124615
985.4465,0.2061149
987.3749,0.2001541
989.3034,0.1941482
991.2319,0.1888176
993.1603,0.1840767
995.0888,0.179702
997.0173,0.1758489
998.9457,0.1723689
1000.874,0.1687733
1002.803,0.1650151
1004.731,0.1609635
1006.66,0.1567116
1008.588,0.1525138
1010.517,0.1483857
1012.445,0.1444456
1014.373,0.1406082
1016.302,0.1370537
1018.23,0.1337837
1020.159,0.1306188
1022.087,0.1279758
1024.016,0.1262847
1025.944,0.1249244
1027.873,0.12264
1029.801,0.1193917
1031.73,0.1157145
1033.658,0.112303
1035.587,0.1092319
1037.515,0.1061646
1039.443,0.1030827
1041.372,0.1004067
1043.3,0.09791481
1045.229,0.09530807
1047.157,0.09275379
1049.086,0.09038966
1051.014,0.08787324
1052.943,0.08525298
1054.871,0.08272595
1056.8,0.08050661
1058.728,0.07794421
1060.657,0.07522118
1062.585,0.07260679
1064.514,0.07001369
1066.442,0.06747025
1068.37,0.06485255
1070.299,0.06195618
1072.227,0.05907553
1074.156,0.05644498
1076.084,0.05389601
1078.013,0.05109361
1079.941,0.04819754
1081.87,0.04533533
1083.798,0.04249796
1085.727,0.03980223
1087.655,0.03716161
1089.584,0.03437001
1091.512,0.03166508
1093.441,0.02931276
1095.369,0.02716045
1097.297,0.02514617
1099.226,0.02334934
1101.154,0.02142482
1103.083,0.01961665
1105.011,0.01836569
1106.94,0.01738053
1108.868,0.01639246
1110.797,0.01544494
1112.725,0.0147249
1114.654,0.01405311
1116.582,0.01334009
1118.511,0.01270903
1120.439,0.01213152
1122.368,0.01178339
1124.296,0.01144129
1126.224,0.01102894
1128.153,0.01046577
1130.081,0.01007319
1132.01,0.009785412
1133.938,0.009640521
1135.867,0.009392551
1137.795,0.008961015
1139.724,0.008733999
1141.652,0.008646798
1143.581,0.008409761
1145.509,0.008110272
1147.438,0.00783221
1149.366,0.007609132
1151.295,0.007365474
1153.223,0.007103029
1155.151,0.006827283
1157.08,0.006545498
1159.008,0.006346125
1160.937,0.006361437
1162.865,0.006214546
1164.794,0.00595146
1166.722,0.005971562
1168.651,0.005873578
1170.579,0.005603976
1172.508,0.005495262
1174.436,0.00540656
1176.365,0.005245445
1178.293,0.005012386
1180.222,0.004783899
1182.15,0.004688614
1184.078,0.004662293
1186.007,0.004413143
1187.935,0.004195111
1189.864,0.004153791
1191.792,0.004095003
1193.721,0.003930071
1195.649,0.003723779
1197.578,0.00352408
1199.506,0.003521233
1201.435,0.003336556
1203.363,0.003099675
1205.292,0.003007029
1207.22,0.002951378
1209.149,0.002885428
1211.077,0.002834674
1213.005,0.002854665
1214.934,0.002806386
1216.862,0.002643541
1218.791,0.002559301
1220.719,0.002384021
1222.648,0.002320403
1224.576,0.002290728
1226.505,0.00228156
1228.433,0.002156848
1230.362,0.002124911
1232.29,0.002095161
1234.219,0.002062066
1236.147,0.001992312
1238.076,0.001833915
1240.004,0.001859776
1241.932,0.001922381
1243.861,0.001801917
1245.789,0.001733314
1247.718,0.001820736
1249.646,0.00183697
1251.575,0.001807807
1253.503,0.001883899
1255.432,0.00202832
1257.36,0.002238467
1259.289,0.002264818
1261.217,0.001979534
1263.146,0.001772284
1265.074,0.001764897
1267.003,0.001899721
1268.931,0.001876455
1270.859,0.001942647
1272.788,0.00236338
1274.716,0.002866864
1276.645,0.003114682
1278.573,0.003217638
1280.502,0.003365128
1282.43,0.003308982
1284.359,0.003427286
1286.287,0.003587045
1288.216,0.003680453
1290.144,0.003615054
1292.073,0.003651697
1294.001,0.003856129
1295.93,0.003950472
1297.858,0.003876542
1299.786,0.003732845
1301.715,0.00351357
1303.643,0.003332953
1305.572,0.003180253
1307.5,0.003054005
1309.429,0.002973194
1311.357,0.002896555
1313.286,0.002800799
1315.214,0.002645834
1317.143,0.002530819
1319.071,0.002443
1321.0,0.002436242
1322.928,0.002535023
1324.857,0.002645739
1326.785,0.002710231
1328.714,0.002636016
1330.642,0.002727014
1332.57,0.00279494
1334.499,0.002975004
1336.427,0.003185239
1338.356,0.003299178
1340.284,0.003513434
1342.213,0.003635949
1344.141,0.003628042
1346.07,0.003568984
1347.998,0.003555943
1349.927,0.003755872
1351.855,0.003947539
1353.784,0.00392445
1355.712,0.003791319
1357.641,0.003712054
1359.569,0.003634464
1361.497,0.003546032
1363.426,0.003498156
1365.354,0.003403815
1367.283,0.003359825
1369.211,0.00350871
1371.14,0.003522015
1373.068,0.003492234
1374.997,0.003515012
1376.925,0.003536417
1378.854,0.003437744
1380.782,0.003252359
1382.711,0.00317915
1384.639,0.003301208
1386.568,0.003272777
1388.496,0.00322839
1390.424,0.003367998
1392.353,0.003556596
1394.281,0.003716893
1396.21,0.003853544
1398.138,0.003919291
1400.067,0.003755655
1401.995,0.003555013
1403.924,0.003587322
1405.852,0.003644309
1407.781,0.003806949
1409.709,0.003895784
1411.638,0.00390408
1413.566,0.003893528
1415.495,0.00390743
1417.423,0.003984411
1419.351,0.004144918
1421.28,0.003890416
1423.208,0.003801789
1425.137,0.003802474
1427.065,0.003803291
1428.994,0.00388199
1430.922,0.004063303
1432.851,0.004047992
1434.779,0.003994348
1436.708,0.004157169
1438.636,0.004061985
1440.565,0.003836242
1442.493,0.003790741
1444.422,0.00403805
1446.35,0.004407802
1448.278,0.004360958
1450.207,0.00417393
1452.135,0.004004945
1454.064,0.003922122
1455.992,0.004397011
1457.921,0.004565764
1459.849,0.004126214
1461.778,0.003909741
1463.706,0.003982488
1465.635,0.003985633
1467.563,0.003723033
1469.492,0.003656964
1471.42,0.003953387
1473.349,0.004085804
1475.277,0.003916632
1477.205,0.003588542
1479.134,0.003198874
1481.062,0.003209998
1482.991,0.00314465
1484.919,0.002905975
1486.848,0.002792424
1488.776,0.00268067
1490.705,0.002330851
1492.633,0.002021388
1494.562,0.001842213
1496.49,0.001824004
1498.419,0.001484101
1500.347,0.001191107
1502.276,0.001055318
1504.204,0.001389081
1506.132,0.001824847
1508.061,0.001522749
1509.989,0.0009269482
1511.918,0.0005260177
1513.846,0.0003914636
1515.775,0.0006651978
1517.703,0.0005993491
1519.632,0.0004227358
1521.56,0.0005536926
1523.489,0.0004534092
1525.417,0.0002573656
1527.346,0.0001124586
1529.274,5.148376e-05
1531.203,2.313553e-05
1533.131,0.0001021135
1535.059,7.879102e-05
1536.988,0.0001934473
1538.916,0.0007302771
1540.845,0.0006116561
1542.773,0.0002496061
1544.702,7.523827e-06
1546.63,-0.0001283592
1548.559,-5.17185e-05
1550.487,-8.604579e-05
1552.416,-9.474177e-05
1554.344,-2.430836e-05
1556.273,0.000178131
1558.201,0.0007542624
1560.13,0.0007910603
1562.058,0.0002254922
1563.986,0.0001028728
1565.915,0.0001862411
1567.843,0.0002329791
1569.772,0.0003081419
1571.7,0.0001896379
1573.629,0.0003700905
1575.557,0.0008410104
1577.486,0.0008859483
1579.414,0.0008093788
1581.343,0.0008913672
1583.271,0.0008459683
1585.2,0.0008416873
1587.128,0.0008525046
1589.057,0.000804937
1590.985,0.000793828
1592.913,0.0009839844
1594.842,0.0009753329
1596.77,0.0009049373
1598.699,0.00094735
1600.627,0.0009132301
1602.556,0.001089438
1604.484,0.001196877
1606.413,0.001186532
1608.341,0.001267446
1610.27,0.00131825
1612.198,0.001136923
1614.127,0.001083002
1616.055,0.001560792
1617.984,0.001375163
1619.912,0.001118386
1621.84,0.001197335
1623.769,0.00112509
1625.697,0.001001647
1627.626,0.001082499
1629.554,0.001009592
1631.483,0.0009931395
1633.411,0.001002226
1635.34,0.001130557
1637.268,0.00104322
1639.197,0.0008972218
1641.125,0.0007838962
1643.054,0.0008144665
1644.982,0.001119863
1646.911,0.001393461
1648.839,0.001175458
1650.767,0.001486608
1652.696,0.002100123
1654.624,0.001635462
1656.553,0.001084147
1658.481,0.001053984
1660.41,0.0009382492
1662.338,0.0008925719
1664.267,0.0007585159
1666.195,0.0008244456
1668.124,0.00112842
1670.052,0.0009835371
1671.981,0.0007566523
1673.909,0.0009649263
1675.838,0.0009483569
1677.766,0.000799005
1679.694,0.0008135182
1681.623,0.0008700681
1683.551,0.001396015
1685.48,0.001277268
1687.408,0.0007809288
1689.337,0.0007315602
1691.265,0.0008233299
1693.194,0.001069977
1695.122,0.001539497
1697.051,0.001578438
1698.979,0.001681673
1700.908,0.001571351
1702.836,0.0009994544
1704.765,0.001002283
1706.693,0.0009910725
1708.621,0.0008280951
1710.55,0.0004939947
1712.478,0.0005859715
1714.407,0.0008013279
1716.335,0.001346682
1718.264,0.001393997
1720.192,0.0008685677
1722.121,0.0007437581
1724.049,0.0006926719
1725.978,0.000672611
1727.906,0.0005583624
1729.835,0.0004240892
1731.763,0.0004122183
1733.692,0.0008136771
1735.62,0.0006189838
1737.548,0.0002797942
1739.477,0.0001760982
1741.405,-0.0001680031
1743.334,-0.0002337913
1745.262,-0.0005303826
1747.191,-0.000578
1749.119,-0.0005021333
1751.048,-0.0002838934
1752.976,-0.0003584631
1754.905,-0.000600016
1756.833,-0.0005934047
1758.762,-0.0006094286
1760.69,-0.0006071822
1762.619,-0.0004517866
1764.547,-0.0004719722
1766.475,-0.0007499939
1768.404,-0.0008686389
1770.332,-0.0006153136
1772.261,-0.0003756127
1774.189,-0.0004210283
1776.118,-0.0005838648
1778.046,-0.0007747997
1779.975,-0.0009751715
1781.903,-0.001138548
1783.832,-0.0009066212
1785.76,-0.0006814509
1787.689,-0.000851131
1789.617,-0.0009741766
1791.546,-0.0008113404
1793.474,-0.0006769729
1795.402,-0.000741415
1797.331,-0.0009446508
1799.259,-0.0009549533
1801.188,-0.0006631287
1803.116,-0.0007499126
1805.045,-0.0006611425
1806.973,-0.0005703759
1808.902,-0.000537444
1810.83,-0.0005163115
1812.759,-0.0004657188
1814.687,-0.0005449313
1816.616,-0.0006641778
1818.544,-0.000515199
1820.473,-0.0003646686
1822.401,-0.0002230253
1824.329,-3.040446e-05
1826.258,-0.0001803032
1828.186,-0.0002823514
1830.115,-0.000347871
1832.043,-0.0001979278
1833.972,1.203194e-05
1835.9,0.000436337
1837.829,0.0003430326
1839.757,0.0001753971
1841.686,0.0001427443
1843.614,0.0003328678
1845.543,0.0001955825
1847.471,-9.24893e-05
1849.4,-0.0003257495
1851.328,-0.0003587705
1853.256,-0.0003316462
1855.185,-0.000648061
1857.113,-0.0008879956
1859.042,-0.0009846523
1860.97,-0.001037959
1862.899,-0.0009054363
1864.827,-0.0003923903
1866.756,-9.382581e-05
1868.684,-0.0004948141
1870.613,-0.001178642
1872.541,-0.001306917
1874.47,-0.0007880891
1876.398,-0.0004015985
1878.327,-0.0003887613
1880.255,-0.0006311088
1882.183,-0.0004338783
1884.112,-0.000102688
1886.04,-0.0001857056
1887.969,-0.0005943796
1889.897,-0.001148397
1891.826,-0.001453355
1893.754,-0.001427025
1895.683,-0.001124063
1897.611,-0.001100969
1899.54,-0.001521164
1901.468,-0.001218781
1903.397,-0.0009974367
1905.325,-0.001150585
1907.254,-0.0009654362
1909.182,-0.0006476448
1911.11,-0.0004370023
1913.039,-0.0006343855
1914.967,-0.001015478
1916.896,-0.001288157
1918.824,-0.0009704041
1920.753,-0.0006137314
1922.681,-0.001098718
1924.61,-0.001123702
1926.538,-0.001033472
1928.467,-0.001594841
1930.395,-0.001934721
1932.324,-0.001596114
1934.252,-0.001663208
1936.181,-0.00182959
1938.109,-0.001702542
1940.037,-0.00108957
1941.966,-0.0007202296
